Ministerie;handelsnaam na kvk;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
AZ;(BBP) Beerens-Business Press B.V.;;;;;;1;;;;1
AZ;7AM B.V.;;;;;;1;;;;1
AZ;A. v. Huijstee-de Mildt Opl., Train. & Advies;;;;;;1;;;;1
AZ;About Flowers;;;;1;;;;;;1
AZ;Agile Scrum Group B.V.;;;;;;1;;;;1
AZ;Amaze Escape Events;;;;;;;1;;;1
AZ;Anita Rademakers;;;;;;;1;;;1
AZ;Anke Laterveer;;;;1;;;;;;1
AZ;AOG Contractonderwijs B.V.;;;;;;1;;;;1
AZ;Ask Atticus B.V.;;;;;;1;;;;1
AZ;Athene Palace B.V.;;;;1;;;;;;1
AZ;Banketbakkerij Boheemen;;;;1;;;1;;;1
AZ;Banketbakkerij H.F. Borsboom;;;;;;;1;;;1
AZ;Banketbakkerij Maison Kelder B.V.;;;;1;;;1;;;1
AZ;Barplanet;;;;;;;1;;;1
AZ;Beuk Touringcars;;;;;;;1;;;1
AZ;BloomReach B.V.;;;;;;1;;;;1
AZ;Boertien Vergouwen Overduin B.V.;;;;;;1;;;;1
AZ;Bowling Scheveningen B.V.;;;;;;;1;;;1
AZ;Bureau Zuidema B.V.;;;;;;1;;;;1
AZ;Buro Brand Visuele Communicatie;;;;;;1;;;;1
AZ;BVA bond van adverteerders;;;;;;;;1;;1
AZ;Caf� Restaurant Rootz B.V.;;;;1;;;;;;1
AZ;Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
AZ;Calla's LVRED 51A B.V.;;;;1;;;;;;1
AZ;Caroni;;;;1;;;;;;1
AZ;Centrum voor effectieve Intuitie;;;;;;1;;;;1
AZ;Ciao! Ciao! B.V.;;;;;;;1;;;1
AZ;Citylife B.V.;;;;1;;;1;;;1
AZ;Clou, voor Marketing, Informatie en Research;;;;;;1;;;;1
AZ;Coach to coach B.V.;;;;;;1;;;;1
AZ;Colin Santhuizen;;;;;;;1;;;1
AZ;Compu'Train;;;;;;1;;;;1
AZ;Compu'Train Opleidingen B.V.;;;;;;1;;;;1
AZ;Creative Communication Consultant;;;;;;1;;;;1
AZ;Cuisine Royale B.V.;;;;1;;;1;;;1
AZ;De Bergse Bossen;;;;;;;;;1;1
AZ;De Byzantijn;;;;1;;;;;;1
AZ;De Haagse Creatieven Alliantie B.V.;;;;1;;;;;;1
AZ;De Taalcoach;;;;;;1;;;;1
AZ;De Tombe Consultancy B.V.;;;;;;1;;;;1
AZ;Debatrix;;;;;;1;;;;1
AZ;Dekker Development;;;;;;1;;;;1
AZ;Delluca B.V.;;;;1;;;1;;;1
AZ;Deloitte Consulting B.V.;;;;;;1;;;;1
AZ;depoorte.com;;;;;;1;;;;1
AZ;Dikscommuniceert;;;;;;1;;;;1
AZ;Dinerspel.nl;;;;1;;;;;;1
AZ;Eden Hotel Exploitatie B.V.;;;;;;;;;1;1
AZ;El Cuartito Loco;;;;;;;1;;;1
AZ;Emerce B.V.;;;;;;1;;;;1
AZ;Enigma Solutions;;;;;;1;;;;1
AZ;Entopic B.V.;;;;;;1;;;;1
AZ;European Language Centre B.V.;;;;;;1;;;;1
AZ;Firma Hof der Muzen;;;;1;;;;;;1
AZ;Fliteline B.V.;;;;;;;;;1;1
AZ;Frankwatching B.V.;;;;;;1;;;;1
AZ;Genootschap Onze Taal;;;;;;;;1;;1
AZ;Get Events B.V.;;;;;;;1;;;1
AZ;Geweldige Communicatie;;;;;;1;;;;1
AZ;GJM Communicatie B.V.;;;;;;1;;;;1
AZ;Go B.V.;;;;;;1;;;;1
AZ;Golden Tulip Hotel De Reiskoffer;;;;;;1;;;;1
AZ;GPAW;;;;;1;;;;;1
AZ;Gran Mercado B.V.;;;;1;;;;;;1
AZ;Grandcafe Haagsche Bluf;;;;1;;;;;;1
AZ;Groene Hart Catering;;;;;;;1;;;1
AZ;Gusto Mangia e Bevi;;;;1;;;;;;1
AZ;Gwendolynn intuitieve massage praktijk;;;;;;;1;;;1
AZ;H.M.G. Dittmar;;;;;;1;;;;1
AZ;Haags Historisch Museum;;;;1;;;;;;1
AZ;Hans Hogenkamp;;;;;;1;;;;1
AZ;Henri Bloem's Wijnkoperij;;;;1;;;;;;1
AZ;Het Eerste Huis;;;;;;1;;;;1
AZ;Het Haagsche Schouw;;;;;;;;1;;1
AZ;Het Heden;;;;;;;1;;;1
AZ;Het Kabinet;;;;1;;;;;;1
AZ;Het Kookplein;;;;1;;;;;;1
AZ;Hogeschool Utrecht;;;;;;1;;;;1
AZ;Holding Beheermaatschappij Ropeni B.V.;;;;1;;;1;;;1
AZ;Holland Catering Specialisten Loc. Woudestein;;;;1;;;;;;1
AZ;Hotel Contact B.V.;;;;;;;;;1;1
AZ;Hotel/Restaurant Corona;;;;;;;;;1;1
AZ;Hotelschool The Hague;;;;1;;;;;;1
AZ;ICM Administratie B.V.;;;;;;1;;;;1
AZ;ICM Opleidingen & Trainingen B.V.;;;;;;1;;;;1
AZ;IMPAHLA B.V.;;;;;;1;;;;1
AZ;In Pace B.V.;;;;1;;;;;;1
AZ;ING Bank N.V.;;;;;;1;;;1;1
AZ;Institute of Protocol The Hague B.V.;;;;;;1;;;;1
AZ;Instituut voor Publieke Waarden B.V.;;;;;;1;;;;1
AZ;Intalent;;;;;1;1;;;;1
AZ;ISBW;;;;;;1;;;;1
AZ;Istana Indonesisch Restaurant;;;;1;;;;;;1
AZ;IT Management Group;;;;;;1;;;;1
AZ;Jochem Kin Werk-organisatie;;;;;;1;;;;1
AZ;Kaap Doorn B.V.;;;;;;1;;;;1
AZ;Kon. Ned. Veren. van Informatieprofessionals;;;;;;;;1;;1
AZ;Kon. Verenig. van Archivarissen in Nederland;;;;;;;;1;;1
AZ;Koninklijke Holl. Maatsch. der Wetenschappen;;;;;;;;1;;1
AZ;KSG B.V.;;;;;;1;;;;1
AZ;Kuijpers t.h.o.d.n. Run2Day Den Haag;;;;;;;1;;;1
AZ;La Lanterna;;;;;;;1;;;1
AZ;La Vina B.V.;;;;1;;;1;;;1
AZ;Landgoed de Horst;;;;;;1;;;;1
AZ;LeadersInformed B.V.;;;;;;1;;;;1
AZ;Little V Den Haag B.V.;;;;1;;;1;;;1
AZ;Logeion;;;;;;1;;1;;1
AZ;Lunchroom Royal Corner;;;;1;;;;;;1
AZ;MaartenMens;;;;;;1;;;;1
AZ;Maas OCD B.V.;;;;;;1;;;;1
AZ;Mainpress B.V.;;;;;;1;;;;1
AZ;MarktOnderzoekAssociatie.nl;;;;;;1;;1;;1
AZ;Maximum;;;;;;1;;;;1
AZ;MDI Consultants;;;;;;1;;;;1
AZ;Media Werkgroep;;;;;;1;;1;;1
AZ;Mies;;;;;;1;;;;1
AZ;ML Hospitality Exploitatie B.V.;;;;;;;;;1;1
AZ;Moeskops B.V.;;;;;;1;;;;1
AZ;Munckhof Regie;;;;;;;1;;;1
AZ;Nationale Handelsacademie B.V.;;;;;;1;;;;1
AZ;Ned. Gen.schap van Funct. Gegevensbescherming;;;;;;;;1;;1
AZ;Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;;1;;;;1
AZ;Nederlandse Vereniging voor wetgeving;;;;;;;;1;;1
AZ;NEVI-Purspective B.V.;;;;;;1;;1;;1
AZ;Nielsen Media Research B.V.;;;;;;;;1;;1
AZ;NIMA-Nederlands Instituut voor Marketing;;;;;;;;1;;1
AZ;NLJUG B.V.;;;;;;;;1;;1
AZ;Novotel Den Haag;;;;;;;;;1;1
AZ;NRC Handelsblad Weekeditie voor buitenland;;;;1;;;;;;1
AZ;Nsob;;;;;;1;;;;1
AZ;Opleidingscentrum Haaglanden B.V.;;;;;;1;;;;1
AZ;P&S Entertainment;;;;1;;;;;;1
AZ;Park-line B.V.;;;;;;;;;1;1
AZ;PBLQ B.V.;;;;;;1;;;;1
AZ;PDS Professional Driving Solutions B.V.;;;;;;1;;;;1
AZ;Phoenix Opleidingen;;;;;;1;;;;1
AZ;Plein 9 A B.V.;;;;1;;;;;;1
AZ;Public Partners B.V.;;;;;;1;;;;1
AZ;PVO VESEC;;;;;;1;;;;1
AZ;Raf Beeld en Geluid;;;;;;1;;;;1
AZ;Real-life Xcape;;;;;;;1;;;1
AZ;Restaurant Bo&Ro B.V.;;;;1;;;;;;1
AZ;Restaurant De Basiliek B.V.;;;;1;;;1;;;1
AZ;Ristorante Trattoria Impero Romano;;;;1;;;;;;1
AZ;Rondvaartbedrijf Zilvermeeuw B.V.;;;;;;;1;;;1
AZ;Sant� Horeca Beheer B.V.;;;;;;;1;;;1
AZ;SBI Training en Advies/FNV Formaat B.V.;;;;;;1;;;;1
AZ;Schworks;;;;;;1;;;;1
AZ;ScienceWorks B.V.;;;;;;1;;;;1
AZ;Scrum Company B.V.;;;;;;1;;;;1
AZ;SecureLink Nederland B.V.;;;;;;1;;;;1
AZ;Sellier & V. der Laan h.o.d.n. Bagels & Beans;;;;1;;;;;;1
AZ;Servitect B.V.;;;;;;1;;;;1
AZ;Simon Peter Been;;;;;;;;1;;1
AZ;Sioo B.V.;;;;;;1;;;;1
AZ;Skils B.V.;;;;;;1;;;;1
AZ;Slagerij Dungelmann B.V.;;;;1;;;;;;1
AZ;SNR Schouten & Nelissen Recovery B.V.;;;;;;1;;;;1
AZ;SolBeach B.V.;;;;;;;1;;;1
AZ;Sporttainment Center De Uithof B.V.;;;;;;;1;;;1
AZ;SRM Aktiviteiten B.V.;;;;;;1;;;;1
AZ;SRM Communicatie B.V.;;;;;;1;;;;1
AZ;Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;;1;;;;1
AZ;Stichting Aanbestedingsrecht;;;;;;;;1;;1
AZ;Stichting Continuïteit Schrijversvakschool;;;;;;1;;;;1
AZ;Stichting E.S.I.;;;;;;1;;;;1
AZ;Stichting Fonds Hartman;;;;;;;;1;;1
AZ;Stichting Hilversum Media Campus;;;;;;1;;;;1
AZ;Stichting Humanity House;;;;;;1;;;;1
AZ;Stichting Instock;;;;;;;1;;;1
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;;;1;;;;1;;1
AZ;Stichting Nexus Instituut;;;;;;;;1;;1
AZ;Stichting Verhalenhuis BelvÃ©dÃ¨re;;;;1;;;;;;1
AZ;Stoelmassage op locatie Roemers;;;;;;;1;;;1
AZ;Stompcity-Music;;;;;;;1;;;1
AZ;SurLinio B.V.;;;;;;1;;;;1
AZ;Suzanne van Veen Training & Coaching;;;;;;1;;;;1
AZ;t Goude Hooft Exploitatie B.V.;;;;1;;;;;;1
AZ;Taat & Friends B.V.;;;;1;;;1;;;1
AZ;Tapas Bar Restaurant Limon;;;;;;;1;;;1
AZ;Taverne Meer en Bosch B.V.;;;;;;;1;;;1
AZ;Tezet Business Gifts B.V.;;;;;;;1;;;1
AZ;The Hague Investment VIII C.V.;;;;;;1;;;;1
AZ;The Internet Academy;;;;;;1;;;;1
AZ;Tijdwinst2014;;;;;;1;;;;1
AZ;Tilkema Horeca B.V.;;;;1;;;;;;1
AZ;TOPdesk Nederland B.V.;;;;;;1;;;;1
AZ;Top-Recreatie;;;;;;;1;;;1
AZ;Training4U;;;;;;1;;;;1
AZ;Tramrestaurant Hoftrammm B.V.;;;;1;;;;;;1
AZ;TVHG Budget Randstad II B.V.;;;;;;;;;1;1
AZ;Umami Restaurant B.V.;;;;1;;;;;;1
AZ;Vakmedianet Management B.V.;;;;;;1;;;;1
AZ;Van der Hilst Communicatie-Opleidingen B.V.;;;;;;1;;;;1
AZ;Van Elteren Food;;;;;;;1;;;1
AZ;VANWAARDE Documentenwacht B.V.;;;;;;;;1;;1
AZ;Ver. Yng Prof. v.d. Stg. Stud. & Werk op Maat;;;;;1;;;;;1
AZ;Vereniging JuristenRijk;;;;;;;;1;;1
AZ;Vereniging voor Overheidsmanagement;;;;;;;;1;;1
AZ;Verhuurbedrijf Paul B.V.;;;;;;;1;;;1
AZ;Vijverberg Juristen B.V.;;;;;;1;;;;1
AZ;W.E. B.V.;;;;;;;1;;;1
AZ;Wat is Wijsheid.nu;;;;;;1;;;;1
AZ;Weka B.V.;;;;;;1;;;;1
AZ;Wijnspijs B.V.;;;;;;;1;;;1
AZ;Wizin;;;;;;1;;;;1
AZ;women development boutique;;;;;;1;;;;1
AZ;Woudschoten Conferentiecentrum B.V.;;;;;;1;;;;1
BZ;(ICG) International Crisis Group Br;;;;;;;;;1;1
BZ;5hart-IT Opleidingen B.V.;;;;;;1;;;;1
BZ;7AM Den Haag B.V.;;;;;;;1;;;1
BZ;A. v. Huijstee-de Mildt Opl., Train. & Advies;;;;;;1;;;;1
BZ;A.J.M. van Rhee;;;;;;1;;;;1
BZ;Absolute Adventure Safaris Nairobi;;;;;;;;;1;1
BZ;ACACIA PREMIER HOTEL KISUMU;;;;;;;;;1;1
BZ;Academia Aemstel B.V.;;;;;;1;;;;1
BZ;Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
BZ;Academie voor de Rechtspraktijk B.V.;;;;;;1;;;;1
BZ;Academie Voor Organisatiecultuur So;;;;;;1;;;;1
BZ;Accretor;;;;;;1;;;;1
BZ;Ace Performance Haarlem;;;;;;1;;;;1
BZ;Agile Communicatie;;;;;;1;;;;1
BZ;Ak Ay Gida Rescate Hotels Ankara;;;;;;;;;1;1
BZ;Alex v. Groningen Management Consultants B.V.;;;;;;1;;;;1
BZ;Alfine Uitvaarten;;;1;;;;;;;1
BZ;Alliance Francaise de La Haye;;;;;;1;;;;1
BZ;Alliance Francaise Luanda;;;;;;1;;;;1
BZ;Alrijne Ziekenhuis Leiden;;;1;;;;;;;1
BZ;ALT HOTELS BY LE GERMAIN;;;;;;;;;1;1
BZ;Amaze Escape Events;;;;;;;1;;;1
BZ;Amazonas Hot S.A. Quito;;;;;;;;;1;1
BZ;Ambassador Hotel Jerusalem;;;;;;;;;1;1
