NUMMER,PLAATS,AFWIJKING,AFLEZING,MAAIVELD,STIJGBUIS,JAARNR,WEEKNR,DDMUTATIE,STATUS,JAAR,INDICATIE_ACTIEF,DD_VERVALLEN,INDICATIENR,longitude,latitude,RD_X,RD_Y,WIJKBUURTNR,WIJK,BUURTNAAM,GEMEENTE_CODE,GEMEENTE_NAAM,LANDCODE,LANDNAAM
7005,Elzendreef 1,,1,-2.88,-2.16,2015,22,28/05/2015,V,2015,1,,,4.346759439,51.93989669,83455.786,439559.836,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7019,Malusdreef 8,,1,-1.94,-1.995,2015,22,28/05/2015,V,2015,1,,,4.347861037,51.93898851,83529.986,439457.73,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7020,Esdoorndreef 22,,1,-2.06,-2.126,2015,22,28/05/2015,V,2015,1,,,4.347260458,51.93801152,83487.156,439349.645,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7018,Acaciadreef 36,,1,-1.91,-1.941,2015,22,28/05/2015,V,2015,1,,,4.345771079,51.93759459,83384.177,439304.734,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7009,Kornoeljedreef  73,,1,-2.26,-2.291,2015,22,28/05/2015,V,2015,1,,,4.345453436,51.9364971,83360.583,439182.967,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7011,Lariksdreef 27,,1,-1.85,-1.884,2015,22,28/05/2015,V,2015,1,,,4.342247819,51.93547419,83138.724,439072.348,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7012,Lariksdreef 42,,1,-1.91,-1.945,2015,22,28/05/2015,V,2015,1,,,4.340835502,51.93601634,83042.589,439134.051,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7010,Lariksdreef 28,,1,-2.05,-2.094,2015,22,28/05/2015,V,2015,1,,,4.341561847,51.93634645,83093.019,439170.052,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7017,Cederdreef 2,,1,-1.98,-2.045,2015,22,28/05/2015,V,2015,1,,,4.341441466,51.93664154,83085.229,439202.996,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7016,Cederdreef 35,,1,-2.1,-2.194,2015,22,28/05/2015,V,2015,1,,,4.340347082,51.93711368,83010.822,439256.598,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7015,Kastanjedreef 24,,1,-2.05,-2.073,2015,22,28/05/2015,V,2015,1,,,4.339375717,51.93713768,82944.138,439260.23,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7014,Cipressendreef 1,,1,-2.06,-2.09,2015,22,28/05/2015,V,2015,1,,,4.339085988,51.93637787,82923,439176,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7013,Cipressendreef 29,,1,-2.06,-2.079,2015,22,28/05/2015,V,2015,1,,,4.337434832,51.93630031,82809.454,439169.011,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7003,Platanendreef 166,,1,-2.06,-2.206,2015,22,28/05/2015,V,2015,1,,,4.336128579,51.9371784,82721.159,439267.984,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7008,Platanendreef 2,,1,-2.13,-2.271,2015,22,28/05/2015,V,2015,1,,,4.343094559,51.93992002,83204.096,439566.045,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7006,Hazelaardreef 17,,1,-2.15,-2.259,2015,22,28/05/2015,V,2015,1,,,4.343944524,51.9415065,83265.046,439741.679,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7007,Lindendreef 81,,0,-2.01,-2.148,2015,22,28/05/2015,V,2015,1,,,4.342070849,51.93828392,83131.127,439385.065,7.1,Holy Noord,DREVENBUURT,622,Vlaardingen,NL,Nederland
7001,Fluitekruid 67/74,,1,2.03,-2.24,2015,22,28/05/2015,V,2015,1,,,4.339600011,51.93362621,82953.833,438869.409,7.2,Holy Noord,KRUIDENBUURT,622,Vlaardingen,NL,Nederland
7004,Robert Schumanring,,1,-1.88,-1.923,2015,22,28/05/2015,V,2015,1,,,4.342762818,51.93148187,83167.626,438627.752,7.3,Holy Noord,LOPER NOORD,622,Vlaardingen,NL,Nederland
