FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.6324,88280,420092,9283,"Duiker RW4 / hm. 91,1+10",43E-113,43E-113-01,"Duiker RW4 / hm. 91,1+10",Duiker onder de rijksweg 4 (route A29),Duiker,Droog,HWN,A29,in RW,88.28,420.092,1965,43E-113-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (88280 420092)
duiker.6325,88376,420841,9284,"Duiker RW4 / hm.90,3+50",43E-114,43E-114-01,"Duiker RW4 / hm.90,3+50",Duiker onder de rijksweg 4 (route A29),Duiker,Droog,HWN,A29,in RW,88.376,420.841,1965,43E-114-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (88376 420841)
duiker.6326,94987,430598,9285,Knooppunt Vaanplein,37H-002,37H-00219,Vaanplein duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A29,in RW,94.987,430.598,1969,37H-002-19,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (94987 430598)
duiker.6333,126709,454850,9297,Molenvliet,31G-106,31G-106-03,Molenvliet,Duiker in de Molenvliet onder de parallelweg,Duiker,Droog,HWN,A12,niet RW,126.709,454.85,2010,31G-127-00,885,PROVINCIE,885,,,POINT (126709 454850)
duiker.6339,230328,508531,9313,Duiker onder de rijksweg ,22D-355,22D-355-01,Duiker onder de rijksweg,Duiker onder de rijksweg,Duiker,Droog,HWN,N36,in RW,230.328,508.531,2010,22D-355-01,1678,RWS ON / ON District Oost,1678,,,POINT (230328 508531)
duiker.6340,230983,508618,9314,Duiker onder de rijksweg ,22D-356,22D-356-01,Duiker onder de rijksweg,Duiker onder de rijksweg,Duiker,Droog,HWN,N36,in RW,230.983,508.618,2010,22D-356-01,1678,RWS ON / ON District Oost,1678,,,POINT (230983 508618)
duiker.6341,230949,508870,9315,Duiker onder het Zwarte Pad,22D-357,22D-357-01,Duiker onder het Zwarte Pad,Duiker onder het Zwarte Pad,Duiker,Droog,HWN,N36,niet RW,230.949,508.87,2010,22D-357-01,1678,RWS ON / ON District Oost,1678,,,POINT (230949 508870)
duiker.6345,97052,450265,9320,Nieuwe Hoefweg,30H-003,30H-00312,Boezemvaart,Duiker in de Boezemvaart onder de af- en toerit,Duiker,Droog,HWN,A12,in RW,97.052,450.265,2009,30H-107-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (97052 450265)
duiker.6355,179077,577529,9331,Duiker in Boksumersoal,05H-116,05H-116-01,Duiker in Boksumersoal,Duiker in de Boksumersoal,Duiker,Droog,HWN,N31,in RW,179.077,577.529,2014,05H-116-01,1686,RWS NN / NN District West,1686,,,POINT (179077 577529)
duiker.6359,103833,471172,9338,Duiker Lisserweg,31A-119,31A-119-02,Duiker Lisserweg,Duiker naast de Lisserweg,Duiker,Droog,HWN,A4,niet RW,103.833,471.172,2010,31A-119-02,1666,RWS WNN / WNN District Zuid,1666,,,POINT (103833 471172)
duiker.6382,125743,476088,9361,Duiker 7,25G-221,25G-221-01,Duiker 7,Duiker onder rijksweg 2,Duiker,Droog,HWN,A2,in RW,125.743,476.088,2009,25G-221-01,1676,RWS MN / MN District Zuid,1676,,,POINT (125743 476088)
duiker.6383,126098,475105,9362,Duiker 10,25G-222,25G-222-01,Duiker 10,Duiker  onder rijksweg 2,Duiker,Droog,HWN,A2,in RW,126.098,475.105,2009,25G-222-01,1676,RWS MN / MN District Zuid,1676,,,POINT (126098 475105)
duiker.6384,126386,473887,9363,Duiker 18,31E-131,31E-131-01,Duiker 18,Duiker  onder rijksweg 2,Duiker,Droog,HWN,A2,in RW,126.386,473.887,2009,31E-131-01,1676,RWS MN / MN District Zuid,1676,,,POINT (126386 473887)
duiker.6385,127678,464206,9364,Duiker 51,31E-132,31E-132-01,Duiker 51,Duiker onder de rijksweg,Duiker,Droog,HWN,A2,in RW,127.678,464.206,2005,31E-132-00,1676,RWS MN / MN District Zuid,1676,,,POINT (127678 464206)
