OBJECTID,GPGIDENT,GPGZMRPL,GPGWNTPL,IWS_GPGONDP,IWS_GPGBOVP,IWS_GPGAFWONDP,IWS_GPGAFWBOVP,HOOFDSTROOMGEBIED,DEELSTROOMGEBIED,STROOMGEBIED,GLOBALID,INSP_GEBVOLGNR,IWS_MEMO,Shape__Area,Shape__Length
1,WA274,7.55,7.15,7.15,7.55,,,2,22,9,d725c190-6d98-47b3-a51a-f388b1323dc9,ZW.250,,1614765.42317963,8544.52652237191
2,WA276,6.42,6.3,6.3,6.42,,,2,22,9,4d4e1443-a3a6-4d6b-b161-a741c3f015dd,ZW.250,,1377479.35866547,8069.45968154005
3,SM093,12,11.7,11.7,12,,,2,10,11,9aee3e90-ad22-424e-983a-b49428facffd,ZW.250,,256988.378715515,2836.92647198436
4,VL274,3.35,3.1,3.1,3.35,,,1,20,7,00b8b781-3e4e-4ff6-8110-bfccfa987738,ZR.246,,40839.6959381104,1126.0351141565
5,WA224,5.8,5.8,5.8,5.8,,,2,22,9,43305722-d6b0-4d37-97ee-e1b5ee18f92d,ZW.250,,677351.43963623,4564.98005011382
6,81211,8.6,8.25,8.25,8.6,,,2,10,11,c9fcbace-dcac-4a5d-b19e-78885209e5d8,ZW.250,,3470424.66590118,17915.6194286773
7,VH2117,0.95,0.55,0.55,0.95,,,1,19,1,d11460c0-23c9-4f94-b32b-f6bc9c6b3e0a,ZR.246,,227732.915504456,2419.89102255302
8,VH2118,-1.25,-1.45,-1.45,-1.25,,,1,15,1,1940a82f-ceb6-4aac-8289-f184f7ab257a,ZR.246,,241040.879188538,2223.66722775952
9,879,4.44,4.44,4.44,4.44,,,4,35,19,4860436b-a384-42ec-ac51-d8c52133f1d1,ZW.241,,807354.644081116,4244.94808275177
10,171,-0.5,-0.9,-0.9,-0.5,,,5,76,13,43e64046-a6dc-4f00-8d5a-825f32f01c3b,IJ.246,,378108.123245239,3994.93498092508
11,882,-1.25,-1.45,-1.45,-1.25,,,5,42,14,4e886b0c-be90-4b9d-822e-ebfa925a3e30,ZR.248,,148901.197662354,2571.6813156447
12,883,-0.75,-0.95,-0.95,-0.75,,,5,42,14,6a5f1c47-db21-45f2-a3dc-ea6f0a2327a3,ZR.248,,772085.607933044,9137.62329668599
13,74,-1.05,-1.05,-1.05,-1.05,,,5,42,14,8afce55f-f1b3-4e4f-aa8a-2f951e200b4e,ZR.248,,170256.292442322,2372.43030945251
