FID,dcpstate,repcode,uwwcode,dcpcode,dcpname,dcpnuts,dcplatitud,dcplongitu,dcpwaterbo,dcpirrigat,dcptypeofr,rcacode,dcpsurface,dcpwater_1,dcpnotaffe,dcpmsprovi,dcpcomacce,dcpgroundw,dcpreceivi,dcpwfdsubu,dcpwfdrbd,dcpwater_2,dcpgroun_1,dcprecei_1,dcpwfdsu_1,dcpwfdrbdr,dcpbeginli,dcpendlife,dcpremarks,gdb_geomattr_data,shape
rsa__lozingspunten.1,1,NL2020,NL01008,NLDP01008,DISCHARGE POINT  UWWTP STADSKANAAL,NL111,53.0124,6.956833,FW, ,A58,NL2014,1, , , , , ,NL28102,NLEM,NLEM, , , , , , , , ,,POINT (53.012400000000014 6.956833329999995)
rsa__lozingspunten.2,1,NL2020,NL01010,NLDP01010,DISCHARGE POINT  UWWTP TER APEL,NL111,52.8793,7.099567,FW, ,A58,NL2014,1, , , , , ,NL28160,NLEM,NLEM, , , , , , , , ,,POINT (52.8793 7.099566659999994)
rsa__lozingspunten.3,1,NL2020,NL01011,NLDP01011,DISCHARGE POINT  UWWTP UITHUIZERMEEDEN,NL113,53.4077,6.73755,FW, ,A58,NL2014,1, , , , , ,NL24181,NLRN,NLRN, , , , , , , , ,,POINT (53.40769999999998 6.737549999999999)
rsa__lozingspunten.4,1,NL2020,NL01024,NLDP01024,DISCHARGE POINT  UWWTP ULRUM,NL113,53.35235,6.342917,FW, ,A58,NL2014,1, , , , , ,NL24015,NLRN,NLRN, , , , , , , , ,,POINT (53.35235 6.342916660000014)
rsa__lozingspunten.5,1,NL2020,NL01025,NLDP01025,DISCHARGE POINT  UWWTP ZUIDHORN,NL113,53.252733,6.382367,FW, ,A58,NL2014,1, , , , , ,NL24134,NLRN,NLRN, , , , , , , , ,,POINT (53.25273333000001 6.382366660000002)
rsa__lozingspunten.6,1,NL2020,NL01026,NLDP01026,DISCHARGE POINT  UWWTP HOOGEZAND,NL113,53.168233,6.774333,FW, ,A58,NL2014,1, , , , , ,NL28005,NLEM,NLEM, , , , , , , , ,,POINT (53.16823333000002 6.77433332999999)
rsa__lozingspunten.7,1,NL2020,NL01027,NLDP01027,DISCHARGE POINT  UWWTP OUDE PEKELA,NL111,53.114867,7.0291,FW, ,A58,NL2014,1, , , , , ,NL24925,NLEM,NLEM, , , , , , , , ,,POINT (53.11486666000002 7.029100000000028)
rsa__lozingspunten.8,1,NL2020,NL01028,NLDP01028,DISCHARGE POINT  UWWTP ONDERDENDAM,NL113,53.32665,6.593917,FW, ,A58,NL2014,1, , , , , ,NL24082,NLRN,NLRN, , , , , , , , ,,POINT (53.32664999999997 6.593916659999991)
rsa__lozingspunten.9,1,NL2020,NL01029,NLDP01029,DISCHARGE POINT  UWWTP LEEK,NL113,53.150133,6.36985,FW, ,A58,NL2014,1, , , , , ,NL28588,NLRN,NLRN, , , , , , , , ,,POINT (53.15013333000002 6.369849999999985)
rsa__lozingspunten.10,1,NL2020,NL01030,NLDP01030,DISCHARGE POINT  UWWTP WINSUM,NL113,53.33255,6.5037,FW, ,A58,NL2014,1, , , , , ,NL24081,NLRN,NLRN, , , , , , , , ,,POINT (53.332550000000026 6.503699999999981)
