FID,bestem_zan,naamgebied,status,in_gebruik,m__windiep,volgorde,gebruik,diepte,regio,subregio,opp_m2,vol_new_m3,vol_m3_mvp,factor,alternatie,mijn_mer_s,objectnaam,vergun_h_1,regio_loca,volgorde_1,gdb_geomattr_data,shape
zoekgebied_mer_2018_2027.1,Commercieel,S8_ZC_Di02,Vergund,Actief,6,S8-4,geschikt,6,Zeeuwse delta,Walcheren,4518343.65649,5819026.59778,3126658,1.92,kustwaarts,onbeperkt,"S8C, S8E","Zandhandel Faasse bv, Van Ouwerkerk bv & Zeezand II bv",Walcheren en Z. Vlaanderen,J59; J60; J62_J59,,"POLYGON ((521340.21439999994 5720417.357899999, 521243.90529999975 5720437.012, 521190.0599999996 5720448.000399999, 521171.2795000002 5720434.814099999, 520649.7446999997 5720771.271600001, 520114.3660000004 5720381.4418, 519766.23900000006 5720632.2973, 521736.8086000001 5721989.639699999, 523744.1958999997 5723372.3423, 523979.5060999999 5723167.5778, 523880.48599999957 5723101.905099999, 522437.3236999996 5722144.762, 521953.19130000006 5721821.747099999, 522134.94350000005 5721770.483200001, 522890.97890000045 5721552.4936, 522914.0003000004 5721335.986500001, 522924.26800000016 5721205.400599999, 523593.2619000003 5720984.1875, 523380.3870000001 5720698.6269000005, 523568.5088999998 5720643.794299999, 523297.8487999998 5720312.583799999, 523055.87600000016 5720067.234300001, 521694.4082000004 5720350.183800001, 521340.21439999994 5720417.357899999))"
zoekgebied_mer_2018_2027.2,Commercieel,S7_ZC_Di04,Vergund,Actief,6,S7-14,geschikt,6,Zeeuwse delta,Walcheren,6020141.20334,31536430,15469533,1.92,kustwaarts,onbeperkt,S7C,"Van Ouwerkerk bv, DC River BV, Scelveringhe Scheepvaart bv, Zandhandel Faasse BV, NV Charles Kesteleyn, Zeezand II bv, Agro Maritiem & trading bv, De*",Walcheren en Z. Vlaanderen,K77; K78,,"POLYGON ((514829.0103000002 5716242.2804000005, 515086.4194 5716062.5635, 515510.7279000003 5715340.322799999, 514236.7505000001 5715606.2412, 514235.6911000004 5715606.462400001, 513458.38960000034 5715768.476600001, 513169.3362999996 5715828.9509, 511567.6311999997 5716163.139599999, 511884.65859999973 5717714.249500001, 512003.8372999998 5718254.6633, 513647.77699999977 5717931.3312, 513690.5338000003 5717886.6129, 513989.78390000015 5717290.3927, 514047.2271999996 5717175.9428, 514272.76099999994 5716834.0615, 514829.0103000002 5716242.2804000005))"
zoekgebied_mer_2018_2027.3,Commercieel,S7_ZC_Di02,Vergund,Actief,6,S7-2,geschikt,6,Zeeuwse delta,Walcheren,859576.423121,5137676.08186,2686179,1.92,kustwaarts,onbeperkt,S7N,"MCR-Shipping bv, DC River bv, Zandhandel Faasse bv, NV Charles Kesteleyn, Van Ouwerker bv, & Deme Building Materials nv",Walcheren en Z. Vlaanderen,J61,,"POLYGON ((519998.1464999998 5719611.1646, 519344.5931000002 5719820.940199999, 520114.3660000004 5720381.4418, 520649.7446999997 5720771.271600001, 521171.2795000002 5720434.814099999, 519998.1464999998 5719611.1646))"
zoekgebied_mer_2018_2027.4,Commercieel,S7_ZC_Di11,Vergund,Actief,6,S7-10,geschikt,6,Zeeuwse delta,Walcheren,8786076.6455,52721370,27456485,1.92,kustwaarts,onbeperkt,S7I,"Van Ouwerkerk bv, Agro Maritiem & Trading bv, DC River bv, Scelveringhe Scheepvaart bv, Zandhandel Faasse bv, NV Charles Kesteleyn & Zeezand II bv",Walcheren en Z. Vlaanderen,J68,,"POLYGON ((517779.84509999957 5722605.330399999, 518197.1838999996 5722314.070800001, 518485.4293999998 5722112.904999999, 516622.65749999974 5720326.740700001, 515712.2001 5719456.2349, 514207.4610000001 5721548.908299999, 516297.4446999999 5723639.8927, 517369.5981999999 5722891.6402, 517779.84509999957 5722605.330399999))"
zoekgebied_mer_2018_2027.5,Commercieel,S7_ZC_Di17,Vergund,Actief,6,S7-15,geschikt,6,Zeeuwse delta,Walcheren,716397.896463,6475244.5146,2238744,1.92,kustwaarts,onbeperkt,S7W,Zandhandel Faasse bv & Van Ouwerkerk bv,Walcheren en Z. Vlaanderen,K79,,"POLYGON ((513194.42810000014 5718616.5932, 513449.0133999996 5718258.5814, 513647.77699999977 5717931.3312, 512443.7516000001 5718292.943700001, 512612.73790000007 5719374.2038, 512877.5903000003 5719033.5878, 513194.42810000014 5718616.5932))"
zoekgebied_mer_2018_2027.6,Commercieel,S7_ZC_Di06a,Vergund,Actief,6,S7-21,geschikt,6,Zeeuwse delta,Walcheren,19746735.4094,111048500,57754809,1.92,kustwaarts,onbeperkt,"S7G, S7G1 en S7E","Agro Maritiem & Trading bv, DC River bv, Scelveringhe Scheepvaart bv, Zandhandel Faasse bv, NV Charles Kesteleyn, Zeezand II bv, van Ouwerkerk bv, De*",Walcheren en Z. Vlaanderen,K83a; K83b,,"POLYGON ((504065.9576000003 5713309.181399999, 507468.2812000001 5716835.0327, 507548.0689000003 5716835.1625, 508795.7319 5716837.189300001, 509287.9879999999 5716426.5393, 510218.97080000024 5715649.894400001, 511204.2578999996 5714827.9464, 511455.7131000003 5714618.1768, 510399.9911000002 5713924.959000001, 508341.1059999997 5712573.0349, 507032.72869999986 5712518.117699999, 506631.8570999997 5712505.435799999, 505599.29640000034 5712456.0633000005, 504201.72169999965 5712388.870100001, 504075.61429999955 5712508.231899999, 504065.9576000003 5713309.181399999))"
zoekgebied_mer_2018_2027.7,Kustlijnzorg,S7_ZD_Di04b,Vergund,Actief,6,S7-13,deels,2,Zeeuwse delta,Walcheren,1409018.36478,2818037.41018,1467728,1.92,kustwaarts,beperkt,S7AB,RWS-PPO-ICM-KLZ,Walcheren en Z. Vlaanderen,K76c,,"POLYGON ((513169.3362999996 5715828.9509, 512157.51130000036 5714911.714400001, 511314.7860000003 5714986.057700001, 511567.6311999997 5716163.139599999, 513169.3362999996 5715828.9509))"
zoekgebied_mer_2018_2027.8,Kustlijnzorg,S7_ZD_Di04a,Vergund,Actief,6,S7-12,deels,2,Zeeuwse delta,Walcheren,149414.242631,299562.438112,156022,1.92,kustwaarts,beperkt,"S7AB, S7T",RWS-PPO-ICM-KLZ,Walcheren en Z. Vlaanderen,K76a,,"POLYGON ((513444.9146999996 5715582.619999999, 513458.38960000034 5715768.476600001, 514235.7037000004 5715605.679, 514238.8502000002 5715413.347999999, 513444.9146999996 5715582.619999999))"
zoekgebied_mer_2018_2027.9,Commercieel,S7_ZC_Di08,Vergund,Actief,6,S7-11,deels,2,Zeeuwse delta,Walcheren,363820.604159,578455.27865,137255,1.92,kustwaarts,beperkt,S7M,"MCR-Shipping bv, Scelveringhe Scheepvaart bv, Zandhandel Faasse bv, van Ouwerkerk bv & Deme Building Materials nv",Walcheren en Z. Vlaanderen,K74b; K75b,,"POLYGON ((516088.0911999997 5715456.773499999, 516276.1431 5715415.179099999, 515600.10450000037 5715158.987299999, 515599.1431999998 5715160.938999999, 514238.8502000002 5715413.347999999, 514235.7037000004 5715605.679, 515511.66779999994 5715338.577299999, 515906.38889999967 5715546.582, 516088.0911999997 5715456.773499999))"
zoekgebied_mer_2018_2027.10,Combi,S7_CO_ZZ02,Nieuw,Nieuw,6,S7-22,geschikt,6,Zeeuwse delta,Walcheren,1338437.77897,3416750.64898,4182022,1.92,zeewaarts,onbeperkt,S7AC, ,Walcheren en Z. Vlaanderen,K84a,,"POLYGON ((505599.29640000034 5712456.0633000005, 506631.8570999997 5712505.435799999, 507032.72869999986 5712518.117699999, 505129.5044999998 5711491.425000001, 504201.72169999965 5712388.870100001, 505599.29640000034 5712456.0633000005))"
