FID,DD_BIJGEWERKT,ID,BOOMSOORT,PLANTJAAR,MONUMENTAAL,WAARDEVOL,HERDENKINGSBOOM,BOOMTYPE,STADSDEEL,SNOEICYCLUS,SNOEIPLANNING,STAMDIAMETER,STANDPLAATS,WIJKEN,STRAATNAAM,KAPVERGUNNING,KROONDIAMETER,PARTICIPATIE,HOOGTE,GROEIPLAATSVERBETERING,BOOMSTRUCTUUR,TOEKOMSTVERWACHTING,BESCHRIJVING_QRCODE,HOOGTE_EXACT,GEOMETRIE
GRN_BOMEN.64073,2023-02-02,64073,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,18 tot 24 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180479.214 426293.269)
GRN_BOMEN.64074,2023-02-02,64074,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Verharding,,,,11,,18 tot 24 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180487.665 426299.25)
GRN_BOMEN.64075,2023-02-02,64075,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Verharding,,,,11,,18 tot 24 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180496.266 426305.077)
GRN_BOMEN.64076,2023-02-02,64076,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,18 tot 24 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180504.945 426309.499)
GRN_BOMEN.64077,2023-02-02,64077,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,18 tot 24 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180514.531 426312.725)
GRN_BOMEN.64078,2023-02-02,64078,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,18 tot 24 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180526.078 426313.717)
GRN_BOMEN.64079,2023-02-02,64079,Populus x canadensis X,1991,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.3 tot 0.5 m,Gras: Schraal gras 2x,,,,8,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,16.87999916,POINT (180535.37 426315.574)
GRN_BOMEN.64064,2023-02-02,64064,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180521.494 426194.029)
GRN_BOMEN.64065,2023-02-02,64065,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180529.581 426194.715)
GRN_BOMEN.64060,2023-02-02,64060,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180467.342 426246.4)
GRN_BOMEN.64058,2023-02-02,64058,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180461.206 426251.729)
GRN_BOMEN.64059,2023-02-02,64059,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180483.168 426220.305)
GRN_BOMEN.64061,2023-02-02,64061,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180471.433 426240.562)
GRN_BOMEN.64062,2023-02-02,64062,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180475.349 426233.602)
GRN_BOMEN.64063,2023-02-02,64063,Populus x canadensis X,1980,,,,Niet vrij uitgroeiend,,1x/4 jaar,,0.5 tot 1.0 m,Gras: Schraal gras 2x,,,,11,,12 tot 18 m,,Hoofdstructuur,Normaal (> 15 jaar),,0,POINT (180479.365 426226.874)
