FID,fi_code_p,gdb_geomattr_data,shape
bomen.1,Boom5+,,POINT (177446.4450000003 312207.53400000185)
bomen.2,Boom5+,,POINT (176848.86199999973 312213.4510000013)
bomen.3,Boom5+,,POINT (177456.09800000116 312215.8220000006)
bomen.4,Boom5+,,POINT (177588.61199999973 312216.05799999833)
bomen.5,Boom5+,,POINT (177486.16099999845 312216.8990000002)
bomen.6,Boom5+,,POINT (177438.6169999987 312218.2580000013)
bomen.7,Boom5+,,POINT (177521.41800000146 312220.33300000057)
bomen.8,Boom5+,,POINT (176843.29100000113 312225.4609999992)
bomen.9,Boom5+,,POINT (177516.56899999827 312226.28500000015)
bomen.10,Boom5+,,POINT (176853.9149999991 312226.5450000018)
bomen.11,Boom20+,,POINT (177428.81500000134 312229.5529999994)
bomen.12,Boom5+,,POINT (177443.07400000095 312231.5460000001)
bomen.13,Boom5+,,POINT (177489.7659999989 312232.04300000146)
bomen.14,Boom5+,,POINT (177476.8440000005 312234.78400000185)
bomen.15,Boom5+,,POINT (176852.8350000009 312237.40300000086)
bomen.16,Boom5+,,POINT (176841.66699999943 312237.69900000095)
bomen.17,Boom5+,,POINT (177469.11400000006 312238.51999999955)
bomen.18,Boom5+,,POINT (177478.7580000013 312238.97399999946)
bomen.19,Boom5+,,POINT (176873.02800000086 312242.7980000004)
bomen.20,Boom5+,,POINT (177589.10700000077 312248.78599999845)
bomen.21,Boom5+,,POINT (177464.59299999848 312249.0850000009)
bomen.22,Boom5+,,POINT (176851.03299999982 312250.1009999998)
bomen.23,Boom5+,,POINT (176872.9050000012 312251.81799999997)
bomen.24,Boom5+,,POINT (177589.44200000167 312257.8740000017)
bomen.25,Boom5+,,POINT (176859.8660000004 312258.5540000014)
bomen.26,Boom5+,,POINT (176843.96299999952 312259.2509999983)
bomen.27,Boom5+,,POINT (177593.0249999985 312267.94299999997)
bomen.28,Boom5+,,POINT (177461.16699999943 312268.90900000185)
bomen.29,Boom5+,,POINT (177437.79300000146 312271.3509999998)
bomen.30,Boom5+,,POINT (176845.1719999984 312271.76300000027)
bomen.31,Boom5+,,POINT (177405.08999999985 312274.2270000018)
bomen.32,Boom5+,,POINT (176856.46400000155 312274.70699999854)
bomen.33,Boom5+,,POINT (177463.00299999863 312276.4549999982)
bomen.34,Boom5+,,POINT (177454.6889999993 312276.8530000001)
bomen.35,Boom5+,,POINT (177594.97800000012 312277.98800000176)
bomen.36,Boom5+,,POINT (177385.1160000004 312279.0720000006)
bomen.37,Boom5+,,POINT (177448.50600000098 312282.7899999991)
bomen.38,Boom5+,,POINT (177364.7109999992 312283.03400000185)
bomen.39,Boom5+,,POINT (177563.91099999845 312284.0689999983)
bomen.40,Boom5+,,POINT (177596.93100000173 312288.0320000015)
bomen.41,Boom5+,,POINT (177366.15900000185 312288.7109999992)
bomen.42,Boom5+,,POINT (177377.02899999917 312288.8289999999)
bomen.43,Boom5+,,POINT (177444.21400000155 312290.0170000009)
bomen.44,Boom5+,,POINT (177411.90700000152 312291.938000001)
bomen.45,Boom5+,,POINT (177363.44399999827 312292.58199999854)
bomen.46,Boom5+,,POINT (176833.55600000173 312294.6409999989)
bomen.47,Boom5+,,POINT (176933.3500000015 312298.15300000086)
bomen.48,Boom5+,,POINT (177598.6339999996 312299.23699999973)
bomen.49,Boom5+,,POINT (177367.53200000152 312299.6889999993)
bomen.50,Boom5+,,POINT (177460.44999999925 312302.8579999991)
