ID,VOLGNUMMER,BEPERKINGTYPE,ORGAAN,KENMERK,REGISTERNUMMER,OMSCHRIJVING,DATUM_BESLUIT,DATUM_INWERKING,DATUM_EINDE,AARD,STATUS,inside_x,inside_y,inside_lat,inside_lon
1483,3,"WU - Bestuursdwangbesluit of dwangsombesluit, Woningwet",College Burgemeester en Wethouders,09UIT14759,1470,Dwangsombesluit: Stillegging bouw,20090901000000,20090901000000,,Opleggen,Geregistreerd,87095.70550000001,436315.4017923636,51.91118577224622,4.400315420276758
1487,3,"WU - Bestuursdwangbesluit of dwangsombesluit, Woningwet",College Burgemeester en Wethouders,09UIT06566,1474,Dwangsombesluit: Stilleggen sloopwerkzaamheden,20090427000000,20090427000000,,Opleggen,Geregistreerd,86921.65777396789,437339.0785,51.92036446066505,4.39758371109318
1469,3,"WU - Bestuursdwangbesluit of dwangsombesluit, Woningwet",College Burgemeester en Wethouders,10UIT03581,1419,1. Buitenschilderwerk2. Ramen 2e verdieping3. Kozijn en ramen 2e verdieping achtergevel,20100303000000,20100303000000,,Opleggen,Geregistreerd,87107.53326819098,435839.9085,51.90691387057208,4.400581087295778
280,6,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT01197,1669,instand houden leef-of verhardingslaag door aanwezigheid restverontreiniging (186),20010720000000,20010720000000,,Opleggen,Geregistreerd,87590.29550000002,438068.6458170055,51.92700263477371,4.407158987180337
315,7,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT08022,1711,beschikking ernst en urgentie of spoedeisendheid Zie ook: 08UIT04956,20080423000000,20080423000000,,Opleggen,Geregistreerd,87201.74786193247,438288.642964671,51.928932558895,4.401467462151292
423,5,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT08998,1705,beschikking ernst en urgentie of spoedeisendheid,20070110000000,20070110000000,,Opleggen,Geregistreerd,87483.70817022778,438489.235,51.930769612826175,4.405526985421154
1495,3,"WV - Plicht tot het treffen van voorzieningen, Woningwet",College Burgemeester en Wethouders,09UIT15077,1484,Vooraankondiging dwangsom: Vlonder,20090929000000,20090929000000,,Opleggen,Geregistreerd,87849.41095075489,436850.3005,51.9160844770938,4.41116349191715
305,6,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT00832,1652,in stand houden leeflaag of verhardingslaag door aanwezigheid restverontreiniging. (zie ook 09UIT02681),19970116000000,19970116000000,,Opleggen,Geregistreerd,86983.41474976753,435278.66599999997,51.901854725555324,4.398888520659006
1505,3,"WU - Bestuursdwangbesluit of dwangsombesluit, Woningwet",College Burgemeester en Wethouders,10UIT09007,1302,Uitvoering gemeentewege,20100525000000,20100526000000,,Opleggen,Geregistreerd,86674.4995000005,436046.9175159724,51.90872130058457,4.3942479968190415
557,5,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT06148,1693,in stand houden leeflaag of verhardingslaag door aanwezigheid restverontreiniging,20040310000000,20040310000000,,Opleggen,Geregistreerd,85880.22616720878,437881.68440153083,51.925112509429255,4.382338133728544
230,6,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT09964,1659,in stand houden leeflaag of verhardingslaag door aanwezigheid restverontreiniging,20060214000000,20060214000000,,Opleggen,Geregistreerd,87478.34449999995,438953.8704407179,51.93494471649438,4.405357747991882
415,6,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT06159,1714,Beschikking vaststelling ernst van een geval van bodemverontreiniginge en noodzaak spoedige sanering.,20090421000000,20090421000000,,Opleggen,Geregistreerd,87455.038600314,435757.7165357515,51.90621747972019,4.405646494820397
560,5,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT09056,1690,in stand houden leeflaag of verhardingslaag door aanwezigheid restverontreiniging,20080603000000,20080603000000,,Opleggen,Geregistreerd,87110.23774001552,439296.58389820345,51.93797991400558,4.3999381022912045
558,9,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,09UIT01846,1692,in stand houden leeflaag of verhardingslaag door aanwezigheid restverontreiniging,20060727000000,20060727000000,,Opleggen,Geregistreerd,87607.19128607045,438774.0895,51.93334462548121,4.407266317757981
1464,6,"KW - Melding, bevel, beschikking of vordering Wet bodembescherming",College Burgemeester en Wethouders,10UIT01036,1748,"Instemming met een nazorgplan, zie ook 10UIT01027 (wbb 1027)",20100127000000,20100127000000,,Opleggen,Geregistreerd,85302.13906463535,435717.60175624455,51.90559151223519,4.374373508014758
