Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
&Meer;;;2;;;;2
3B3 Advies;;;2;;;;2
A. Krosenbrink Coach., Supervisie en Training;;1;;;;;1
AAA Alarmcentrale;7;;;;;;7
Academie voor arbeidsmarktcommunicatie B.V.;;;2;;;;2
Actors in Action;;1;;;;;1
Agnes;;;;;3;;3
Allen & Overy LLP;;;;6;;;6
Andersson Elffers Felix;;;1;;;;1
anoniem 25;;;4;;;;4
Antoinette Breed;;;2;;;;2
Apprenda B.V.;;;1;;;;1
Atos Nederland B.V.;;;;;4;;4
Avetica B.V.;;;;;1;;1
Belvedere Europe B.V.;;;2;;;;2
Biware Software B.V.;;;;;1;;1
Blauw Research B.V.;;;4;;;;4
Boerderij 't Dommeltje;;;;;;1;1
BPI Services B.V.;;;;;1;;1
brandgiving;;;3;;;;3
Breinzaken;;;1;;;;1
BrightContact Technology B.V.;;;5;;2;;5
Bureau van Raaij Research;;;1;;;;1
Capgemini Nederland B.V.;;;;;8;;8
Carel Huis Tuin Keuken;;1;;;;;1
Cargonaut Nederland B.V.;;;;;6;;6
CasaGrande B.V.;;;2;;;;2
CE Delft;;;3;;;;3
Charlotte's Law & Fine Prints B.V.;;;2;;;;2
Chris de Jager;;;1;;;;1
Clifford Chance LLP;;;;3;;;3
Clyde & Co LLP;;;;4;;;4
CNV Jongeren;;2;;;;;2
COMPAREX Nederland B.V.;;;1;;4;;4
Coniche IN consultancy & projects B.V.;;1;;;;;1
Consistender;;2;;;;;2
Creative Beards;;;1;;;;1
Daamen de Kort van Tuijl Notarissen;;;;1;;;1
DaniÃ«lle Zelisse Consultancy;;;2;;;;2
Dba.nl B.V.;;;;;1;;1
De Argumentenfabriek Denkacademie B.V.;;2;;;;;2
De Best Consult;;2;;;;;2
De Voort Advocaten - Mediators;;;;1;;;1
De Winter Information Solutions;;;1;;;;1
DEKRA Automotive B.V.;;2;;;;;2
Deloitte Consulting B.V.;;5;;;4;;5
Deloitte Risk Advisory B.V.;;;3;;;6;7
Desan Marktonderzoek B.V.;;;3;;;;3
Devon India-NL B.V.;;1;;;;;1
Digidentity B.V.;;;;;3;;3
Dimensional Insight Netherlands;;;1;;;;1
Drs. Annette Mol Psycholoog NIP;;;3;;;;3
Drs. P.C. Linnenbank, Arb.- & Org.psych.;;;3;;;;3
Drs. Saskia van der Weijden, Anenmen Tpsych.;;;2;;;;2
ECD B.V.;;;1;;;;1
EMVI-Research;;1;;;;;1
En Route Psychologie/SpecialistenNet Consult.;;;2;;;;2
Ernst & Young Accountants LLP;;;;;4;4;5
ESCROW4ALL B.V.;;;;;1;;1
Experience Volendam B.V.;;1;;;;;1
EZWIM B.V.;;;1;;;;1
F19 Projecten B.V.;;;2;;;;2
Farm & Food Communication;;;1;;;;1
Femke Hoefman;;;1;;;;1
Ferro Explore B.V.;;;2;;;;2
FlexAssessment B.V.;;;1;;;;1
FlightMaster;;;2;;;;2
Flipbase B.V.;;;1;;;;1
Fox-IT;;;;;2;;2
Fresh Talent;;;2;;;;2
Fujitsu Technology Solutions B.V.;;2;3;;4;;5
Futureconsult B.V.;;;3;;;;3
Gartner Nederland B.V.;;;;;6;;6
GFK Panel Services Benelux;;;3;;;;3
Hands On Organizing;;;1;;;;1
Harvey Nash B.V.;;2;3;;;;4
Heleen Kuiper Advies;;;3;;;;3
Het Strategiekantoor B.V.;;;2;;;;2
Hewlett-Packard Nederland B.V.;;;3;;6;;6
High Security International B.V.;;;;;1;;1
HoofdZaken;;;2;;;;2
Houthoff Belgi� B.V.;;;;1;;;1
