objectid;id;stadsdeel;buurt;straat;locatie;shape_area;shape_len;geo_shape;geo_point_2d
519;88.0;Stratum;Gijzenrooi;Vluttersven;Vluttersven naast nr. 43;400.0;80.0;"{""coordinates"": [[[5.513751900005577, 51.421678461815155], [5.513751400720896, 51.421498688491106], [5.5134638639767095, 51.42149900067634], [5.513464362125909, 51.42167877400124], [5.513751900005577, 51.421678461815155]]], ""type"": ""Polygon""}";51.421588731305114, 5.513607881707488
522;91.0;Strijp 1;Schoot;Langenakkerweg;Langenakkerweg;750.38368526;129.11388726938;"{""coordinates"": [[[5.449820090743527, 51.44293704667781], [5.449763313940865, 51.443377682011004], [5.449993754594983, 51.443388915918035], [5.450026160698226, 51.44294430267109], [5.449820090743527, 51.44293704667781]]], ""type"": ""Polygon""}";51.443166160534496, 5.44990053055886
524;93.0;Stratum;Tivoli;Arnaudinaplein;Arnaudinaplein 1;5282.796880225;292.53133973263897;"{""coordinates"": [[[5.508261215935995, 51.420026952124815], [5.507310808308078, 51.419980020512185], [5.507174745265085, 51.42069410385874], [5.508094549162419, 51.420755442216105], [5.508261215935995, 51.420026952124815]]], ""type"": ""Polygon""}";51.42036247810116, 5.507712424125305
526;95.0;Woensel noord 1;Kerkdorp Acht;Gebroeders Ganslaan;Gebroeders Ganslaan;400.0;80.0;"{""coordinates"": [[[5.435805372004096, 51.47767251025639], [5.435805179999041, 51.47749273738239], [5.435517289496399, 51.47749285752695], [5.4355174803664665, 51.47767263040201], [5.435805372004096, 51.47767251025639]]], ""type"": ""Polygon""}";51.477582683951, 5.435661330466485
527;96.0;Strijp 2;Grasrijk;Grassnip;Grassnip / Grassavanne;400.0;80.0;"{""coordinates"": [[[5.411086922477218, 51.44073934975668], [5.411086828501765, 51.4405595762894], [5.410799171558432, 51.440559635463444], [5.410799264399593, 51.44073940893243], [5.411086922477218, 51.44073934975668]]], ""type"": ""Polygon""}";51.440649492669564, 5.410943046734086
642;99.0;Strijp 1;Drents Dorp;Gelderlandplein;Gelderlandplein;3069.755585505;232.421205951791;"{""coordinates"": [[[5.444983010074889, 51.44583710227285], [5.4441004118064, 51.446173043211516], [5.444549039483488, 51.446538829601124], [5.445316059089607, 51.446036576362005], [5.444983010074889, 51.44583710227285]]], ""type"": ""Polygon""}";51.44616463891242, 5.444707640455991
648;106.0;Strijp 1;Zwaanstraat;Koenraadlaan;Koenraadlaan;400.0;80.0;"{""coordinates"": [[[5.44320109159782, 51.44946360678076], [5.442913377957302, 51.449463745033604], [5.442913597320161, 51.44964351822022], [5.443201312095681, 51.449643379964414], [5.44320109159782, 51.44946360678076]]], ""type"": ""Polygon""}";51.44955356255884, 5.44305734474249
649;107.0;Woensel noord 2;Eckart;Neptunusweg;Neptunusweg;389.40641404;86.47953054200819;"{""coordinates"": [[[5.492268787037445, 51.467510181975506], [5.491830082737284, 51.46753566508715], [5.491845802316056, 51.46765337451027], [5.492278314706567, 51.467622106433076], [5.492268787037445, 51.467510181975506]]], ""type"": ""Polygon""}";51.46758033737592, 5.492053790785686
655;502.0;Woensel zuid;Woensel-West;Groenewoudseweg;Groenewoudseweg 2;1715.556141115;178.692586411427;"{""coordinates"": [[[5.454717511311428, 51.453410721907275], [5.4552522669951475, 51.45299400071804], [5.454913358857766, 51.45285767150673], [5.454345844108141, 51.45328806203668], [5.454717511311428, 51.453410721907275]]], ""type"": ""Polygon""}";51.45313818041172, 5.454804718216811
658;116.0;Woensel noord 1;Achtse Barrier-Gunterslaer;Limousinlaan;Limousinlaan;443.46718336;84.4656522459255;"{""coordinates"": [[[5.450213076265259, 51.48593809335186], [5.4499251320323445, 51.48593824900535], [5.449930455232591, 51.48614414545319], [5.450207152116269, 51.48613876089254], [5.450213076265259, 51.48593809335186]]], ""type"": ""Polygon""}";51.48603914288729, 5.450068336964408
