FID,omschr,voorz_vop,voorz_fop,voorz_vri,rijrtnghrb,rijrtngzij,afbuiging,invent_oms,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
kruispunten_kenmerk.1,Kruispunt met voorrangsregeling,N,J,J,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,RIJKSWEG(N250)                 RIJKSWEG(N9),R,2.16499996,099,KPK0001071517,I,,POINT (115133 547679)
kruispunten_kenmerk.2,Pseudo T-kruispunt met een linksafvak in de hoofdrijbaan,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,,,VERBINDINGSWEG,R,11.44099998,099,KPK0001071523,I,,POINT (122752.0337000005 545159.5280000009)
kruispunten_kenmerk.3,Pseudo rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KONINGSWEG,R,13.53299999,099,KPK0001071524,I,,POINT (124743.11639999971 545702.8610999994)
kruispunten_kenmerk.4,Pseudo rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,KONINGSWEG,R,13.52799988,099,KPK0001071525,I,,POINT (124728.36740000173 545733.2520000003)
kruispunten_kenmerk.5,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ELFT,R,16.13699913,099,KPK0001071526,I,,POINT (127140.19310000166 546747.2967000008)
kruispunten_kenmerk.6,Rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,ELFT,R,16.13699913,099,KPK0001071527,I,,POINT (127125.73299999908 546773.7265999988)
kruispunten_kenmerk.7,Pseudo rotonde,N,J,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,,,GESTERWEG                      ZUID GESTERWEG,R,20.47299957,099,KPK0001071530,I,,POINT (130811.34319999814 549059.8944999985)
kruispunten_kenmerk.8,Kruispunt zonder voorrangsregeling,N,N,N,Alleen rechtdoor toegestaan EN keerverbod (borden D4 + F7),Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,VOSDONK                        VOSDONK,R,80.36799622,058,KPK0001073577,I,,POINT (101219.86169999838 396594.4257999994)
kruispunten_kenmerk.9,Kruispunt met voorrangsregeling,N,N,J,"Alleen rechtdoor, er geldt geen keerverbod op beide hoofdrijbanen (D4)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,SINT ANTHONISWEG,R,78.41999817,073,KPK0001073864,I,,POINT (192140.10720000044 405761.73600000143)
kruispunten_kenmerk.10,Kruispunt met voorrangsregeling,N,N,J,"Alleen rechtdoor, er geldt geen keerverbod op beide hoofdrijbanen (D4)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,SINT ANTHONISWEG,R,78.2559967,073,KPK0001073865,I,,POINT (192023.2071999982 405590.87519999966)
kruispunten_kenmerk.11,Kruispunt met voorrangsregeling,N,N,J,"Alleen rechtdoor, er geldt geen keerverbod op beide hoofdrijbanen (D4)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,SINT ANTHONISWEG,R,78.24500275,073,KPK0001073866,I,,POINT (191984.18670000136 405626.46730000153)
kruispunten_kenmerk.12,Kruispunt met voorrangsregeling,N,N,J,"Alleen rechtdoor, er geldt geen keerverbod op beide hoofdrijbanen (D4)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor beide zijstraten (D4),,SINT ANTHONISWEG,R,78.43900299,073,KPK0001073867,I,,POINT (192103.94449999928 405794.695700001)
kruispunten_kenmerk.13,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,ZIJSTRAAT,R,75.99700165,033,KPK0001077248,I,,POINT (252772.33300000057 605214.375500001)
kruispunten_kenmerk.14,T-kruispunt met voorrangsregeling,N,N,N,Alle rijrichtingen toegestaan bij een zijstraat,Rechtsaf OF linksaf OF beide afslagen toegestaan (D5R of D5L of D7),,OOSTPOLDERWEG,R,75.16000366,033,KPK0001077249,I,,POINT (252308.6088999994 604534.0504000001)
kruispunten_kenmerk.15,Rotonde,N,N,N,Alle rijrichtingen toegestaan bij een gelijkvloerse kruising,Rechtdoor en rechtsaf toegestaan voor de rechter zijstraat (bord D6R),,ZIJSTRAAT,R,75.99700165,033,KPK0001077250,I,,POINT (252753.18890000135 605236.6218999997)
kruispunten_kenmerk.16,T-kruispunt met fysieke scheiding van de rijbanen,N,N,J,Rechtdoor met linksaf toegestaan (rechtsaf verbod) voor de linker hoofdrijbaan (D6L),,,WEG NAAR DE VAL=N256,R,16.65999985,059,KPK0001077942,I,,POINT (55086.56569999829 407830.30319999903)
kruispunten_kenmerk.17,Pseudo T-kruispunt met voorrangsregeling,N,N,J,"Rechtdoor, rechtsaf OF linksaf OF beide afslagen toegestaan (D4 + D5r of D4 + D5L  of D4 + D7)",Alleen rechtdoor toegestaan of vanuit de zijweg geen verkeer mogelijk voor de linker zijstraat (D4),,VBW.d,R,133.85099792,012,KPK0001085707,I,,POINT (195556.0075000003 444032.7441999987)
