nr,ID,Winkelgebied 2013,Verzorgingsgebiedniveau 2013,Type winkelcentrum,Verzorgingsgebied 2009,Bevolkingssamenstelling (2013),Bevolkingssamenstelling (2013),Inkomensniveau (2013),Werkzame personen (2013),Bevolkingsgroei (2013),Arbeidsplaatsen (2013)
1,1,1.1 ARABISLAAN (LOOSDUINEN),Buurt,Buurtcentrum,Buurt Bohemen/Meer en Bos,"54,9","0,83",138,"53,40%","2,60%","21,50%"
2,2,1.2 DE SAVORNIN LOHMANPLEIN (LOOSDUINEN),Wijk,Wijkwinkelcentrum groot,Wijk Waldeck,59,"0,89",106,"56,10%","4,40%","45,80%"
3,3,1.3 DELTAPLEIN (LOOSDUINEN),Den Haag,Speciaal winkelgebied,Den Haag,"69,1","1,05",102,"65,00%","2,10%","50,80%"
4,4,1.4 HILDO KROPLAAN (LOOSDUINEN),Wijk,Wijkwinkelcentrum klein,Wijk Loosduinen,"66,1",1,103,"63,80%","2,70%","65,80%"
5,5,1.5 KRAAYENSTEIN (LOOSDUINEN),Buurt,Buurtcentrum,Buurt Kraayenstein,"69,5","1,05",121,"68,00%","14,90%","24,90%"
6,6,1.6 LOOSDUINSE HOOFDSTRAAT (LOOSDUINEN),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Loosduinen,"62,6","0,95",112,"60,30%","4,30%","49,20%"
7,7,1.7 WALDECK (LOOSDUINEN),Wijk,Wijkwinkelcentrum groot,Wijk Waldeck,59,"0,89",106,"56,10%","4,40%","45,80%"
8,8,2.1 ALMELOPLEIN (ESCAMP),Wijk,Wijkwinkelcentrum groot,Wijk Morgenstond,"68,1","1,03","83,3","61,50%","7,70%","20,10%"
9,17,2.10 LEYWEG (ESCAMP),Stadsdeel,Stadsdeelcentrum,Stadsdeel Escamp,"67,8","1,03","84,7","62,50%","3,60%","18,40%"
10,18,2.11 PARIJSPLEIN (ESCAMP),Wijk,Wijkwinkelcentrum klein,Wijk Wateringse Veld,"67,6","1,02",106,"65,20%","-1,10%","16,90%"
11,19,2.12 HOGE VELD (ESCAMP),Wijk (--> buurt),Wijkwinkelcentrum klein,Buurt Hoge Veld,"64,7","0,98","99,1","62,10%","8,10%","18,10%"
12,9,2.2 AMBACHTSGAARDE (ESCAMP),Wijk,Wijkwinkelcentrum klein,Wijk Bouwlust/Vrederust,64,"0,97","74,9","57,90%","2,60%","17,20%"
13,10,2.3 BETJE WOLFFSTRAAT (ESCAMP),Wijk,Wijkwinkelcentrum groot,Wijk Moerwijk,"68,4","1,04","70,7","60,10%","4,90%","13,10%"
14,11,2.4 BOUWLUSTLAAN (ESCAMP),Buurt,Buurtcentrum,Buurt Venen/Oorden/Raden,"66,5","1,01","70,2","59,90%","2,50%","12,10%"
15,12,2.5 DE STEDE (ESCAMP),Wijk,Wijkwinkelcentrum klein,Wijk Bouwlust/Vrederust,64,"0,97","74,9","57,90%","2,60%","17,20%"
16,13,2.6 DIERENSELAAN/APELDOORNSELAAN (ESCAMP),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Escamp,"67,8","1,03","84,7","62,50%","3,60%","18,40%"
17,14,2.7 HEESWIJKPLEIN (ESCAMP),Wijk (Buurt),Wijkwinkelcentrum klein,Wijk Moerwijk,"68,4","1,04","70,7","60,10%","4,90%","13,10%"
18,15,2.8 JAN LUYKENLAAN (ESCAMP),Wijk,Wijkwinkelcentrum klein,Wijk Moerwijk,"68,4","1,04","70,7","60,10%","4,90%","13,10%"
19,16,2.9 LEYENBURG (ESCAMP),Wijk,Wijkwinkelcentrum klein,Wijk Leyenburg,"66,7","1,01",100,"64,00%","7,90%","30,20%"
20,20,3.1 APPELSTRAAT/ VLIERBOOMSTRAAT (SEGBROEK),Wijk,Wijkwinkelcentrum groot,Wijk Vruchtenbuurt,"67,9","1,03",127,"66,50%","3,20%","16,70%"
21,21,3.2 FAHRENHEITSTRAAT/ THOMSONLAAN (SEGBROEK),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Segbroek,"72,2","1,09",114,"69,10%","3,50%","24,10%"
22,22,3.3 GOUDENREGENPLEIN (SEGBROEK),Wijk,Wijkwinkelcentrum klein,Wijk Bomen- en Bloemenbuurt,"66,2",1,124,"64,40%","1,20%","31,30%"
23,23,3.4 GOUDSBLOEMLAAN (SEGBROEK),Wijk,Wijkwinkelcentrum klein,Wijk Bomen- en Bloemenbuurt,"66,2",1,124,"64,40%","1,20%","31,30%"
24,24,3.5 WEIMARSTRAAT (SEGBROEK),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Segbroek,"72,2","1,09",114,"69,10%","3,50%","24,10%"
25,25,3.6 VALKENBOSLAAN (SEGBROEK),Wijk,Wijkwinkelcentrum klein,Wijk Valkenboskwartier,"76,8","1,16","94,9","73,00%","-0,10%","19,20%"
26,26,4.1 AERT V/D GOESSTRAAT (SCHEVENINGEN),Wijk (Stadsdeel),Wijkwinkelcentrum klein,Wijk Geuzen- en Statenkwartier,"65,4","0,99",145,"63,70%","0,30%","42,40%"
27,27,4.2 BADHUISSTRAAT (SCHEVENINGEN),Wijk (Stadsdeel),Wijkwinkelcentrum groot,Wijk Scheveningen,"68,4","1,04",111,"65,80%","10,10%","45,20%"
28,28,4.3 GENTSESTRAAT/ STEVINSTRAAT (SCHEVENINGEN),Wijk,Wijkwinkelcentrum groot,Wijk Belgisch Park,"67,7","1,03",132,"66,10%","0,40%","48,20%"
29,29,4.4 KEIZERSTRAAT (SCHEVENINGEN),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Scheveningen,"67,2","1,02",132,"65,10%","4,50%","63,60%"
30,30,4.5 PALACEPROMENADE (SCHEVENINGEN),Stadsdeel,Stedelijke winkelstraat,Stadsdeel Scheveningen,"67,2","1,02",132,"65,10%","4,50%","63,60%"
31,31,4.6 REINKENSTRAAT (SCHEVENINGEN),Wijk,Wijkwinkelcentrum groot,Wijken Duinoord/Regentessekwartier,"77,2","1,17",117,"73,00%","7,80%","34,10%"
