X,Y,OBJECTID,IDENTIFICATIE,KNOOPPUNTTYPE,TOELICHTING,KNOOPNUMMER,BREEDTE_PUT,LENGTE_PUT,HOOGTE_PUT,VORM,MATERIAAL,MAAIVELDHOOGTE,OORSPRONG_MAAIVELD,AANLEGJAAR,SECTIE,BEMALINGSGEBIED
4.74906908615679,51.6260784106151,246,RIO_INV_KNOOPPUNTEN.44678,Bijzondere putconstr,Watertappunten,52-0032,500,500,,Rechthoekig,Metselwerk,"1,09",Inmeting,2016/12/31,Watertappunten,7-20 Rietdijk
4.73260100662222,51.5532078708942,247,RIO_INV_KNOOPPUNTEN.44671,Bijzondere putconstr,Watertappunten,52-0025,500,500,,Rechthoekig,Metselwerk,"6,36",Inmeting,2016/12/31,Watertappunten,14-1 Rijsbergseweg
4.78024563134615,51.5918988163776,248,RIO_INV_KNOOPPUNTEN.44647,Bijzondere putconstr,Watertappunten,52-0001,500,500,,Rechthoekig,Metselwerk,"2,47",Inmeting,2011/12/31,Watertappunten,4-1 Markendaalseweg
4.78817730982883,51.582741574644,249,RIO_INV_KNOOPPUNTEN.44675,Bijzondere putconstr,Watertappunten,52-0029,500,500,,Rechthoekig,Metselwerk,"2,39",Inmeting,2016/12/31,Watertappunten,3-1 Bosche Brug
4.73767499366742,51.6220933790732,250,RIO_INV_KNOOPPUNTEN.44681,Bijzondere putconstr,Watertappunten,52-0035,500,500,,Rechthoekig,Metselwerk,"1,39",Inmeting,2016/12/31,Watertappunten,7-2 Paradijslaan
4.77836840252433,51.6101740269717,251,RIO_INV_KNOOPPUNTEN.44656,Bijzondere putconstr,Watertappunten,52-0010,500,500,,Rechthoekig,Metselwerk,"1,25",Inmeting,2014/12/31,Watertappunten,5-1 Nieuwe Kadijk
4.73633544133263,51.5738375661598,252,RIO_INV_KNOOPPUNTEN.44684,Bijzondere putconstr,Watertappunten,52-0038,500,500,,Rechthoekig,Metselwerk,"4,16",Inmeting,2016/12/31,Watertappunten,13-5 Lunetstr/Emergemaal Zuid
4.77621661394379,51.5901953163226,253,RIO_INV_KNOOPPUNTEN.44688,Bijzondere putconstr,Watertappunten,52-0042,500,500,,Rechthoekig,Metselwerk,"3,2",Inmeting,2016/12/31,Watertappunten,13-5 Lunetstr/Emergemaal Zuid
4.79985094214797,51.5711683044444,254,RIO_INV_KNOOPPUNTEN.44685,Bijzondere putconstr,Watertappunten,52-0039,500,500,,Rechthoekig,Metselwerk,"3,43",Inmeting,2017/12/31,Watertappunten,0-1 Allerheiligenweg
4.80332559729586,51.5843760362508,255,RIO_INV_KNOOPPUNTEN.44663,Bijzondere putconstr,Watertappunten,52-0017,,,,Rechthoekig,Metselwerk,"3,16",Inmeting,2016/12/31,Watertappunten,3-1 Bosche Brug
