objectid;dragertype;pkey;geo_shape;geo_point_2d;bordtype;gsmcode;volgorde;datum_plaatsing
3176;Lichtmast;293B5C39-AC32-4EB8-AAA0-5C2928636024;"{""coordinates"": [5.473369126370516, 51.44084446434016], ""type"": ""Point""}";51.44084446434016, 5.473369126370516;BW112zb;;2;
2545;Lichtmast;A5822CFC-D0FE-4778-A95D-E7015B3A9404;"{""coordinates"": [5.452427051909507, 51.44734735189064], ""type"": ""Point""}";51.44734735189064, 5.452427051909507;GSM;5165;1;
1725;Flespaal;4BCB77DF-A659-4A4A-B664-7C8F782AA277;"{""coordinates"": [5.472654266244627, 51.45047989478371], ""type"": ""Point""}";51.45047989478371, 5.472654266244627;BW112zb;;1;
2436;Lichtmast;FC137E1E-E0A3-4811-B5B2-892C4E366AB1;"{""coordinates"": [5.45763086061211, 51.44367385500878], ""type"": ""Point""}";51.44367385500878, 5.45763086061211;GSM;5157;1;
2142;Lichtmast;8B0D243F-F994-46F1-ACC3-532559B9C842;"{""coordinates"": [5.464368315693845, 51.43899621448115], ""type"": ""Point""}";51.43899621448115, 5.464368315693845;GSM;5157;1;20190701000000
3108;Lichtmast;67F9DB90-C370-4F01-8162-41554C3B17A8;"{""coordinates"": [5.472594755964809, 51.44241594430312], ""type"": ""Point""}";51.44241594430312, 5.472594755964809;GSM;5129;1;
1754;Lichtmast;D22212EE-01C0-4C91-99F9-7029ABFBF3BE;"{""coordinates"": [5.39610168150464, 51.452189549734264], ""type"": ""Point""}";51.452189549734264, 5.39610168150464;GSM;5191;1;
3046;Lichtmast;E252D293-B8FD-4B21-BB0D-1404E898DF2C;"{""coordinates"": [5.4733950399775075, 51.44038761840635], ""type"": ""Point""}";51.44038761840635, 5.4733950399775075;BW112L__OB401PA;;1;
2459;Lichtmast;A1836C1F-395E-4B51-832C-087B981EF6D3;"{""coordinates"": [5.48249745067255, 51.43408711933208], ""type"": ""Point""}";51.43408711933208, 5.48249745067255;GSM;5140;1;
2184;Lichtmast;C0B60ED9-08D9-4C2D-97BD-03CEF0E0F4F2;"{""coordinates"": [5.469691773733391, 51.434006486956754], ""type"": ""Point""}";51.434006486956754, 5.469691773733391;GSM;5183;1;
2181;Lichtmast;EBA65F2E-8C91-449C-A000-30C176AC2005;"{""coordinates"": [5.470579233365611, 51.434123762554975], ""type"": ""Point""}";51.434123762554975, 5.470579233365611;GSM;5183;1;
1698;Lichtmast;945814E4-29D7-4AAE-80A9-67D66703C222;"{""coordinates"": [5.478082873699394, 51.47092579124439], ""type"": ""Point""}";51.47092579124439, 5.478082873699394;GSM;5169;1;
1870;Flespaal;9359099B-9185-4FBF-81BB-779A274B747C;"{""coordinates"": [5.471518590689752, 51.43819859818079], ""type"": ""Point""}";51.43819859818079, 5.471518590689752;E09ze;;1;
1869;Flespaal;9359099B-9185-4FBF-81BB-779A274B747C;"{""coordinates"": [5.471518590689752, 51.43819859818079], ""type"": ""Point""}";51.43819859818079, 5.471518590689752;E09zb;;1;
2665;Flespaal;B4B83733-5D6E-4EF4-85F8-7025A606E321;"{""coordinates"": [5.486128017045608, 51.44232183110089], ""type"": ""Point""}";51.44232183110089, 5.486128017045608;BW112zb;;1;
1801;Lichtmast;27033DEA-826E-48A5-8D93-27F395AF8AA5;"{""coordinates"": [5.486210416994999, 51.42562542822596], ""type"": ""Point""}";51.42562542822596, 5.486210416994999;GSM;5163;;
2082;Lichtmast;8F8D512E-6C17-406E-8B13-81FDDB46A290;"{""coordinates"": [5.467288523414974, 51.44020342167533], ""type"": ""Point""}";51.44020342167533, 5.467288523414974;GSM;5157;1;
2024;Lichtmast;BD16BCA7-3146-4EE6-87A3-B6FA52CD3476;"{""coordinates"": [5.465643647805713, 51.451910225273394], ""type"": ""Point""}";51.451910225273394, 5.465643647805713;GSM;5143;2;
2555;Flespaal;21FDD9BD-FC32-4A5B-A292-85111BC0AB0A;"{""coordinates"": [5.4649347025037995, 51.43695029602223], ""type"": ""Point""}";51.43695029602223, 5.4649347025037995;BW112zbh;;1;
3190;Lichtmast;0616BE55-38E7-4EDB-8CC2-F0BE97F12E8A;"{""coordinates"": [5.453877688447815, 51.444101777912806], ""type"": ""Point""}";51.444101777912806, 5.453877688447815;GSM;5157;2;
2424;Lichtmast;3EBD7E6A-5B53-4696-880E-1A037A1361B8;"{""coordinates"": [5.456135882142181, 51.443413180133604], ""type"": ""Point""}";51.443413180133604, 5.456135882142181;GSM;5157;1;
2167;Lichtmast;5A90A87A-AFD9-48B6-A7AC-26FED913B7C3;"{""coordinates"": [5.467132526153551, 51.43285083815058], ""type"": ""Point""}";51.43285083815058, 5.467132526153551;GSM;5183;;
2463;Flespaal;17889467-9E5F-499B-A585-8E711268D0F7;"{""coordinates"": [5.475665435276632, 51.43714532585765], ""type"": ""Point""}";51.43714532585765, 5.475665435276632;BW112zb;;1;
1700;Flespaal;BCF2782E-9923-4F2F-BAB6-41A218A818F9;"{""coordinates"": [5.477718626793174, 51.471026424231006], ""type"": ""Point""}";51.471026424231006, 5.477718626793174;BW112zb;;1;
2300;Lichtmast;2269EDA3-0952-4CE5-A549-E2744AC8AEE9;"{""coordinates"": [5.4788725707033, 51.447226440316214], ""type"": ""Point""}";51.447226440316214, 5.4788725707033;GSM;5132;1;
