cbs_gemeentecode,cbs_gemeente,verkiezing,cbs_wijkcode,bagID_stemburo,stemburo,partij,aantal_stemmen
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Christen Democratisch Appél,165
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,ChristenUnie-Staatkundig Gereformeerde Partij,29
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Democraten 66,70
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Democratisch Europa,1
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Europa Transparant,60
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,GroenLinks,160
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Leefbaar Europa,2
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Lijst Pim Fortuyn,11
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Nieuw Rechts,3
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Partij van de Arbeid,168
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Partij van het Noorden,3
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Partij voor de Dieren,49
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Respect.Nu,1
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Socialistische Partij,96
GM0307,Amersfoort,EP2004,WK030701,0307010000414014,Scholen in de Kunst,Volkspartij voor Vrijheid en Democratie,137
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,Christen Democratisch Appél,80
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,ChristenUnie-Staatkundig Gereformeerde Partij,30
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,Democraten 66,47
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,Democratisch Europa,1
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,Europa Transparant,25
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,GroenLinks,43
GM0307,Amersfoort,EP2004,WK030702,0307010000467859,Seniorenflat Otto Scheltus,Leefbaar Europa,0
