Ministerie;Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
AZ;(BBP) Beerens-Business Press B.V.;;;;;;1;;;;1
AZ;A2Z-Academy Networks B.V.;;;;;;1;;;;1
AZ;About Flowers;;;;1;;;1;;;1
AZ;Absoluta B.V.;;;;;;;1;;;1
AZ;Adfo Groep B.V.;;;;;;;;1;;1
AZ;ArboNed B.V.;;;;;;1;;;;1
AZ;Athene Palace B.V.;;;;;;;1;;;1
AZ;ATS Systems B.V.;;1;;;;;;;;1
AZ;AutiTalent B.V.;;;;;1;;;;;1
AZ;Automotive Publishing B.V.;;;;;;2;;;;2
AZ;Balans & Impuls B.V.;;;;;1;;;;;1
AZ;Banketbakkerij Boheemen;;;;;;;1;;;1
AZ;Bavak Beveiligingsgroep B.V.;;;;;;1;;;;1
AZ;Berenschot International B.V.;;;;;;1;;;;1
AZ;Bowling Scheveningen B.V.;;;;;;1;;;;1
AZ;Brasserie Buitenhuis B.V.;;;;1;;;;;;1
AZ;Brasserie Soho B.V.;;;;;;;1;;;1
AZ;Bureau Zuidema B.V.;;;;;;2;;;;2
AZ;BVA bond van adverteerders;;;;;;;;2;;2
AZ;C.R.M. van Veen B.V.;;;;;;1;;;;1
AZ;Charles.nl;;;;1;;;;;;1
AZ;Ciao! Ciao! B.V.;;;;1;;;1;;;1
AZ;CM Partners B.V.;;;;;;1;;;;1
AZ;Colet aan de kade;;;;1;;;1;;;1
AZ;Columbus Watersport;;;;1;;;;;;1
AZ;Compabox B.V.;;;;1;;;;;;1
AZ;Competence Factory;;;;;;2;;;;2
AZ;Compu'Train Opleidingen B.V.;;;;;;1;;;;1
AZ;Coöperatie De Betekenaar U.A.;;;;;;1;;;;1
AZ;Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;;1
