Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financiën;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
!JES jij en scheiden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
&Maes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
(Ervaren en Leren);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
(K.T.S.) Kraan- en Truckservice B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
.bos Ontwikkeling en Organisatie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@mathews;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
_Unity B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
020- Legal Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
050 taxicentrale;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
078Media B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
0to9 B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
1. Eleos 2. christelijke ggz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
100% Teamwear B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1001 Flavours;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
101Veiligheidsgroep.nl B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
10Telecom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
123Accu B.V.;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;1;;;;;;;1
