;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
ABT Velp;;;;1;1
Academie van Bouwkunst;1;;;;1
Accres Real Estate B.V.;;2;;3;3
Accretio Vastgoed B.V.;;;;2;2
Ace Vision B.V.;1;;;;1
Actief Accuraat AA Service en Onderhoud B.V.;2;;;;2
Ad Hoc Data B.V.;;;;2;2
Ad Hoc Security B.V.;;;;3;3
Adam van Noort Fotografie;;;;1;1
AddVoltage B.V.;2;;;;2
Admiraal Schilders B.V.;1;;;;1
Adriaanse Vastgoed B.V.;1;;;;1
Adrianus Testers;1;;;;1
Advies- en Ingenieursbureau Van de Laar B.V.;1;;;;1
Adviesbureau Brekelmans;1;;;1;1
Adviesbureau Chevalking B.V.;1;;;;1
Adviesbureau Dekker Engineering;1;;;;1
Adviesbureau Newton B.V.;;;;2;2
Adviesbureau Van den Bosch;3;;;;3
Advocatenkantoor Krijgsman & Legters;;;;1;1
Aectual B.V.;2;;;;2
AEG Power Solutions B.V.;1;;;;1
AEREA B.V.;2;;;;2
Aestate B.V.;2;;;;2
Aestic Produkten B.V.;1;;;;1
AEVES B.V.;2;;;;2
Afpro Filtertechniek B.V.;4;;;;4
Afvalwater Services B.V.;3;;;;3
Afvalwatertechniek NB Milieu B.V.;1;;;;1
AG Nova Architekten Amersfoort B.V.;3;;;;3
AGL Engineering S.A.;2;;;;2
AHA-Adviseurs;4;;;;4
Ahrend Inrichten;1;;;;1
Ahrends B.V.;2;;;;2
Air Cooling Services;2;;;;2
Air Group B.V.;4;;;;4
Airport Maintenance Services B.V.;2;;;;2
Airsain;2;;;;2
AK trainingen en projecten;1;;;;1
Ako Sol B.V.;3;;;;3
Akobe brandbeveiliging B.V.;1;;;;1
Alba Concepts B.V.;2;;;;2
Albron Nederland;;;1;;1
Albron Nederland B.V.;;;;1;1
Alewijnse Nijmegen B.V.;7;;;;7
Algeco B.V.;2;;;3;4
Algemeen Bouwbedrijf Albo Aruba N.V.;6;;;;6
Algemeen Pensioenfonds van Curacao;;;;4;4
Alimak Group Benelux B.V.;5;;;;5
Allinq Networks B.V.;5;;;;5
Allsafe Mini Opslag Amsterdam B.V.;;;;4;4
Allsorb Air Filter B.V.;2;;;;2
ALM Afbouwgroep;1;;;;1
Alpha Deuren Zuidwest B.V.;2;;;;2
Alphaplan B.V.;4;;;;4
Alsta Nassau B.V.;4;;;1;4
Altavilla B.V.;3;;;;3
Altena Cleaning;7;;;;7
Altena Group B.V.;5;;;;5
Altenburg & Wymenga Ecologisch Onderzoek B.V.;2;;;;2
Altitude Services;1;;;;1
Altop Kunststoftechniek B.V.;2;;;;2
Altrex B.V.;7;;;;7
Alup Grassair Kompressoren B.V.;1;;;;1
Always Green B.V.;;1;;;1
Amaze Escape Events;1;;;;1
Ambachttechniek;1;;;;1
Ambius B.V.;1;;;;1
Amenddak;6;;;;6
Amsterdam School of Real Estate B.V.;;;;3;3
Analyselab B.V.;1;;;;1
Analytisch Diagnostisch Centrum NV;2;;;;2
Andre Knaapen VOR;2;;;;2
Anglican Church The Bottom, Saba;;;;1;1
Anna Vastgoed & Cultuur;;;;2;2
Anna Vastgoed Beheer B.V.;2;;;;2
Anne de Vries;2;;;;2
anoniem_BZK_100;;;;4;4
anoniem_BZK_101;;2;;5;5
anoniem_BZK_102;1;;;;1
anoniem_BZK_103;2;;;;2
anoniem_BZK_104;5;;;;5
anoniem_BZK_106;1;;;;1
anoniem_BZK_108;7;;;;7
anoniem_BZK_109;;;;5;5
anoniem_BZK_110;2;;;;2
anoniem_BZK_113;;2;;5;6
anoniem_BZK_116;;;;2;2
anoniem_BZK_119;;;;2;2
anoniem_BZK_120;1;;;;1
anoniem_BZK_122;;;;2;2
anoniem_BZK_125;;;;2;2
anoniem_BZK_126;8;;;;8
anoniem_BZK_127;1;;;;1
anoniem_BZK_128;4;;;;4
anoniem_BZK_131;1;;;;1
anoniem_BZK_132;7;;;;7
anoniem_BZK_133;;;;;
anoniem_BZK_134;7;;;;7
anoniem_BZK_135;2;;;;2
anoniem_BZK_136;1;;;;1
anoniem_BZK_137;2;;;;2
anoniem_BZK_139;1;;;;1
anoniem_BZK_140;2;;;;2
anoniem_BZK_143;1;;;;1
anoniem_BZK_144;2;;;;2
anoniem_BZK_145;1;;;;1
anoniem_BZK_146;;;;;
anoniem_BZK_147;1;;;;1
anoniem_BZK_148;;;;2;2
anoniem_BZK_149;1;;;;1
anoniem_BZK_150;2;;;;2
anoniem_BZK_152;2;;;;2
anoniem_BZK_153;1;;;;1
anoniem_BZK_155;;1;;2;2
anoniem_BZK_157;;;;2;2
anoniem_BZK_158;3;;;;3
anoniem_BZK_159;;;;6;6
anoniem_BZK_163;1;;;;1
anoniem_BZK_164;3;;;;3
anoniem_BZK_168;2;;;;2
anoniem_BZK_169;1;;;;1
anoniem_BZK_170;5;;;;5
anoniem_BZK_172;4;;;;4
anoniem_BZK_173;1;;;;1
anoniem_BZK_174;5;;;;5
anoniem_BZK_175;;1;;2;2
anoniem_BZK_181;2;;;;2
anoniem_BZK_182;1;;;2;2
anoniem_BZK_183;2;;;;2
anoniem_BZK_184;1;;;;1
anoniem_BZK_186;7;;;;7
anoniem_BZK_214;;;;1;1
anoniem_BZK_224;1;;;;1
anoniem_BZK_3;1;;;;1
anoniem_BZK_346;2;;;;2
anoniem_BZK_347;6;;;;6
anoniem_BZK_348;1;;;1;1
anoniem_BZK_349;1;1;;1;1
anoniem_BZK_351;;;;1;1
anoniem_BZK_352;;;;1;1
anoniem_BZK_355;;;;2;2
anoniem_BZK_356;2;;;;2
anoniem_BZK_357;1;;;;1
anoniem_BZK_358;;;;2;2
anoniem_BZK_359;;;;4;4
anoniem_BZK_360;;;;2;2
anoniem_BZK_361;;;;2;2
anoniem_BZK_363;;;;1;1
anoniem_BZK_364;;;;1;1
anoniem_BZK_365;;;;1;1
anoniem_BZK_366;;;;2;2
anoniem_BZK_367;;;;2;2
anoniem_BZK_369;;;;2;2
anoniem_BZK_370;;;;1;1
anoniem_BZK_372;1;;;;1
anoniem_BZK_373;2;;;;2
anoniem_BZK_374;1;;;;1
anoniem_BZK_375;1;;;;1
anoniem_BZK_376;2;;;;2
anoniem_BZK_377;1;1;;;2
anoniem_BZK_4;1;;;;1
anoniem_BZK_401;;;;;
anoniem_BZK_49;2;;;;2
anoniem_BZK_6;;1;;;1
anoniem_BZK_72;;;;1;1
anoniem_BZK_74;5;;;;5
anoniem_BZK_75;6;;;;6
anoniem_BZK_76;5;;;;5
anoniem_BZK_77;;;;5;5
anoniem_BZK_78;4;;;3;4
anoniem_BZK_79;2;;;;2
anoniem_BZK_80;6;;;;6
anoniem_BZK_82;9;;;;9
anoniem_BZK_88;2;;;;2
anoniem_BZK_89;3;;;;3
anoniem_BZK_90;1;;;;1
anoniem_BZK_92;3;;;;3
anoniem_BZK_95;;3;;5;6
anoniem_BZK_96;;;;4;4
anoniem_BZK_97;2;;;;2
Antalis B.V.;1;;;;1
Antea Nederland B.V.;4;;;1;4
Antea Realisatie B.V.;3;;;;3
Anticimex;4;;;;4
AP+E;2;;;;2
APCOA Parking Nederland B.V.;1;;;;1
APO IMMO KAP INZ.ZKN;;2;;5;5
App.bouw- en Machinefabriek 'De Poort' B.V.;2;;;;2
APPM Management Consultants B.V.;1;;;;1
Apptimize;1;;;;1
Aprisco B.V.;;1;;2;2
Aprisco Retail Parks III B.V.;;;;6;6
AQ Group B.V.;2;;;;2
Aquaco B.V.;1;;;;1
Aquastyle;1;;;;1
ARAS Security B.V.;1;;;;1
ARCADIS Nederland;6;;;;6
Architecten en Adviesbureau Schreurs;2;;;;2
Architectenbureau Cepezed B.V.;2;;;;2
Architectenbureau De Twee Snoeken B.V.;5;;;;5
Architectenbureau JAN;3;;;;3
Ard Group B.V.;5;;;;5
Arfman Hekwerk B.V.;2;;;;2
Ark Portfolio III Owner C.V.;;;;6;6
Arno Dols Hoveniersbedrijf;2;;;;2
Aronsohn Construct. Raadgev. Ingenieurs B.V.;1;;;;1
Arpollo Amsterdam Beheer B.V.;;2;;;2
Art Centre Delft B.V.;1;;;;1
Art View;;;;1;1
Artas Beheer B.V.;1;;;;1
ARTGINEERING office for urbanism and architecture bv bvba;2;;;;2
Aruba Sun Control;1;;;;1
Arubaanse Schilders- en Afwerkingsbedrijf;3;;;;3
Arubaanse Wegenbouw Maatschappij N.V.;2;;;;2
Arup B.V.;6;;;;6
ASA International N.V.;;;;7;7
ASB Sanering B.V.;2;;;;2
ASB Security B.V.;2;;;;2
Asbestsanering en Milieutechniek Heezen B.V.;4;;;;4
Asbestsanering Het Zuiden B.V.;1;;;;1
Asbestverwijdering Flory B.V.;2;;;;2
Ascent Safety B.V.;1;;;;1
Ascom (Nederland) B.V.;5;;;;5
Asiaquest Ventures Holding N.V.;;;;4;4
Asito B.V.;1;;;;1
ASR Dutch Mobility Office Custodian B.V.;;;;6;6
ASSA ABLOY Entrance Systems;6;;;;6
ASSA ABLOY Nederland B.V.;2;;;;2
At Osborne B.V.;2;;;1;2
Atelier Eline Hoftiezer;1;;;;1
Atelier La Restauratrice;1;;;;1
Atelier Lennart van Dijk;2;;;;2
Atelier Solari;1;;;;1
Atrium Vastgoed Parkmanagement B.V.;;;;1;1
Atrium Vastgoedmanagement B.V.;;;;1;1
AUBERGE DE BONHEUR;;;;1;1
Automatic Signal Rijsenhout B.V.;5;;;;5
Aveco De Bondt;2;;;;2
Avitec Infra & Milieu N.V.;5;;;;5
AVO Almere;;;;1;1
Aweka Brandertechniek B.V.;1;;;;1
Axis Holding B.V.;;;;4;4
B & M Bouw;;;;1;1
B & O Letselschade B.V.;1;;;;1
B & S Meet- en Regeltechniek B.V.;3;;;;3
B&B Villa Emmen;1;;;;1
B&G Hekwerk B.V.;1;;;;1
B.F. van Tienen Aannemersbedrijf B.V.;2;;;;2
B.R.I. Sicherheidstechnik GmbH;1;;;;1
B.R.I. Sicherheitstechnik;1;;;;1
B.R.N. Parket B.V.;1;;;;1
B.uu.Q;2;;;;2
B.V. Aannemingsbedrijf Sporto;2;;;;2
B.V. Architectenbureau Cees Dam;2;;;;2
B.V. Bergen Op Zoomse Sanitair Installateurs;1;;;;1
B.V. Bouw- & Aannemingsbedr. G. de Haan & Zn.;5;;;;5
B.V. Bouwadviesbureau Strackee;1;;;;1
B.V. Bouwbedrijf Breumelhof;6;;;;6
B.V. 'Esbi';;;;2;2
B.V. Exploitatie Reservegronden Flevoland;;;;2;2
B.V. Handel- en Exploitatiemij. Ruygrok;;;;2;2
B.V. Technisch Bureau 'Massier';7;;;;7
B2 Projecten B.V.;2;;;;2
BAAC B.V.;;;;1;1
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;1;;;;1
Baarlen van N.J.G.;1;;;;1
Baars-Cipro B.V.;2;;;;2
Bakker & Bakker Vastgoed;;2;;2;2
Bakker & Spees B.V.;2;;;;2
Bakx & Meijer B.V.;;;;1;1
Baljet Groep Events & Facility Management;;;;1;1
Ballast Nedam Infra B.V.;1;;;;1
Balm B.V.;2;;;;2
BAM Bouw en Techniek B.V.;10;;;;10
BAM Bouw en Techniek regio Zuidwest;4;;;;4
BAM Infra B.V.;5;;;;5
Bambook V.O.F.;1;;;;1
Banketbakkerij Boheemen;1;;;;1
Bar Bonaire;;;;5;5
Bar Restaurant Pavlov B.V.;1;;;;1
Barbarossa Beach B.V.;1;;;;1
Barcol Air;4;;;;4
Bartels Ingenieursbureau;1;;;;1
Basalt Bouwadvies B.V.;6;;;;6
BAS-Bouwkundig Adviesbureau Spaans;2;;;1;2
Base Beheer B.V.;1;;;;1
Base Projecten B.V.;3;;;;3
BaseValue B.V.;;;;1;1
Basis Bedrijfshuisvesting B.V.;;;;1;1
Bastion Zuid B.V.;;;;7;7
Batweter onderzoek & advies;2;;;;2
Bava Verlichtingsindustrie B.V.;1;;;;1
Bavak Beveiligingsgroep B.V.;2;;;;2
BAYERNFONDS IMMOBILIENVERWALTUNG GMBH & CO. OBJECT HOLLAND 2 KG;;5;;8;8
Bayernfonds Immobilienverwaltung GMBH&Co object Holland 1 KG;4;;;8;8
BBA Binnenmilieu B.V.;2;;;;2
BBA Bur. voor Bouwh. en Architect.geschied.;3;;;;3
BBC Bouwmanagement B.V.;3;;;;3
BBO - Bureau Bouwondersteuning B.V.;2;;;;2
Bcl Real Estate B.V.;2;;;;2
BCM Consultancy B.V.;;;;1;1
bct architecten, ingenieurs en adviseurs B.V.;4;;;;4
BDA Dak- en Geveladvies B.V.;4;;;;4
BDA Dakadvies;2;;;;2
Beachclub BAIT;1;;;;1
Beelen Dakdekkers;5;;;;5
Beelen Sloopwerken B.V.;;;;1;1
Beens Dredging B.V.;5;;;;5
Beerstra Installatietechniek;2;;;;2
Beheeraccent B.V.;2;;;;2
Beijer en Zoon B.V.;1;;;;1
BeKaZet Vastgoed B.V.;;;;5;5
Belderink & Zn. Schilders- en Spuitbedr. B.V.;1;;;;1
Bepect Ltd.;1;;;;1
Bergh Brandkasten B.V.;1;;;;1
Bergh Brandscheidingen B.V.;4;;;;4
Bergo Clean & Clear;2;;;;2
Bergsma Drain B.V.;3;;;;3
Berki Brandbeveiliging B.V.;5;;;;5
Berko Noord B.V.;2;;;;2
Berkvens & Bliekendaal Two-B Engineering B.V.;1;;;;1
Bernadottelaan C.V.;;1;;4;4
Bescon Bestrijdingstechnieken B.V.;1;;;;1
Beta-Guard B.V.;2;;;;2
Beuk Horeca B.V.;2;;;;2
Beukenkwekerij van Ham;1;;;;1
Bevers Service & Onderhoud B.V.;1;;;;1
bGrid B.V.;3;;;;3
Bierman Henket architecten B.V.;4;;;;4
Bijlsma Hijs- en Heftechniek Joure B.V.;3;;;;3
Bilfinger Tebodin Netherlands B.V.;1;;;;1
BIMlink B.V.;3;;;;3
Binckhorst Investments B.V.;;;;2;2
Biolab Research & Solutions B.V.;2;;;;2
Bison Investments B.V.;;;;4;4
Bizinline B.V.;2;;;;2
BJ projectmanagement B.V.;3;;;;3
BK Ingenieurs B.V.;3;;;1;3
BK Welding Construction;5;;;;5
BKB;4;;;;4
BLB NRW NL Munster;2;;;;2
Bliksembeveiliging Mulhuijzen B.V.;4;;;;4
Blinckschoon;;;;1;1
Bloemen Parket B.V.;1;;;;1
Blonk Advies B.V.;1;;;;1
Blygold Laboratories B.V.;1;;;;1
Blygold Nederland B.V.;2;;;;2
Blygold Schiphol B.V.;2;;;;2
BMD Advies Noord Nederland B.V.;1;;;;1
BMD B.V.;2;;;;2
BME Asbest Consult B.V.;2;;;;2
BN Vastgoed B.V.;2;;;;2
Boag B.V.;2;;;;2
Boberik;;;;1;1
Boekweit Vastgoed Beheer B.V.;;;;2;2
Boerderij Prins;;;;1;1
Boerhof Projectinrichters;2;;;;2
Boermans Elektrotechniek B.V.;2;;;;2
Boersema Installatie-Adviseurs B.V.;2;;;;2
Boersen Bliksembeveiliging B.V.;2;;;;2
Boersma's Drainagebedrijf B.V.;2;;;;2
Bohama Aruba N.V.;2;;;;2
Bolidt Kunststoftoepassing B.V.;2;;;;2
Boll Engineering Build & Construct B.V.;3;;;;3
Bomendienst;1;;;;1
Bonaire werf- en Jachhaven N.V. harbor village marina;;;;2;2
Bonairiaanse Wegenbouw Maatschappij NV;2;;;;2
BonsMeesters SBA;;;;2;2
Boomkwekerij Ebben B.V.;2;;;;2
Booms & Kuipers technisch adviesbureau B.V.;5;;;;5
Boomtotaalzorg;2;;;;2
Boon Edam Nederland B.V.;3;;;;3
BOOT organiserend ingenieursburo B.V.;2;;;;2
Bordbusters B.V.;;;;1;1
Boricon B.V.;3;;;;3
Bork Asbestsaneringen B.V.;1;;;;1
Bork Sloopwerken B.V.;1;;;;1
Borrenbergs Bouwbedrijf B.V.;8;;;;8
Borrenbergs Projectinrichting;2;;;;2
Bos & Couvée Industr. Vormgeving & Modelbouw;1;;;;1
Bos Tuingereedschappen;1;;;;1
Bosch Security Systems B.V.;1;;;;1
Bosch Thermotechniek B.V.;1;;;;1
Bosker International B.V.;1;;;;1
Bosman Watermanagement B.V.;1;;;;1
Bosveld Gerechtsdeurwaarders & Incasso's;;;;1;1
Boterwaag Den Haag B.V.;1;;;;1
Bothe Beddenspeciaalzaak B.V.;3;;;;3
Botterweck B.V.;6;;;;6
bouAd adviesgroep;3;;;;3
Bouma Sport en Groen B.V.;3;;;;3
Bouter B.V.;7;;;;7
Bouw- en Aannem.bedr. A.J. van der Tol B.V.;1;;;;1
Bouw- en Aannemingsbedrijf L. Dijkxhoorn B.V.;7;;;;7
Bouw- en Restauratieadviesburo Holtzer;2;;;;2
Bouw/Rest.bedr. Van de Burgt en Strooij B.V.;5;;;;5
Bouwbedrijf aan de Stegge Twello B.V.;2;;;;2
Bouwbedrijf Buiteveld B.V.;2;;;;2
Bouwbedrijf De Boer B.V.;2;;;;2
Bouwbedrijf De Zwart B.V.;3;;;;3
Bouwbedrijf Eikenaar B.V.;1;;;;1
Bouwbedrijf Gebroeders in den Eng B.V.;4;;;;4
Bouwbedrijf Kreeft B.V.;7;;;;7
Bouwbedrijf Lammersen B.V.;;;;2;2
Bouwbedrijf Meliskerke B.V.;6;;;;6
Bouwbedrijf Meliskerke Beheer B.V.;3;;;;3
Bouwbedrijf Osnabrugge B.V.;1;;;;1
Bouwbedrijf Pennings B.V.;4;;;;4
Bouwbedrijf Van der Kolk Emmeloord B.V.;2;;;;2
Bouwbedrijf van Laar B.V.;4;;;;4
Bouwbedrijf van Norel B.V.;5;;;;5
Bouwbedrijf van Schijndel B.V.;5;;;;5
Bouwbedrijf Wilbrink B.V.;4;;;;4
Bouwbedrijf Zegers Arnhem B.V.;6;;;;6
Bouwbureau Kees Benders;1;;;;1
Bouwburo De Wilde B.V.;1;;;;1
Bouwburo Vitruvius B.V.;2;;;1;2
Bouwcomb. Dura Vermeer Trebbe Gerechtsg. VOF;7;;;;7
Bouwcombinatie NCIA V.O.F.;4;;;;4
Bouwconsulting B.V.;;1;;4;4
Bouwgroep Dijkstra Draisma;8;;;;8
BouwHeeren;2;;;;2
Bouwinvest Dutch Institutional Office Fund NV;;;;8;8
BouwkostenExpert B.V.;4;;;;4
Bouwkundig Bureau Oudewaal;2;;;;2
Bouwmaatschappij Rokin B.V.;5;;;;5
Bouwmeester Boomverzorging;1;;;;1
Bouwonderneming Jager B.V.;2;;;;2
Bouwonderneming Stout B.V.;3;;;;3
BouwQ B.V.;2;;;;2
Bouwstart V.O.F.;2;;;;2
Bovenregionaal kantoor;1;;;;1
Brabanthallen;1;;;;1
Brafon Brandveiligheidsmanagement;1;;;;1
Brain of buildings B.V.;6;;;;6
Brain of buildings tech-engineering B.V.;3;;;;3
Brakel Atmos B.V.;4;;;;4
Brakel Caribbean Glas & Aluminium N.V.;2;;;;2
Brand Interieurs & Control Rooms B.V.;1;;;;1
Brandsma Dakservice;3;;;;3
Brandzorg B.V.;1;;;;1
Bredenoord B.V.;1;;;;1
Breedveld & Schroder;5;;;;5
Breijer Contractonderhoud B.V.;9;;;;9
Breijer Projecten B.V.;;;;;
Breman Utiliteit Zwolle B.V.;7;;;;7
Bremen Bouwadviseurs B.V.;5;;;;5
Breuers & Cobelens;;;;1;1
Breuers & Cobelens B.V.;2;;;;2
Breur IJzerhandel Vlietlaan B.V.;3;;;;3
Breure B.V.;2;;;;2
BRI Electrotechniek B.V.;3;;;;3
BRI Groep;4;;;;4
BRI Sanitairtechniek B.V.;2;;;;2
Brian Franken Technieken B.V.;6;;;;6
Bright Bar;1;;;;1
BRIGHT Coöperatie UA;1;;;;1
Brink Management & Advies B.V.;7;;;;7
Brink Management/Advies;;;;1;1
BrinkBox B.V.;2;;;;2
Brinkel & Janssen Vastgoed Holding B.V.;;3;;6;6
Brinkman B.V.;1;;;;1
Brivas;1;;;;1
Brondool B.V.;3;;;;3
Bronnenberg B.V.;1;;;;1
Brouwers Groenaannemers B.V.;2;;;;2
Brugman Keukens & Badkamers B.V.;2;;;;2
Bruijns Glas en Schilderwerken;2;;;;2
Bruijs en Streep restauratie;2;;;;2
BSS Slotenservice en Deuren B.V.;1;;;;1
BTL Advies B.V.;1;;;;1
BTL Realisatie B.V.;7;;;;7
BTS;1;;;;1
BuckAdvies;1;;;;1
Bulkens Architecten B.V.;1;;;;1
Bulldozerbedrijf J. van Lingen;4;;;;4
Bullée Breedenbroek V.O.F.;;;;1;1
Bumicom Telecommunicatie B.V.;1;;;;1
Bundeswehr-Dienstleistungszentrum;2;;;;2
Bur. B + B Stedeb. en Landschapsarch. B.V.;2;;;;2
Bur. Bouwhist. Onderzoek/Restauratie Franken;3;;;;3
Bur. LUBBERS Landschapsarch. & Stedenbw B.V.;2;;;;2
Bur. v. Bouwhist. Ond. & Rest. K.C. v.d. Ende;3;;;;3
Bureau G.I.T.;1;;;;1
Bureau Kroner architecten B.V.;3;;;;3
Bureau Meervelt;2;;;;2
Bureau Veritas Industrial Services;1;;;;1
Bureau Vlaardingerbroek B.V.;2;;;;2
Bureau voor bouwhistorisch onderzoek;2;;;;2
Bureau voor Bouwpathologie B.V.;1;;;;1
Bureau voor Overheidscommunicatie B.V.;4;;;;4
Bureau Waardenburg B.V.;1;;;;1
BurgtBouw B.V.;6;;;;6
Burgy Bouwbedrijf B.V.;6;;;5;7
Burns & McDonnell Global Inc.;;;;7;7
Buro Antares B.V.;1;;;;1
Buro Bentheimer;;;;1;1
Buro Blauw B.V.;2;;;;2
Buro DSB zorg voor buitenkunst;1;;;;1
BURO38;1;;;;1
Buro4 Bouwhistorie;;;;1;1
Business Automation & Security Concepts NV dba BASCO N.V.;1;;;;1
Business Solutions;1;;;;1
BUSS IMMOBILIENFONDS HOLLAND 1 GMBH & CO. KG;;3;;7;7
Buster Bouwcontrol B.V.;1;;;;1
BUUR cvba;1;;;;1
Buurman Fotografie;;;;1;1
Buursema's Bouwbedrijf B.V.;3;;;;3
Buveco Gasdetection B.V.;2;;;;2
Buyitdirect.com B.V.;3;;;;3
Buysen Schilders B.V.;4;;;;4
B-Vak;1;;;;1
BYCS Global Programs B.V.;1;;;;1
C.V. Vastgoed Paterswoldseweg 814;;3;;6;7
C.V. Ypenburg;;;;1;1
Cadac Group AEC B.V.;2;;;;2
Café 2005;1;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;;1
Cafe/Restaurant Schlemmer;1;;;;1
CAG;5;;;;5
CAG AMned B.V.;3;;;;3
CaJa Projecten B.V.;1;;;;1
Camelot Beheer B.V.;2;;;;2
Camelot Vastgoedbeheer en Beveiliging B.V.;;;;1;1
Camsecure;1;;;;1
Capo Cucina;1;;;;1
CarBon6 B.V.;;5;;6;7
CareX Fryslân B.V.;3;;;;3
Caribbean Coastal & Civil Engineering N.V.;3;;;;3
CARIBBEAN ENGINEERING & CONSULTANCY COMPANY;2;;;;2
Caribbean Measurement Technologies B.V.;1;;;;1
Caribbean Project Developers BV;1;;;;1
Carlton Beach Club;1;;;;1
Carnegie-Stichting;2;;;;2
Carpinteria Korsow International N.V.;1;;;;1
Castor (Orion) B.V.;;;;;
Catering Cor Jansen B.V.;1;;;;1
Cavalier Logistics;1;;;;1
CBRE B.V.;;;;6;6
CBRE DOF Custodian B.V.;;4;;7;7
CBRE DRES Custodian II B.V.;;;;4;4
CDR Vastgoed B.V.;;1;;4;4
Cedric Consult B.V.;3;;;;3
Centraal Bureau Bouwbegeleiding B.V.;3;;;;3
Centrica Business Solutions B.V.;4;;;;4
CENTURIO B.V.;2;;;;2
Ceramic Services International;2;;;;2
CertiQ B.V.;1;;;;1
Certitudo Amsterdam City II B.V.;;;;6;6
CertWell B.V.;1;;;;1
Chalet V B.V.;;2;;5;5
Chalet X B.V.;;4;;6;6
Cherubs Beveiliging B.V.;1;;;;1
Chex Liftkeuringen B.V.;1;;;;1
Choufour Bureau voor Architect. en Bouwhist.;;;;2;2
Chris Collaris Design;1;;;;1
Christalessa Pensioenfonds Steven Gibbs Stichting;;;;3;3
Christiaan Weiler Architecte ir. Msc.;;;;1;1
Chubb Fire & Security B.V.;7;;;;7
Chubb Fire & Security Groningen;2;;;;2
Cinco Cleaning B.V.;1;;;;1
Ciolina B.V.;;;;1;1
City Dust Studio;2;;;;2
Civic Architecture;1;;;;1
Civil, Environmental & Geotechnical Engineers Caribbean;2;;;;2
Claessens Onroerend Goed B.V.;;2;;2;3
CLAI Consult;2;;;;2
Clevers Asbestsanering B.V.;2;;;;2
Clock Care B.V.;1;;;;1
CLRBLND Concepts;1;;;;1
C-Mark B.V.;4;;;;4
Cnossen Infra B.V.;5;;;;5
Coaton B.V.;1;;;;1
Cobra adviseurs B.V.;1;;;;1
Colliers International REMS Retail;3;;;;3
Colliers International Valuations;1;;;;1
Colt International B.V.;2;;;;2
COMMERZ GRUNDBES. INVESTM. MBH P/A ARTONA ASSET MANAGEMENT B.V.;;;;7;7
Commonwealth Investments B.V.;1;;;;1
Comsafe Beveiligingstechniek B.V.;1;;;;1
Comtest Engineering;1;;;;1
ComVest Consultancy B.V.;3;;;;3
Conan B.V.;5;;;;5
Con-c B.V.;;;;2;2
Concept Frenking GmbH;1;;;;1
Concept Ingenieurs;1;;;;1
Concilio Stichting;;;;3;3
Concorde Group B.V.;1;;;;1
Condair B.V.;2;;;;2
Coneco Building Automation B.V.;2;;;;2
