OBJECTID,PUIC,REF_WISSEL_KRUISING_PUIC,REF_WISSEL_KRUISING_NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,OPC_GEBIED_NAAM,OPC_GEBIED_NR,TECHNIEKVELD,PGO_GEBIED_NAAM,BEHEERDER,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,Z,PGO_GEBIED_NR,GELDIG_VANAF,PUBLICATIEDATUM,PCA,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
1,ed7dea21-4835-49c6-b45e-8712d03dd43d,c2c52df9-94ec-4949-bf1b-6bea93f748b2,35,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"87,985149",-3.648001,"-3,648001",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,194676.32,469193.01199999,17.157,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20940685,5.96768733,87.985149
2,da5d8099-f125-44de-a167-35e21f672bf9,3f7d0bbe-8725-4a9e-8e52-033ca5ea97bf,909,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,294461",37.565597,"37,565597",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194982.89999999,469135.091,17.018,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20886415,5.97216568,88.294461
3,a4b68193-d14f-4fdf-b75b-9aa93c99e526,8d4d6fd3-a911-4b7d-ba67-3c363b9c1be7,71,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,939269",-1.68533,"-1,685330",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195627.492,469150.39399999,16.648,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Onbekend,Oost,52.20895459,5.98159763,88.939269
4,21602c50-831d-4a51-aea2-35d314d37973,d05dc5f7-51c7-4bfa-805c-5b05132b33d3,907,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,256365",33.918148,"33,918148",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194945.155,469141.20699999,16.99899999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20892185,5.97161421,88.256365
5,cbc84df8-3056-43a7-aa50-ccb0486f33d4,84d563e4-3027-4ecd-b861-ecf91f5d764b,53B,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,497460",-1.308408,"-1,308408",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195188.303,469160.973,17.151,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20908184,5.97517372,88.49746
6,7429e5d8-312d-422e-9808-9027757a8b04,c46cb9b8-519c-4728-b0cd-5a64e7ebfe22,911,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,333625",41.532373,"41,532373",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195021.63699999,469128.494,17.068,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20880205,5.97273161,88.333625
7,5e3d7da8-314b-440c-bb16-88419b967565,483482f7-c029-4ce5-b581-6c36dbd6f9ae,33,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"87,950236",17.31608,"17,316080",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,194640.56299999,469173.35399999,17.17899999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20923274,5.96716191,87.950236
8,cb889b5a-9a67-4dad-a1ac-be502b3c8c83,f6acfaf2-8558-4834-94ed-9b308766dfdc,915,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,417504",19.201602,"19,201602",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195107.139,469145.216,17.149,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20894613,5.97398445,88.417504
9,78cee3ad-b07a-401b-b70f-cab21ccbe685,0fe6c8bc-809d-4b3d-bd8a-e05f7122cf20,61B,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,564995",2.102713,"2,102713",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195255.446,469153.71299999,17.19699999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20901169,5.97615513,88.564995
10,1bfd86c6-6a5d-4cdc-bf55-92e413a871f2,f2877274-c62e-4a42-b5ab-865a86d5b63f,59A,60,Bestaand,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,554504",7.447436,"7,447436",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195244.681,469148.97499999,17.14699999,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Ja,Oost,52.20896989,5.97599708,88.554504
