FID,code,datummutatie,naammuteerder,binnentalud,kruinbreedte,buitentalud,status,rwsdienst,genormeerd,stabiliteitsberm,voorland,kruinhoogte,profieltype,profielurl,waterlichaam,opmerkingen,bron,gdb_geomattr_data,shape
dwarsprofiel_over_regionale_kering_legger.1,MN_dp_05.550_Oost,2014-10-13T00:00:00,Fugro,2,4.9,6,Definitief,MN,0,0,0,1.12,10,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_05.550_Oost.html,Amsterdam-Rijnkanaal,,"RWS-MN, 27092013, Bestaande situatie ARK oostkanaaldijk 6,5 - 31,65_2007.dwg",,"LINESTRING (128961.35319999978 483745.98580000177, 128819.43989999965 483589.7223000005)"
dwarsprofiel_over_regionale_kering_legger.2,MN_dp_06.470_Oost,2014-10-13T00:00:00,Fugro,1.5,10.6,-96,Definitief,MN,0,0,0,0.9,5,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_06.470_Oost.html,Amsterdam-Rijnkanaal,,"RWS-MN, 27092013, Bestaande situatie ARK oostkanaaldijk 6,5 - 31,65_2007.dwg",,"LINESTRING (129633.37689999864 483059.0859000012, 129484.8852000013 482945.4144000001)"
dwarsprofiel_over_regionale_kering_legger.3,MN_dp_07.00 Oost,2014-10-13T00:00:00,Fugro,3.5,4.57,10,Definitief,MN,0,1,0,1.01,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_07.00_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (129897.75310000032 482527.2318999991, 129727.81769999862 482482.87530000135)"
dwarsprofiel_over_regionale_kering_legger.4,MN_dp_13.990 Oost,2014-10-13T00:00:00,Fugro,1.8,9.47,4.3,Definitief,MN,0,1,0,1.07,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_13.990_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (129952.93189999834 475513.0102000013, 129781.46840000153 475535.18189999834)"
dwarsprofiel_over_regionale_kering_legger.5,MN_dp_14.500 Oost,2014-10-13T00:00:00,Fugro,1.5,10.46,4.2,Definitief,MN,0,1,0,1.02,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_14.500_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (129877.70850000158 475022.42229999974, 129693.27109999955 475041.7677000016)"
dwarsprofiel_over_regionale_kering_legger.6,MN_dp_23.020 Oost,2014-10-13T00:00:00,Fugro,2.5,2.79,7,Definitief,MN,0,1,0,1.33,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_23.020_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (128404.29069999978 466626.3429999985, 128250.04039999843 466648.2292000018)"
dwarsprofiel_over_regionale_kering_legger.7,MN_dp_25.020 Oost,2014-10-13T00:00:00,Fugro,1.9,6.5,4.1,Definitief,MN,0,0,0,2.43,10,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_25.020_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (128337.51280000061 464676.86659999937, 128179.24659999833 464657.9026999995)"
dwarsprofiel_over_regionale_kering_legger.8,MN_dp_25.940 Oost,2014-10-13T00:00:00,Fugro,1.7,9.58,6.8,Definitief,MN,0,1,0,1.03,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_25.940_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (128437.67139999941 463784.2093999982, 128268.50539999828 463740.89550000057)"
dwarsprofiel_over_regionale_kering_legger.9,MN_dp_29.950 Oost,2014-10-13T00:00:00,Fugro,0.9,6.32,-98,Definitief,MN,0,0,0,1.55,10,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_29.950_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (131105.23640000075 460943.7175000012, 130994.09019999951 460825.71770000085)"
dwarsprofiel_over_regionale_kering_legger.10,MN_dp_30.960 Oost,2014-10-13T00:00:00,Fugro,-99,-99,-96,Definitief,MN,0,0,0,1.52,7,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_30.960_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (131924.37999999896 460350.77120000124, 131797.25470000133 460219.1336000003)"
dwarsprofiel_over_regionale_kering_legger.11,MN_dp_08.020 Oost,2014-10-13T00:00:00,Fugro,2.3,8.85,4,Definitief,MN,0,0,0,0.8,10,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_08.020_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (129986.86419999972 481496.6374000013, 129827.30550000072 481477.31060000136)"
dwarsprofiel_over_regionale_kering_legger.12,MN_dp_18.500 Oost,2014-10-13T00:00:00,Fugro,1.8,9.5,6,Definitief,MN,0,1,0,1.06,9,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_18.500_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (129179.26170000061 471063.91789999977, 129022.62900000066 471088.431499999)"
dwarsprofiel_over_regionale_kering_legger.13,MN_dp_24.490 Oost,2014-10-13T00:00:00,Fugro,-98,3.51,4.4,Definitief,MN,0,0,0,1.33,10,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/MN_dp_24.490_Oost.html,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,"LINESTRING (128269.79850000143 465220.14979999885, 128125.39149999991 465200.5767999999)"
