Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
!pet handel B.V.;;;1;;;;;1
&Maes B.V.;;;;;1;;1;1
&Samhoud Nederland B.V.;;;;;2;;;2
(Naast) de Markt B.V.;;;;;;;1;1
.bos Ontwikkeling en Organisatie;;;;;1;;;1
@vance, Public Affairs en Policy consultants;;;1;;;;;1
1001concepten B.V.;;;1;;;;;1
1e Klas' Grand Café Restaurant;;;;;;;1;1
2 Facilitate 4 Best Results;;;;;1;;;1
2 Know How;;;1;;1;;;2
24/7 Fitnesscentrum Ron Haans Assen B.V.;;;;;1;;;1
2BEMOVED B.V.;;;1;;;;;1
2CHANGE;;;;;1;;1;1
2D Tech Limited;;;1;;;;;1
2strand B.V.;;;;;;;1;1
2tact B.V.;;;;;3;;;3
2XB Overheidsadvies B.V.;;;1;;;;;1
3 Maal 3 VOF;;;;;1;;;1
365 dagen succesvol;;;;;1;;;1
3PK;;;1;;;;;1
4 Seasons Events;;;;;;;;
4Elements Media;;;1;;;;;1
50 Company B.V.;;;;;1;;;1
5hart-IT Opleidingen B.V.;;;;;5;;;5
5st3ps lean six sigma;;;;;1;;;1
7AM Den Haag B.V.;;;1;;1;;1;1
9C Coaching;;;;;1;;1;1
A & P Investments B.V.;;;3;;1;1;1;3
A 15 Dordrecht;;;;;;;1;1
A Beautiful Mess Restaurant B.V.;;;1;;;;;1
A Guide to Leeuwarden;;;1;;;;;1
A R T Arnhemse Rolstoel Taxi;;;;;;;1;1
A van O B.V.;;;1;;;;;1
A. Hinnen en Zoon B.V.;;;1;;;;;1
A. Langeveld V.O.F.;;;1;;;;;1
A. Rietveld Boekbinderij;;;1;;;;;1
A. Schrage Praktijk voor Int. Psychotherapie;;;;;1;;;1
A. van Helden Relatiegeschenken B.V.;;1;2;;;;;2
A.G. Advies B.V.;;;;;1;;;1
A.R. Angkotta;;;;;;;1;1
A.Schouten, orthopedagoog en gz psycholoog;;;;;;;1;1
A.T. van der Meij thodn Jamin Arnhem Centrum;;;1;;;;;1
A.v.Groningen Corporate & Finance Training BV;;;;;2;;;2
A5tien B.V.;;;;;1;;;1
Aan de Beek B.V.;;;;;;;1;1
Aan de slag Personeelsdiensten;;;2;2;;;;3
Aardbeienkwekerij Richard en Annet Kalter;;;1;;;;;1
ABC communicatie & mediaproducties;;;;;2;;;2
ABC Sevenum B.V.;;;1;;;;;1
Absoluta B.V.;;;2;;1;;1;2
