FID,oid_,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkinge,symbol,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
trend_2009_25.1,0,300200,3,200,165,187.0797541,22.0797541,-9.045,2011,- - 3 4 5 -,3,852.25,,,"POLYGON ((169084 607162, 169310.125 607162, 169310.125 606962, 169084 606962, 169084 607162))"
trend_2009_25.2,0,300201,3,201,160,179.88285246,19.88285246,-10.002,2010,- - 3 4 5 -,3,900.1,,,"POLYGON ((169121.45600000024 607350.9750000015, 169366.91200000048 607303.2630000003, 169328.75 607106.938000001, 169083.29399999976 607154.6499999985, 169121.45600000024 607350.9750000015))"
trend_2009_25.3,0,300202,3,202,170,183.38567213,13.38567213,-9.498,2010,- - 3 4 5 -,3,874.9,,,"POLYGON ((169194.27299999818 607529.3429999985, 169414.43299999833 607440.3929999992, 169339.51099999994 607254.9560000002, 169119.35200000182 607343.9070000015, 169194.27299999818 607529.3429999985))"
trend_2009_25.4,0,300203,3,203,190,185.80912568,-4.19087432,-10.81,-,1 - 3 4 5 -,4,940.5,,,"POLYGON ((169278.33199999854 607662.7789999992, 169509.98200000077 607523.5899999999, 169406.97399999946 607352.1570000015, 169175.32499999925 607491.3460000008, 169278.33199999854 607662.7789999992))"
trend_2009_25.5,0,300204,3,204,210,198.114,-11.886,-11.712,-,1 - 3 4 5 -,4,985.6,,,"POLYGON ((169382.23200000077 607781.4169999994, 169606.5300000012 607593.2089999989, 169477.97199999914 607440, 169253.67399999872 607628.2080000006, 169382.23200000077 607781.4169999994))"
trend_2009_25.6,0,300220,3,220,360,273.75622951,-86.24377049,-14.25,-,1 - 3 4 5 -,4,1112.5,,,"POLYGON ((169526.90300000086 607947.5340000018, 169795.76799999923 607713.811999999, 169664.55600000173 607562.8709999993, 169395.69099999964 607796.5920000002, 169526.90300000086 607947.5340000018))"
trend_2009_25.7,0,300240,3,240,440,310.12733333,-129.87266667,-18.422,-,1 - 3 4 5 -,4,1321.1,,,"POLYGON ((169656.90300000086 608100.5329999998, 170004.4849999994 607798.3850000016, 169873.27299999818 607647.4439999983, 169525.69099999964 607949.5909999982, 169656.90300000086 608100.5329999998))"
trend_2009_25.8,0,300260,3,260,450,286.84201093,-163.15798907,-25.828,-,1 - 3 4 5 -,4,1691.4,,,"POLYGON ((169787.90300000086 608252.5329999998, 170275.2190000005 607828.9160000011, 170144.00699999928 607677.9739999995, 169656.69099999964 608101.5920000002, 169787.90300000086 608252.5329999998))"
trend_2009_25.9,0,300280,3,280,450,259.35934973,-190.64065027,-27.701,-,1 - 3 4 5 -,4,1785.05,,,"POLYGON ((169919.90300000086 608406.5329999998, 170442.55799999833 607952.1959999986, 170311.34699999914 607801.2540000007, 169788.69099999964 608255.5909999982, 169919.90300000086 608406.5329999998))"
trend_2009_25.10,0,300300,3,300,455,241.9179071,-213.0820929,-26.597,-,1 - 3 4 5 -,4,1729.85,,,"POLYGON ((170049.77199999988 608555.4389999993, 170543.90799999982 608110.5179999992, 170410.08199999854 607961.8889999986, 169915.9459999986 608406.8110000007, 170049.77199999988 608555.4389999993))"
