Leveranciers;1120 Arbeidsomstandigheden en personele zorg;1130 Representatie voor eigen personeel;1140 Instroom, doorstroom en uitstroom van personeel;1150 Leren en ontwikkelen;1160 Personeelsevenementen, bijeenkomsten en recepties;1170 Noodzakelijke contributies van personeel;1180 Reis & verblijfskosten;1-Personele exploitatie
FARMERS STEAKHOUSE;;1;;;;;;1
FC Groningen;;1;;;;;;1
Feest & Culinair;;1;;;;;;1
Feest Quiz;;;;;;;1;1
Fellini;;1;;;;;;1
Felua-Groep Interstap;1;;;;;;;1
Fency Food;;1;;;;;;1
Fepa Horeca (Le Hathor);;1;;;;;;1
Figi - Hotel Theater Figi & Slot Zeist;;;;;;;1;1
FIN/Belastingdienst/CFD - Centrum voor Facilitaire Dienstverlening;;1;;;;;;1
FinanceFactor BV;;;;;;;1;1
FINNEGANS'S;;1;;;;;;1
FIOD Fiscale Inlichtingen- en Opsporingsdienst;;1;;;;;;1
Fire Palace;;1;;;;;;1
Fireware;2;;;;;;;2
FiRm Onderwijs;;;;1;;;;1
Firma J. Drenth;1;;;;;;;1
Fiscaal Economische Instituut;;;;1;;;;1
Fit Form Fitness Catering;;3;;;;;;3
Fitland Groep;;1;;;;;;1
Fitness Dome;;1;;;;;;1
Flamingo's Plaza;;1;;;;;;1
Fletcher Hotel Restaurant;;1;;;;;;1
Fleurop;;1;;;;;;1
Flex I.D.;;;;2;;;;2
Flight Simulator Training;;;;1;;;;1
Florino Bloemcreaties;;1;;;;;;1
Flowers For You;;1;;;;;;1
Flowers4U;;1;;;;;;1
Flux Groep B.V.;;;;2;;;;2
FMN Facility Management Nederland;;;;;;1;;1
Foam Amsterdam;;;;1;;;;1
Focus Advisering Training Coaching, Conferences;;;;4;;;;4
Fong Sheng Chinees-Indisch Restaura;;;;;1;;;1
Fons Dekker Catering Service;;1;;;;;;1
Food Enjoyce;;2;;;;;;2
Forelvijver de Ruigenhoek;;1;;;;;;1
Fortuna;;1;;;;;;1
Fotoacademie;;;;1;;;;1
Fouquet Restaurant (De Bruijn - Kamphuis);;1;;;;;;1
Franciscaans Studiecentrum;;;;1;;;;1
Frank van der Horst (gezondheidspsy;1;;;;;;;1
Franklin Covey;;;;1;;;;1
Frankwatching;;;;1;;;;1
Franzo pannenkoeken;;1;;;;;;1
Free Your Mind Events;;1;;;;;;1
Freestyle samba-percussion;;1;;;;;;1
Fresh Today;;1;;;;;;1
Fries Museum;;1;;;;;;1
Frijters Mind Tuning;1;;;;;;;1
Frisse Blikken ondernemen met Talent;;;;4;;;;4
Fruitschaal.Nu;;1;;;;;;1
FSDC Fiscaal Studie en Documentatiecentrum;;;;3;;;;3
Full House;;1;;;;;;1
Furore;;;;1;;;;1
G. Bakker & Zn.;;1;;;;;;1
G.W.B. van Westen;;;;1;;;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;;5;;;;5
Gaal Bloemenhuis;;1;;;;;;1
Gabriël Anthonio;;;;1;;;;1
Galgenwaard B.V.;;1;;;;;;1
Gall & Gall;;1;;;;;;1
Gamma;;1;;;;;;1
Garoeda Indonesisch Restaurant;;1;;;;;1;1
Gasterie Dobbelsteyn;;1;;;;;;1
Gasterij De Gulle Goedzak;;1;;;;;;1
Gasterij de Wagenmeester;;1;;;;;;1
Gastrovino Vaneker;;1;;;;;;1
GBNED Onderzoekbureau;;;;1;;;;1
Gea Smidt Interim Coaching en Advie;;;;1;;;;1
GEENE PEETER BLOEMSIERKUNST;;1;;;;;;1
Geldersch Landschap en Kasteelen;;1;;;;;;1
Geldof Designs;;3;;;;;;3
Gemba Service B.V.;;;;1;;;;1
Gemeenschappelijke Opleiding;;;;2;;;;2
Gemeente Amsterdam;;;;1;;;;1
Gemeente Arnhem;;;;1;;;;1
Gemeente Delft;;;;1;;;;1
Geniet Eetwinkel;;1;;;;;;1
GEO - ICT;;;;1;;;;1
Gerard van der Made;;;;2;;;;2
Gerecht Grand Cafe;;1;;;;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;1;;;;;;1
Get Massage;;1;;;;;;1
Gewoon Gouds;;1;;;;;;1
GGMD voor Doven en Slechthorenden;;;;1;;;;1
GGN (incl. van Mastrigt & Partners, Tijhuis & Partners);;;;1;;;;1
Gielkens Zeelen;;;;1;;;;1
Giesen, H.J.;1;;;;;;;1
Gift Coaching Training Advies;;;;1;;;;1
Gilde Den Haag;;1;;;;;;1
GITP (incl. Pi Company);;;4;1;;;;4
Giuliano's Pasta & Pasta Restaurant;;1;;;;;;1
Glissando Music;;;;;;;1;1
Global Edutainment;;;;1;;;;1
Global FIT B.V.;;1;;;;;;1
Global Knowledge Network;;;;6;;;;6
Global powwow;;1;;;;;;1
Global Project Performance;;;;1;;;;1
GLOBE PARTY EVENTS;;1;;;;;;1
GMS Instruments;;;;1;;;;1
Goethe Instituut Amsterdam;;;;1;;;;1
Golden Dynasty Chinees Restaurant;;1;;;;;;1
Golden Tulip;;;;;;;1;1
Gorkink Natuurlijk (Bloemen);;1;;;;;;1
Gortcoaching;1;;;;;;;1
Gouden Huis Restaurant;;1;;;;;;1
Governance & Integrity;;;;4;;;;4
GPSSpellen/Stadsspellen;;1;;;;;;1
Grachten Atelier;;1;;;;;;1
Gradus Groep;1;;;;;;;1
Grand Café Aquarant;;1;;;;;;1
Grand Cafe de Dominee;;1;;;;;;1
Grand Turquoise;;;;;;;1;1
GRASSCHOPPERS DE;;1;;;;;;1
Greenjoy;;1;;;;;;1
Grindo /Het Witte Huis;;1;;;;;;1
Gringo's;;1;;;;;;1
Grizzly New Marketing;;1;;;;;;1
Groenendijk Bedrijfsschoenen en kleding;;1;;;;;;1
Groeskamp Restaurant;;1;;;;;;1
Groothuis Cafe Eetcafe;;1;;;;;;1
Grotius Academie;;;;1;;;;1
Gusto Design Shop;;1;;;;;;1
Gusto Mangia E Bevi;;1;;;;;;1
Haaglanden Opleidingscentrum;;;;1;;;;1
Hafenstube Restaurant;;1;;;;;;1
Hafina.nl Organisatieadvies;;;;1;;;;1
Hampshire Hotel;;;;;;;1;1
Hamtax;;;;;;;1;1
Hanneman De Toerist;;1;;;;;;1
Hans de Bruijn Training & Advies;;;;1;;;;1
Hans van Dijk;;;;1;;1;;1
Hanze-Stadsbrouwerij;;1;;;;;;1
Hapjes aan huis;;1;;;;;;1
Happy Garden Chinese Wok Restaurant;;1;;;;;;1
Haptotherapie Bert Adolfsen;1;;;;;;;1
Haptotherapie Dantzig;1;;;;;;;1
Harbour Horeca;;1;;;;;;1
Harlekijn Import;;1;;;;;;1
Hart Beach Events;;1;;;;;;1
Havana (Santé Horeca Beheer);;1;;;;;;1
Havenbedrijf Rotterdam;;1;;;;;1;1
HeadQuater;;1;;;;;;1
Health Factor Business;2;;;;;;;2
Heartmax Benelux;1;;;;;;;1
Heeren Van Aemstel;;1;;;;;;1
Height;1;;;1;;;;1
Heijkens;;1;;;;;;1
Heitzer, Imke;;;;;;;1;1
Helicon Opleidingen;;;;1;;;;1
Heliview;;;;1;;;;1
Hellema Chocolade;;2;;;;;;2
HELM DE H.S.V.;;1;;;;;;1
Hemelse Modder Restaurant;;1;;;;;;1
Hemingway's Restaurant;;1;;;;;;1
Hendrikx van der Spek, Bureau voor Bedrijfscommunicatie;;;;1;;;;1
Henk Vrielink Keurslagerij;;1;;;;;;1
HERES J.P.;1;;;;;;;1
HERMANTAP;;;;;;;1;1
Hermes Brasserie;;1;;;;;;1
Hermitage Restaurant & Bodega;;1;;;;;;1
Het Balkon;;;;1;;;;1
Het Boze Wijf Café Restaurant;;1;;;;;;1
Het Broodhuys;;1;;;;;;1
Het dorstige hert;;1;;;;;;1
Het Eerste Bedrijf;;;;1;;;;1
Het Eerste Huis;;;;1;;;;1
Het Ei Van Columbus Bistro Brasserie;;1;;;;;;1
Het Fotomoment;;1;;;;;;1
Het Gevangenismuseum;;1;;;;;;1
Het Gouden Oor;;;;1;;1;;1
Het Grauwe Paard;;1;;;;;;1
Het Gulden Vlies Restaurant;;1;;;;;;1
Het Hart van Weesp Hotel-Restaurant;;;;;;;1;1
Het Heerenhuis, Grandcafé, Lunch, Diner, Zalen;;1;;;;;;1
Het Hof van Alkmaar;;1;;;;;;1
Het Hooihuis;;1;;;;;;1
Het Kabinet Eten en Drinken;;1;;;;;;1
HET KAESHUYS & DE LEKKERNIJ;;1;;;;;;1
Het Kookplein Kookschool en Lunchrestaurant;;1;;;;;1;1
Het Kookstation;;1;;;;;;1
Het Kreitenhuys;;1;;;;;;1
Het Markiezaat Schietsportvereniging;;1;;;;;;1
Het Medaillehuis Suurd;;1;;;;;;1
Het MiddelPunt;1;;;;;;;1
HET MOMENT;;1;;;;;;1
Het Munsterhof;;1;;1;;;;1
Het Nederlandse Rode Kruis;1;;;;;;;1
Het Onland;;1;;;;;;1
Het Oosten Restaurant Wok;;1;;1;;;;1
Het Oranje Kruis;1;;;;;;;1
Het Regthuys Restaurant;;1;;;;;;1
HET SAS EETCAFÉ;;1;;;;;;1
Het Schwarzwald;;2;;;;;;2
Het Sprekersburo;;;;1;;;;1
Het Stadscafé (Vankinsbergen);;1;;;;;;1
Het Wapen van Emmen;;1;;;;;;1
Het Wapen van Leeuwarden;;1;;;;;;1
Het Wapen van Rhoon;;1;;;;;;1
Het Weeshuis Charme hotel en Restaurant;;1;;;;;;1
Het Wijnhuis Grand Café;;1;;;;;;1
Het Zuiden Mediterraan Restaurant;;1;;;;;;1
Hettinga Bier Brouwerij ;;1;;;;;;1
Hevo;;;;2;;;;2
Hiawatha;;1;;;;;;1
High Coaching;1;;;;;;;1
High Standard Travel;;1;;;;;;1
Hilbrands Bloemen en Wonen;;1;;;;;;1
Hilton;;1;;;;;;1
Hispeed;;;;;;;1;1
HMC Cursus en Training;;;;1;;;;1
HMS Host Marriott Services Horeca Exploitatie Maatschappij Schiphol;;1;;;;;1;1
HMS paviljoenscommissie;;1;;;;;;1
Hoedemakers Sound Service;;1;;;;;;1
Hoek Vervoer;;;;;;;1;1
HOEZO! Projectmanagement en Congresorganisatie;;;;1;;;;1
Hofje van Pauw;1;;;;;;;1
Hofsteenge Café Restaurant;;1;;;;;;1
Hogeschool Arnhem en Nijmegen;;;;2;;;;2
Hogeschool Leiden;;;;1;;;;1
Hogeschool van Amsterdam;;;;2;;;;2
Hogeschool van Utrecht;;;;2;;;;2
Hogeschool Zuyd;;;;1;;;;1
Hogrefe Uitgevers;;;;1;;;;1
HolaPress Communicatie;;;;;;1;;1
Holdeurn Vakantieboerderij De;;;;;;;1;1
Holiday Inn;;;;;;;1;1
Holland Consulting Group;;;;1;;;;1
Holland Specialist;;1;;;;;;1
Holland Tour Guides;;1;;;;;;1
Holtmaat catering;;1;;;;;;1
Hoofdvaartkerk Restaurant;;1;;;;;;1
Horeca Invest Ned BV;;1;;;;;;1
Horecacentrum De Hertenkamp Assen;;1;;;;;;1
Horecawerk Achterhoek BV;;1;;;;;;1
Horizon Interlingua;;;;1;;;;1
Horsman & Zijlstra;;;;1;;;;1
Hospitality Industria;;1;;;;;;1
Hotel De Limbourg;;1;;;;;;1
Hotel Dennenhoeve;;1;;;;;;1
Hotel Post Plaza;;1;;;;;;1
Hovens J.;1;;;;;;;1
HowAboutYou;;;;2;;;;2
HPO Center (Center for Organizational Performance);;;;1;;;;1
HR Community;;;;1;;;;1
HRD Group training, coaching & Asses;;;;5;;;;5
HSK Groep;4;;;;;;;4
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;;;1;;1;1
Hugo van Riet;;;;1;;;;1
Huize Maas;;1;;;;;;1
Human Ability Medisch Advies;1;;;;;;;1
Humanication Group;;;;1;;;;1
Humphrey's Restaurant;;1;;;;;;1
Hutten Exclusieve Catering;;1;;;;;;1
Huureendjes;;;;1;;;;1
Icara;1;;;;;;;1
Ich & Dich Cafe;;1;;;;;;1
ICM Holding;;;;2;;;;2
Idol's Wok Chinees Restaurant;;1;;;;;;1
IEP Holding Instituut voor Eclectische Psychologie;;;;1;;;;1
Igo Post Internationale Geschenken Organisatie;;1;;;;;;1
IGOP;;;;1;;;;1
IIA Instituut van Internal Auditors;;;;;;1;;1
IJselstroom;;1;;;;;;1
IJSSALON ROZEBOOM;;1;;;;;;1
Ijssel Taxi Deventer;;1;;;;;;1
Il Tartufo Italiaans Restaurant;;1;;;;;;1
IMK Instituut voor het Midden- en Kleinbedrijf;;;;1;;;;1
Imono Bar-Restaurant;;1;;;;;;1
Impero Romano Restaurant;;1;;;;;;1
Impromex Technics/Ergoshop;1;;;;;;;1
Impulsus/CIEP Personal Quality&Results;;;;1;;;;1
IMS International Mediation Services;1;;;;;;;1
IN DE KLANDER MUELEN BV;;1;;;;;;1
In de Name of The Game;;;;1;;;;1
In den Verdwaalde Koogel Restaurant;;1;;;;;;1
In Het Veld Catering;;1;;;;;;1
In Succes;;;;1;;;;1
Incentivo;1;;;;;;;1
Indian Spices;;1;;;;;;1
Indonesia Restaurant Rotterdam;;1;;;;;;1
Info Support;;;;6;;;;6
Info Training;;;;1;;;;1
Informagic;;;;1;;;;1
Information Security Academy;;;;1;;;;1
INFORTRAINING;;;;2;;;;2
Infoversum Bos&Bos;;1;;;;;;1
ING Bank;;;;;;;1;1
Inholland Academy;;;;3;;;;3
Innovalor;;;;2;;;;2
Insightsworld;;;;2;;;;2
Insolad;;;;;;1;;1
Inspiration Company Nederland;;;;1;;;;1
Instituut Actuarieel;;;;2;;;;2
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;1;;;;1
Instituut Voor Agrarisch Recht;;;;1;;;;1
Instituut Voor Bewustzijnsmanagement;;;;1;;;;1
Instituut voor Juridische Opleidingen;;;;1;;;;1
Instituut Voor Psychodynamiek - Atma;;;;1;;;;1
Int. Shooting Range De Wildenberg;;1;;;;;;1
Integriteit.nl;;;;2;;;;2
Intend Centra voor Werk & Psyche;1;;;;;;;1
InterArbo;1;;;;;;;1
Interim Direct/Van der Wijst personenvervoer;;;;;;;6;6
Internationaal School Hilversum;;;;1;;;;1
Intersafe Groeneveld;4;;;;;;;4
Intersport;;1;;;;;;1
Intop Zorgsector, Madiationtoets;;;;1;;;;1
Intrum Justitia;;;;1;;;;1
IP Computer Traning Centrum;;;;1;;;;1
IP Trainershouse B.V.;;;;4;;;;4
Ipma Nl;;;;1;;1;;1
IQP UDEN;;1;;;;;;1
Iris Huys (LVBC Low Vision en Braille Center);1;;;;;;;1
IS2;;;;3;;;;3
Isabelle Schneider;;;;1;;;;1
Isala Klinieken;1;;;;;;;1
Istana Indonesisch Restaurant;;1;;;;;;1
Itami Japans Restaurant;;1;;;;;;1
ITIP School Voor Leven en Werk;;;;1;;;;1
Ixchel Coaching, Training & Mediation;;;;1;;;;1
J&K Catering;;1;;;;;;1
J. Klomp-Kuijper;;;;;;;1;1
J. van Guilik Slagerij;;1;;;;;;1
J.C. van Straaten;;;;1;;;;1
J.L. de Jong Touringcarbedrijf;;;;;;;1;1
Jaap Ket;;1;;;;;;1
Jachthaven de Veerstal;;1;;;;;;1
Jachthaven Ridderkerk;;1;;;;;;1
Jachthaven Zuidwesthoek;;1;;;;;;1
Jackies Restaurant (BAX);;1;;;;;;1
Jacksart Gallery;;1;;;;;;1
Jade v.o.f. h.o.d.n. La Rosa Bianca;;1;;;;;;1
JaHou Opleidingen;;;;1;;;;1
Ja-Maar;;2;;1;;;;2
Jan Bosman & Zn Bloemsierkunst;;1;;;;;;1
Jan Fens;2;;;1;;;;2
Jan Pieterszoon Coen Café Biljart;;1;;;;;;1
JANS ERNA;;;;1;;;;1
Jansen Brasserie;;1;;;;;;1
Jasmine Garden;;1;;;;;;1
JAVA KLOOTSCHIETERSVERENIGING;;1;;;;;;1
Jerry Kolvoort;;1;;;;;;1
Jiu-Jiu - De Chinese Muur Restaurant ;;1;;;;;;1
JoJo Management;;1;;;;;;1
Joosten Advocaten;;1;;;;;;1
Jos Paauw Training & Theaterimprov.;;;;1;;;;1
Jos Rietstap Vormgeving;;1;;;;;;1
Jouwbestejaar.nu;;;;2;;1;;2
Joytime Vrijetijds Activiteiten;;1;;;;;;1
Jules Hotel-Restaurant;;1;;;;;;1
Jules Verne Restaurant;;1;;;;;;1
Juliana's Café Restaurant (incl. In Pace);;1;;;;;;1
Jullens Banketbakkerij;;1;;;;;;1
JuRo Horeca (Den Burgh Restaurant);;1;;;;;;1
Justin van Uum Music;;;;;;;1;1
JUS-V&J/DJI- Dienst Justitiele Inrichtingen;;;;;;;1;1
K. Scheepers;;;;;;;1;1
Kader Bureau voor Kwaliteitszorg;;;;2;;;;2
Kaneda;;1;;;;;;1
KANTINECOMMISSIE KVV LOSSER;;1;;;;;;1
Kapelaan Lochtmanhuis;;1;;;;;;1
Kapteyn Bloemen;;1;;;;;;1
Karin Naaijkens;1;;;;;;;1
Karin van Dierendonck;;1;;;;;;1
Karmel Drachten;;;;1;;;;1
Kartplaza Action World;;1;;;;;;1
Kasteel de Haar;;1;;;;;;1
Kasteeltje Hattem Restaurant;;1;;;;;;1
KBenP (Koenen, Baak en Partners);;1;;;;;;1
Kees Tak Bloemist;;1;;;;;;1
Kefee D'n Hertog van Gelder;;1;;;;;;1
Kempenhaeghe;1;;;;;;;1
Kepner-Tregoe Nederland;;;;1;;;;1
Keralan;;1;;;;;;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;;;;2;;;;2
kerkemeijer;;1;;;;;;1
KERKRADE/HEERLEN PSYCHOLOGENPRAKTIJ;1;;;;;;;1
Kerkvoorde Catering Wolvega;;1;;;;;;1
Kern Konsult;;;;2;;;;2
Kernpraktijk Fysiogroep Zaandam;1;;;;;;;1
Kessels & Smit Learning Company;;;;4;;;;4
Ketelbinkie Restaurant;;1;;;;;;1
Keukenvuur;;;;1;;;;1
Keurhorst;;1;;;;;;1
Kickstart School;;;;1;;;;1
Kiddy-express;;1;;;;;;1
Kievit B.V.;1;;;;;;;1
King Arthur Groep;;1;;;;;;1
KINGA WOK;;1;;;;;;1
Kiwa Groep (incl. Gas Technology, Prismant, Certification);;;;;;1;;1
Klaas Brant Consulting & Education;;;;1;;;;1
KLABBERS GERT;1;;;;;;;1
Klantocratie;;;;;;1;;1
Klein Berlijn;;1;;;;;;1
KLERK  S. DE;2;;;;;;;2
Klinge D'R Cafe;;1;;;;;;1
Klink's Broodjeslijn;;1;;;;;;1
Klok De;;;;1;;;;1
Klooster 'Sint Josephsberg';;;;;1;;;1
Kloosterhof acquisitie services uitgeverij;;;;1;;;;1
Kloosterman Advies & Opleidingen;;;;1;;;;1
Knoc Trainingen;;;;1;;;;1
Knocom;;;;1;;;;1
Knossos Grieks Specialiteiten Restaurant;;1;;;;;;1
Knowmads;;;;1;;;;1
Koi Sushi Restaurant;;1;;;;;;1
Kon.Ver.v.handelaren in oude kunst;;;;1;;;;1
Konijnenburg Tuin- en bloemencentru;;1;;;;;;1
Koninklijke Nederlandse Munt;;;;;;;1;1
Koninklijke Visio;2;1;;;;;;2
Kookers.nl;;1;;;;;;1
Kookmeesters Utrecht;;1;;;;;;1
Kookstudio De Kombuis;;1;;;;;;1
Kool Rondvaartbedrijf;;1;;;;;;1
Korderijnk Brasserie-Restaurant;;1;;;;;;1
Kota Radja Chinees Restaurant;;1;;;;;;1
KPMG;;;;2;;;;2
KPN (incl. Getronics, PTT Telecom);;;;1;;;1;1
krampVrije Communicatie;;;;1;;;;1
Krayenhoff Bloemsierkunst;;1;;;;;;1
Kreeft Opleidingen;;;;1;;;;1
KRING V. VEILIGHEIDSFUNCTIONARISSEN;;;;;;1;;1
Kring Vrienden van 's-Hertogenbosch;;1;;;;;;1
KROL KONSULT;;;;2;;;;2
Kuip De congres & evenementencentra;;1;;;;;;1
Kuipers tekst en training;;;;1;;;;1
Kun Radboud - Katholieke Universiteit Nijmegen;;;;2;;;;2
Kuyper Catering;;1;;;;;;1
Kwaliteitsbureau NVAB;;;;;;1;;1
Kwibus Fun-Bus;;;;;;;1;1
KZAG2Beren;;;;;;;1;1
L van Bentum opleidingen;;;;1;;;;1
L. Wielders Museumeducatie;;;;1;;;;1
L.H. Kwant;;1;;;;;;1
La Bota Eetcafe;;1;;;;;;1
La Cantina Di David;;1;;;;;;1
La Cazuela;;1;;;;;;1
La Cubanita;;1;;;;;;1
La Cucaracha Mexican Cantina;;1;;;;;;1
La Stanza Restaurant;;1;;;;;;1
Lagerweij & Partners;;;;2;;;;2
Landelijke Vereniging van Vertrouwenspersonen;;;;;;1;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);;;;1;;;;1
Landgoed Huize Bergen;;1;;;;;;1
Lands End Hotel-Café-Restaurant;;;;;;;1;1
Landstede;;;;1;;;;1
Landwinkel Schurenhof;1;;;;;;;1
Language Partners (incl. Eurolinguist);;;;2;;;;2
Las Fiestas Del Mundo;;1;;;;;;1
Las Palmas Visrestaurant;;;;;;;1;1
Lasanie;;1;;;;;;1
L'Avenir;1;;;;;;;1
Lazuli Cursuscentrum & Zaalverhuur;;;;1;;;;1
Le Baron Restaurant;;1;;;;;;1
Le Connaisseur Grand Restaurant;;1;;;;;;1
Lebowski Grand Café (vh Lofen);;1;;;;;;1
Leefstijl Training & Coaching;;;;2;;;;2
Leerwerk Arbeidsadviezen;1;;;;;;;1
Leeuwendaal Advies;;;;2;;;;2
Leijser Fruit;;1;;;;;;1
Leijten Catering;;1;;;;;;1
Lemmy's Biercafé;;1;;;;;;1
Lente Van IJsselmuiden;;1;;;;;;1
Leo Ringelberg Touringcars;;;;;;;1;1
Leo van de Wouw Regisseur/Programmamaker;;;;3;;;;3
Les Ombrelles Visspecialiteiten Restaurant;;1;;;;;;1
L'Etoile Restaurant;;1;;;;;;1
Leugenacademie;;2;;2;;;;2
Lexman Advocaten;;1;;;;;;1
Leziz Restaurant;;1;;;;;;1
L'Hirondelle Restaurant;;1;;;;;;1
Libertijn Psychologisch Adviesbureau;1;;;;;;;1
Liesbeth Wolfkamp begeleiding;1;;;1;;;;1
Lieve Lente Eetcafe;;1;;;;;;1
Liff Restaurant Grandcafé;;1;;;;;;1
Liftinstituut;2;2;;;;;;2
Lime;;1;;;;;;1
Linda Brand Personal Coach;;;;1;;;;1
Linked into results;;;;1;;;;1
Linnartz Opleidingengroep;;;;1;;;;1
Linque Consult;;;;2;;;;2
Linthorst op Locatie (incl. Huis Nieuw Rande);;1;;;;;;1
L'invité le Restaurant;;1;;;;;;1
Liuwherne Eetablissement;;1;;;;;;1
Livegigs Music and Events;;2;;;;;;2
Livit Orthopedie;1;;;;;;;1
Locatie Oostergo;;1;;;;;1;1
Logeion Vereniging Voor Communicatie;;;;1;;1;;1
LOI Leidse Onderwijsinstelling;;;;3;;;;3
Lokaal 58;;;;5;;;;5
Lokaal De Revolutie;;1;;;;;;1
Lommerrijk (incl. Dok 99);;1;;;;;;1
Looierij Museum De;;1;;;;;;1
Look-Tours;;1;;;;;;1
Loos Grand Café-Restaurant;;1;;;;;;1
LOVINK D.W. EN ZN.;1;;;;;;;1
Loyens & Loeff;1;;;;;;;1
LTC VECHTLUST;;1;;;;;;1
Lubbers Bakkerij;;1;;;;;;1
Lübeck Grand Café Exploitatie;;1;;;;;;1
Luden Restaurant&Brasserie;;1;;;;;1;1
Lumidee Headset Company;5;;;;;;;5
Lumina Learning;;;;1;;1;;1
Lunch cafe BOX5;;1;;;;;;1
Lunchbezorgen.nu;;1;;;;;;1
Lunchcafé Lente;;1;;;;;;1
Lunchduck;;1;;;;;;1
Lustre Brasserie;;1;;;;;;1
Luther Grandcafé;;1;;;;;;1
Luuk van der Lee Fotografie;;;;;;;1;1
LVSC;;;;;;1;;1
Lyreco Nederland (vh Ahrend Office Products);;1;;;;;;1
Lytton Arbeid & Gezondheid;1;;;;;;;1
M&F van de Groep & Zn Spakenburg;;1;;;;;;1
M&M Opleidingen;;;;1;;;;1
M. Tersteeg;;;;;;;1;1
M. Vreugdenhil Transport;;1;;;;;;1
M.A. Aslander;;;;1;;;;1
M.C.J. van Rijn;1;;;;;;;1
M.S. Oosterkim;;1;;;;;;1
Maas Groep;1;;;;;;;1
MAATSCHAP KROESE WEVERS;;;;1;;;;1
Mad Multimedia;;;;2;;;;2
Madeleine;;1;;;;;;1
Madeleine Ingen Housz (incl. Passie Projecten);;1;;;;;;1
Madeleine Schuurmans;;;;1;;;;1
Madurodam;;1;;;;;;1
Maesstede Catering;;2;;;;;1;2
Magic Outdoor Sports;;1;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;1;;;;1
Maklu;;;;1;;;;1
Malakka Chinees-Indisch Specialiteiten Restaurant;;1;;;;;;1
Mana;1;;;1;;;;1
Management Drives Opleidingen;;;;1;;;;1
Mandarijn City;;1;;;;;;1
Mandarin Chin. Indisch Restaurant;;1;;;;;;1
Manege De Gouwe Reijers;;1;;;;;;1
MANNAK C.G.;1;;;;;;;1
Manutan (vh Overtoom International);1;;;;;;;1
MARBERTS BALLONVAARTEN;;1;;;;;;1
Marcel van Hoorn Fotografie;;1;;;;;;1
Marco's Bloemen;;1;;;;;;1
Marcus Evans Linguarama;;;;1;;;;1
MARGARET EN FRANS DOFF-SOTTA;;;;;;;1;1
Marga's Kitchen;;2;;;;;;2
Maria Edith Insituto Integral;1;;;;;;;1
Maria'S Biologische Catering en Eetwinkel;;;;;;;1;1
Marieke Korndewal Tolk Gebarentaa;1;;;;;;;1
Marienhof Restaurant;;2;;;;;;2
Maritech Special;;;;2;;;;2
Marjan Hoffman Het Wenselijke Werke;;;;2;;;;2
Marketing Groningen;;1;;;;;;1
Markkering;;;;2;;;;2
MARKTSLAGER VAN BUSSEL & V.D.BRINK;;1;;;;;;1
Marktzicht Restaurant;;1;;;;;;1
Marrakech@home;;1;;;;;;1
Marstrand Rondvaarten & Sport;;1;;;;;;1
Martens Van Wezel Kartonnages;;1;;;;;;1
Martiniplaza Groningen (vh Martinihal);;1;;;;;;1
Martinique;;1;;;;;;1
MARTIN'S BRASSERIE;;1;;;;;1;1
Mathieu's Home Catering;;;;;;;1;1
Maxime Restaurant;;1;;;;;;1
MAYA PIJPERS OPTIEK;1;;;;;;;1
Mazars Paardekooper Hoffman;;;;1;;;;1
Mazie Restaurant;;1;;;;;;1
Media College;;;;1;;;;1
Mediation College;;;;1;;;;1
Medifit Bolnes;1;;;;;;;1
Mediterrance;;1;;;;;1;1
Meelfabriek Zijlstroom;;;;1;;;;1
MEES EN ZOONEN VERZEK MAKELAARS;1;;;;;;;1
Meesters Stadscafe-Restaurant;;1;;;;;;1
Meet The Brain;;;;1;;;;1
Mej. Janssen Restaurant;;1;;;;;;1
MEKERS TOURINGCARS BV.;;;;;;;1;1
Mekkelholt 'T;;1;;;;;;1
Met Open Armen;;1;;;;;;1
Metris Groep;;;;4;;;;4
Meurs HRM;;;;4;;;;4
MEURS-JANSEN;;2;;;;;;2
MfN Mediatorsfederatie Nederland (vh NMI Nederlands Mediation Instituut);;;;;;1;;1
MI 2-advies & coaching;;;;1;;;;1
Michel Patisserie Chocolaterie;;1;;;;;;1
Mijnie Oosterom;;;;1;;;;1
Minang Kabau;;1;;;;;;1
Minckelers Eetcafe;;1;;;;;;1
Mind At Work;1;;;;;;;1
Mind Your Business;;;;1;;;;1
Mindfulness Extended;;;;1;;;;1
Mirella van Markus Media;;;;1;;;;1
Misco Nederland;;;;;;;1;1
Missgien wellnesscoaching;1;;;;;;;1
Mitra Slijterij;;1;;;;;;1
Mobility Mixx;;;;;;;10;10
Mokum Events;;1;;;;;;1
Molly Malones Irish Pub;;1;;;;;;1
MOMBASSA EETCAFE;;1;;;;;;1
Momocim Motivated Move Creative in Mankind;1;;;;;;;1
Mon Ami;;1;;;;;;1
Mooii Restaurant;;1;;;;;;1
Mos Events;;;;;;1;;1
