FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
stormvloedkering.280,71120,441160,1773,Maeslantkering,37B-350,37B-350-01,Maeslantkering,Stormvloedkering in de Nieuwe Waterweg,Stormvloedkering,Nat,HWS,,,71.12,441.16,1997,37B-350-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (71120 441160)
stormvloedkering.3135,63122,428360,5539,Haringvlietsluizen,37C-350,37C-350-01,Haringvlietsluizen 1,Stormvloedkering tussen Noordzee - Haringvliet (opening 1: noord),Stormvloedkering,Nat,HWS,,,63.122,428.36,1962,37C-350-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (63122 428360)
stormvloedkering.3336,80583,431364,5759,Hartelkering,37G-004,37G-004-05,Hartelkering,Noordelijke en zuidelijke hefschuifkering in het Hartelkanaal,Stormvloedkering,Nat,HWS,,,80.583,431.364,1996,37G-355-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (80583 431364)
stormvloedkering.3379,99437,436833,5808,Hollandsche IJssel,37H-001,37H-001-03,Stormvloedkering Hollandsche IJssel,Stormvloedkering in de Hollandsche IJssel,Stormvloedkering,Nat,HWS,,,99.437,436.833,1958,37H-351-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (99437 436833)
stormvloedkering.4052,39015,407128,6501,Oosterscheldekering,42D-001,42D-001-01,Stormvloedkering Oosterschelde,Stormvloedkering in de Oosterschelde,Stormvloedkering,Nat,HWS,,,39.015,407.128,1979,42D-350-00,1672,RWS ZD / ZD District Noord,1672,,,POINT (39015 407128)
stormvloedkering.5840,63081,428313,8479,Haringvlietsluizen,37C-350,37C-350-02,Haringvlietsluizen 2,Stormvloedkering tussen Noordzee - Haringvliet (opening 2),Stormvloedkering,Nat,HWS,,,63.081,428.313,1962,37C-350-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (63081 428313)
stormvloedkering.5841,63041,428265,8480,Haringvlietsluizen,37C-350,37C-350-03,Haringvlietsluizen 3,Stormvloedkering tussen Noordzee - Haringvliet (opening 3),Stormvloedkering,Nat,HWS,,,63.041,428.265,1962,37C-350-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (63041 428265)
stormvloedkering.5842,62999,428219,8481,Haringvlietsluizen,37C-350,37C-350-04,Haringvlietsluizen 4,Stormvloedkering tussen Noordzee - Haringvliet (opening 4),Stormvloedkering,Nat,HWS,,,62.999,428.219,1962,37C-350-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (62999 428219)
stormvloedkering.5843,62959,428173,8482,Haringvlietsluizen,37C-350,37C-350-05,Haringvlietsluizen 5,Stormvloedkering tussen Noordzee - Haringvliet (opening 5),Stormvloedkering,Nat,HWS,,,62.959,428.173,1962,37C-350-05,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (62959 428173)
stormvloedkering.5844,62919,428126,8483,Haringvlietsluizen,37C-350,37C-350-06,Haringvlietsluizen 6,Stormvloedkering tussen Noordzee - Haringvliet (opening 6),Stormvloedkering,Nat,HWS,,,62.919,428.126,1962,37C-350-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (62919 428126)
