Leverancier;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
1e Arnhemse Wegen-/Sleepdnst v Amerongen B.V.;;;1;1
4X4 Sint Annaland;;;1;1
A. Blijleven B.V.;;;1;1
A12 Van der Valk Hotel Veenendaal B.V.;1;;;1
AAN DE MEULE CAFE-ZAAL;1;;;1
Abiom Fleet Systems B.V.;;;2;2
Afas Software B.V.;1;;;1
Anoniem_FIN_62;;;1;1
Athlon Car Lease Nederland B.V.;;;1;1
Auto Flevo BV;;;1;1
Auto Herwers Apeldoorn B.V.;;;1;1
Auto Kuzee B.V.;;;2;2
Auto Muntstad Zeist;;;1;1
Autobedrijf Metz;;;1;1
Autobedrijf van den Udenhout B.V.;;;1;1
Autoglasservice Veldman;;;1;1
B.V. Princeville Exploitatie;1;;;1
Beaujean Vacances B.V.;1;;;1
Beijer Automotive B.V.;;;1;1
Bessels Tweewielers;1;;;1
Biesebos Truckwash Hoogeveen B.V.;;;1;1
Bilderberg Hotel De Keizerskroon;1;;;1
Brezan Automaterialen Epe;;;1;1
Brinks Carrosserieen B.V.;;;1;1
BSA Schaderegeling B.V.;;;2;2
Buitenhuis Autoverhuur;;;1;1
Carglass B.V.;;;1;1
Cargo Security Systems B.V.;;;1;1
CM Telecom B.V.;1;;;1
ContrAll Inspectie B.V.;;;1;1
Corendon City Hotel;1;;;1
DE BAAK BV.;2;;;2
De Baak Noordwijk B.V.;1;;;1
De Fietswinkel Mient de Vries;1;;;1
De Waal Autogroep B.V.;;;1;1
De Witte Vosch B.V.;1;;;1
De-Amshoff;1;;;1
Delta Berging & Transport B.V.;;;1;1
Den Hartog B.V.;;;2;2
Drive2Move B.V.;;;1;1
Duinrand Drunen B.V.;1;;;1
Dusseldorp Apeldoorn B.V.;;;1;1
E.B.O. van Weel;;;1;1
EHM Hotel Almere Exploitatiemaatschappij B.V.;1;;;1
EHM Hotel Breda B.V.;1;;;1
Eindhoven Airport Hotel B.V.;1;;;1
Enduring International B.V.;1;;;1
Erkon Engineering B.V.;;;2;2
Erve Hulsbeek B.V.;1;;;1
Esra Handelmaatschappij B.V.;;;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;1
Fietsvoordeelshop.nl B.V.;1;;;1
Firma Rijwielhandel Tieleman en Zoon;1;;;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;1;;;1
Fujitsu Technology Solutions B.V.;1;;;1
Garage Jansen;;;1;1
Global TrackMarks B.V.;;;1;1
Gran Mercado B.V.;;1;;1
Groningen Airport Eelde N.V.;;;1;1
Handelsonderneming Scherpenberg B.V.;;;4;4
Hattem Restaurant B.V.;1;;;1
Het Zalmhuis B.V.;1;;;1
Highmark Hoofddorp B.V.;1;;;1
Hofjes Horeca B.V.;1;;;1
Hofland Rotterdam B.V.;;;1;1
Hoog Soeren Holding B.V.;1;;;1
Hoogdesigns;;;2;2
Hoogma Fietsservice;1;;;1
Hoogwout Berging B.V.;;;1;1
Hotel CafÃƒÂ© Restaurant Nijmegen Lent B.V.;1;;;1
Hotel CafÃƒÂ© Restaurant 'Taverne';1;;;1
Hotel Contact B.V.;5;;;5
Hotel de ABDIJ Dokkum;1;;;1
Hotel De l'Europe B.V.;1;;;1
Hotel Goes;1;;;1
Hotel Jakarta B.V.;1;;;1
Hotel Kasteel Erenstein B.V.;1;;;1
Hotel Leeuwarden Centre B.V.;1;;;1
Hotel Mitland;1;;;1
Hotel New York B.V.;1;;;1
Hotel Papendal;1;;;1
Hotel Parkzicht B.V.;1;;;1
Hotel Pension De Tipmast;1;;;1
Hotel Post Plaza B.V.;1;;;1
Hotel Ridderkerk B.V.;1;;;1
Hotel Rotterdam-Blijdorp B.V.;1;;;1
Hotel ten Cate B.V. .;1;;;1
Hotel-CafÃ©-Restaurant 'Zwolle' B.V.;1;;;1
Hotel-Restaurant 'Oud London';1;;;1
inMotiv;;;1;1
Instituut voor Wijsbegeerte B.V.;1;;;1
J.F. Boer Aanhangwag. en Stroomaggr. B.V.;;;1;1
Jungheinrich Nederland B.V.;;;2;2
Kasteel Limbricht B.V.;1;;;1
Koninklijk Instituut van Ingenieurs;;1;;1
KPN Corporate Market;1;;;1
Kumpulan Reünie- en Congrescentrum;1;;;1
Küster Effort B.V.;;;4;4
L.M.B. van Daatselaar V.O.F.;;;1;1
Leaseplan Nederland N.V.;;;9;9
Linde Gas Benelux B.V.;;;1;1
Logicx Berging B.V.;;;3;3
Lukkien Autobekleding;;;1;1
Madurodam B.V.;;1;;1
Manta Beach;;1;;1
Meer Exploitatie B.V.;1;;;1
Meeting Plaza Utrecht B.V.;1;;;1
Meetingselect B.V.;8;2;;8
Mega Bike B.V.;1;;;1
Mobility Centre Holland Rental B.V.;;;1;1
Motel Hengelo B.V.;1;;;1
Motrac Intern Transport B.V.;;;5;5
Movenience B.V.;;;1;1
Museumkwartier B.V.;1;;;1
NH Amsterdam Centre;1;;;1
NH Den Haag;1;;;1
Nhow Amsterdam B.V.;1;;;1
Oliecentrale Nederland;;;1;1
Oudaen B.V.;1;;;1
Ovivo Holland B.V.;;;1;1
P1 Parking Hooghuis B.V.;;;1;1
Paardenveld Vastgoed B.V.;;;2;2
Park Plaza Utrecht;1;;;1
ParkerenDelft;;;1;1
Parket van de procureur des Konings;;;1;1
Parkhotel Den Haag;;1;;1
Pouw Apeldoorn;;;1;1
Profile Albert van der Kolk;1;;;1
Protinus IT B.V.;1;;;1
Pulitzer Amsterdam;1;;;1
Q-Park Beheer B.V.;;;2;2
Ravas Europe B.V.;;;1;1
Regardz Business Center;1;;;1
Regus Amsterdam B.V.;2;;;2
Robo Gascentrale B.V.;;;1;1
Rotterdam Airport B.V.;;;1;1
Royal Rex B.V.;1;;;1
S.B.I. Zonheuvel B.V.;1;;;1
Scania Nederland B.V.;;;2;2
Schakelaar Tweewielers V.O.F.;1;;;1
Scheel Nederland B.V.;;;1;1
Scooter Select B.V.;1;;;1
Seats2Meet.com Utrecht B.V.;1;;;1
Siemens Nederland N.V.;1;;;1
Stadshotel Doesburg B.V.;1;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;1;;1
Stichting Beheer Synagoge;;1;;1
Stichting Hotel Overleg Groningen;1;;;1
Still Intern Transport B.V.;;;2;2
Tele2 Nederland B.V.;1;;;1
Ten Cate Parkeren;;;1;1
The Grand Real Estate B.V.;1;;;1
Theaterhotel De Oranjerie B.V.;1;;;1
Transp.Bedr. Van de Wetering Loosdrecht B.V.;;;1;1
Travelcard B.V.;;;3;3
Truckparkings Rotterdam Exploitatie B.V.;;;2;2
Tweewielers van Woerden B.V.;1;;;1
Universiteit Nyenrode B.V.;;1;;1
V.d. Valk Hotel Apeldoorn de Cantharel B.V.;1;;;1
V.O.F. Kropholler;1;;;1
Van Berkel ®;;;1;1
Van der Kreeft B.V.;;;2;2
Van der Valk Apeldoorn (Oost);1;;;1
Van der Valk Hotel Almere B.V.;1;;;1
Van der Valk Hotel Amsterdam Oostzaan B.V.;1;;;1
Van der Valk Hotel Arnhem Duiven B.V.;1;;;1
Van der Valk Hotel Eindhoven;1;;;1
Van der Valk Hotel Harderwijk B.V.;1;;;1
Van der Valk Hotel Heerlen;2;;;2
Van der Valk Hotel Leeuwarden B.V.;1;;;1
Van der Valk Hotel Middelburg B.V.;1;;;1
Van der Valk Hotel Restaurant Design B.V.;1;;;1
Van der Valk Hotel Sassenheim;1;;;1
Van der Valk Hotel Stein-Urmond;1;;;1
Van der Valk Maastricht B.V.;1;;;1
Van Leeuwen Autobedrijf B.V.;;;1;1
Van Leeuwen Oliehandel B.V.;;;1;1
Van Leeuwen Truckservice B.V.;;;1;1
Varo Energy Inland Bunkerservice B.V.;;;1;1
Vermaat Horeca B.V.;1;;;1
Volkswagen Bedrijfswagens Centrum Tilburg;;;1;1
W.S.B. Solutions B.V.;1;;;1
WestCord Hotel De Veluwe;3;;;3
Wittebrug Autogroep B.V.;;;1;1
Wolves Autoberging B.V.;;;1;1
Eindtotaal;8;2;9;9
