FID,omschr,type_conv,doseerinst,hectobord,toeritnr,toeritnaam,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
convergenties_wegvak.1,Klaverbladknooppunt,I,N,69.1j,,'KP.ZAARDERHEIKEN'EINDHOVEN VBW. j(RW67),413156026,2022-01-01T00:00:00,413,041315602620220101,KPK0001144223,I,,POINT (206584.23380000144 378497.2280000001)
convergenties_wegvak.2,Halfklaverblad-aansluiting,C,N,45.0b,13,'VENLO-WEST'VBW. b,412155071,2022-01-01T00:00:00,0,041215507120220101,KPK0001144220,I,,POINT (206350.78069999814 377641.63329999894)
convergenties_wegvak.3,Klaverbladknooppunt,I,N,45.8w,,'KP.ZAARDERHEIKEN'VENLO VBW. w(RW73),412156007,2022-01-01T00:00:00,488,041215600720220101,KPK0001182361,I,,POINT (206471.3249000013 378516.5509000011)
convergenties_wegvak.4,T-knooppunt,I,N,3.9r,,'KP.ROTTEPOLDERPLEIN ZUID'DEN HAAG VBW. r,600478201,2022-01-01T00:00:00,0,060047820120220101,KPK0001179520,I,,POINT (109249.66180000082 487110.3262999989)
convergenties_wegvak.5,Pseudo Haarlemmermeer-aansluiting,C,N,69.4s,,'KP.KOOIMEER'RING-WEST AMSTERDAM VBW. s,600120224,2022-01-01T00:00:00,0,060012022420220101,KPK0001130758,I,,POINT (110643.74190000072 513312.38109999895)
convergenties_wegvak.6,T-knooppunt,I,N,128.2d,,'KP.WATERBERG'ARNHEM-NOORD VBW. d,600249478,2022-01-01T00:00:00,0,060024947820220101,KPK0001133282,I,,POINT (191454.22089999914 447732.5304000005)
convergenties_wegvak.7,Pseudo Haarlemmermeer-aansluiting,I,N,3.4d,,'BRIELSE MAAS-NOORD'VBW. d,147270030,2022-02-01T00:00:00,0,014727003020220201,KPK0001193330,I,,POINT (73971.98519999906 435350.12209999934)
convergenties_wegvak.8,Haarlemmermeer-aansluiting,C,N,4.3d,,'BRIELLE'VBW. d,146269003,2022-02-01T00:00:00,0,014626900320220201,KPK0001142226,I,,POINT (73318.75059999898 434702.9270000011)
convergenties_wegvak.9,,I,N,251.4q,,BS.'KRUISBERG',359043016,2021-12-01T00:00:00,0,035904301620211201,KPK0001156990,I,,POINT (179821.7580000013 322048.18299999833)
convergenties_wegvak.10,Pseudo Haarlemmermeer-aansluiting,I,N,28.4a,1,'AMSTERDAM-HEMHAVENS'VBW. a,236380040,2021-12-01T00:00:00,240,023638004020211201,KPK0001158193,I,,POINT (118589.97679999843 490664.24720000103)
convergenties_wegvak.11,Pseudo Haarlemmermeer-aansluiting,I,N,0.0#,3,'AMSTERDAM-WESTERPARK'RANG.BAAN m,600122546,2021-12-01T00:00:00,289,060012254620211201,KPK0001158063,I,,POINT (118071.6229000017 488441.2270000018)
convergenties_wegvak.12,,I,N,12.4n,,BS.PPL.'RUYVEN',600104956,2022-01-01T00:00:00,0,060010495620220101,KPK0001420964,I,,POINT (86731.5166000016 444706.80040000007)
convergenties_wegvak.13,Pseudo Klaverbladknooppunt,I,N,9.6g,,'KP.RAASDORP'HAARLEM VBW. g(RW5),600120234,2022-01-01T00:00:00,0,060012023420220101,KPK0001130272,I,,POINT (110112.24029999971 486370.54619999975)
convergenties_wegvak.14,Niet indeelbaar,I,N,0.0#,,'PROVINCIALEWEG' (N279),600143590,2022-02-01T00:00:00,0,060014359020220201,KPK0001182353,I,,POINT (180953.56789999828 381102.34120000154)
convergenties_wegvak.15,,I,N,15.2m,,BS.PPL.+REST.'DEN RUYGEN HOEK',600119564,2022-02-01T00:00:00,771,060011956420220201,KPK0001217711,I,,POINT (106931.71860000119 474671.2201000005)
convergenties_wegvak.16,Niet indeelbaar,C,N,4.64x,,WISSELSTROOK x,276364007,2021-12-01T00:00:00,2718,027636400720211201,KPK0001179010,I,,POINT (140614.32030000165 483862.5560999997)
convergenties_wegvak.17,Niet indeelbaar,I,N,54.1m,,'RING ALMERE-CENTRUM'RANG.BAAN m,600199452,2021-12-01T00:00:00,5776,060019945220211201,KPK0001157835,I,,POINT (146870.14400000125 485753.37680000067)
convergenties_wegvak.18,Pseudo Haarlemmermeer-aansluiting,I,N,26.1d,3,'AMSTERDAM-WESTERPARK'VBW. d,236376126,2021-12-01T00:00:00,0,023637612620211201,KPK0001158146,I,,POINT (118042.65080000088 488375.7725000009)
convergenties_wegvak.19,Haarlemmermeer-aansluiting,I,J,27.3b,2,'AMSTERDAM-SLOTERDIJK'VBW. b,236378100,2021-12-01T00:00:00,351,023637810020211201,KPK0001156029,I,,POINT (118069.65500000119 489825.49610000104)
convergenties_wegvak.20,Niet indeelbaar,I,N,0.0#,,WISSELSTROOK p (RW5),236379064,2021-12-01T00:00:00,979,023637906420211201,KPK0001158162,I,,POINT (118585.4272999987 490741.9442999996)
convergenties_wegvak.21,Niet indeelbaar,I,N,0.0#,,'ROTTERDAM'VBW. q(RW10),600219406,2021-12-01T00:00:00,266,060021940620211201,KPK0001157717,I,,POINT (118415.03249999881 490536.68019999936)
convergenties_wegvak.22,Haarlemmermeer-aansluiting,I,J,42.5d,,'KP.ROTTEPOLDERPLEIN'HAARLEM VBW. d,217376007,2022-01-01T00:00:00,0,021737600720220101,KPK0001179536,I,,POINT (108758.07869999856 488240.71620000154)
convergenties_wegvak.23,T-knooppunt,I,J,4.1#,,'KP.ROTTEPOLDERPLEIN ZUID'HAARLEM ZUID,600119594,2022-01-01T00:00:00,937,060011959420220101,KPK0001130316,I,,POINT (108810.33480000123 487786.2648999989)
convergenties_wegvak.24,Pseudo Haarlemmermeer-aansluiting,I,N,19.2b,4,'NIEUW-VENNEP'VBW. b,600112482,2022-02-01T00:00:00,1217,060011248220220201,KPK0001190476,I,,POINT (104202.97230000049 471598.7862999998)
convergenties_wegvak.25,Niet indeelbaar,C,N,0.0#,,WISSELSTROOK q(RW10),600123736,2021-12-01T00:00:00,397,060012373620211201,KPK0001157723,I,,POINT (118573.67269999906 490749.84970000014)
convergenties_wegvak.26,Niet indeelbaar,I,N,0.0#,,'LIJNBUS',600225812,2021-12-01T00:00:00,150,060022581220211201,KPK0001156023,I,,POINT (118067.61580000073 488591.10869999975)
convergenties_wegvak.27,Pseudo T-knooppunt,C,N,18.8#,,KP.COENPLEIN'ROTTERDAM (RW5),236380041,2021-12-01T00:00:00,263,023638004120211201,KPK0001158091,I,,POINT (118578.76099999994 490685.3317999989)
convergenties_wegvak.28,Pseudo Haarlemmermeer-aansluiting,I,J,25.9b,4,'SLOTERMEER'VBW. b,236376122,2021-12-01T00:00:00,37,023637612220211201,KPK0001131032,I,,POINT (118086.31210000068 488233.14559999853)
convergenties_wegvak.29,,I,N,18.9n,,BS.'MIJNSHEERENLAND',182248012,2021-12-01T00:00:00,0,018224801220211201,KPK0001159375,I,,POINT (91243.58049999923 424157.25659999996)
convergenties_wegvak.30,,I,N,22.3q,,PPL.'OUDE KREEK',176243004,2021-12-01T00:00:00,441,017624300420211201,KPK0001159378,I,,POINT (88577.40049999952 422296.37420000136)
convergenties_wegvak.31,Niet indeelbaar,C,N,0.0#,,'AMSTERDAMSEWEG'(N202),600474884,2021-12-01T00:00:00,0,060047488420211201,KPK0001158970,I,,POINT (105242.4114000015 496904.1015000008)
convergenties_wegvak.32,Haarlemmermeer-aansluiting,C,N,53.5m,,BS.PPL.'PEULWIJK-WEST',600106612,2022-01-01T00:00:00,0,060010661220220101,KPK0001178677,I,,POINT (81054.33260000125 447173.1821999997)
convergenties_wegvak.33,Haarlemmermeer-aansluiting,I,N,14.1d,31,'VALKENSWAARD BS.PPL.OEIENBOSCH'VBW. d,600476893,2022-01-01T00:00:00,0,060047689320220101,KPK0001182265,I,,POINT (153855.98589999974 378050.90100000054)
convergenties_wegvak.34,Haarlemmermeer-aansluiting,I,N,213.1d,41,'GRATHEM'VBW. d,600477316,2022-01-01T00:00:00,0,060047731620220101,KPK0001178462,I,,POINT (186972.64880000055 354880.1515999995)
convergenties_wegvak.35,,I,N,68.0m,,BS.PPL.+ REST.'LEPELAAR',314387013,2022-01-01T00:00:00,807,031438701320220101,KPK0001179037,I,,POINT (157773.44999999925 494312.6979999989)
convergenties_wegvak.36,T-knooppunt,C,N,0.2#,,'KP.BURGERVEEN'LEIDEN WEST (RW44),209344013,2022-02-01T00:00:00,0,020934401320220201,KPK0001184633,I,,POINT (105309.40689999983 472823.78770000115)
convergenties_wegvak.37,Haarlemmermeer-aansluiting,I,N,2.1d,1,'OUDE-WETERING'VBW. d,206343017,2022-02-01T00:00:00,0,020634301720220201,KPK0001193240,I,,POINT (103469.66200000048 471795.5898000002)
convergenties_wegvak.38,Pseudo Haarlemmermeer-aansluiting,I,N,18.9p,4,'NIEUW-VENNEP'VBW. p(RW4),600112481,2022-02-01T00:00:00,945,060011248120220201,KPK0001141194,I,,POINT (104246.31089999899 471964.53379999846)
convergenties_wegvak.39,Pseudo Haarlemmermeer-aansluiting,C,N,17.7d,4,'NIEUW-VENNEP'VBW. d,211346008,2022-02-01T00:00:00,0,021134600820220201,KPK0001190447,I,,POINT (105668.35069999844 473222.2776999995)
convergenties_wegvak.40,Pseudo T-aansluiting Haarlemmermeer,C,N,97.1q,6,'IND. EKKERSRIJT'VBW. q,600138428,2021-12-01T00:00:00,492,060013842820211201,KPK0001142069,I,,POINT (160683.31500000134 389724.6381999999)
