GEMEENTE,WIJKNAAM,WIJK_NR_CBS,BUURTNAAM,BUURT_NR_CBS,NTL_BUURTBEWONERS,NTL_V,PERC_V,NTL_M,PERC_M,LFT_MIN,LFT_GEM,LFT_MAX,NTL_00_TOT_15,PERC_00_TOT_15,NTL_15_TOT_25,PERC_15_TOT_25,NTL_25_TOT_45,PERC_25_TOT_45,NTL_45_TOT_67,PERC_45_TOT_67,NTL_67_,PERC_67_,ACTUALITEIT
Diemen,,,,,25,17,68,8,32,4,22.6,54,6,24,5,20,9,36,3,12,2,8,2020-01-13
Diemen,Diemen Zuid,038403,Akkerland,03840301,1211,611,50.45,600,49.55,0,38.7,95,214,17.67,166,13.71,334,27.58,331,27.33,166,13.71,2020-01-13
Diemen,Diemen Zuid,038403,Anne Frank,03840304,423,208,49.17,215,50.83,0,41.2,97,80,18.91,39,9.22,100,23.64,142,33.57,62,14.66,2020-01-13
Diemen,Bergwijkpark,038404,Bergwijkpark,03840401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-13
Diemen,Diemen Zuid,038403,Beukenhorst,03840303,830,499,60.12,331,39.88,0,55.3,103,100,12.05,65,7.83,126,15.18,172,20.72,367,44.22,2020-01-13
Diemen,Diemen Zuid,038403,Biesbosch,03840308,983,492,50.05,491,49.95,0,38.2,88,202,20.55,120,12.21,256,26.04,272,27.67,133,13.53,2020-01-13
Diemen,Diemen Zuid,038403,Bomenrijk,03840302,1265,626,49.49,639,50.51,0,39.2,93,254,20.08,119,9.41,339,26.8,392,30.99,161,12.73,2020-01-13
Diemen,Diemen Centrum,038402,Buitenlust,03840204,331,163,49.24,168,50.76,0,45.2,95,44,13.29,41,12.39,74,22.36,89,26.89,83,25.08,2020-01-13
Diemen,Diemen Noord,038401,Buytenstee,03840101,1950,934,47.9,1016,52.1,0,42,91,294,15.08,243,12.46,440,22.56,712,36.51,261,13.38,2020-01-13
Diemen,Holland Park,038405,Campus Diemen Zuid,03840501,1591,808,50.79,783,49.21,0,24.4,46,6,0.38,846,53.17,738,46.39,1,0.06,0,0,2020-01-13
Diemen,Diemen Centrum,038402,Centrum Oost,03840207,1473,755,51.26,718,48.74,0,40.8,94,242,16.43,148,10.05,432,29.33,435,29.53,216,14.66,2020-01-13
Diemen,Diemen Centrum,038402,Centrum West,03840201,2417,1255,51.92,1162,48.08,0,40.4,102,365,15.1,315,13.03,696,28.8,713,29.5,328,13.57,2020-01-13
Diemen,Bedrijventerreinen,038406,De Sniep,03840602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-13
Diemen,Diemen Noord,038401,Diemerpolder,03840106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-13
Diemen,Buitengebied,038408,Gemeenschapspolder,03840801,90,35,38.89,55,61.11,2,45.8,79,8,8.89,7,7.78,24,26.67,34,37.78,17,18.89,2020-01-13
Diemen,Holland Park,038405,Holland Park,03840502,1917,888,46.32,1029,53.68,0,32.4,89,149,7.77,247,12.88,1205,62.86,254,13.25,62,3.23,2020-01-13
Diemen,Holland Park,038405,Holland Park Zuid,03840503,508,297,58.46,211,41.54,0,22.6,56,16,3.15,353,69.49,138,27.17,1,0.2,0,0,2020-01-13
Diemen,Diemen Zuid,038403,Kruidenhof,03840306,1280,652,50.94,628,49.06,0,41.1,92,197,15.39,150,11.72,351,27.42,388,30.31,194,15.16,2020-01-13
Diemen,Diemen Noord,038401,Oud Diemen,03840102,53,19,35.85,34,64.15,1,41.4,77,8,15.09,8,15.09,10,18.87,19,35.85,8,15.09,2020-01-13
Diemen,Buitengebied,038408,Overdiemen,03840803,18,7,38.89,11,61.11,13,52.5,82,1,5.56,2,11.11,1,5.56,10,55.56,4,22.22,2020-01-13
Diemen,Buitengebied,038408,Overdiemerpolder,03840802,43,20,46.51,23,53.49,5,46.3,81,5,11.63,8,18.6,2,4.65,17,39.53,11,25.58,2020-01-13
Diemen,Plantage de Sniep,038407,Plantage de Sniep Noord,03840702,1011,510,50.45,501,49.55,0,28.2,79,346,34.22,71,7.02,373,36.89,203,20.08,18,1.78,2020-01-13
Diemen,Plantage de Sniep,038407,Plantage de Sniep Zuid,03840701,961,489,50.88,472,49.12,0,27.6,69,351,36.52,47,4.89,382,39.75,177,18.42,4,0.42,2020-01-13
Diemen,Diemen Zuid,038403,Polderland,03840307,715,352,49.23,363,50.77,0,37.7,89,121,16.92,88,12.31,216,30.21,224,31.33,66,9.23,2020-01-13
Diemen,Diemen Centrum,038402,Ruimzicht Oost,03840206,2506,1344,53.63,1162,46.37,0,41,96,378,15.08,308,12.29,723,28.85,651,25.98,446,17.8,2020-01-13
Diemen,Diemen Centrum,038402,Ruimzicht West,03840202,2189,1117,51.03,1072,48.97,0,43.9,99,262,11.97,266,12.15,608,27.78,589,26.91,464,21.2,2020-01-13
Diemen,Diemen Noord,038401,Scheepskwartier,03840104,1588,815,51.32,773,48.68,0,40.7,98,271,17.07,197,12.41,378,23.8,515,32.43,227,14.29,2020-01-13
Diemen,Diemen Zuid,038403,Schelpenhoek,03840305,890,451,50.67,439,49.33,0,42.4,92,133,14.94,104,11.69,198,22.25,313,35.17,142,15.96,2020-01-13
Diemen,Diemen Centrum,038402,Spoorzicht,03840203,320,182,56.88,138,43.13,0,44.7,95,50,15.63,30,9.38,66,20.63,108,33.75,66,20.63,2020-01-13
Diemen,Bedrijventerreinen,038406,Stammerdijk,03840603,24,13,54.17,11,45.83,1,37.6,70,4,16.67,3,12.5,7,29.17,9,37.5,1,4.17,2020-01-13
Diemen,Diemen Centrum,038402,Studentenflats Rode Kruislaan,03840208,999,565,56.56,434,43.44,0,23.5,67,23,2.3,710,71.07,246,24.62,19,1.9,1,0.1,2020-01-13
Diemen,Bedrijventerreinen,038406,Verrijn Stuart,03840601,33,13,39.39,20,60.61,4,42.6,81,4,12.12,3,9.09,11,33.33,11,33.33,4,12.12,2020-01-13
Diemen,Diemen Noord,038401,Vlindertuin,03840105,1395,694,49.75,701,50.25,0,42.5,93,183,13.12,193,13.84,296,21.22,549,39.35,174,12.47,2020-01-13
Diemen,Diemen Noord,038401,Vogelweide,03840103,1839,955,51.93,884,48.07,0,43.9,96,282,15.33,188,10.22,421,22.89,567,30.83,381,20.72,2020-01-13
