ID,NUMMER,KLASSE,TYPE,DAK,SCHOT,BIJZONDERHEDEN,X_COORD,Y_COORD,longitude,latitude,GML
1,1,1,1_pers,1,,verlichting,"121725,84489347","487367,428497598",4.8985971681141,52.373167188942,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121725.84489347,487367.428497598,0 </gml:coordinates></gml:Point>"
2,2,1,1_pers,,,,"121258,298875078","488065,168209762",4.89166190654259,52.3794093772753,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121258.298875078,488065.168209762,0 </gml:coordinates></gml:Point>"
3,3,1,2_pers,,,,"120898,328669664","488301,844067272",4.88635149011491,52.3815142002952,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >120898.328669664.488301.844067272,0 </gml:coordinates></gml:Point>"
4,5,5,1_pers,,,,"120718,710287902","488615,909960859",4.88368153169704,52.3843255732414,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >120718.710287902,488615.909960859,0 </gml:coordinates></gml:Point>"
5,6,5,1_pers,,,,"122615,928882987","487032,547749226",4.91169912575261,52.3702107030482,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >122615.928882987,487032.547749226,0 </gml:coordinates></gml:Point>"
7,7,3,2_pers,,,,"120793,655243809","487518,996488131",4.88489379942192,52.3744721504043,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >120793.655243809,487518.996488131,0 </gml:coordinates></gml:Point>"
8,8,3,2_pers,2,1,,"121115,972636036","486390,184320853",4.88974037009176,52.364347306086,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121115.972636036,486390.184320853,0 </gml:coordinates></gml:Point>"
9,9,4,1_pers,,,,"121718,898590647","486337,567675848",4.89859699122536,52.3639112453697,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121718.898590647,486337.567675848,0 </gml:coordinates></gml:Point>"
10,10,2,1_pers,1,,,120724.550131904,"486251,322936631",4.88400812876481,52.3630750840708,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >120724.550131904.486251.322936631,0 </gml:coordinates></gml:Point>"
11,11,2,1_pers,,1,,"120886,176838707","486128,202495202",4.88639333594329,52.3619786290628,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >120886.176838707,486128.202495202,0 </gml:coordinates></gml:Point>"
12,12,3,1_pers,,,,"120513,472283841","488095,864742175",4.88072044404537,52.3796390328612,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >120513.472283841,488095.864742175,0 </gml:coordinates></gml:Point>"
13,16,5,1_pers,,,,"122103,160984525","487615,552110498",4.90411330784965,52.3754198171401,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >122103.160984525,487615.552110498,0 </gml:coordinates></gml:Point>"
14,18,2,1_pers,,,verlichting,"121695,764769605",487304.193141555,4.89816173865488,52.372597062301,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121695.764769605,487304.193141555,0 </gml:coordinates></gml:Point>"
15,19,2,1_pers,,,verlichting,"121748,427187895","487508,95276323",4.89891477586387,52.3744404544555,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121748.427187895,487508.95276323,0 </gml:coordinates></gml:Point>"
16,20,2,1_pers,,,verlichting,"121701,209663187","487449,161006399",4.89822734493212,52.3739002397014,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >121701.209663187,487449.161006399,0 </gml:coordinates></gml:Point>"
17,22,3,1_pers,,,,"122711,434683845","486751,25837712",4.91312839490843,52.3676883227809,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >122711.434683845,486751.25837712,0 </gml:coordinates></gml:Point>"
18,23,5,1_pers,,,,"123071,319201962","486369,007528457",4.91844844150268,52.3642739757942,"<gml:Point srsName=SDO:90112 xmlns:gml=http://www.opengis.net/gml><gml:coordinates decimal=. cs=, ts= >123071.319201962,486369.007528457,0 </gml:coordinates></gml:Point>"
