gemcode;wijk;buurt;jaar;lbrmtr;lbm9802;lbm9806;lbm9808;lbm9810;lbm0206;lbm0208;lbm0210;lbm0608;lbm0610;lbm0810;bev;lftsam;publ;veilig;vrz;won
3;0;0;1998;positief; ; ; ; ; ; ; ; ; ; ;-1,89148;-9,70163;7,19892;23,35096;-7,6898;-1,20929
3;0;0;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;6,9059;28,37228;8,00991;23,43546;17,44049;8,02651
3;0;0;2006;positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;,13569;2,46418;10,70035;17,9004;19,54267;6,15065
3;0;0;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;,46857;8,60492;18,82843;23,33344;20,40008;10,13936
3;0;0;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;9,03023;17,24917;18,55839;26,75904;15,70851;8,68197
3;0;1;1998;positief; ; ; ; ; ; ; ; ; ; ;2,69669;-18,12662;10,92036;28,91225;-8,36075;12,32006
3;0;1;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;12,09379;10,88493;8,72906;30,89808;-30,85549;21,89049
3;0;1;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;8,22632;6,4201;7,92338;21,66075;-30,94108;22,43137
3;0;1;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;17,29625;6,3652;7,08515;20,7391;-31,55884;24,01735
3;0;1;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;15,49834;5,38876;19,38908;20,99523;-31,0905;24,71523
3;0;2;1998;matig positief; ; ; ; ; ; ; ; ; ; ;-31,61256;-19,34156;-11,90615;21,05275;-7,30478;-37,68423
3;0;2;2002;positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;-14,80036;5,9959;-13,93291;21,86368;-16,55172;-36,46832
3;0;2;2006;positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-26,70727;9,96039;-8,67358;16,27049;-20,35566;-34,79251
3;0;2;2008;positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;-15,69175;6,13096;-17,87987;16,52011;-20,40568;-29,47655
3;0;2;2010;positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;-16,52049;6,87302;-11,79269;17,59399;-20,69094;-28,15798
3;0;7;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;-13,01798;21,34822;12,57574;43,13405;-4,08356;30,82671
3;0;7;2002;zeer positief;beperkte positieve ontwikkeling; ; ; ; ; ; ; ; ; ;21,06645;36,23596;17,07804;39,50258;-33,31619;36,41932
3;0;7;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;29,51418;11,64143;13,36228;33,78941;-33,31619;36,36747
3;0;7;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;29,08498;6,26132;16,72509;26,45936;-33,31619;40,09644
3;0;7;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;29,40016;5,75045;-6,58336;9,57199;-33,31619;42,43753
3;0;8;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;13,42231;9,4146;-31,66657;28,78465;17,79008;23,25544
3;0;8;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;22,10369;23,18915;-31,51803;24,51542;-32,78492;19,00614
3;0;8;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ;11,5757;21,0081;-13,79088;30,68966;-33,04647;7,80074
3;0;9;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;-2,07747;,98537;-42,82062;28,05152;-7,34852;35,72964
3;0;9;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;13,51007;11,76507;-42,80839;40,31657;-31,28919;38,52433
3;0;9;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-2,39395;44,84912;-42,0009;30,80098;-30,96435;42,02637
3;0;9;2008;zeer positief; ; ;beperkte positieve ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;16,76615;44,856;-39,13823;38,05325;-32,36001;43,28636
3;0;9;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;16,80384;36,80739;-35,66127;-5,95274;-31,87577;44,16732
5;0;0;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;9,6447;-1,34297;2,97527;37,09788;17,2354;18,60016
5;0;0;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;19,16942;5,71557;1,32635;36,85081;-27,88545;25,51513
5;0;0;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;14,62634;1,80733;2,04849;35,26937;-27,32269;26,76165
5;0;0;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;22,40893;4,23169;7,93685;29,59054;-26,07719;25,6447
5;0;0;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;22,43995;6,88398;14,39009;23,74771;-26,77404;25,69994
5;0;1;1998;zeer positief; ; ; ; ; ; ; ; ; ; ;16,55978;24,19315;-40,88939;38,12837;5,35394;48,64286
5;0;1;2002;zeer positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;23,80804;24,22704;-40,91907;37,06488;-39,93552;47,53589
5;0;1;2006;zeer positief; ;geen ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;26,36631;31,8248;-40,32013;33,31396;-40,11579;47,97135
5;0;1;2008;zeer positief; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling; ; ;22,14773;29,57246;-45,25181;33,21775;-40,14063;47,8468
5;0;1;2010;zeer positief; ; ; ;geen ontwikkeling; ; ;geen ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;23,02024;26,61383;-28,92261;16,90268;-39,7919;46,75253
