Leverancier;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Aaaaha! The Actor Factory B.V.;;1;;;1
A-Mac B.V.;2;;;;2
Appical B.V.;;;1;;1
Art Copy Team;;;;2;2
Atos Nederland B.V.;;;;9;9
BCC (Elektro-Speciaalzaken) B.V.;;1;1;;1
Bixmile Performance B.V.;;;;1;1
bol.com B.V.;;;1;;1
Castor Networks Fixed Services B.V.;;;2;;2
Cegeka Consulting B.V.;;;1;;1
Cimsolutions;;;;1;1
CM.COM Netherlands B.V.;;;2;;2
COMPAREX Nederland B.V.;;4;;;4
Conrad Electronic Benelux B.V.;;;1;;1
Coolblue B.V.;;;2;;2
DataWeb B.V.;;1;;;1
DDAI;;1;;;1
De Staffing Groep Nederland B.V.;;;;6;6
E. Feenstra Holding B.V.;;2;;;2
EY Advisory Netherlands LLP;;3;;;3
Flexa Media;;1;;;1
Fox-IT;;;;1;1
Gannexion B.V.;;;1;;1
GLOMIDCO Managed Services B.V.;;;;2;2
GoodHabitz B.V.;;2;;;2
GreenMango ICT Services;;2;;;2
Hostnet B.V.;;;1;;1
IDEMIA The Netherlands B.V.;;1;;;1
Identiteit & Diensten B.V.;;;;1;1
ING Bank;;;4;;4
Int. Air Trans. Association (Netherl.) B.V.;;;1;;1
Intelligence Group B.V.;;2;;;2
ItaQ;;;;4;4
Juris B.V.;;2;;1;2
KPMG Advisory N.V.;;;;2;2
LINKIT B.V.;;;;4;4
LJS Automatisering B.V.;;;1;;1
Madenco B.V.;;;;1;1
Mahieu Web Development B.V.;;;;1;1
Mavim B.V.;;;;1;1
Microsoft B.V.;;4;;6;7
Nalta Software B.V.;;1;;;1
Orange Business Netherlands B.V.;;;;9;9
Ordina Nederland B.V.;;3;;1;3
Payingit B.V.;;;;3;3
PayPlaza B.V.;;;1;;1
Perlent;1;;;;1
Pink Elephant Education B.V.;;;;1;1
Pricewaterhousecoopers B.V.;;2;;;2
PricewaterhouseCoopers Pens.Act.Ins.Srv.;;2;;2;2
Protinus IT B.V.;2;4;1;;4
QuoVadis Trustlink B.V.;;1;;;1
Randstad Uitzendbureau B.V.;;;;2;2
RIPE NCC;;1;;;1
Savant Learning Partners B.V.;;;;1;1
SaySimple B.V.;;2;;;2
Schuberg Philis B.V.;;1;;;1
Schutten It B.V.;;2;;;2
Sectra Communications B.V.;;;6;;6
Service Management Technology eXperts B.V.;;2;;;2
Tele'Train Education II B.V.;;;;2;2
Transip B.V.;;1;;;1
TwynstraGudde Adviseurs;;;;1;1
Uno Automatiseringdiensten B.V.;;;;1;1
Uptrends B.V.;;1;;1;1
ValueBlue B.V.;;1;;;1
VerversAdvies B.V.;;;;1;1
Virtual Sciences Solutions B.V.;;2;;;2
Youfacilitate B.V.;;1;;;1
Zeewaardig;;2;;;2
Eindtotaal;2;7;7;10;10
