Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Aannemersbedrijf G.B. van Hoek B.V.;2;;;;2
Ako Sol B.V.;2;;;;2
Albert Heijn B.V.;1;;;;1
Ambius B.V.;1;;;;1
ATS Systems B.V.;1;;;;1
Berenschot B.V.;;;;2;2
Bevers Installatietechniek;1;;;;1
bol.com B.V.;1;;;;1
BPM;1;;;1;1
Bruynzeel Storage Systems B.V.;4;;;;4
BTL Realisatie B.V.;1;;;;1
Croonwolter&dros B.V.;4;;;;4
De Vries Projekt Design B.V.;1;;;;1
Defibrion;1;;;;1
Defibrion Services B.V.;1;;;;1
DPI;1;;;;1
DPVT B.V.;1;;;;1
Drent Deuren Service;1;;;;1
Dunea N.V.;;1;;;1
Eco-Point Diensten B.V.;1;;;;1
Eneco Services B.V.;;4;;;4
Eneco Zakelijk;;3;;;3
Enexis Netbeheer B.V.;;2;;;2
Espero B.V.;1;;;;1
Fa. C. van den Heuvel;1;;;;1
Fudura B.V.;;1;;;1
Greenchoice;;5;;;5
Herôme Cosmetics B.V.;1;;;;1
HerstelDirect B.V.;3;;;1;3
Holtrop & Jansma B.V.;1;;;;1
Ingenieursbureau Ebatech B.V.;1;;;;1
ISSOS B.V.;1;;;;1
Joulz Infradiensten B.V.;;1;;;1
Jura Nederland B.V.;1;;;;1
Kaars Koffie B.V.;1;;;;1
Kalsbeek B.V.;1;;;;1
KPN HotSpots;;;;1;1
Lasaulec B.V.;1;;;;1
Lo Minck Systemen B.V.;1;;;;1
Loes Huis- en Tuindiensten;1;;;;1
Maas International B.V.;1;;;;1
Manutan B.V.;1;;;;1
Maurice v. Kalleveen, Loodg.- & Inst.bedr.;1;;;;1
MedicaMarkt B.V.;1;;;;1
Mondial Movers B.V.;;;2;;2
N.V. Waterbedrijf Groningen;;1;;;1
P.T.B. Transportmiddelen B.V.;1;;;;1
Print X-Press;1;;;;1
Pyrasied B.V.;1;;;;1
ROHDE & GRAHL B.V.;1;;;1;1
Scheeres Handelmaatschappij B.V.;1;;;;1
Schildersbedrijf Variant;1;;;;1
Securiteit Winkels B.V.;1;;;;1
Signkracht B.V.;1;;;;1
Skyworks B.V.;1;;;;1
Staples Nederland B.V.;1;;;;1
Stedin Netbeheer B.V.;;2;;;2
Steegman Elektrotechniek B.V.;2;;;;2
Stichting Goed Bezig in Groningen;3;;;1;3
Stichting Videma;1;;;;1
Studio van Eijk & van der Lubbe;1;;;;1
Ter Hoeven & Partners B.V.;1;;;;1
Unica Installatietechniek B.V.;1;;;;1
Uniebouw B.V.;1;;;;1
UTS Abbink B.V.;;;1;;1
UTS Abbink Den Haag;;;2;;2
Vereniging Privacy Recht;;;;1;1
Vitens N.V.;1;1;;;1
Werkplekzonwering;1;;;;1
Xerox (Nederland) B.V.;;;1;;1
Ziggo B.V.;1;;;;1
Eindtotaal;6;6;2;2;7
