Ministerie;Handelsnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
AZ;A van Anna;;;;;;;;;1;;1
AZ;Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;1;;;1
AZ;Alpina Groep;;;;;;;;1;;;1
AZ;Ambius B.V.;;;;;;;;2;;;2
AZ;Aon Risk Solutions;;;;;;;;1;;;1
AZ;Ascom (Nederland) B.V.;;;1;;;;;;;;1
AZ;Avas Systemen V.O.F.;;;;;;;;;1;;1
AZ;A-Vier Producties;;;;;;1;;;;;1
AZ;B.V. Electro Centraal E.C.;;;;;;;;;1;;1
AZ;B.V. Technisch Bureau Jacot;;;;;;;;2;;;2
AZ;Banketbakkerij H.F. Borsboom;1;1;;;;;;;;;1
AZ;Begra Magazijninrichting;;;;;;;;;1;;1
AZ;Bento Presentaties;;;;;;;;;1;;1
AZ;Beuk Horeca B.V.;;;;;;;;1;;;1
AZ;Biljartfabriek Van den Broek;;;;;;;;1;;;1
AZ;BKFF bas kijzers fotografie en film;;;;;;;;;1;;1
AZ;Boek- en Offsetdrukkerij Morgenstond B.V.;;;;;1;;;;;;1
AZ;Bourgonje Geluid- en Lichtservice B.V.;;;;;;;;1;;;1
AZ;Breur Beveiligingen B.V.;;;1;;;;;;;;1
AZ;Buro van Riel B.V.;;;;1;;;;;;;1
AZ;Buro voor Grafische;;;;;;;;;1;;1
AZ;Calumet Photographic B.V.;;;;;;;;;1;;1
AZ;Cantine Service;;4;;;;;;;;;4
AZ;Chair Repair;;;;;;;;1;;;1
AZ;Chubb Fire & Security Rotterdam;;;3;;;;;;;;3
AZ;Cimon B.V.;;;;;;1;;;;;1
AZ;CNFKoetsier B.V.;;;;;;;;1;;;1
AZ;Cooper Twente B.V.;;;;1;;;;;;;1
AZ;Cycloon Post Den Haag B.V.;;;;;1;;;;;;1
AZ;De Galerie Den Haag B.V.;;;;;;;;1;;;1
AZ;de Persgroep Nederland;;;;;;1;;;;;1
AZ;De Projectinrichter B.V.;;;;;;;;1;;;1
AZ;De Raat Security Products B.V.;;;1;;;;;1;;;1
AZ;De Singel & Naber B.V.;;;;;;;;;1;;1
AZ;Dema Stoffering;;;;;;;;2;;;2
AZ;Digital Revolution B.V.;;;;;;;;;1;;1
AZ;Discountoffice.nl B.V.;;;1;;;;;;;;1
AZ;Dokkumer Vlaggen Centrale B.V.;;;1;;;;;1;;;1
AZ;Drentea Kantoormeubelen;;;;;;;;1;;;1
AZ;Duel;;;;;;;;1;;;1
AZ;Efficiency B.V.;;;;;;;;;1;;1
AZ;Ese International B.V.;;;1;;;;;;;;1
AZ;Espressissimo B.V.;;1;;;;;;1;;;1
AZ;Etol Nederland B.V.;;;;1;;;;1;;;1
AZ;EVAC Medical;;;1;;;;;;;;1
AZ;Faber Holding B.V.;;;1;;;;;1;;;1
AZ;FietsXpress;;;;;1;;;;;;1
AZ;Flash Rental Services B.V.;;;2;;;;;;;;2
AZ;Fonq.nl B.V.;;;;;;;;1;;;1
AZ;Fotografie : Paul Voorham;;;;;;;;;1;;1
AZ;Frama Nederland;;;;;;;;;1;;1
AZ;Grapefish;;;;;;1;;;;;1
AZ;Hafo B.V.;;;;;;;;;1;;1
AZ;Hagisto;;;;;;;;1;;;1
AZ;Handboekbinderij Bronsgeest-Habi;;;;;;1;;;;;1
AZ;Hans Roggen Fotografie;;;;;;;;;1;;1
AZ;Hectas Facility Services C.V.;;;;5;;;;;;;5
AZ;Hega Offset B.V.;;;;;;1;;;;;1
AZ;Heijmans Utiliteit;;;;;;;;1;;;1
AZ;Het NZC B.V.;;1;;1;;;;;;;1
AZ;Hirschmann Multimedia B.V.;;;;;;;;2;;;2
AZ;Hobart Nederland B.V.;;;;;;;;1;1;;1
AZ;Hollandse Hoogte B.V.;;;;;;;;;1;;1
AZ;Honeywell Building Solutions;;;4;;;;;;;;4
AZ;House of Lords B.V.;;1;;;;;;;;;1
AZ;IGM Online B.V.;;;;;;;;;1;;1
AZ;ImPressed druk & print;;;;;;1;;;;;1
AZ;Inbraakpreventie 'M.I.B.' B.V.;;;1;;;;;;;;1
AZ;ING Bank N.V.;;;;;1;;;1;;;1
AZ;Initial B.V.;;;;2;;;1;;;;2
AZ;Intercept;;;;1;;;;;;;1
AZ;Interieur Corner B.V.;;;;1;;;;1;;;1
AZ;Intimus International Netherlands B.V.;;;;;;;;;1;;1
AZ;Intrum Justitia Nederland B.V.;;;;;;;;;;1;1
AZ;Jura Nederland B.V.;;;;;;;;1;;;1
AZ;Kantoorstempels.nl B.V.;;;;;;;;;1;;1
AZ;Kick Smeets Fotografie;;;;;;;;;1;;1
AZ;Koninklijke PostNL B.V.;;;;;1;;;;;;1
AZ;Koninklijke van der Most B.V.;;;;;;1;;;;;1
AZ;Kruizinga B.V.;;;;;1;;;1;;;1
AZ;Kunst.nl B.V.;;;;;;;;2;;;2
AZ;Langerak-de Jong B.V.;;2;;;;;;;;;2
AZ;Lobeco Fire + Security B.V.;;;1;;;;;;;;1
AZ;Logistiekconcurrent;;;1;;;;;;;;1
AZ;Lyreco Nederland B.V.;;;;;;;;1;;;1
AZ;M&L Professional B.V.;;;;;;;;1;;;1
AZ;M+ Group B.V.;;;;;;;;1;;;1
AZ;Manutan B.V.;;;;;;;;1;;;1
AZ;Metaalwarenfabriek Neo-Metaal B.V.;;;;;;;;2;;;2
AZ;Meubelfabriek Niënhuis B.V.;;;;;;;;1;;;1
AZ;Middelbos B.V.;;;;;;;;1;;;1
AZ;Middin;;;;;;;;1;;;1
AZ;Miele Nederland B.V.;;;;;;;;1;;;1
AZ;Moduli Print B.V.;;;;;;1;;;;;1
AZ;MSGA;;;;;;1;;;;;1
AZ;Nationale Beeldbank B.V.;;;;;;;;;1;;1
AZ;Nieuwe Stijl Meubelmakerij;;;;;;;;1;;;1
AZ;Ninaber van Eyben B.V.;;;;;;;;1;;;1
AZ;Novagraaf Nederland;;;;;;1;;;;;1
AZ;NRC Handelsblad Weekeditie voor buitenland;;;;;;1;;;;;1
AZ;P.C. Verheul;;;;;;;;;1;;1
AZ;Paco Verpakkingen B.V.;;;1;;;;;;;;1
AZ;Pactechno;;;;;;;;;1;;1
AZ;Papyrus Groep Nederland B.V.;;;;;;1;;;;;1
AZ;Pasmans Drukkerij;;;;;;1;;;;;1
AZ;Plein 9 A B.V.;;1;;;;;;;;;1
AZ;Power Components B.V.;;;;;;;;1;;;1
AZ;PreSafe B.V.;;;1;;;;;;;;1
AZ;Printed copy en printservice;;;;;;2;;;;;2
AZ;Promio;;;;;;;;;1;;1
AZ;Protinus IT B.V.;;;;;;;;3;1;;3
AZ;R.J.W. Hulst Agenturen;;1;;;;;;;;;1
AZ;Rajapack Benelux;;;;;;1;;;1;;1
AZ;Reisswolf Nederland B.V.;;;1;;;;;;;;1
AZ;Rentokil pest control;;;;2;;;;;;;2
AZ;Rietvelt Herenmode;;;;;;;;;1;;1
AZ;Ropini B.V.;;1;;;;;;;;;1
AZ;Saval B.V.;;;1;;;;;;;;1
AZ;ScreenCheck Europe B.V.;;;1;;;;;;;;1
AZ;SDB International B.V.;;;;;;;;1;;;1
AZ;Semaphore Signs B.V.;;;1;;;;;;;;1
AZ;Signpost B.V.;;;2;;;;;1;;;2
AZ;Signshop;;;;;;;;;;1;1
AZ;Sita Recycling Services;;;;;;;1;;;;1
AZ;'Skippi' Sneltransport;;;;;1;;;;;;1
AZ;Sligro;;3;;;;;;1;;;3
AZ;Sodexo B.V.;;4;;;;;;;;;4
AZ;Spaander Restauratie Uurwerken en Speeldozen;;;;;;;;1;;;1
AZ;Staples Nederland B.V.;;;;;;;;;2;;2
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;1;;;;;;;;;1
AZ;Stichting Reprorecht;;;;;;1;;;;;1
AZ;Stichting Videma;;;;;;;;1;;;1
AZ;Strukton Worksphere;;;;;;;;1;;;1
AZ;Studio 3005;;;;;;;;;1;;1
AZ;Studio van 't Wout B.V.;;;;;;;;1;;;1
AZ;Taartenland.nl;1;;;;;;;;;;1
AZ;Telegraaf Media Groep N.V.;;;;;;1;;;;;1
AZ;Textcetera B.V.;;;;;;2;;;;;2
AZ;Thijs Brand tweewielers Zoetermeer V.O.F.;;;;;;;;1;;;1
AZ;Things To Make And Do B.V.;;;;;;;;;1;;1
AZ;Topbloemen Nederland B.V.;;;;;;;;2;;;2
AZ;Transposafe Systems;;;2;;;;;;;;2
AZ;Triple-E;;;;;;;;1;;;1
AZ;Trompenburg B.V.;;;;;;;;1;;;1
AZ;UMAMI;;1;;;;;;;;;1
AZ;United Parcel Service Nederland B.V.;;;;;1;;;;;;1
AZ;Uw Drukker om de Hoek;;;;;;1;;;;;1
AZ;Van Gansewinkel Groep;;;;;;;1;;;;1
AZ;Van Gansewinkel Nederland B.V.;;;;2;;;;;;;2
AZ;Van Mill Fotografie;;;;;;;;;1;;1
AZ;Van Randwijk Paperflow Solutions B.V.;;;1;;;;1;;1;;1
AZ;Van Schoonhoven Reclamestudio;;;1;;;;;;;;1
AZ;Van Zwanenburg Projekten B.V.;;;;;;;;1;;;1
AZ;Vastinvorm;;;;;;;;;1;;1
AZ;Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;;;;;;;;;1;;1
AZ;Verhuurbedrijf Paul B.V.;;;;;;;;1;;;1
AZ;Verhuurbedrijf Zuid-Holland B.V.;;1;;;;;;1;;;1
AZ;Vlieger Special Packaging B.V.;;;;;1;;;;;;1
AZ;Vollebregt Installatie B.V.;;;;;;;;1;;;1
AZ;Vorm Vijf Ontwerpteam B.V.;;;;;;;;;1;;1
AZ;Wasserij Ambassade;;;;2;;;;;;;2
AZ;Webcompanies B.V.;;;;;;;;1;;;1
AZ;Westgeest Staalmeesters B.V.;;;1;;;;;1;;;1
AZ;Wijnkoperij De Gouden Ton;;1;;;;;;;;;1
AZ;WMF Nederland B.V.;;;;;;;;1;;;1
AZ;Xerox (Nederland) B.V.;;;;;;3;;;2;;3
AZ;Ziggo B.V.;;;;;;;;1;;;1
BZ;!pet boekhandel B.V.;;;;;;;;;1;;1
BZ;Amazing Design;;;;;;;;1;;;1
BZ;Andriesse - Eyck;;;;;;;;1;;;1
BZ;Anningahof;;;;;;;;2;;;2
BZ;Antalis B.V.;;;;;1;;;;;;1
BZ;Aon B.V.;;;;;;;;1;;;1
BZ;Art Affairs Gallery;;;;;;;;1;;;1
BZ;Bandora B.V.;;;;;;;;1;;;1
BZ;Barbara Schoonhoven Rest.&Onderz. van Schild.;;;;;;;;1;;;1
BZ;Boekbinderij Hudéjo/Van der Nat;;;;;;;;;1;;1
BZ;Boetzelaer Nispen Galerie;;;;;;;;1;;;1
BZ;Chubb Fire & Security Amsterdam;;;1;;;;;;;;1
BZ;CIB Centraal InkoopBureau B.V.;;;;;;;;;1;;1
BZ;Conrad Electronic Benelux B.V.;;;;;;;;;1;;1
BZ;Coolblue B.V.;;;;;;;;;1;;1
BZ;Copex Air B.V.;;;;;7;;;;;;7
BZ;Crisisplan B.V.;;;2;;;;;;;;2
BZ;Dantuma;;;;;;;;;1;;1
BZ;De Vries Projekt Design B.V.;;;;;;;;1;;;1
BZ;Design Virus;;;;;;;;2;;;2
BZ;Dutch Icon;;;;;;1;;;;;1
BZ;Ex Interiors B.V.;;;;;;;;2;;;2
BZ;Facilion B.V.;;;;;;1;;;;;1
BZ;Facilitylinq B.V.;;;;;;;;6;;;6
BZ;Flatland Galerie;;;;;;;;2;;;2
BZ;Flinders B.V.;;;;;;;;1;;;1
BZ;Galerie Cokkie Snoei;;;;;;;;1;;;1
