OBJECTID,SIGMA_ID,REF_FUNC_SPOORTAK_NAAM_LANG,KANTCODE,M_SIGMATRAJECT_BEGIN,M_SIGMATRAJECT_EIND,PUBLICATIEDATUM,DATUM_GOEDGEKEURD,ELEMENT_TYPE,ELEMENT_LENGTE,STRAAL_BEGIN,STRAAL_EIND,ROTATIE_BEGIN,ROTATIE_EIND,ARGUMENT_BEGIN,ARGUMENT_EIND,VOLGNUMMER,LENGTE_TOTAAL_SIGMATRAJECT,BEIDE_EINDEN_GELIJK,POSITIONELE_NAUWKEURIGHEID_MM,REF_FUNCTIONELE_SPOORTAK_PUIC,SIGMATRAJECT_GUID,REF_WISSEL_KRUISING_PUIC,Shape__Length
1,938739,003_2335R_84.4,R,0,1.31602,2021/10/29 14:28:11+00,2017/05/16 10:20:53+00,Rechtstand,1.31602,,,,,5.80606201,5.80606201,0,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,7e945fa8-c6f1-43e8-b758-b2219acd29b3,1.31600165653391
2,938740,003_2335R_84.4,R,1.31602,3.37102,2021/10/29 14:28:11+00,2017/05/16 10:20:53+00,Boog,2.055,250,250,CW,CW,5.80606201,5.79784201,1,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,7e945fa8-c6f1-43e8-b758-b2219acd29b3,2.05500146757455
3,938741,003_2335R_84.4,R,3.37102,21.39635,2021/10/29 14:28:11+00,2017/05/16 10:20:53+00,Boog,18.02533,195,195,CW,CW,5.79784201,5.70540442,2,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,7e945fa8-c6f1-43e8-b758-b2219acd29b3,18.0253086623126
4,938742,003_2335R_84.4,R,21.39635,27.34246,2021/10/29 14:28:11+00,2017/05/16 10:20:53+00,Rechtstand,5.94611,,,,,5.70540446,5.70540446,3,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,7e945fa8-c6f1-43e8-b758-b2219acd29b3,5.94614305663764
5,938743,003_2335R_84.4,R,27.34246,36.54746,2021/10/29 14:28:11+00,2017/05/16 10:21:22+00,Rechtstand,9.205,,,,,5.70540447,5.70540447,4,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,7e945fa8-c6f1-43e8-b758-b2219acd29b3,9.20495450287507
6,938744,003_2335R_84.4,,36.54746,129.51207,2021/10/29 14:28:11+00,2017/05/16 10:21:22+00,Rechtstand,92.96461,,,,,5.70540447,5.70540447,5,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,,92.9646491206738
7,938745,003_2335R_84.4,,129.51207,184.840678,2021/10/29 14:28:11+00,2017/05/16 10:21:22+00,Boog,55.328608,500,500,CCW,CCW,5.70540447,5.81606169,6,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,,55.3285656393605
8,938746,003_2335R_84.4,,184.840678,428.13979899,2021/10/29 14:28:11+00,2017/05/16 10:21:22+00,Rechtstand,243.29912099,,,,,5.81606169,5.81606169,7,428.13979899,Nee,10,e4e3f1ff-f706-438e-86d3-cd747c84e00a,00a35e75-4138-4805-b07e-35a03df91ac4,,243.299127143297
9,938747,003_2225L_84.1,L,0,27.365,2021/10/29 14:28:12+00,2020/08/20 02:00:00+00,Rechtstand,27.365,,,,,5.84980957,5.84980957,0,33.1684258,Ja,10,42cd97ee-b1e4-4379-ab87-b9de213e1b01,10418c96-3e5f-4593-be9c-7ef111dbdd66,0c142fa7-8b5e-4a44-8a70-25593ac958e1,27.3649727076422
10,938748,003_2225L_84.1,T,27.365,33.1684258,2021/10/29 14:28:12+00,2020/08/20 02:00:00+00,Rechtstand,5.8034258,,,,,5.84980957,5.84980957,1,33.1684258,Ja,10,42cd97ee-b1e4-4379-ab87-b9de213e1b01,10418c96-3e5f-4593-be9c-7ef111dbdd66,a257810a-7ccb-4e60-8d22-33cb124b66f1,5.80351147237601
11,938749,003_2329R_84.4,R,0,27.365,2021/10/29 14:28:13+00,2017/05/16 10:20:53+00,Rechtstand,27.365,,,,,5.70540442,5.70540442,0,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,9a281323-d741-4401-b985-f770ea9b22d4,27.3650115258518
12,938750,003_2329R_84.4,R,27.365,36.57,2021/10/29 14:28:13+00,2017/05/16 10:20:35+00,Rechtstand,9.205,,,,,5.70540442,5.70540442,1,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,9a281323-d741-4401-b985-f770ea9b22d4,9.20495450287507
13,938751,003_2329R_84.4,,36.57,189.30022,2021/10/29 14:28:13+00,2017/05/16 10:20:35+00,Rechtstand,152.73022,,,,,5.70540442,5.70540442,2,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,,152.730256037139
14,938752,003_2329R_84.4,,189.30022,244.628829,2021/10/29 14:28:13+00,2017/05/16 10:20:35+00,Boog,55.328609,500,500,CCW,CCW,5.70540442,5.81606164,3,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,,55.3286190701469
15,938753,003_2329R_84.4,,244.628829,488.3997737,2021/10/29 14:28:13+00,2017/05/16 10:20:35+00,Rechtstand,243.7709447,,,,,5.81606164,5.81606164,4,488.3997737,Nee,10,bf1008fd-89a1-4113-8bbb-62d60cf82657,10f93d45-67c9-45d1-93e3-212eebcaa592,,243.770940076991
16,938754,003_2333P_84.4,P,0,10.075,2021/10/29 14:28:13+00,2017/05/16 10:20:05+00,Rechtstand,10.075,,,,,5.81606163,5.81606163,0,452.45515847,Nee,10,a6f2a56f-7eb2-419e-9406-f63af0118c9a,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,fed2c116-6d20-4d81-bf84-2f6fe4076f63,10.0750676171428
17,938755,003_2333P_84.4,P,10.075,16.835,2021/10/29 14:28:13+00,2017/05/16 10:20:05+00,Rechtstand,6.76,,,,,5.81606163,5.81606163,1,452.45515847,Nee,10,a6f2a56f-7eb2-419e-9406-f63af0118c9a,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,fed2c116-6d20-4d81-bf84-2f6fe4076f63,6.75989787644754
18,938756,003_2333P_84.4,P,16.835,25.99,2021/10/29 14:28:13+00,2017/05/16 10:18:57+00,Rechtstand,9.155,,,,,5.81606166,5.81606166,2,452.45515847,Nee,10,a6f2a56f-7eb2-419e-9406-f63af0118c9a,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,fed2c116-6d20-4d81-bf84-2f6fe4076f63,9.15496457666549
19,938757,003_2333P_84.4,,25.99,452.45515847,2021/10/29 14:28:13+00,2017/05/16 10:18:57+00,Rechtstand,426.46515847,,,,,5.81606166,5.81606166,3,452.45515847,Nee,10,a6f2a56f-7eb2-419e-9406-f63af0118c9a,166ad400-2f2e-4fd5-b54a-ecdcf4f38ea0,,426.465103567138
20,938764,003_2241L_84.3,L,0,1.31602,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Rechtstand,1.31602,,,,,5.52783758,5.52783758,0,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,b9b148f4-5b42-4eac-a2e7-52caeab69278,1.31602448685425
21,938765,003_2241L_84.3,L,1.31602,3.37102,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Boog,2.055,250,250,CCW,CCW,5.52783758,5.53605758,1,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,b9b148f4-5b42-4eac-a2e7-52caeab69278,2.05499208502285
22,938766,003_2241L_84.3,L,3.37102,21.39635,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Boog,18.02533,195,195,CCW,CCW,5.53605758,5.62849517,2,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,b9b148f4-5b42-4eac-a2e7-52caeab69278,18.0253298272805
23,938767,003_2241L_84.3,L,21.39635,27.34246,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Rechtstand,5.94611,,,,,5.62849513,5.62849513,3,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,b9b148f4-5b42-4eac-a2e7-52caeab69278,5.94615231725525
24,938768,003_2241L_84.3,L,27.34246,36.54746,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Rechtstand,9.205,,,,,5.62849406,5.62849406,4,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,b9b148f4-5b42-4eac-a2e7-52caeab69278,9.20499695274257
25,938769,003_2241L_84.3,,36.54746,39.48034,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Rechtstand,2.93288,,,,,5.62849406,5.62849406,5,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,,2.93286274653281
26,938770,003_2241L_84.3,,39.48034,81.181094,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Boog,41.700754,250,250,CCW,CCW,5.62849406,5.79529708,6,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,,41.700757205269
27,938771,003_2241L_84.3,,81.181094,96.181103,2021/10/29 14:28:15+00,2017/05/16 10:01:20+00,Rechtstand,15.000009,,,,,5.79529707,5.79529707,7,457.65190263,Nee,10,bec56179-0f0c-496d-94ee-4f9bcd9942f4,23d323ae-f400-431e-a526-6d6a4bf6b0f1,,14.9999730763092
