NAAM;OMSCHRIJVING;BUURTNAAM;BUURTCODE;WIJKNAAM;WIJKCODE;STADSDEELNAAM;STADSDEELCODE;GEMEENTECODE;GEBIED;KWALITEIT;COUNTER;GUID
Windroos;Windroos;;;Scheveningen;7;;;;;residentiekwaliteit;39;{10B7DC4A-0760-457B-9C6C-C9D75342E260}
Rode Kruisplantsoen;Rode Kruisplantsoen;;;Bomen- en Bloemenbuurt;12;;;;;residentiekwaliteit;40;{DEA83549-596F-48B8-85C5-801EB23765BD}
Klopsteen;Klopsteen;;;Ypenburg;42;;;;;residentiekwaliteit;41;{429CD474-0212-4441-A548-8BAE635C48C2}
Oude Kustlijn;Oude Kustlijn;;;Ypenburg;42;;;;;residentiekwaliteit;42;{0705DD47-A30F-42AD-AE73-7F2ECF2ABBF7}
Pijlpunt;Pijlpunt;;;Ypenburg;42;;;;;residentiekwaliteit;43;{3D876C13-E24C-4C18-8992-CE742350A2E5}
Kling;Kling;;;Ypenburg;42;;;;;residentiekwaliteit;44;{DC7F3D77-6F17-4E7C-8A29-8FDD612AA47A}
Schrabber;Schrabber;;;Ypenburg;42;;;;;residentiekwaliteit;45;{C761DF85-D8A6-45CA-AA8B-54B1B066658B}
Steentijdsingel;Steentijdsingel;;;Ypenburg;42;;;;;residentiekwaliteit;46;{6A535BFD-BCAF-43EC-BAAC-B832083DDAD1}
Speerpunt;Speerpunt;;;Ypenburg;42;;;;;residentiekwaliteit;47;{BC4E2D73-ACD1-4C35-A863-C68596B7A9AA}
Cartesiusstraat;Cartesiusstraat;;;Regentessekwartier;21;;;;;residentiekwaliteit;48;{F034E8CC-6851-4F2A-80A0-BE5E600D14E7}
Scheveningse Bos;Scheveningse Bos;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;49;{8637C9FC-8E8A-4D92-9F26-FBD26691F48B}
Henri Viottalaan;Henri Viottalaan;;;Archipelbuurt;5;;;;;residentiekwaliteit;1;{DA38C355-1411-45F0-AB36-1738B96C73FC}
Dr. Aletta Jacobsweg;Dr. Aletta Jacobsweg;;;Archipelbuurt;5;;;;;residentiekwaliteit;2;{159156EE-28A9-48C6-B613-936230BECBBC}
Jacob Gillesstraat;Jacob Gillesstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;3;{D7018198-DA96-4BFA-8819-8D19C690B5A8}
Slicherstraat;Slicherstraat;;;Schildersbuurt;29;;;;;residentiekwaliteit;4;{A4210C30-80C9-474F-A1AD-A0E83A437205}
Floris Arntzeniusplein;Floris Arntzeniusplein;;;Benoordenhout;4;;;;;residentiekwaliteit;5;{786ECB8A-7803-421E-914C-E1A01C23F7D3}
Betsy Perkstraat;Betsy Perkstraat;;;Laakkwartier en Spoorwijk;38;;;;;residentiekwaliteit;6;{BFFF42E3-F183-44FB-9841-266D9A48A4DC}
Prinses Irenepad;Prinses Irenepad;;;Bezuidenhout;26;;;;Grachtengordel;hofstadkwaliteit;7;{195C3940-DAA9-4A78-87E2-01B891D41DD8}
Kamerlingh Onnesplein;Kamerlingh Onnesplein;;;Valkenboskwartier;20;;;;;residentiekwaliteit;8;{D09B9C23-8072-4F49-A780-C3CF7A54A27C}
Lange Beestenmarkt;Lange Beestenmarkt;;;Centrum;28;;;;;residentiekwaliteit;9;{5D7DF43A-58F9-476D-A209-08F8AD1A6BF1}
Andrej Sacharowstraat;Andrej Sacharowstraat;;;Loosduinen;17;;;;;residentiekwaliteit;10;{8BA689D5-A058-4130-9B2A-32488AA85C59}
Bocht van Guinea;Bocht van Guinea;;;Stationsbuurt;27;;;;Grachtengordel;hofstadkwaliteit;11;{760D945D-A906-480D-9757-16FD4756C4C3}
Thomas van Stolkplein;Thomas van Stolkplein;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;12;{BB79A6A6-1DD2-45CF-9235-B45E7E3D3C7A}
Madame Curieplein;Madame Curieplein;;;Valkenboskwartier;20;;;;;residentiekwaliteit;13;{526F16D9-9368-4F22-A7B1-61FAB68E1C33}
Marga Klompestraat;Marga Klompéstraat;;;Loosduinen;17;;;;;residentiekwaliteit;14;{6C8D265E-D50F-4760-92FC-4FF2282DB4D3}
Oude Buizerdlaan;Oude Buizerdlaan;;;Vogelwijk;13;;;;;residentiekwaliteit;15;{05700B38-0B82-4B95-9564-A79D6AA85B46}
Boerenstraat;Boerenstraat;;;Transvaalkwartier;30;;;;;residentiekwaliteit;16;{E8EF3F33-F6CD-4F2A-B147-2BADEE0D3195}
Bloemfonteinstraat;Bloemfonteinstraat;;;Transvaalkwartier;30;;;;;residentiekwaliteit;17;{026C89FB-3FDD-4BFC-A2B2-E1FD933A9308}
Mandelaplein;Mandelaplein;;;Transvaalkwartier;30;;;;;residentiekwaliteit;18;{CBC0C740-801B-4EAF-A1A6-F9C0731A2545}
Hendrick Hamelstraat;Hendrick Hamelstraat;;;Bezuidenhout;26;;;;;residentiekwaliteit;19;{AEEA6406-2C78-4E7F-A0A1-FA6867D0ABC4}
Zandzeggelaan;Zandzeggelaan;;;Kijkduin en Ockenburgh;15;;;;;residentiekwaliteit;20;{CF70833D-48BB-4487-BE1E-B8A5805C3613}
Blauw Glidkruid;Blauw Glidkruid;;;Ypenburg;42;;;;;residentiekwaliteit;21;{67015D01-0150-4795-AE2D-207E828CD4DE}
Albertus Freesestraat;Albertus Freesestraat;;;Waldeck;18;;;;;residentiekwaliteit;22;{FC98B00F-AE9C-4314-9BFF-573A6D1BBFBB}
Stephanus Cousijnsstraat;Stephanus Cousijnsstraat;;;Waldeck;18;;;;;residentiekwaliteit;23;{87135272-5E35-4D84-B67B-CE250A67600B}
Albertus Gronemanpad;Albertus Gronemanpad;;;Waldeck;18;;;;;residentiekwaliteit;24;{FAA3EA88-38E0-478C-8B0F-48A5B66F80A5}
Matthijs Waelpotpad;Matthijs Waelpotpad;;;Waldeck;18;;;;;residentiekwaliteit;25;{C1829BDD-17E3-4C06-A824-CE7013E3E81C}
Andries van Coolhempad;Andries van Coolhempad;;;Waldeck;18;;;;;residentiekwaliteit;26;{A72DAE35-BBAA-4461-BB84-7CE0AF7F37DC}
Pieter de Voisstraat;Pieter de Voisstraat;;;Waldeck;18;;;;;residentiekwaliteit;27;{2041EF54-905B-4BB0-ACFD-5307DE05C4E9}
Aeneas Veltkampstraat;Aeneas Veltkampstraat;;;Waldeck;18;;;;;residentiekwaliteit;28;{76904C66-63FD-48B8-88D7-87CA495D2FC2}
Amstelhof;Amstelhof;;;Stationsbuurt;27;;;;;residentiekwaliteit;29;{1BD86C7B-F150-4521-B1FF-844C567A5BF4}
Beeklaan;Beeklaan;;;Regentessekwartier;21;;;;;residentiekwaliteit;30;{66FB93F8-E59D-4417-ADF9-F956E96067B3}
Rijsbes;Rijsbes;;;Ypenburg;42;;;;;residentiekwaliteit;31;{3DC404A2-8198-4A46-AA90-7C7AB5B7C458}
Loosduinseweg;Loosduinseweg;;;Regentessekwartier;21;;;;;residentiekwaliteit;32;{D301969A-E614-4C05-96C2-63AF41EF6158}
Weteringkade;Weteringkade;;;Stationsbuurt;27;;;;;residentiekwaliteit;33;{08002329-2E6E-4F2B-8317-1B00A4D04AF8}
Herman Costerstraat;Herman Costerstraat;;;Transvaalkwartier;30;;;;;residentiekwaliteit;34;{A8D5B163-C383-493C-AF85-2C78A33E4550}
