FID,datummutatie,naammuteerder,bron,status,genormeerd,objecttype,oevertype,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,opmerkingen,gdb_geomattr_data,shape
natuurvriendelijke_vooroever_legger.3489,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,31.st210",,Ingetekend op basis van BKN,,"LINESTRING (74064.93589999899 423711.63870000094, 74078.58570000157 423703.8814000003, 74107.30249999836 423690.45540000126, 74137.4365000017 423675.2391999997, 74155.07539999858 423665.8379999995, 74162.5223999992 423661.3984000012, 74170.44669999927 423655.71770000085, 74177.79820000008 423649.750599999, 74192.71290000156 423634.4464999996, 74207.4012000002 423619.1480999999, 74211.13060000166 423614.9710999988, 74214.03959999979 423612.21130000055, 74218.06740000099 423609.82449999824)"
natuurvriendelijke_vooroever_legger.3549,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,,4,,WNZ,Hollandsch Diep,,,Ingetekend op basis van BKN,,"LINESTRING (91369.9167000018 411375.4558000006, 91381.85090000182 411369.82279999927)"
natuurvriendelijke_vooroever_legger.3550,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Tonnekreek,WNZ,Hollandsch Diep,"112B.OD.L.994,625",,Ingetekend op basis van BKN,,"LINESTRING (91382.3761 411380.9455000013, 91397.65190000087 411373.9759000018, 91441.816300001 411354.7831000015, 91471.4989 411344.2212000005, 91513.3825000003 411330.3814000003, 91554.37559999898 411318.27870000154)"
natuurvriendelijke_vooroever_legger.3487,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,308.st162",,Ingetekend op basis van BKN,,"LINESTRING (73739.99760000035 424001.5480000004, 73766.80310000107 423973.69370000064, 73787.71570000052 423948.8038999997, 73802.28390000015 423932.5967999995, 73823.04360000044 423904.00670000166, 73838.52230000123 423883.06489999965, 73868.66389999911 423839.78280000016)"
natuurvriendelijke_vooroever_legger.3488,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,309.st161",,Ingetekend op basis van BKN,,"LINESTRING (73885.21330000088 423869.7349999994, 73906.89079999924 423843.2791999988, 73919.47769999877 423828.36140000075, 73928.91789999977 423818.10539999977, 73949.19680000097 423797.0106000006, 73967.14490000159 423778.59640000015, 73976.4684999995 423770.7879000008, 73988.58920000121 423760.6484000012, 74003.04089999944 423750.8586000018, 74012.48110000044 423745.2644000016, 74029.91189999878 423733.01249999925, 74045.7547999993 423723.5432000011, 74056.45059999824 423716.5824000016)"
natuurvriendelijke_vooroever_legger.3551,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,,4,,WNZ,Hollandsch Diep,,,Ingetekend op basis van BKN,,"LINESTRING (91555.12150000036 411307.0903000012, 91566.23530000076 411304.4796999991)"
natuurvriendelijke_vooroever_legger.3481,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger Slikken,WNZ,Haringvliet,"117.OD.R.1016,303.st223",,Ingetekend op basis van BKN,,"LINESTRING (72718.33069999889 424601.65239999816, 72729.99659999833 424577.18239999935, 72742.23160000145 424560.3949000016, 72757.88100000098 424545.0300000012, 72784.34279999882 424529.6651000008, 72825.03130000085 424508.6094999984, 72860.02910000086 424490.96829999983, 72886.77540000156 424482.4323000014, 72912.66809999943 424476.1724999994)"
natuurvriendelijke_vooroever_legger.3482,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,304.st221",,Ingetekend op basis van BKN,,"LINESTRING (72923.48039999977 424474.74980000034, 72968.15239999816 424468.48999999836, 73006.28009999916 424464.7910999991, 73037.00989999995 424464.7910999991, 73075.99120000005 424468.48999999836, 73096.47769999877 424467.9210000001, 73112.98259999976 424465.1662000008, 73127.08460000157 424460.8539999984, 73132.44570000097 424457.94040000066)"
natuurvriendelijke_vooroever_legger.3483,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,305.st83",,Ingetekend op basis van BKN,,"LINESTRING (73143.40089999884 424470.9935000017, 73152.25840000063 424454.56060000136, 73161.1158999987 424441.15780000016, 73169.04100000113 424429.3867000006, 73187.87040000036 424406.6094000004, 73208.99419999868 424380.56870000064, 73226.3300999999 424361.6831)"
natuurvriendelijke_vooroever_legger.3484,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,306.st219",,Ingetekend op basis van BKN,,"LINESTRING (73233.49069999903 424355.5667999983, 73257.96519999951 424333.120099999, 73293.4897999987 424305.1783000007, 73336.8300999999 424279.86609999835, 73370.51909999922 424260.01689999923, 73412.94889999926 424235.97940000147, 73443.72419999912 424217.0408000015, 73460.91299999878 424206.91059999913)"
natuurvriendelijke_vooroever_legger.3485,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,314.st146",,Ingetekend op basis van BKN,,"LINESTRING (73469.56529999897 424201.3909999989, 73485.45279999822 424189.97890000045, 73499.25180000067 424179.3126000017, 73531.96379999816 424153.87310000136, 73552.7089000009 424138.0229000002, 73560.75050000101 424132.0791000016, 73563.4310999997 424131.3797999993, 73567.27710000053 424131.2631999999)"
natuurvriendelijke_vooroever_legger.3486,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,307.st164",,Ingetekend op basis van BKN,,"LINESTRING (73563.9952000007 424160.4415999986, 73586.44649999961 424142.76399999857, 73651.42300000042 424087.7917999998, 73669.48750000075 424071.5918999985, 73700.60520000011 424042.92170000076, 73710.39499999955 424032.89880000055, 73733.7041000016 424008.3077000007)"
natuurvriendelijke_vooroever_legger.3490,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,311.st209",,Ingetekend op basis van BKN,,"LINESTRING (74255.13230000064 423641.39660000056, 74258.9748999998 423613.6845000014, 74261.30579999834 423596.0861000009, 74263.40359999985 423584.6645999998, 74267.83240000159 423568.4648000002, 74275.52439999953 423548.3024000004, 74291.01559999958 423514.7978999987, 74299.66789999977 423499.65630000085, 74305.24350000173 423490.61239999905, 74310.83769999817 423483.5031000003, 74321.67639999837 423472.54780000076, 74338.45899999887 423457.5133999996, 74356.29039999843 423440.0315999985, 74405.23959999904 423396.6766999997)"
natuurvriendelijke_vooroever_legger.3491,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Stortsteen,4,Beninger slikken,WNZ,Haringvliet,"117.OD.R.1016,312.st208",,Ingetekend op basis van BKN,,"LINESTRING (74415.57950000092 423388.36930000037, 74443.17749999836 423366.2162999995, 74461.67669999972 423353.69319999963, 74478.06599999964 423342.7670999989, 74494.27309999987 423333.29769999906, 74515.5791000016 423321.8253000006, 74532.878800001 423312.9023000002, 74553.36890000105 423302.7410000004, 74563.7415000014 423297.49639999866, 74574.5802000016 423291.3194999993, 74588.68219999969 423281.41310000047, 74599.75409999862 423274.07079999894, 74611.29210000113 423266.2622000016, 74617.70210000128 423262.53280000016, 74626.90920000151 423254.9572999999, 74642.4096999988 423241.6711000018, 74658.37649999931 423227.3359999992)"
