TYPE_NAAM;LOCATIE;OPMERKINGEN;BEHEERAFSPRAKEN;STATUS_VAN_PLAATS;STATUS_FAUNAPLAATS;FOTO_;COUNTER;ID;X;Y;LONG;LAT;GUID
;Geintegreerd in oever;;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180417_16_51_02_Pro.jpg;87;3287067;76226.2318999991;452931.499400001;4.238554255000155;52.05907725051538;{7C4F958B-E591-4E0B-BF71-52303E7D7D8D}
;Geintegreerd in oever;6 maal in oever;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_11_46_44_Pro.jpg;88;3287068;81238.5555999987;452160.285300002;4.311795838093773;52.05283645363646;{7E66E97C-FF9A-4CC2-8E97-9B16BDC35AEE}
;Geintegreerd in oever;afdekplankje ontbreekt aan één zijde;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_06_14_Pro.jpg;89;3287069;81793.8566999994;452609.802700002;4.319794191430844;52.05694981259448;{4F5AFEDA-49B9-44D6-A202-92B13E9CF14F}
;Geintegreerd in oever;afdekplankje ontbreekt aan één zijde;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_06_28_Pro.jpg;90;3287070;81808.0450000018;452597.5988;4.320003649781554;52.05684201279859;{91F04E8E-75D8-4B3C-9D17-7A9B6E564557}
;Geintegreerd in oever;;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_12_23_Pro.jpg;91;3287071;81773.7151999995;452646.4641;4.319492700347119;52.05727662009298;{B1E87878-E38B-49AD-B544-0109352DA644}
;Geintegreerd in oever;afdekplankje ontbreekt aan één zijde;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_12_38_Pro.jpg;92;3287072;81770.689100001;452663.678599998;4.319444893618883;52.05743092351723;{3BCEEE83-B827-4B77-BFFB-B92E90B1AEFA}
;Geintegreerd in oever;;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_15_22_Pro.jpg;93;3287073;81742.3123999983;452713.833799999;4.3190204440661155;52.057877907481675;{B5ADAE2E-3EB0-45FE-970F-10435E0B507A}
;Geintegreerd in oever;;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_15_47_Pro.jpg;94;3287074;81727.5287999995;452728.2205;4.318801831489413;52.05800524316148;{6B171FEA-8D24-41C1-859B-8B738019DA70}
;Aan houten beschoeiing;Aanleg beschoeiing laat te wensen over. Evenals constructie eendentrap;Geen;Aanwezig;Beschadigd;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_18_53_Pro.jpg;95;3287075;81705.6510000005;452767.015099999;4.318474554920846;52.05835098899726;{E95A8375-7728-44EB-942A-1B1A6B0D7ED3}
;Aan houten beschoeiing;;Geen;Aanwezig;Functioneel;https://gdh70wggisib.blob.core.windows.net/faunauittredingsplaatsen/WP_20180419_12_19_52_Pro.jpg;96;3287076;81710.8104000017;452769.098700002;4.318549326201967;52.05837039634553;{1662AFD7-CD28-4714-9319-C0A9AE68E8D8}
