FID,ncp_blo_id,area,name,se_anno_cad_data,gdb_geomattr_data,shape
mijnbouw_blokverdeling_ncp.1,0,,A4,,,"POLYGON ((55.665975006 3.327103002000001, 55.67721700599998 3.33185800199999, 55.665975006 3.33185800199999, 55.665975006 3.327103002000001))"
mijnbouw_blokverdeling_ncp.2,0,,A5,,,"POLYGON ((55.665975006 3.33185800199999, 55.67721700599998 3.33185800199999, 55.76430600600003 3.3688060019999853, 55.66597800599999 3.5915610019999917, 55.665975006 3.33185800199999))"
mijnbouw_blokverdeling_ncp.3,0,,A7,,,"POLYGON ((55.49930300599999 3.256919002000018, 55.665975006 3.327103002000001, 55.665975006 3.33185800199999, 55.49930300599999 3.331867002000024, 55.49930300599999 3.256919002000018))"
mijnbouw_blokverdeling_ncp.4,0,,A8,,,"POLYGON ((55.49930300599999 3.331867002000024, 55.665975006 3.33185800199999, 55.66597800599999 3.5915610019999917, 55.63327200600003 3.6652030019999984, 55.49930600599998 3.6652080019999858, 55.49930300599999 3.331867002000024))"
mijnbouw_blokverdeling_ncp.5,0,,A9,,,"POLYGON ((55.49930600599998 3.6652080019999858, 55.63327200600003 3.6652030019999984, 55.49931100600003 3.9645360019999885, 55.49930600599998 3.6652080019999858))"
mijnbouw_blokverdeling_ncp.6,0,,A10,,,"POLYGON ((55.33262800599999 3.187344001999975, 55.49930300599999 3.256919002000018, 55.49930300599999 3.331867002000024, 55.332631005999986 3.3318720020000114, 55.33262800599999 3.187344001999975))"
mijnbouw_blokverdeling_ncp.7,0,,A11,,,"POLYGON ((55.332631005999986 3.3318720020000114, 55.49930300599999 3.331867002000024, 55.49930600599998 3.6652080019999858, 55.33263300599998 3.6652140020000274, 55.332631005999986 3.3318720020000114))"
mijnbouw_blokverdeling_ncp.8,0,,A12,,,"POLYGON ((55.33263300599998 3.6652140020000274, 55.49930600599998 3.6652080019999858, 55.49931100600003 3.9645360019999885, 55.48398300600002 3.9985500020000018, 55.33263900600002 3.9985560019999866, 55.33263300599998 3.6652140020000274))"
mijnbouw_blokverdeling_ncp.9,0,,A13,,,"POLYGON ((55.16595600599999 3.1183670020000136, 55.33262800599999 3.187344001999975, 55.332631005999986 3.3318720020000114, 55.16595800599998 3.3318780019999963, 55.16595600599999 3.1183670020000136))"
mijnbouw_blokverdeling_ncp.10,0,,A14,,,"POLYGON ((55.16595800599998 3.3318780019999963, 55.332631005999986 3.3318720020000114, 55.33263300599998 3.6652140020000274, 55.165961005999975 3.665219002000015, 55.16595800599998 3.3318780019999963))"
mijnbouw_blokverdeling_ncp.11,0,,A15,,,"POLYGON ((55.165961005999975 3.665219002000015, 55.33263300599998 3.6652140020000274, 55.33263900600002 3.9985560019999866, 55.16596700600002 3.998561001999974, 55.165961005999975 3.665219002000015))"
