Leverancier;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
&Maes B.V.;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
(Naast) de Markt B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
"""+Anderen B.V.""";;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
21 Markets B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2CoolMonkeys B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2daysmood B.V.;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
2Tasty;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
3CI Customer Co-Creation;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
8D Games B.V.;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
A.G. Advies B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
A5tien B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aalbers Werk & Advies;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AALIYAH PRODUCTIONS;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aanbestedingskalender B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aanmelder.nl B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aanpassingsbedrijf Bierman;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abdulahi Hussen;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aboma;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Absoluta B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Abus Kraansystemen B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acteursbureau Kapok B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ad Bergsma;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adromi Management Consultancy;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Advocatenkantoor mr. R.A. Dayala;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aeclipse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Afdeling P.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agro Merchants Barneveld Packaging B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ai-Opener;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AIVB Adviesbureau;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ajms Management Advies;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AKD N.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AKO B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alberga Consultancy;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albron Nederland B.V.;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Albron Travel Catering;;;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
AlfabetLab;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alie Kuiper;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All Pensions Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
