FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B20.233,EHAM,NORRA,281,,14.38524447,B20,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B20.234,NORRA,NL2,349,,8.55266841,B20,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B20.235,NL2,NL1,217,,72.71887353,B20,,,"LINESTRING (590539.4556999998 5815819.199100001, 510427.06740000006 5707447.8927)"
B20.236,NL1,NL6,313,,13.76573643,B20,,,"LINESTRING (510427.06740000006 5707447.8927, 491875.3781000003 5724960.114)"
B20.237,NL6,NL11,313,,13.79710524,B20,,,"LINESTRING (491875.3781000003 5724960.114, 473222.06319999974 5742449.1545)"
B20.238,NL11,NL12,33,,59.02175324,B20,,,"LINESTRING (473222.06319999974 5742449.1545, 532126.7723000003 5834617.0964)"
B20.239,NL12,NL13,352,,36.42005342,B20,,,"LINESTRING (532126.7723000003 5834617.0964, 521920.0449000001 5901337.0989)"
B20.240,NL13,NL14,36,,46.36635778,B20,,,"LINESTRING (521920.0449000001 5901337.0989, 571753.0584000004 5971340.877900001)"
B20.241,NL14,NL15,71,,64.71313244,B20,,,"LINESTRING (571753.0584000004 5971340.877900001, 684356.2418999998 6012619.7535999995)"
B20.242,NL15,NL10,144,,16.1878461,B20,,,"LINESTRING (684356.2418999998 6012619.7535999995, 703030.5692999996 5989140.0502)"
B20.243,NL10,NL5,144,,16.22606771,B20,,,"LINESTRING (703030.5692999996 5989140.0502, 721745.3496000003 5965602.013800001)"
B20.244,NL5,NL4,251,,64.00104618,B20,,,"LINESTRING (721745.3496000003 5965602.013800001, 610671.0179000003 5923995.354499999)"
B20.245,NL4,NL3,209,,24.80595298,B20,,,"LINESTRING (610671.0179000003 5923995.354499999, 589288.6248000003 5883298.5502)"
B20.246,NL3,NL2,180,,36.41722092,B20,,,"LINESTRING (589288.6248000003 5883298.5502, 590539.4556999998 5815819.199100001)"
B20.247,NL2,NL7,289,,16.5927703,B20,,,"LINESTRING (590539.4556999998 5815819.199100001, 561292.0471000001 5825316.879000001)"
B20.248,NL7,NL6,215,,65.84319576,B20,,,"LINESTRING (561292.0471000001 5825316.879000001, 491875.3781000003 5724960.114)"
B20.249,NL6,NL1,133,,13.76573643,B20,,,"LINESTRING (491875.3781000003 5724960.114, 510427.06740000006 5707447.8927)"
B20.250,NL1,NL2,37,,72.71887353,B20,,,"LINESTRING (510427.06740000006 5707447.8927, 590539.4556999998 5815819.199100001)"
B20.251,NL2,NORRA,169,,8.55266841,B20,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B20.252,NORRA,EHAM,101,,14.38524447,B20,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
