id;name;lat;lon;description;observables_0;observables_1;observables_2;observables_3;observables_4;url;geopoint
521;I02;51.437895;5.358142;Eindhoven, Scherpenering;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.437895, 5.358142
542;I03;51.510759;5.360641;Best, Kapelweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.510759, 5.360641
553;I05;51.402491;5.351442;Eersel, Zandoerleseweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.402491, 5.351442
533;I09;51.442201;5.484434;Eindhoven, Stationsweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.442201, 5.484434
534;I11;51.445382;5.485405;Eindhoven, prof dr Dorgelolaan;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.445382, 5.485405
535;I12;51.441478;5.471369;Eindhoven, Mathildelaan;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.441478, 5.471369
536;I14;51.468103;5.390124;Eindhoven, Landsardseweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.468103, 5.390124
522;I17;51.413608;5.470724;Eindhoven, Genneperweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.413608, 5.470724
525;I25;51.454552;5.388746;Einhoven, Luchthavenweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.454552, 5.388746
551;I30;51.437431;5.451543;Eindhoven, Botenlaan;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.437431, 5.451543
540;I32;51.479715;5.475093;Eindhoven, Maaseikstraat;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.479715, 5.475093
561;I42;51.592301;5.78124;Gemert-Bakel, Keizersven;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.592301, 5.78124
566;I47;51.476849;5.261637;Middelbeers, hoek Neereindsweg  - Baesterdijk;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.476849, 5.261637
570;I51;51.469257;5.634817;Helmond, Mierloseweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.469257, 5.634817
575;I56;51.416489;5.126502;Reusel-de Mierden, Beekakkersweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.416489, 5.126502
532;I08;51.446464;5.448331;Eindhoven, Beukenlaan;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.446464, 5.448331
554;I10;51.370634;5.156497;Reusel de Mierden, Mierdseweg;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.370634, 5.156497
556;I16;51.346805;5.388728;Bergeijk, Dorpsstraat;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.346805, 5.388728
547;I19;51.433199;5.519749;Eindhoven, Kanaaldijk;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.433199, 5.519749
549;I22;51.437173;5.423313;Eindhoven, Meerhovensedreef;Lat;Lon;PM1;PM2.5;PM10;https://api.dustmonitoring.nl/v1/project(30)/locations?;51.437173, 5.423313
