FID,vwk_id,vwk_begdtm,vwj_id_beg,vwj_id_end,vaktype,vrt_code,vrt_naam,vwg_nr,vwg_naam,begkm,endkm,gdb_geomattr_data,shape
vaarwegvakken.1,2069,1998-01-01T00:00:00,1721,1708,D,135,Zandkreek en Veerse Meer,1,Veerse Meer,13.60400009,14.23099995,,"LINESTRING (38358 394007, 38116 393860, 38056 393822, 37975 393804, 37828 393797, 37786 393803)"
vaarwegvakken.2,2079,2000-03-01T00:00:00,1711,1951,D,135,Zandkreek en Veerse Meer,1,Veerse Meer,19.71699905,23.07600021,,"LINESTRING (35057 398300, 34241 399163, 33955 399850, 33480 401196)"
vaarwegvakken.3,3165,2000-03-01T00:00:00,453,2871,H,882,Bijleveldhaven,1,Bijleveldhaven,0,1.19099998,,"LINESTRING (38524 387905, 38332 388275, 37963 388956)"
vaarwegvakken.4,3564,2000-03-01T00:00:00,453,2872,H,883,Eurogas,1,Eurogas,0,0.579,,"LINESTRING (38524 387905, 38807 387400)"
vaarwegvakken.5,3538,2000-03-01T00:00:00,455,3277,H,1218,Westhofhaven,1,Westhofhaven,0,0.58700001,,"LINESTRING (38890 388103, 39188 388609)"
vaarwegvakken.6,2109,1998-01-01T00:00:00,1982,1983,D,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,4,Kanaal Gent-Terneuzen,18.75600052,19.25399971,,"LINESTRING (44709 361390, 44805 361822, 44820 361875)"
vaarwegvakken.7,1835,1998-01-01T00:00:00,1783,1784,D,141d,Grevelingen,1,Grevelingen,7.98799992,9.62199974,,"LINESTRING (52906 420553, 52541 420219, 52261 419763, 52029 419205)"
vaarwegvakken.8,1838,1998-01-01T00:00:00,1786,1782,D,141d,Grevelingen,1,Grevelingen,0,3.375,,"LINESTRING (57973 417174, 57676 418011, 57495 418402, 57380 418803, 56639 420265)"
vaarwegvakken.9,1845,1998-01-01T00:00:00,1791,1775,D,141d3,Geul van Ossehoek,1,Geul van Ossehoek,0.435,2.39299989,,"LINESTRING (51625 419366, 50858 419673, 50752 419738, 50682 419819, 50532 419994, 50441 420064, 50368 420141, 50324 420265, 50261 420327, 50177 420371, 50051 420417)"
vaarwegvakken.10,1846,1998-01-01T00:00:00,1784,1791,D,141d3,Geul van Ossehoek,2,"Grevelingen, Geul van Ossehoek",0,0.435,,"LINESTRING (52029 419205, 51625 419366)"
vaarwegvakken.11,550,1998-01-01T00:00:00,571,560,D,131,Westerschelde,9,Pas van Terneuzen,64.42099762,65.13600159,,"LINESTRING (46510 374121, 46458 374129, 45805 374242)"
vaarwegvakken.12,1769,1998-01-01T00:00:00,1711,1710,D,135b,Vaarwater benoorden Schutteplaat en Mosselplaat,2,"Veerse Meer, Vaarwater benoorden Schutteplaat en Mosselplaat",0,0.55000001,,"LINESTRING (35057 398300, 35309 398402, 35575 398484)"
vaarwegvakken.13,1771,1998-01-01T00:00:00,1713,1714,D,135c1,Suatiegeul,1,Suatiegeul,0.37799999,2.45000005,,"LINESTRING (39667 394135, 39932 394036, 40004 393995, 40132 393752, 40158 393690, 40187 393651, 40233 393620, 40489 393545, 40526 393527, 40570 393499, 40597 393463, 40745 393344, 40784 393324, 40826 393316, 40879 393318, 40932 393338, 41016 393382, 41060 393399, 41230 393410, 41386 393424)"
vaarwegvakken.14,1775,1998-01-01T00:00:00,1716,1717,D,135d,Vaarwater naar Kamperland,2,Havenkanaal Kamperland,1.48500001,2.39499998,,"LINESTRING (37426 397920, 37864 398619, 37916 398686)"
vaarwegvakken.15,1776,1998-01-01T00:00:00,1717,1718,D,135d,Vaarwater naar Kamperland,3,Havenkom Kamperland,2.39499998,2.62199998,,"LINESTRING (37916 398686, 38055 398866)"
vaarwegvakken.16,1805,1998-01-01T00:00:00,1747,1748,D,130a,Zijkanaal C naar de Axelsche Sassing,2,Zijkanaal C te Sluiskil,0.70099998,2.45700002,,"LINESTRING (47430 365916, 47477 365831, 47581 365803, 47647 365753, 48303 365487, 48359 365440, 48450 365397, 48509 365393, 48566 365403, 49028 365487)"
vaarwegvakken.17,3163,1998-01-01T00:00:00,2868,2869,H,880,Nieuwe Haven te Walsoorden,1,Nieuwe Haven te Walsoorden,0.35499999,0.54500002,,"LINESTRING (60892 377881, 60864 377867, 60774 377736)"
vaarwegvakken.18,3177,1998-01-01T00:00:00,2434,2884,H,895,Koningin Julianahaven,1,Koningin Julianahaven,0,0.81,,"LINESTRING (62868 390687, 62685 390733, 62643 390743, 62578 390805, 62513 390839, 62479 390839, 62472 391039, 62373 391190)"
vaarwegvakken.19,3184,1998-01-01T00:00:00,1879,2890,V,902,Reparatiehaven te Bruinisse,2,Toeloop naar Reparatiehaven,0,0.26199999,,"LINESTRING (66190 409095, 66106 409034, 65993 408995, 65958 409012)"
vaarwegvakken.20,3185,1998-01-01T00:00:00,2890,2891,H,902,Reparatiehaven te Bruinisse,1,Reparatiehaven te Bruinisse,0.26199999,0.405,,"LINESTRING (65958 409012, 65939 409022, 65838 409090)"
vaarwegvakken.21,3462,1998-01-01T00:00:00,2437,3168,V,1180,Prinses Beatrixhaven te Yerseke,2,Toeloop naar Prinses Beatrixhaven,0,0.207,,"LINESTRING (62838 390542, 62636 390587)"
vaarwegvakken.22,3463,1998-01-01T00:00:00,3168,3169,H,1180,Prinses Beatrixhaven te Yerseke,1,Prinses Beatrixhaven te Yerseke,0.207,0.44999999,,"LINESTRING (62636 390587, 62624 390589, 62591 390627, 62423 390694)"
vaarwegvakken.23,1457,1998-01-01T00:00:00,1424,1425,D,127,Roosendaalsche- en Steenbergsche Vliet,5,"Zuid Vlije, Roosendaalsche- en Steenbergsche Vliet",16.01000023,16.59199905,,"LINESTRING (76501 405646, 76510 405867, 76618 406211)"
