Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Bosch Engineering B.V.;1;;;;;;;;;1
Bosch Rexroth B.V.;4;;;;;;;1;1;4
BOSCH Scharnieren Metaal B.V.;1;;;;;;;;;1
Bosman;1;;;;;;;;;1
Boterwaag Den Haag B.V.;;1;;;;;;;;1
Botman Comfort;2;;;;;;;;;2
Bouby's;1;;;;;;;1;;1
Bouter B.V.;;;;1;;;1;1;;1
Bouw/Laser B.V.;1;;;;;;;;;1
Bouwbedrijf Wim Top B.V.;;;;;;;1;;;1
Bouwhekken Nederland B.V.;1;;;;;;;;;1
Bouwmaat Nederland B.V.;1;;;;;;;;1;1
BouwXP;;;;;;;;1;;1
Bovenregionaal kantoor;;;;;;;;;1;1
Bovi Salespromotion B.V.;1;;;;;;;;;1
Bovomed;1;;;;;;;;;1
Bowerkt B.V.;;;;;;;1;;;1
Bowling Juliana;;;;;;;;1;;1
BP Europa SE - BP Nederland;1;;;;;;;;2;2
BP Orden;;;1;;;;;;;1
Braakman cs Gerechtsdeurw. & Icassopraktijk;;;;;;;;;1;1
Brab.-Zeeuwse Chr. Werkgeversvereniging;1;;;;;;;;;1
Brabants Dagblad;1;;;;;;;;;1
Brabantse Non Ferro Gieterij B.V.;1;;;;;;;;;1
Brammer Eindhoven B.V.;1;;;;;;;;;1
Brandmeldcentrales.Nl B.V.;;;;;;;;1;;1
Brandsma B.V.;1;;;;;;;1;;1
Brandt Bedrijfskleding;1;;;;;;;;;1
Braspenning Indoor B.V.;5;;;;;;;;;5
Brasserie Het Gouden Kalf;;1;;;;;;;;1
Brasserie La Meuse B.V.;2;;;;;;;;;2
Brasserie Spiegelaar;;1;;;;;;;;1
Brasserie 't Archief;;1;;;;;;;;1
Brasserie-Restaurant Broekhuizen;1;;;;;;;;;1
Bredemeijer Group B.V.;2;;;;;;;2;;2
Bredenoord B.V.;3;;;;;;;;;3
Brekupa Technics B.V.;1;;;;;;;;;1
Brenntag Nederland B.V.;1;;;;;;;;1;1
Breur IJzerhandel Vlietlaan B.V.;1;;;;;;;;;1
Brevini Nederland B.V.;;;;;;;;1;1;1
Brevo;1;;;;;;;;;1
Brezan Automaterialen Goes;1;;;;;;1;;;1
Brezo-Elan B.V.;1;;;;;;;;;1
Brilliant Technology B.V.;;;;;;;;1;;1
Brillux Benelux B.V.;1;;;;;;;;;1
Brink Attorneys B.V.;1;;;;;;;;;1
Brink's Nederland B.V.;1;;;;;;;;;1
Britline;1;;;;5;;;;;5
Brocacef B.V.;;;;;;;;;1;1
Broeder de Vries Dutch Medical Services B.V.;;;;;4;;;;;4
Broekhuis Twente B.V.;1;;;;;;1;;;1
Broekhuizen Automaterialen B.V.;;;;;;;;1;;1
Brokers Kunststoffen B.V.;;;;;;;;;1;1
Bron Gascare B.V.;2;;;;;;;2;;2
Bronneberg Parts & Service;1;;;;;;;;;1
Bronsheim Music;1;;;;;;;;;1
Brood- en Banketbakkerij Leon Wilbrink;;;;;;;;1;;1
Brood&Banket Service;;1;;;;;;;;1
Broshuis B.V.;3;;;;;;;1;1;3
Brouwer Motors B.V.;3;;;;;;;1;1;3
Brovo Scheepsbouw;1;;;;;;;;;1
Bruin Aandrijftechniek B.V.;1;;;;;;;;;1
Bruinsma Hydrokultuur B.V.;1;;;;;;;;;1
Brush HMA;1;;;;;;;;;1
B's Sound Service;2;1;;;;;;1;;2
BSI Group The Netherlands B.V.;1;;;;;;;;;1
BSR Incasso & Gerechtsdeurwaarders;;;;;;;;;1;1
BTN B.V.;2;;;;;;;;;2
Btsoftware B.V.;2;;;;;;;;;2
Bucky's Catering;1;;;;;;;;;1
Budget Rent a Car;;;;;3;;;;;3
Budovereniging IJsselmeer;1;;;;;;;;;1
Buhl Fijnmetaalbewerking B.V.;1;;;;;;;;;1
Buijtendijk B.V.;4;;;1;;;1;;;4
Buikema Beheer B.V.;1;;;;;;;4;;4
Buitenkado;1;;;;;;;;;1
Buiter Roden B.V.;1;;;;;;;;;1
Buko Infrasupport B.V.;1;;;;;;;;;1
Buko Verhuur B.V.;1;;;;;;;;;1
Bukom Service B.V.;3;;;;;;;;;3
Bulador Aviation & Trading B.V.;;;;;;;;;1;1
Bulthuis Truck- en Traileronderdelen B.V.;1;;;;;;;;;1
Bumicom Telecommunicatie B.V.;2;;;;;;;;;2
Bunt Hoveniers;;;;;;;1;;;1
Bunzl Verpakkingen B.V.;1;;;;6;;;3;;6
Bureau Helderder;1;;;;;;;;;1
Bureau Kalker;1;;;;;;;;;1
Bureau Veritas Industrial Services;1;;;;;;;;;1
Bureau Vogtschmidt B.V.;1;;;;;;;;;1
Bureau voor Interculturele Evaluatie B.V.;1;;;;;;;;;1
Burg Service B.V.;4;;;;;;;2;1;4
Burger Ferry Agencies B.V.;1;;;;3;;;;;3
Burger's Dierenhotel Egmond;1;;;;;;;;;1
Burghouwt Bouwbeslag B.V.;;;;;;;1;;;1
Burgman Security B.V.;1;;;;;;;;;1
BURO2010 B.V.;2;;;;;;;;;2
Buroplanex Worldwide B.V.;1;;;;;;;;;1
Burtec B.V.;1;;;;;;;;;1
Busch B.V.;1;;;;;;;;;1
Buse Rijntechniek B.V.;2;;;;;;;;;2
Butler Nederland B.V.;;;;;;;;2;;2
Buveco Gasdetection B.V.;1;;;;;;;;;1
Buwalda Multiservice V.O.F.;3;;;;;;;;;3
Buxus Bloemenatelier;1;;;;;;;;;1
BWT Nederland B.V.;1;;;;;;;;;1
BWZ Verhuur B.V.;1;;;;;;;;;1
Byte B.V.;1;;;;;;;;;1
C & M Labour Supply;2;;;;;;;;;2
C.L. de Raden & Zoon;1;;;;;;;;;1
C.M. Palm Beheer;1;;;;;;;;;1
C.T. Platon B.V.;1;;;;;;;;;1
C.V. Banketbakkerij Bos;1;;;;;;;;;1
Cabin Care B.V.;;;;;;;;1;;1
Cable Partners B.V.;4;;;;;;;;;4
Cable Waterskicenter Brabant B.V.;;;;;;;;1;;1
Cablescan B.V.;1;;;;;;;;;1
Cadettencorps;1;1;;;;;;;;1
Café Restaurant 'Suisse';;1;;;;;;;;1
Café-Eeterij 't Vermaeck;;;;;;;;1;;1
Café-Restaurant 't Sterrebos;;1;;;;;;;;1
CAI-Advies B.V.;1;;;;;;;;;1
Caiway;1;;;;;;;;;1
Caliz B.V.;1;;;;;;;2;;2
Camera Tools B.V.;1;;;;;;;;;1
Canvas Multi-Media;1;;;;;;;;;1
CanvasCompany B.V.;1;;;;;;;;;1
Caparis Grafisch Centrum;1;;;;;;;;;1
Caparis N.V.;1;;;;;;;;;1
Capriole Coffee Service;;1;;;;;;;;1
Car Cleaning Correct B.V.;;;;;1;;1;;;1
Careca Verhuur;1;;;;;;;;;1
CareFusion Netherlands 238 B.V.;1;;;;;;;;;1
CareFusion Netherlands 310;;;;;;;;;1;1
CarePack Holland B.V.;2;;;;3;;;;;3
Cargo Security Systems B.V.;2;;;;;;;;;2
Cargotec Netherlands B.V.;3;;;;;;;;;3
Cariña Tapas;;1;;;;;;;;1
Carnegie-Stichting;;1;;;;;;;;1
Carpe Fleur;1;;;;;;;;;1
Carrosserie Akkermans B.V.;2;;;;;;;;;2
Carrosseriebouw Compaan;1;;;;;;;;;1
Carrosseriefabriek Veth Arnhem B.V.;2;;;;;;;;;2
Cartal Schagen;1;;;;;;;1;;1
CARU Containers B.V.;5;;;;1;;;;;5
Carwash Aqua Clean;1;;;;;;;;;1
Catec B.V.;1;;;;;;;1;;1
Cavaloop B.V.;1;;;;;;;;;1
Caves Hubert Zeegers B.V.;;1;;;;;;;;1
CB Facturatie B.V.;1;;;;;;;;;1
CBN Labsuppliers B.V.;1;;;;;;;;;1
CCV Holland B.V.;2;;;;;;;;;2
Cedere B.V.;;;;;;;;1;;1
Cees Arends Pianotechniek;;1;;;;;;;;1
Cees Flowershop;1;;;;;;;;;1
Cees van den Hoed Holding B.V.;1;;;;;;;;;1
Celexon Netherlands B.V.;1;;;;;;;;;1
Cellumica Kunststoffen;;;;;1;;;;;1
Centercon B.V.;1;;;;;;;;;1
Centix B.V.;1;;;;;;;;;1
Centraal Boekhuis B.V.;1;;;;;;;;;1
Central Point Nederland B.V.;4;;;;;;1;1;;4
Centrale Dienstapotheek Eindhoven B.V.;1;;;;;;;;;1
Centrenet;1;;;;;;;;;1
Centrum '45;1;;;;;;;;;1
Centrum voor Systemische Opstellingen;;1;;;;;;;;1
Certified Secure B.V.;1;;;;;;;;;1
CERTIS Packaging B.V.;2;;;;;;;;;2
Cervix B.V.;1;;;;;;;;;1
Charraoue Boeken;;1;;;;;;;;1
Chemetall B.V.;1;;;;;;;;;1
Chin.-Ind. Rest. Sonsbeekpaviljoen V.O.F.;1;;;;;;;;;1
Chirurgische Maatschap Vlietland Ziekenhuis;1;;;;;;;;;1
Chocolaterie Marie-Louise;;1;;;;;;;;1
Chromalloy Holland B.V.;1;;;;;;;;1;1
CHS Special Products B.V.;1;;;;;;;;;1
Ciao! Ciao! B.V.;;1;;;;;;;;1
CIB Centraal InkoopBureau B.V.;1;;;;;;;;;1
Cikam B.V.;1;;;;;;;2;;2
Cillekens-Dreessens B.V.;1;;;;;;;;;1
Circuit Bedrijfskleding B.V.;;;;;;;;1;;1
Citygis B.V.;1;;2;;;;;;;2
Claassen Autorecycling;;;1;;;;;;;1
Clafis Maritiem B.V.;2;;;;;;;;;2
Claire Felicie;;1;;;;;;;;1
Classic Incasso B.V.;;;;;;;;;1;1
Classic International B.V.;1;;;;;;;;;1
Claushuis Groep;1;;;;;;;;;1
Cleanmaster Biolux;1;;;;;;;;;1
Climalife Dehon;1;;;;;;;;;1
Cloose;;1;;;;;;;;1
Clown Zassie Entertainment;;1;;;;;;;;1
Club Foos;1;;;;;;;;;1
Clubmessage Benelux B.V.;1;;;;;;;;;1
Co. Van Beek Tweewielers;2;;;;;;;;;2
Coating Application Products Industrial B.V.;1;;;;;;;;;1
COBBS Industries B.V.;4;;;;;;;6;;6
Color Wood Holding B.V.;4;;1;;;;;;;4
Comag;2;;;;;;;;;2
Combi Den Helder;1;;;;;;;;;1
CombiCraft;1;;;;;;;1;;1
Com-Connect B.V.;1;;;;;;;;;1
Compacon & Partners B.V.;1;;;;;;;;;1
Complete Store Van Dijk B.V.;3;;;;;;;;;3
Compressor Service Techniek B.V.;2;;;;;;1;2;;2
Computercentrum C. van de Velden B.V.;1;;;;;;;;;1
Compu'Train;1;;;;;;;;;1
Computrain Opleidingen;1;;;;;;;;;1
Concorde Group B.V.;1;;;;;;;1;1;2
Condair B.V.;1;;;;;;;;1;1
Conducto Opleidingen B.V.;1;;;;;;;;;1
Congrescentrum Kasteel Wijenburg B.V.;1;;;;;;;;;1
Connection Systems B.V.;4;;;;;;;;;4
Connex Telecom B.V.;;;;;;;;1;;1
Connexxion Tours B.V.;;;;;7;;;;;7
Conrad Electronic Benelux B.V.;3;;;1;;;1;2;;3
Consilium B.V.;1;;;;;;;;1;1
Consilium Benelux Data Capture Solutions B.V.;2;;;;;;;;;2
Constr.- en Machinefabriek Moergestel B.V.;1;;;;;;;;;1
Constr.werkpl. H.K. v. Wingerden & Zn. B.V.;1;;;;;;;;;1
Constructor Dexion Holland B.V.;2;;;;;;2;2;;3
Contactgroep Personeelsbeleid Enschede CPE;1;;;;;;;;;1
Continental Banden Groep B.V.;;;;;;;;;1;1
Control Risks Benelux B.V.;4;;;;;;;;;4
Controlin B.V.;;;;;;;;;1;1
Coolblue B.V.;3;;;;;;1;1;;3
CoolEnergy B.V.;1;;;;;;;;;1
Coolworld Nederland B.V.;;;;;;;1;;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;1;;;;;;;;;1
Coöperatie Concept2 Benelux UA;1;;;;;;;;;1
Coöperatieve Ver. van Vletterl.-Werkzaamh. WA;1;;;;;;;;;1
Copoint Electronics B.V.;5;;;;;;;2;;5
Cor en Jos Nijman;1;;;;;;;;;1
Cordobond International B.V.;;;;;;;;;1;1
Cordstrap B.V.;2;;;;1;;;;;2
Corlido Project Supply B.V.;1;;;;;;;;;1
Cornelese Technical Systems B.V.;2;;;;;;;;;2
Correct Business Electronics B.V.;1;;;;;;;;;1
Corrosion & Water-Control B.V.;2;;;;;;;;;2
Cosanta B.V.;4;;;;;;;;;4
Costuummagazijn A.T. de Wit B.V.;;;;;1;;;;;1
Cottontree Mer by Gert-Jan;;1;;;;;;;;1
Country Mill Horse Support;1;;;;;;;;;1
Country Store;1;;;;;;;1;;1
Crane Container;1;;;;;;;;;1
CraneSolutions B.V.;1;;;;;;;;;1
Crazy Air;1;;;;;;;;;1
Creative Monkey;1;;;;;;;;;1
Creon B.V.;;;1;;;;;;;1
Cruson Coatings B.V.;1;;;;;;;;;1
Crystal Specials;;;;;;;;1;;1
CSC Installatie B.V.;1;;;;;;;;;1
CSR B.V.;1;;;;;;;;;1
CTS Nederland B.V.;2;;;;;;;;;2
Cuba's Sigarenspeciaalzaak en Slijterij;1;;;;;;;;;1
Cum Laude Beheer B.V.;2;;;;;;;;;2
Cummins Holland B.V.;1;;;;;;;;;1
Cura Mortu Orum Mortuariabeheer B.V.;1;;;;;;;;;1
Custers Hydraulica B.V.;;;;;;;;;1;1
CWN Spuitcabines B.V.;;;;;;;;2;;2
CWN Spuitcabines Service & Onderhoud B.V.;;;;;;;;1;;1
CWS Nederland B.V.;;;;1;;;;;;1
Cyklop Nederland B.V.;2;;;;;;;1;;2
D&M Holland;1;;;;;;;;;1
D.A.S. Lastechniek en Reparatiewerkzaamheden;2;;;;;;;;;2
D.B. Sierat;1;;;;;;;;;1
D.D.S. Electronics Europe B.V.;2;;;;;;;;;2
D2P print XL;;1;;;;;;;;1
Dacon Inspection Technology B.V.;3;;;;;;;;;3
Daedalus Avionics B.V.;;;;;;;;;1;1
Daedalus B.V.;;;;;;;;;1;1
DAF Trucks N.V.;5;;;;;;;;2;5
Dalmec B.V.;1;;;;;;;;;1
Damme Kunststoffen;1;;;;;;;;;1
Dantuma Medische Speciaalzaken;;;;;;;;1;;1
Dapper Yachtbrokerage;;;;;;;;2;;2
DARA B.V.;1;;;;;;;;;1
Darpo Reklame B.V.;1;;;;;;;;;1
Dat Training;2;;;;;;;;;2
Data Control Transponder Technology;1;;;;;;;;;1
DatAction;;;2;;;;;;;2
DatAction bv;;;;;;;;5;;5
Datascan B.V.;1;;;;;;;;;1
Datec;;;;;;;;1;;1
Datema-Delfzijl B.V.;2;;;;;;;5;;5
David's Corner;;1;;;;;;;;1
Daxtrio B.V.;1;;;;;;;;;1
dB mediagroep;2;;;;;;;;;2
D-Care B.V.;1;;;;;;;;;1
DCS International B.V.;1;;;;;;;;;1
DCS Marine Waterjets B.V.;2;;;;;;;;;2
DDJ Music B.V.;1;;;;;;;;;1
De Algemene Boekhandel;1;;;;;;;;;1
De Bie Reclame B.V.;1;;;;;;;;;1
De Bloemerije;;1;;;;;;;;1
De Boer Industrie Techniek B.V.;1;;;;;;;;;1
De Boer Structures B.V.;;;;;;;;6;;6
De Bruin Techniek Den Bosch B.V.;1;;;;;;;;;1
De Burgh Acht B.V.;2;;;;1;;;;;2
De Burgh Eindhoven B.V.;3;;;;;;;1;;3
De Burgh Son B.V.;1;;;;;;;;;1
De Colonie Houten B.V.;1;;;;;;;;;1
De Commandostichting;1;1;;;;;;;;1
De Dukdalf - MBSOV;3;2;;;;;;;;4
De Efteling B.V.;;1;;;;;;;;1
De Friese Bierbrouwerij B.V.;1;;;;;;;;;1
De Gezelligheid;;1;;;;;;;;1
De Griffel V.O.F.;;1;;;;;;;;1
De Groot Houtbewerkingsmachines B.V.;1;;;;;;;;;1
De Heeg Internet Solutions B.V.;1;;;;;;;;;1
De heren van de Rechter B.V.;;1;;;;;;;;1
De Holland Winkel;1;;;;;;;;;1
De Hoop Entertrainment B.V.;1;;;;;;;;;1
De IJssel Coatings B.V.;;;;;;;;;1;1
De Japanse Watertuin B.V.;1;;;;;;;;;1
De Kabouterhut;1;;;;;;;;;1
De Kampanje;1;1;;;;;;1;;1
De Kleine Taveerne;1;;;;;;;;;1
De Klok Dranken Helmond;;2;;;;;;;;2
De Kluizenier;1;;;;;;;;;1
De Koningh Coding & Labeling B.V.;1;;;;;;;;;1
De Koningshof B.V.;1;1;;;;;;;;1
De Kort Catering B.V.;;2;;;1;;;;;3
De Lange Muur B.V.;;;;;;;;1;;1
De leestafel;1;;;;;;;;;1
De Lekkernij;1;;;;;;;;;1
De Liemers Caravans B.V.;;;;;;;;1;;1
De Lisdodde;1;1;;;;;;;;1
De Lof der Zotheid (Breitner);1;;;;;;;;;1
De Lof der Zotheid (Lords);;1;;;;;;;;1
De Looper NDO B.V.;2;;;;;;;1;;2
De Meerpaal Beheer B.V.;1;;;;;;;;;1
De Meteoor h.o.d.n. Fons Janssen Leesmappen;1;;;;;;;;;1
De Molen Banden B.V.;1;;;;;;;;;1
De Nationale Taptoe;1;1;;;;;;;;2
De Oestercompagnie B.V.;;1;;;;;;;;1
De Ouwe Compagnie;;1;;;;;;;;1
de Persgroep Nederland B.V.;1;1;;;;;;1;;1
De Ploeg B.V.;1;;;;;;;;;1
De Ploeg Techniek B.V.;2;;;;;;;2;;2
De Polderland Groep B.V.;1;;;;;;;;;1
De Poort van Groningen V.O.F.;1;;;;;;;;;1
De Pooter Olie B.V.;1;;;;;;;;;1
De Projectinrichter B.V.;1;;;;;;2;;;2
De Raat Security Products B.V.;1;;;;;;1;1;;1
De Regenboog Groep;;;;;;;;1;;1
De Ridder B.V.;1;;;;;;;;;1
de Rolf groep B.V.;2;;;;;;;;;2
De Rotterdam B.V.;;1;;;;;;;;1
De Schaar;1;;;;;;;;;1
De Schenker B.V.;1;;;;;;;;;1
De Schuur Kootwijkerbroek B.V.;1;;;;;;;;;1
De SLeutel van Rijen;;;1;;;;;;;1
De Sleutelspecialist Leeuwarden V.O.F.;1;;;;;;1;;;1
De Sleutelspecialist Van den Acker;1;;;;;;2;;;2
De Smelt B.V.;2;;;;;;;;;2
De Spreeuwel B.V.;;1;;;;;;;;1
De Stickerkoning B.V.;1;;;;;;;;;1
De Stille Boot;1;;;;;;;;;1
De Tamboer;1;;;;;;;;;1
De Telefoongids B.V.;1;;;;;;;;;1
De Torpedoloods V.O.F.;1;;;;;;;;;1
De Uitvaartverzorgers Sluijmer & Van Olst;1;;;;;;;;;1
De Vier Gewesten B.V.;;;;;1;;;;;1
De Vlamboog B.V.;1;;;;;;;;;1
De Vlas Transport B.V.;1;;;;1;;;;;1
De Vlinder Creatieve Workshops & Styling;;;;;;;;1;;1
De Vos & Partners Advocaten N.V.;1;;;;;;;;;1
De Vries Sails Makkum B.V.;1;;;;;;;;;1
De Waterboot B.V.;1;;;;;;;;;1
De Wilde Pieters;;1;;;;;;;;1
De Witte Zwaan B.V.;;1;;;;;;;;1
De Wolf Maritime Safety;5;;;;;;;1;;5
De ZorgIntermediair Vrije Beroepen;;;;;;;;;1;1
Deal It;2;;;;;;1;;;2
Deba 2000 B.V.;;;;;;;4;;;4
Deciso Sales B.V.;1;;;;;;;;;1
Decora Bloemdecoraties;1;;;;;;;;;1
Decoratelier Vorm en Decor B.V.;1;;;;;;;;;1
Dekker Zoetermeer;;1;;;;;;;;1
DEKO Alarm en Beveiligingstechniek B.V.;2;;;;;;;;;2
DEKRA Certification B.V.;2;;;;;;;;;2
Dela Uitvaartverzorging B.V.;1;;;;;;;;;1
DELAIR;1;;;;;;;;1;1
Delo B.V.;;;;;;;;1;;1
DELTA Comfort B.V.;;;;;;;1;;;1
Delta Dierenartsen;1;;;;;;;;;1
Delta Elektronika B.V.;2;;;;;;;;;2
Delta Infra B.V.;1;;;;;;;;;1
Delta International Promotioneel B.V.;1;2;;;;;;1;;2
Delta International Uniformuitrustingen B.V.;2;;;;;;;4;1;5
Delta Ohm Benelux B.V.;1;;;;;;;;;1
Delta Pompen B.V.;1;;;;;;;;1;1
Deltex B.V.;1;;;;;;7;1;;7
Den Besten Kerst- en Relatiegeschenken B.V.;1;;;;;;;;;1
Den Bosch Evenementen B.V.;1;;;;;;;;;1
Den Breejen & Zn. Schilderwerken B.V.;3;;;;;;;;;3
Den Hartigh Adviesgroep B.V.;1;;;;;;;;;1
DencoHappel Nederland B.V.;;;;;;;;;1;1
Denios B.V.;1;;;;;;;1;;2
Denise Reklame in Vorm;1;;;;;;;;;1
Denk Producties B.V.;;1;;;;;;;;1
Denkwerk Kunneman;1;;;;;;;;;1
Dental Union B.V.;3;;;;;;;;;3
Dentalair Products Nederland B.V.;1;;;;;;;;;1
Denteck B.V.;;;;;;;;;1;1
Dent-Med Materials B.V.;1;;;;;;;;;1
Dentsply Benelux B.V.;1;;;;;;;;;1
Desmi B.V.;1;;;;;;;;;1
Destil B.V.;1;;;;;;;1;;1
Detron Computerverhuur B.V.;1;;;;;;;;;1
Deventit B.V.;;;;;;;1;;;1
Dewetron Benelux B.V.;4;;;;;;;2;;4
DFDS Seaways IJmuiden B.V.;;;;;3;;;;;3
DHL Global Forwarding;;;;;1;;;;;1
DHL International B.V.;1;;;;1;;;;;1
Diaber Benelux B.V.;4;;;;;;;;1;4
Diagnostisch Expertise Centrum (DEC);1;;;;;;;;;1
Diamond Kimberlit B.V.;2;;;;;;;;;2
Dibo Nederland B.V.;2;;;;;;;;;2
Dickens Horecabedrijven B.V.;1;1;;;;;1;;;1
Dictator Productie B.V.;1;;;;;;;;;1
Die Heere Sewentien;;1;;;;;;;;1
Dieden Financiële Diensten B.V.;;;;;;;;1;;1
Dielen Flightcase Bouw B.V.;;;;;;;;3;;3
Diepenmaat Sport V.O.F.;1;;;;;;;;;1
Dier Gezondheids Centrum Boven-Veluwe;1;;;;;;;;;1
Dierenartsenpraktijk de Zuidwesthoek;1;;1;;;;;;;2
Dierenartsenpraktijk Deil G.H. Mensen;1;;;;;;;;;1
Dierenartspraktijk Assendelft;1;;;;;;;;;1
Dierenartspraktijk Mosselman;1;;1;;;;;;;1
Dierenartspraktijk Wormer;1;;;;;;;;;1
Dierenhotel A1 Rijssen-Holten B.V.;;;2;;;;;;1;2
Dierenkliniek de Kempen;1;;;;;;;;;1
Dierenkliniek Duinpark;1;;;;;;;;;1
Dierenkliniek Putten;;;1;;;;;;;1
Dierenkliniek Rijen B.V.;1;;2;;;;;;;2
Dierenkliniek Uden;1;;2;;;;;;;2
Dierenpark 'Amersfoort' B.V.;;1;;;;;;1;;1
Dierenpension A2 Culemborg;1;;;;;;;;;1
Dierenpension de Johanneshoeve;1;;;;;;;;;1
Dierenpension 'Het Bildt';;;2;;;;;;;2
Dierenpension 't Schipperke;1;;;;;;;;;1
Dierenpension Tussenwijck B.V.;1;;;;;;;;;1
Dierenziekenhuis Zeeuws-Vlaanderen;;;1;;;;;;;1
Diergeneeskundige Kliniek N.A. Dijkshoorn;1;;;;;;;;;1
Dies Groot Fotografie;1;;;;;;;;;1
Diesel Calibratie Koenes;;;;;;;;1;;1
Dieselservice Emmeloord B.V.;5;;;;;;;;;5
Digidentity B.V.;1;;;;;;;;;1
Digit Elektrotechniek B.V.;2;;;;;;;;;2
Digital Revolution B.V.;1;;;;;;1;1;;1
Dijkstra-Vereenigde B.V.;2;;;;;;;;;2
Dijssel B.V.;1;;;;1;;;;;1
DilemmaConsult;2;;;;;;;;;2
Dimarco Technical Systems B.V.;;;;;;;;1;;1
Dimca B.V.;1;;;;;;;;;1
Dinee Cafe De Kempen;1;1;;;;;;;;1
Dinee café Veertien;1;;;;;;;;;1
Diner Thuis;1;1;;;;;;;;1
Dinitrol Anti-Roest Center;;;1;;;;;;;1
DIOR Opleidingen;1;;;;;;;;;1
Dirksen Opleidingen B.V.;1;;;;;;;;;1
Dirksen Schoonmaakartikelen B.V.;1;;;;;;;;;1
Discountoffice.nl B.V.;1;;;;;;;1;;1
Discovery Diving Dordrecht B.V.;;;;;;;;1;;1
Discus Stiens;;;1;;;;;;;1
Display Electronics;;;;;;;;;1;1
Distrimex Pompen & Service B.V.;1;;;;;;;;1;1
Diversey B.V.;1;;;;;;;;2;2
Divoza Horseworld;1;;;;;;;;;1
Divoza Ruitersport B.V.;2;;;;;;;;;2
DJ Izzy Music & Entertainment;1;;;;;;;;;1
DKC Koudetechniek B.V.;;;;;;;;1;;1
DKMtools;1;;;;;;;;;1
DMPT;1;;;;;;;;;1
DNM International B.V.;2;;1;;;;;;;2
DNV GL Business Assurance;3;;;;;;;;;3
Document House Beuningen;;;;;;;;1;;1
Doedijns B.V.;2;;;;;;;;1;2
Doeschot B.V.;1;;;;;;;;;1
Dog Sport Holland;1;1;1;;;;;1;;2
Dokkumer Vlaggen Centrale B.V.;3;;;;1;;2;1;;4
Dolphins V.O.F.;;;;;;;;;1;1
Dolstra Elektronika;1;;;;;;;1;;1
Dominent International;1;;;;;;;;;1
Donders Gas Specialiteiten B.V.;1;;;;;;;;;1
Donkergroen B.V.;1;;;;;;;;;1
Doornse Apotheek B.V.;;1;;;;;;;;1
Dormac Import B.V.;5;;;;;;;;;5
Dörr Kampen B.V.;1;;;;;;;;;1
Dotec B.V.;1;;;;;;;;;1
Double You Promotions B.V.;1;;;;;;;;;1
Douwe Egberts Coff. Systems Int. B.V.;;1;;;;;;;;1
Douwe Egberts Horeca;1;8;;;;;;;;8
DPS Power B.V.;2;;;;1;;;;;2
Drabbe;1;;;;;;;;;1
Dräger Medical Netherlands B.V.;1;;;;;;;;;1
DRAGT;2;;;1;;;1;3;;3
Drentea Kantoormeubelen;4;;;;;;7;2;;7
Drie Transformatoren B.V.;2;;;;;;;;;2
Drinkland Noordwijk B.V.;1;;;;;;;;;1
DriveIn Car Service IJmuiden;1;;;;;;;;;1
DRM Network Training & Services B.V.;1;;;;;;;;;1
Drõger Nederland B.V.;4;;4;;;;1;4;;5
Drost Juten Notarissen;1;;;;;;;;;1
Drukkerij Ketelaars;;;;;;;1;;;1
Drukkerij Primair B.V.;1;;;;;;;;;1
Drukkerij ROWA B.V.;1;;;;;;;1;;1
Drukkerij Verweij B.V.;;;;;;;;3;;3
Drumarkon International B.V.;1;;;;;;;;;1
DRV Special Products;1;;;;;;;;;1
DS Smith Packaging;1;;;;;;;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;1;;;;;;;1;;1
DSV Air & Sea (Rotterdam);;;;;2;;;;;2
Dubbel E. Acteerservice B.V.;1;;;;;;;;;1
Dubbers;;;;;;;;1;;1
Dudink & Starink Advocaten;1;;;;;;;;;1
Duijvelaar Pompen;1;;;;;;;;1;1
Duitman Hengelo B.V.;1;;;;;;;;;1
Dujardin Brandkasten B.V.;1;;;;;;;;;1
Dun & Bradstreet B.V.;2;;;;;;;;;2
Dupal;1;;;;;;;;;1
Durmazon Graphic Supply;;;;;;;;1;;1
Dutch Aviation Group (DAG);1;;;;;;;;;1
Dutch Hunting Falcons;1;;;;;;;;;1
Dutch Water Dreams;;;;;;;;1;;1
Dutch Woundcare Consultant Society;1;;;;;;;;;1
Dutchband B.V.;1;;;;;;;;;1
Dutchtrain B.V.;1;;;;;;;;;1
Dutraco Gouda B.V.;1;;;;;;;7;;7
Duvalco B.V.;1;;;;;;;;;1
D'Visie B.V.;1;;;;;;;;;1
Dynamar B.V.;1;;;;;;;;;1
Dynastart Tools;1;;3;;;;;;1;3
Dynobend B.V.;1;;;;;;;;;1
E.B. van Groningen;1;;;;;;;;;1
E.B.O. van Weel Beheer B.V.;2;;;;;;;;;2
E.C. Swaminathan Bedrijfsarts;1;;;;;;;;;1
E.T. Euro Trade Nederland B.V.;1;;;;;;;;;1
E.T.H. Holland B.V.;;;;;;;;1;;1
