ZAAK_ID;ZAAKTYPE;HOOFDCATEGORIE;SUBCATEGORIE;SUB_SUBCATEGORIE;SUB_SUB_SUBCATEGORIE;STADSDEEL;DATUM_MELDING;REDEN_VERLENGEN;GEPLAND;EINDDATUM;KANAAL;PRIORITEIT;STATUS;INTERNE_STATUS;STRAATNAAM;HUISNUMMER;HUISLETTER;TOEVOEGING;WIJK;BUURT;AFDELING;WIJZEVANOPLOSSING;XCOORDINAAT;YCOORDINAAT;LONG;LAT;COUNTER
1489952;Melding Openbare Ruimte;Verkeerslichten/ borden/ straatverlichting;Storingsmelding verkeerslicht;Lamp is defect;;;2018-08-12;;2018-08-20;2018-08-13;formulier met geo-inf;Normaal;Afgerond;Afgerond;ESCAMPLAAN;2010;;;;;Verkeersmanagement;Wordt verder behandeld in Vera+ (VM);76369.388;451084.852;4.2410662603966385;52.0425024668431;178140
1490149;Melding Openbare Ruimte;Dieren en hondenpoep;Dode dieren in water;;;Loosduinen;2018-08-12;;2018-08-15;2018-08-13;formulier met geo-inf;Normaal;Afgerond;Afgerond;WIM GERRESELAAN;19;;;Loosduinen;Kom Loosduinen;Waterbeheersing;Wordt meegenomen in gepland onderhoud;76304.077;452118.745;4.239876379008744;52.05178440517422;178261
734229;Melding Openbare Ruimte;Straten en straatmeubilair;Stoep;Gat/ verzakt;;Segbroek;2016-07-01;;2016-07-07;2016-07-06;Telefoon;Normaal;Afgerond;Afgerond;TOMATENSTRAAT;44;;;Vruchtenbuurt;Vruchtenbuurt;Riolering;Afgewezen;77507.109;454175.545;4.256945666060798;52.07043766481316;18
734230;Melding Openbare Ruimte;Riolering, Water en Constructies;wateroverlast buitenshuis;Overig;;;2016-07-01;.;2016-09-19;2016-09-16;Telefoon;Normaal;Afgerond;Afgerond;HEILOSTRAAT;273;;;;;Riolering;Opgelost;;;;;19
734232;Melding Openbare Ruimte;Riolering, Water en Constructies;overig riolering;Gat door riool;in rijweg;Segbroek;2016-07-01;vervolg werk staat ingepland.;2016-07-26;2016-08-26;Telefoon;Normaal;Afgerond;Afgerond;TOMATENSTRAAT;44;;;Vruchtenbuurt;Vruchtenbuurt;Riolering;Opgelost;77507.109;454175.545;4.256945666060798;52.07043766481316;20
734233;Melding Openbare Ruimte;Riolering, Water en Constructies;wateroverlast in huis;in kruipruimte;;Escamp;2016-07-01;;2016-07-07;2016-07-01;Telefoon;Normaal;Afgerond;Afgerond;VALTHESTRAAT;20;;;Morgenstond;Morgenstond-West;Riolering;Afgewezen;78594.587;451403.811;4.273424001097982;52.04568002580661;21
734237;Melding Openbare Ruimte;Afval;Zwerfvuil;Op openbare weg;;Centrum;2016-07-01;;2016-07-07;2016-07-04;formulier met geo-inf;Normaal;Afgerond;Afgerond;HOOFTSKADELAAN;58;;;Schildersbuurt;Schildersbuurt-Noord;Handhavingsorganisatie Centrum;Informatie verstrekt;81101.221;454078.757;4.309378758124914;52.07005903010706;23
733802;Melding Openbare Ruimte;Groen;Grasveld/ gazon;Maaien;;;2016-07-01;;2016-07-06;2016-07-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;GUIDO DE MOORSTRAAT;0;;;;;Groenbeheer Escamp;Informatie verstrekt;;;;;29
733806;Melding Openbare Ruimte;Afval;Grofvuil;Op openbare weg;;Escamp;2016-07-01;;2016-07-06;2016-07-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;ELLEKOMSTRAAT;19;;;Rustenburg en Oostbroek;Oostbroek-Zuid;Handhavingsorganisatie Escamp;Handhavingsorganisatie oplossing;79518.799;453667.074;4.286393958290539;52.06614597729994;30
733863;Melding Openbare Ruimte;Afval;Afvalbakken;Afvalbak;Afval naast afvalbak;Centrum;2016-07-01;;2016-07-07;2016-07-08;formulier met geo-inf;Normaal;Afgerond;Afgerond;HOOFTSKADELAAN;0;;;Schildersbuurt;Schildersbuurt-Noord;Milieubeheer Centrum;Wordt meegenomen in gepland onderhoud;;;;;31
733868;Melding Openbare Ruimte;Afval;Inzameling huisvuil;Huisvuilzak;Niet goed aangeboden;Centrum;2016-07-01;;2016-07-06;2016-07-04;formulier met geo-inf;Normaal;Afgerond;Afgerond;VAN BRAKELSTRAAT;3;;;Zeeheldenkwartier;Zeeheldenkwartier;Handhavingsorganisatie Centrum;Handhavingsorganisatie oplossing;80126.687;455242.653;4.294912129684524;52.0803877638184;32
733872;Melding Openbare Ruimte;Afval;Afvalbakken;Afvalbak;Vol;;2016-07-01;;2016-07-07;2016-07-04;formulier met geo-inf;Normaal;Afgerond;Afgerond;ERNEST HEMINGWAYPARK;14;;;Kraayenstein en Vroondaal;Kraayenstein;Milieubeheer Loosduinen;Informatie verstrekt;75599.779;450703.243;4.229939081048988;52.03896339852019;33
733878;Melding Openbare Ruimte;Afval;Inzameling huisvuil;Huisvuilzak;Niet goed aangeboden;Scheveningen;2016-07-01;;2016-07-06;2016-07-04;formulier met geo-inf;Normaal;Afgerond;Afgerond;ANTONIE DUYCKSTRAAT;36;;;Geuzen- en Statenkwartier;Statenkwartier;Milieubeheer Scheveningen;Informatie verstrekt;78890.866;456301.034;4.2766503735405905;52.089730596010305;34
733879;Melding Openbare Ruimte;Afval;Zwerfvuil;Op openbare weg;;Escamp;2016-07-01;;2016-07-07;2016-07-06;formulier met geo-inf;Normaal;Afgerond;Afgerond;HARDERWIJKSTRAAT;131;;;Rustenburg en Oostbroek;Oostbroek-Zuid;Vegen;Opgelost;79380.548;453477.779;4.284420002546759;52.06442598363026;35
733880;Melding Openbare Ruimte;Afval;Grofvuil;Op openbare weg;;Laak;2016-07-01;;2016-07-06;2016-07-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;1E LULOFSDWARSSTRAAT;119;;;Laakkwartier en Spoorwijk;Laakhaven-West;Handhavingsorganisatie Laak;Handhavingsorganisatie oplossing;81297.933;453056.373;4.31246804164693;52.06089730388742;36
733884;Melding Openbare Ruimte;Afval;Zwerfvuil;Op openbare weg;;Centrum;2016-07-01;;2016-07-07;2016-07-04;Telefoon;Normaal;Afgerond;Afgerond;ZOUTMANSTRAAT;0;;;Zeeheldenkwartier;Zeeheldenkwartier;Vegen;Opgelost;;;;;37
733886;Melding Openbare Ruimte;Afval;Grofvuil;Bouw- en sloopafval;;;2016-07-01;;2016-07-06;2016-07-04;Telefoon;Normaal;Afgerond;Afgerond;BOEKHORST;0;;;;;Handhavingsorganisatie Centrum;Handhavingsorganisatie oplossing;;;;;38
733888;Melding Openbare Ruimte;Straten en straatmeubilair;Straat;Vervuild met olie/ oliesporen;;Centrum;2016-07-01;;2016-07-04;2016-07-04;Telefoon;Hoog;Afgerond;Afgerond;ANNA PAULOWNASTRAAT;0;;;Zeeheldenkwartier;Zeeheldenkwartier;Milieubeheer Centrum;Wordt meegenomen in gepland onderhoud;;;;;39
733890;Melding Openbare Ruimte;Verkeerslichten/ borden/ straatverlichting;Straatverlichting;Lamp brandt niet;;Escamp;2016-07-01;;2016-07-11;2016-07-01;Telefoon;Normaal;Afgerond;Afgerond;WERKZIJDE;63;;;Bouwlust/Vrederust;Zijden,Steden,Zichten;Openbare Verlichting;Wordt verder behandeld in OVIN (OVL);77358.328;450711.318;4.255563393632683;52.0392850334466;40
733892;Melding Openbare Ruimte;Afval;Wrakken;Fietsen;Achtergelaten;Scheveningen;2016-07-01;;2016-07-07;2016-07-01;Telefoon;Normaal;Afgerond;Afgerond;STEVINSTRAAT;435;;;Belgisch Park;Belgisch Park;Handhavingsorganisatie Scheveningen;Opgelost;80484.284;458686.934;4.299375165041856;52.11138872564417;41
733893;Melding Openbare Ruimte;Straten en straatmeubilair;Straat;Beschadigd (asfalt);;;2016-07-01;;2016-07-07;2016-08-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;VOLENDAMLAAN;0;;;;;Meldpunt onveilige verkeerssituaties;Informatie verstrekt;;;;;42
733898;Melding Openbare Ruimte;Speelterrein;Bank op Speelterrein;Aanbrengen;;Haagse Hout;2016-07-01;;2016-07-06;2016-07-04;Telefoon;Normaal;Afgerond;Afgerond;JOHANNES CAMPHUIJSSTRAAT;0;;;Bezuidenhout;Bezuidenhout-Oost;Speelbeheer Haagse Hout;Wordt meegenomen in gepland onderhoud;;;;;43
733901;Melding Openbare Ruimte;Verkeerslichten/ borden/ straatverlichting;Straatverlichting;Lamp brandt niet;;Centrum;2016-07-01;;2016-07-05;2016-07-06;Telefoon;Hoog;Afgerond;Afgerond;STEIJNLAAN;0;;;Transvaalkwartier;;Openbare Verlichting;Opgelost;;;;;44
733902;Melding Openbare Ruimte;Afval;Inzameling huisvuil;Minicontainer restafval;Niet geleegd;Scheveningen;2016-07-01;;2016-07-06;2016-07-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;STATENLAAN;148;;;Geuzen- en Statenkwartier;Geuzenkwartier;HMS;;78497.696;457034.14;4.270749943356719;52.09626455808208;45
733904;Melding Openbare Ruimte;Verkeerslichten/ borden/ straatverlichting;Straatverlichting;Lamp brandt niet;;Centrum;2016-07-01;;2016-07-11;2016-07-06;Telefoon;Normaal;Afgerond;Afgerond;JOUBERTSTRAAT;0;;;Transvaalkwartier;Transvaalkwartier-Nrd;Openbare Verlichting;Opgelost;;;;;46
733961;Melding Openbare Ruimte;Straten en straatmeubilair;Straat;Vervuild met olie/ oliesporen;;Centrum;2016-07-01;;2016-07-04;2016-07-04;Social Media;Hoog;Afgerond;Afgerond;ANNA PAULOWNASTRAAT;0;;;Zeeheldenkwartier;Zeeheldenkwartier;Milieubeheer Centrum;Wordt meegenomen in gepland onderhoud;;;;;69
733963;Melding Openbare Ruimte;Afval;Grofvuil;Niet opgehaald na afspraak;;Scheveningen;2016-07-01;;2016-07-06;2016-07-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;GEVERS DEYNOOTSTRAAT;88;;;Belgisch Park;Belgisch Park;HMS;;79668.235;458895.439;4.287417932067711;52.11315197177268;71
1462920;Melding Openbare Ruimte;Afval;Verzamelcontainer;Restafval;Vol;Segbroek;2018-07-11;;2018-07-16;2018-07-11;formulier met geo-inf;Normaal;Afgerond;Afgerond;ELSSTRAAT;36;;;Bomen- en Bloemenbuurt;Bomenbuurt;HMS;;78556.837;455023.559;4.272063529438919;52.07820435020899;169201
1462691;Melding Openbare Ruimte;Afval;Vuilniszak/ dozen;Op openbare weg;;Centrum;2018-07-11;;2018-07-16;2018-07-11;Andere meldingen app;Normaal;Afgerond;Afgerond;HOGEWAL;6;;;;;HWB;;80739.83;455571.979;4.303783757401156;52.08342989442004;168207
1472495;Melding Openbare Ruimte;Straten en straatmeubilair;Stoep;Losliggende tegels;;;2018-07-23;;2018-07-27;2018-07-23;BuitenBeter;Normaal;Afgerond;Afgerond;HAVENKAMP ;215;;;;;Straten-serviceploeg;Opgelost;;;;;171698
1460183;Melding Openbare Ruimte;Afval;Inzameling huisvuil;Huisvuilzak;Niet goed aangeboden;Escamp;2018-07-09;;2018-07-12;2018-07-10;Web formulier;Normaal;Afgerond;Afgerond;REDERIJKERSTRAAT;96;;;Moerwijk;Moerwijk-Noord;Milieubeheer Escamp;Afgewezen;;;;;168396
1467856;Melding Openbare Ruimte;Verkeerslichten/ borden/ straatverlichting;Straatverlichting;Lamp brandt niet;;Loosduinen;2018-07-17;;2018-07-25;2018-07-17;Telefoon;Normaal;Afgerond;Afgerond;CLAUDE DEBUSSYSTRAAT;0;;;;;Openbare Verlichting;Wordt verder behandeld in GISIB (OVL);;;;;171046
734067;Melding Openbare Ruimte;Groen;Onkruidgroei;Tussen de bestrating;;Centrum;2016-07-01;;2016-07-07;2016-07-04;E-mail;Normaal;Afgerond;Afgerond;JACOB SCHORERLAAN;219;;;Groente- en Fruitmarkt;Gr. en Fr.-markt;Vegen;Opgelost;80462.512;453075.39;4.30028373494652;52.06095644445449;107
734068;Melding Openbare Ruimte;Afval;Verzamelcontainer;Restafval;Afval naast container;Centrum;2016-07-01;;2016-07-04;2016-07-01;Telefoon;Hoog;Afgerond;Afgerond;HOOFTSKADELAAN;59;;;Schildersbuurt;Schildersbuurt-Noord;HMS;;81046.459;454086.067;4.3085785979690625;52.07011741458739;108
734069;Melding Openbare Ruimte;Afval;Grofvuil;Op openbare weg;;Laak;2016-07-01;;2016-07-06;2016-07-01;formulier met geo-inf;Normaal;Afgerond;Afgerond;INGENHOUSZSTRAAT;0;;;Laakkwartier en Spoorwijk;Noordpolderbrt;Handhavingsorganisatie Laak;Handhavingsorganisatie oplossing;;;;;109
