Leverancier;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9520 - BZK specifiek;9530 - DEF specifiek;Eindtotaal
020 Security B.V.;;;;1;1
310k;;;;1;1
7Zebra's;;;2;;2
A. Hak Electron B.V.;;;;1;1
A. Hak West B.V.;;;;1;1
A.C. Autocare Nederland;;;;1;1
A.H. van Voorthuijsen;;;1;;1
A.R.K. Audio-video B.V.;;;;1;1
A3MC Management & Consultancy B.V.;;;;4;4
Aalbers;;;1;;1
Aann.bedr. P.A. van Miltenburg & Zn. B.V.;;;;7;7
Aannemersbedrijf B. de Nijs-Soffers B.V.;;;;3;3
Aannemersbedrijf C. van Dillen en Zoon B.V.;;;;1;1
Aannemersbedrijf Dons en Troost B.V.;;;;6;6
Aannemersbedrijf Fokker B.V.;;;;7;7
Aannemersbedrijf Gebroeders Horstink B.V.;;;2;;2
Aannemersbedrijf H. van Beurden V.O;;;;2;2
Aannemersbedrijf M. Hurkmans en Zonen B.V.;;;;2;2
Aannemersbedrijf M.P. Drijvers B.V.;;;;4;4
Aannemersbedrijf P.M. Hol;;;2;;2
Aannemersbedrijf Roseboom B.V.;;;;3;3
Aannemingsbedrijf A. Tuin Den Helder B.V.;;;;6;6
Aannemingsbedrijf A.W.M. Meeusen en Zn. B.V.;;;;5;5
Aannemingsbedrijf Carlebur B.V.;;;;7;7
Aannemingsbedrijf Dozy B.V.;;;;4;4
Aannemingsbedrijf Gebr. van Stiphout B.V.;;;;4;4
Aannemingsbedrijf W.A.J. van Benten;;;;4;4
Aannemingsmaatschappij Friso B.V.;;;;10;10
Aannemingsmaatschappij Markus B.V.;;;1;;1
Aannemingsmaatschappij ZVS Eemnes B.V.;;;;4;4
Aannemingsmij. De Vries & Van de Wiel B.V.;;;2;;2
Aardnet B.V.;;;;1;1
ABC Security Systems B.V.;;;;4;4
Abma Schreurs Advocaten B.V.;;;1;;1
Aboma;;;;1;1
ABT B.V.;;;3;;3
Achterberg Schilders B.V.;;;;4;4
Acosti Notariskantoor;;;1;;1
Actus Notarissen N.V.;;;1;;1
Ad Hoc Beheer B.V.;;;1;;1
Ad Hoc Data B.V.;;;1;;1
Ad Hoc Security B.V.;;;1;;1
ADC Archeologische Opgravingen B.V.;;;;2;2
ADHOC Horecamakelaars B.V.;;;1;;1
ADS-Ertner B.V.;;;;2;2
Adviesbureau Newton B.V.;;;2;;2
Aermast Holland;;;;1;1
AEVES B.V.;;;;1;1
Agel Adviseurs B.V.;;;;1;1
Air Group B.V.;;;;2;2
AKD N.V.;;;2;;2
Akro Consult B.V.;;;2;;2
Albron Nederland B.V.;;;1;;1
Alfatech;;;;4;4
Allure Tuinen B.V.;;;1;;1
Alsta Nassau B.V.;;;1;1;1
Altavilla B.V.;;;;2;2
Altena Cleaning Beheer B.V.;;;;6;6
Altop International B.V.;;;;1;1
Ambiente Nederland B.V.;;;;2;2
Amenddak;;;;7;7
Ammerlaan Legal B.V.;;;1;;1
AndriessenZonnevylle notarissen;;;1;;1
Ankerslot B.V.;;;;1;1
Anna Vastgoed & Cultuur;;;1;;1
Anoniem_BZK_101;;;;1;1
Anoniem_BZK_105;;;;5;5
Anoniem_BZK_106;;;;2;2
Anoniem_BZK_109;;;;3;3
Anoniem_BZK_113;;;1;;1
Anoniem_BZK_119;;;;1;1
Anoniem_BZK_125;;;;6;6
Anoniem_BZK_126;;;;1;1
Anoniem_BZK_131;;;;4;4
Anoniem_BZK_132;;;4;;4
Anoniem_BZK_139;;;1;;1
Anoniem_BZK_143;;;;2;2
Anoniem_BZK_147;;;;1;1
Anoniem_BZK_152;;;;1;1
Anoniem_BZK_155;;;;1;1
Anoniem_BZK_156;;;;1;1
Anoniem_BZK_162;;;;3;3
Anoniem_BZK_176;;;;3;3
Anoniem_BZK_179;;;;3;3
Anoniem_BZK_182;;;1;;1
Anoniem_BZK_191;;;;4;4
Anoniem_BZK_199;;;;1;1
Anoniem_BZK_200;;;;3;3
Anoniem_BZK_202;;;;1;1
Anoniem_BZK_204;;;;4;4
Anoniem_BZK_207;;;;1;1
Anoniem_BZK_208;;;;2;2
Anoniem_BZK_209;;;2;;2
Anoniem_BZK_211;;;10;;10
Anoniem_BZK_216;;;;8;8
Anoniem_BZK_23;;;;5;5
Anoniem_BZK_240;;;;1;1
Anoniem_BZK_243;;;;4;4
Anoniem_BZK_248;;;;1;1
Anoniem_BZK_251;;;;8;8
Anoniem_BZK_26;;;1;;1
Anoniem_BZK_263;;;2;;2
Anoniem_BZK_268;;;;1;1
Anoniem_BZK_27;;;1;;1
Anoniem_BZK_272;;;;2;2
Anoniem_BZK_277;;;;2;2
Anoniem_BZK_278;;;;2;2
Anoniem_BZK_290;;;1;;1
Anoniem_BZK_297;;;;3;3
Anoniem_BZK_30;;;1;;1
Anoniem_BZK_31;;;;3;3
Anoniem_BZK_319;;;1;;1
Anoniem_BZK_322;;;1;;1
Anoniem_BZK_327;;;1;;1
Anoniem_BZK_331;;;;2;2
Anoniem_BZK_333;;;;1;1
Anoniem_BZK_336;;;;2;2
Anoniem_BZK_34;;;;2;2
Anoniem_BZK_359;;;;1;1
Anoniem_BZK_36;;;;4;4
Anoniem_BZK_366;;;;3;3
Anoniem_BZK_367;;;;1;1
Anoniem_BZK_369;;;;7;7
Anoniem_BZK_37;;;;2;2
Anoniem_BZK_379;;;;1;1
Anoniem_BZK_383;;;1;;1
Anoniem_BZK_386;;;;2;2
Anoniem_BZK_389;;;;4;4
Anoniem_BZK_396;;;;2;2
Anoniem_BZK_397;;;;1;1
Anoniem_BZK_398;;;;2;2
Anoniem_BZK_403;;;;4;4
Anoniem_BZK_404;;;;1;1
Anoniem_BZK_405;;;;1;1
Anoniem_BZK_406;;;;1;1
Anoniem_BZK_407;;;;2;2
Anoniem_BZK_408;;;;1;1
Anoniem_BZK_41;;;;3;3
Anoniem_BZK_411;;;;2;2
Anoniem_BZK_413;;;;2;2
Anoniem_BZK_418;;;;1;1
Anoniem_BZK_422;;;;1;1
Anoniem_BZK_425;;;;1;1
Anoniem_BZK_426;;;;2;2
Anoniem_BZK_435;;;1;;1
Anoniem_BZK_436;;;;1;1
Anoniem_BZK_437;;;;2;2
Anoniem_BZK_440;;;;2;2
Anoniem_BZK_450;;;;1;1
Anoniem_BZK_58;;;;4;4
Anoniem_BZK_59;;;;2;2
Anoniem_BZK_65;;;;1;1
Anoniem_BZK_80;;;;7;7
Anoniem_BZK_83;;;;;
Anoniem_BZK_84;;;;5;5
Anoniem_BZK_86;;;;4;4
Anoniem_BZK_88;;;3;;3
Anoniem_BZK_91;;;1;;1
Antea Nederland B.V.;;;2;5;5
Anticimex B.V.;;;2;;2
Applicom Nederland B.V.;;;;5;5
AquaTerra-KuiperBurger (ATKB);;;;2;2
Aquifer Advies B.V.;;;;3;3
Arcadis;;;2;;2
ARCADIS Nederland;;;;5;5
Architec B.V.;;;;1;1
Architechniek;;;2;;2
Architectenbureau De Twee Snoeken B.V.;;;;2;2
Architektenburo Veldman Rietbroek Smit B.V.;;;3;;3
Archol;;;6;2;7
Arends Advies;;;1;;1
Arnicon Projecten B.V.;;;;1;1
Artas Beheer B.V.;;;1;;1
Asbestsanering Het Zuiden B.V.;;;;1;1
ASSA ABLOY Entrance Systems;;;;1;1
Asta Advies;;;2;;2
Atelier Boetzkes;;;;1;1
Atelier ZET;;;;2;2
Automatic Signal Rijsenhout B.V.;;;;4;4
Automatic Systems SA/NV;;;;1;1
Axent Notarissen;;;1;;1
B & L Notarissen;;;1;;1
B&G Hekwerk B.V.;;;;1;1
B&S Taxaties;;;1;;1
B. van den Hoek Wegenbouw B.V.;;;;1;1
B.D.M.;;;1;;1
B.V. Aannemingsbedrijf J.J. Meijer;;;;3;3
B.V. Betonbouw Curacao;;;;7;7
B.V. Bouw- & Aannemingsbedr. G. de Haan & Zn.;;;;4;4
B.V. Bouwbedrijf Breumelhof;;;;4;4
B.V. De Koster cs Makelaars;;;1;;1
B.V. Sport;;;;2;2
BAAC;;;2;;2
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;;;;2;2
Bacoadviesbureau;;;;2;2
Balance B.V.;;;1;;1
BAM Bouw en Techniek B.V.;;;;9;9
BAM Bouw en Techniek regio Noordwest;;;7;;7
BAM Infra Energie & Water Zuid B.V.;;;;5;5
BAM Infra Telecom B.V.;;;;1;1
BAM Infra/Van den Herik Twentekanalen V.O.F.;;;1;;1
BaseValue B.V.;;;1;;1
BBA Binnenmilieu B.V.;;;2;;2
BBA Bur. v. Bouwhist. en Architectuurgesch.;;;1;;1
BBA Bur. voor Bouwh. en Architect.geschied.;;;;2;2
BCM Consultancy B.V.;;;1;;1
Beelen Sloopwerken B.V.;;;4;;4
Beijer en Zoon B.V.;;;;4;4
Bejan Bouw & BetonTechniek B.V.;;;;1;1
Bekkers Translation Services;;;1;;1
Belderink & Zn. Schilders- en Spuitbedr. B.V.;;;;2;2
BeoBOM B.V.;;;;1;1
Bergsma Drain B.V.;;;2;;2
Berki Brandbeveiliging B.V.;;;;2;2
bGrid B.V.;;;3;;3
BHA Projects B.V.;;;2;;2
Bicha B.V.;;;1;;1
bijHanz, B.V.;;;1;;1
Bijlsma Hijs- en Heftechniek Joure B.V.;;;;5;5
Bilfinger Tebodin B.V.;;;;1;1
Bilfinger Tebodin Netherlands B.V.;;;;1;1
BK Ingenieurs B.V.;;;;4;4
BK Welding Construction;;;1;2;2
bke media Kommunikationssysteme GmbH & Co. KG;;;;2;2
Blankhart & Bronkhorst Netwerk Notarissen;;;1;;1
BLB NRW NL Munster;;;;1;1
Blinckschoon;;;2;;2
Bloc B.V.;;;;2;2
Bloem Installatieadvies;;;1;;1
Bloemsierkunst Futura;;;;1;1
Blue Star B.V.;;;;4;4
BME Asbest Consult B.V.;;;;2;2
BME Groep;;;1;;1
BNbouwbestek;;;;1;1
Boat Wish;;;1;;1
Bodac B.V.;;;;2;2
Boekmanstichting;;;;2;2
Boels Verhuur B.V.;;;1;;1
Boels Verhuur Zwolle;;;;2;2
Boersema Installatie-Adviseurs B.V.;;;;4;4
Boersen Bliksembeveiliging B.V.;;;;2;2
bol.com B.V.;;;1;;1
Boomtotaalzorg;;;;1;1
BOOT organiserend ingenieursburo B.V.;;;;3;3
Borgch B.V.;;;1;;1
Borrenbergs Bouwbedrijf B.V.;;;1;7;7
Borrenbergs Projectinrichting;;;;1;1
Bos-, Natuur- en Landschapsbeheer Johan Rap;;;;1;1
Bosch & Slabbers Tuin- en Landsch.arch. B.V.;;;;2;2
Bosch en Slabbers Den Haag B.V.;;;;2;2
Bosland Adviesbureau;;;1;1;1
Bosscher Janssens notarissen;;;1;;1
Bouter B.V.;;;;4;4
Bouw/Rest.bedr. Van de Burgt en Strooij B.V.;;;5;;5
Bouwadvies;;;2;;2
Bouwbedrijf Bos B.V.;;;;4;4
Bouwbedrijf De Witte B.V.;;;;4;4
Bouwbedrijf Gebroeders in den Eng B.V.;;;;7;7
Bouwbedrijf Kreeft B.V.;;;;7;7
Bouwbedrijf van Norel B.V.;;;;8;8
Bouwcombinatie NCIA V.O.F.;;;;9;9
Bouwinvest Development B.V.;;;1;;1
Bouwstart V.O.F.;;;;3;3
Bouwstenen B.V.;;;;1;1
Bovenregionaal kantoor;;;;2;2
Brafon Brandveiligheidsmanagement;;;;5;5
Brands Bouw B.V.;;;;2;2
Brandsma Digitaal Meten B.V.;;;;1;1
Breda Bouw B.V.;;;1;8;8
Breedveld & Schroder;;;;1;1
BREEDVELD vouw- en paneelwanden;;;;2;2
Breijer Contractonderhoud B.V.;;;;4;4
Breinkorf;;;;1;1
Bremen Bouwadviseurs B.V.;;;;1;1
Breuker Vellinga Wiersma Netw. Notaris. B.V.;;;1;;1
Brink Management & Advies B.V.;;;;3;3
BrinkBox B.V.;;;;1;1
Brondool B.V.;;;;2;2
Bron-technologie B.V.;;;;1;1
BTL Realisatie B.V.;;;;2;2
Buko Bouwsystemen Vuren B.V.;;;;3;3
Buko Infrasupport B.V.;;;;1;1
Bullée Breedenbroek V.O.F.;;;1;;1
Buller & Rijnbeek Notarissen;;;1;;1
Bureau De Wit B.V.;;;1;;1
Bureau Mulder-natuurlijk;;;;2;2
Bureau SEP B.V.;;;;3;3
Bureau voor ruimte & vrije tijd;;;;2;2
Bureau Waardenburg B.V.;;;;4;4
bureau ZWIRT;;;;2;2
Burgy Bouwbedrijf B.V.;;;5;;5
Burns & McDonnell Global Inc.;;;;4;4
Buro Bentheimer;;;1;;1
BURO LUBBERS landschapsarch.& stedenbouw BV;;;2;;2
Buro SL B.V.;;;2;;2
Butijn&Wegink notarissen en adviseurs;;;1;;1
Buveco Gasdetection B.V.;;;;1;1
BVA Auctions B.V.;;;2;;2
BVELD B.V.;;;2;;2
By Proxy B.V.;;;1;;1
CAD & Company Building Solutions B.V.;;;;2;2
CAG;;;;7;7
Camelot Vastgoedbeheer en Beveiliging B.V.;;;1;;1
Caminada Notarissen;;;1;;1
Cannock Chase;;;2;;2
Caraad Belastingadviseurs B.V.;;;1;;1
Care Asbestos Remediation Engineering (Curaçao) B.V.;;;;3;3
Caribbean Coastal & Civil Engineering N.V.;;;;2;2
Carmabi Foundation;;;;2;2
CBRE DOF Custodian B.V.;;;;4;4
CEN B.V.;;;1;;1
Centraal Bureau Bouwbegeleiding B.V.;;;;2;2
Centraal Bureau voor Genealogie;;;3;;3
Centrica Business Solutions B.V.;;;;2;2
Cepezed Projects B.V.;;;1;;1
CertiQ B.V.;;;;1;1
CHS Technical Contracting & Trading Company N.V.;;;;2;2
Chubb Fire & Security B.V.;;;;5;5
Cie. Assist B.V.;;;1;;1
Circular Interiors B.V.;;;2;;2
CM3 custom-made B.V.;;;;1;1
Coform B.V.;;;1;1;1
Colette Cramer;;;;1;1
Compagnon B.V.;;;2;;2
COMPAREX Nederland B.V.;;;5;;5
Conan B.V.;;;;4;4
Con-c B.V.;;;3;;3
Conradi's Constructie;;;;2;2
Copier Water B.V.;;;;2;2
Cornelissen Aannemingsbedrijf B.V.;;;;;
Cratos Risk B.V.;;;;1;1
Cretio;;;1;;1
Crimson Historians and Urbanists;;;1;;1
Croon advocaten N.V.;;;;3;3
Croon Elektrotechniek B.V.;;;;2;2
CSC Installatie B.V.;;;;6;6
Cuppens en Zn. Aannemers B.V.;;;;7;7
Cushman & Wakefield V.O.F.;;;1;1;1
Customize-it B.V.;;;;2;2
CXTechniek Adviesburo;;;;1;1
D en V Vastgoedontwikkeling B.V.;;;1;;1
D&B Installatiewerken B.V.;;;;3;3
D. ten Hove Consultancy B.V.;;;;1;1
Daan Spaansen;;;;1;1
DÃƒÂ© Vastgoedbeschermer B.V.;;;1;;1
Damen Shipyards Den Helder B.V.;;;;4;4
DBH Business Services International B.V.;;;1;;1
de Baarnse notarissen;;;1;;1
de Bouwecoloog;;;1;;1
De Enk Groen & Golf B.V.;;;;2;2
De Horizon Uitvaartverzorging;;;1;;1
De Kabath Vastgoedbeheer B.V.;;;;1;1
De Kabath Vastgoedbescherming B.V.;;;1;;1
De Kerf & Van Sprang Notarissen B.V.;;;1;;1
De Kok Bouwgroep;;;;7;7
De Kroon Specialist. Reinigingsdiensten B.V.;;;1;;1
De Landgoederij B.V.;;;;1;1
De Lekkernij/'t Anker;;;;1;1
De Meeuw Oirschot B.V.;;;;7;7
De Meeuw Verhuur Nederland B.V.;;;;2;2
De Mik Adviesbureau;;;1;;1
De Mul Zegger Advocaten;;;1;;1
De Noordhoek;;;;1;1
De Pier Horeca B.V.;;;;1;1
De Rivieren Notarissen;;;1;;1
De Roo B.V.;;;;1;1
De Smelt B.V.;;;;2;2
Dé Vastgoedbeschermer B.V.;;;1;;1
De Vlieg Techniek B.V.;;;;6;6
De VriesVellenga Leenknegt Notarissen B.V.;;;1;;1
De Waard & Wagener Notariskantoor B.V.;;;1;;1
De Waard Grondverzet B.V.;;;2;;2
De Wijde Blik B.V.;;;2;;2
De Zee Schilderwerken;;;3;;3
Debuco Advies B.V.;;;1;;1
Decos Software Engineering B.V.;;;4;;4
Deerns Nederland B.V.;;;;5;5
