Leverancier;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Aaaaha! The Actor Factory B.V.;;;;1;;;;1
ABF Research B.V.;;;;1;;;1;1
Advisie Holding B.V.;;;;1;;;;1
Ako Sol B.V.;;;1;;;;;1
Allekabels B.V.;1;1;;;1;;;1
Altec Industriële Identificatie;1;1;;;;;;1
AMBRA B.V.;;;;;;;2;2
Amgate B.V.;1;;1;;;;;1
Amtex;;;;1;;;;1
Apples n Berrys B.V.;;;;;;1;;1
Archivast Holland B.V.;;;;1;;;;1
ArchiXL B.V.;;;;2;;;2;2
Arrow Holding B.V.;;;1;;;;;1
Atal B.V.;2;;;;;;;2
Atos Nederland B.V.;;1;;6;;;7;7
Avex B.V.;2;;;;;;;2
Bamadi Holding B.V.;;;;;;;3;3
Bazelmans Audio Visual Rentals;;;;3;;;;3
Becis B.V.;;;;;;;3;3
Belstore.Com B.V.;2;;;;;;1;2
Benelux Scientific B.V.;4;;;;;;;4
Bit Direct;6;1;;1;;2;;6
Bloemendaal Consultancy B.V.;;;;3;;;;3
Bluedesk CRM B.V.;;;;;;;2;2
bol.com B.V.;1;;;;;;;1
Bont Consult;;;;;;;2;2
Breinmonster;;;;;;;1;1
Brisk ICT B.V.;;1;;;;;;1
Bruker Nederland B.V.;;;;1;;;;1
Brunel CR B.V.;;;;;;;6;6
Brunel Nederland B.V.;;;;5;;;;5
Buyitdirect.com N.V.;6;1;;;;;;6
Bys Hosting B.V.;;;;;;;1;1
Canon Nederland N.V.;;6;1;4;;;1;6
Capgemini Nederland B.V.;;;;8;;;7;8
Cegeka;;;;6;;;;6
Centralpoint Nijmegen B.V.;8;8;2;7;7;7;;9
Centric Netherlands B.V.;;;;4;;;;4
CGI Nederland B.V.;;;;6;;;;6
Cimsolutions;;2;;7;;;5;7
Citrus Andriessen B.V.;;;2;3;;;;4
CM.COM Netherlands B.V.;;;;;;2;;2
Colosseus Services B.V.;;2;;;;;;2
Comatters;2;;;;;;;2
Combell B.V.;;;;1;;;;1
Comcross;;;;1;;;;1
Community Network Groningen B.V.;;2;;;;3;;4
Company.Info B.V.;;;;1;;;;1
COMPAREX Nederland B.V.;;7;6;7;7;2;4;8
