FID,omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
verlichtingen_wegvak.1,Mastverlichting,,460373057,2015-08-01T00:00:00,0,13,046037305720150801,LTK0000473630,L,I,,"LINESTRING (230177.9389999993 486845.3420000002, 230164.87000000104 486846.6270000003)"
verlichtingen_wegvak.2,Mastverlichting,,460373064,2015-08-01T00:00:00,0,13,046037306420150801,LTK0000473630,R,I,,"LINESTRING (230165.42399999872 486829.1479999982, 230178.32600000128 486827.86300000176)"
verlichtingen_wegvak.3,Mastverlichting,,214459025,2016-12-01T00:00:00,0,39,021445902520161201,LTK0000430413,L,I,,"LINESTRING (107355.24100000039 529853.4090000018, 107356.76000000164 529844.5890000015, 107359.9459999986 529832.7820000015, 107368.3900000006 529817.3720000014)"
verlichtingen_wegvak.4,Mastverlichting,,279224043,2016-08-01T00:00:00,0,38,027922404320160801,LTK0000465139,R,I,,"LINESTRING (139683.07299999893 412151.44200000167, 139692.44299999997 412153.62999999896, 139701.73299999908 412150.07400000095, 139715.54800000042 412149.3229999989, 139719.76999999955 412146.76000000164)"
verlichtingen_wegvak.5,Mastverlichting,,210397085,2017-07-01T00:00:00,0,31,021039708520170701,LTK0000431984,R,I,,"LINESTRING (105318.125 498730.6259999983, 105319 498718, 105317.98999999836 498709.2710000016, 105322.77800000086 498701.243999999)"
verlichtingen_wegvak.6,Mastverlichting,,463373033,2017-09-01T00:00:00,0,17,046337303320170901,LTK0000473632,R,I,,"LINESTRING (231625.6790000014 486608.87000000104, 231642.1649999991 486607.6649999991)"
verlichtingen_wegvak.7,Mastverlichting,,463373030,2017-09-01T00:00:00,0,7,046337303020170901,LTK0000473632,R,I,,"LINESTRING (231619.16000000015 486609.34699999914, 231625.6790000014 486608.87000000104)"
verlichtingen_wegvak.8,Mastverlichting,,248358030,2017-09-01T00:00:00,0,98,024835803020170901,LTK0000429021,R,I,,"LINESTRING (124071.36199999973 479474.77600000054, 124076.93499999866 479449.2969999984, 124090.7100000009 479421.1979999989, 124106.67700000107 479392.59099999815, 124110.23299999908 479385.95600000024)"
verlichtingen_wegvak.9,Mastverlichting,,198266023,2016-04-01T00:00:00,0,21,019826602320160401,LTK0000433016,L,I,,"LINESTRING (99482 433343, 99488 433363)"
verlichtingen_wegvak.10,Mastverlichting,,208246062,2016-04-01T00:00:00,0,86,020824606220160401,LTK0000468206,R,I,,"LINESTRING (104316.30600000173 423449.5300000012, 104388.69000000134 423496.68200000003)"
