Rijlabels;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Nederlandse School voor Openbaar Bestuur B.V.;;2;;2;;;3
New Nexus Business Intelligence B.V.;2;;;;;;2
Niels Jonker Geluidstechniek;;1;;;;;1
Nieuwendijk Networking;;;;;1;;1
NLO Shieldmark B.V.;;1;;;;;1
Oberon B.V.;;3;;;;;3
OnlyHuman Groep B.V.;;2;;;;;2
Ordina Business Consulting & Solutions B.V.;;2;;;;;2
Ordina N.V.;;;;;1;;1
Overduin;1;;;;;;1
Panteia B.V.;;4;;;;;4
Parcival B.V.;1;;;;;;1
Payroll Professionals B.V.;;;1;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;4;;;4
PETRACON;;1;;;;;1
PlanMen Nederland B.V.;1;;;;;;1
PlasBossinade Notarissen N.V.;;;;2;;;2
Playstorming;;1;;;;;1
Postcode.NL B.V.;;;;;1;;1
Pot Jonker Advocaten;;;;1;;;1
Pro-Erfgoed;;1;;;;;1
Protinus IT B.V.;1;;;;;;1
Public Mobility B.V.;;1;;;;;1
Q Delft B.V.;;2;;;;;2
Quint Wellington Redwood Nederland B.V.;2;;;;;;2
RaadSaam Erfgoedprojecten;;2;;;;;2
Raap Archeologisch Adviesbureau B.V.;;1;;;;;1
Redplume;;1;;;;;1
Regioplan Beleidsonderzoek B.V.;;3;;;;;3
ResearchNed B.V.;;6;;;;;6
Restauratieatelier Mandy Slager;;1;;;;;1
RINO Training en Advies B.V.;;1;;;;;1
S.V. Concepten;;1;;;;;1
Saskia van der Meer Productie & Educatie;;;;;1;;1
SDL Holdings B.V.;;;;;1;;1
Seats2Meet.com Utrecht B.V.;;1;;;;;1
Securit B.V.;;;;;1;;1
Smile Software B.V.;1;;;;;;1
Software Borg;;;;;1;;1
Solvinity;;1;;;;;1
Spaander Restauratie Uurwerken en Speeldozen;;1;;;;;1
Speakers Academy Special Projects B.V.;1;;;;;;1
Stg. Centre for Children's Rights Amsterdam;;1;;;;;1
Stg. De Brabantse Boerderij, boederij, erf;;1;;;;;1
Stg. Zakenvrienden Rijksmuseum van Oudheden;;1;;;;;1
Stichting Archives Portal Europe Foundation;;;;;5;;5
Stichting Art Web;;2;;;;;2
Stichting Beheer derdengelden;;;;1;;;1
Stichting Cultuur+Ondernemen;;2;;;;;2
Stichting Electronics Watch Foundation;1;;;;;;1
Stichting Het Koperen Dak;;2;;;;;2
Stichting Mitswatenoe;;;4;;;;4
Stichting MOOI Noord-Holland;;2;;;;;2
Stichting Museumregister Nederland;;2;;;;;2
Stichting NBTC Holland Marketing;;3;;;;;3
Stichting Nuffic;5;;;;;;5
Stichting Saxion;;1;;;;;1
Stichting SEO Economisch Onderzoek;;2;;;;;2
Stichting SpraakuhlooS;;1;;;;;1
Studio van Diepen;;3;;;;;3
SV Land B.V.;;;;5;;;5
Tanoli;;4;;;;;4
Tempo-Team Resource B.V.;;2;;;;;2
TenderData;4;;;;;;4
Thaesis B.V.;;3;;;;;3
Things To Make And Do B.V.;;2;;;;;2
Thomas Kogler;;2;;;;;2
Toetsbureau Dijkhuis;;1;;;;;1
TOPdesk Nederland B.V.;1;;;;1;;1
Validators B.V.;;2;;;;;2
Van Arkel Gerechtsdeurwaarders;;;;1;;;1
Van Meijel - Adviseurs in Cultuurhistorie;;2;;;;;2
Vancis B.V.;;;;;1;;1
Vedas Quality B.V.;;2;;;;;2
Veerman Conserv./Restauratie van Schilderijen;;2;;;;;2
Verdonck, Klooster & Associates B.V.;;;;;;1;1
Vereniging Deltametropool;;2;;;;;2
Vriens Archeo B.V.;;1;;;;;1
VVE gebouw Plantage Badlaan 16;;2;;;;;2
VVE Hansenstraat 68/68-a, 2316 BM Leiden;;1;;;;;1
Waardewerk;;;;1;;;1
Weleer erfgoedcommunicatie, present. & advies;;1;;;;;1
Wemanity;1;;;;;;1
Willems;;;;1;;;1
Zeeuws maritiem muZEEum;;1;;;;;1
ZWL Expertise Centrum B.V.;;2;;;;;2
Eindtotaal;7;7;4;6;6;4;8
