Nummer;Totaal van;Jaar;Maand;Type;Land bij nationaliteit;Aantal instroom
3;Jaar, Maand, Type;2017;1;Nareiziger;;1.280
3;Jaar, Maand, Type;2017;2;Nareiziger;;2.110
3;Jaar, Maand, Type;2017;3;Nareiziger;;1.910
3;Jaar, Maand, Type;2017;4;Nareiziger;;1.690
3;Jaar, Maand, Type;2017;5;Nareiziger;;1.470
3;Jaar, Maand, Type;2017;6;Nareiziger;;940
3;Jaar, Maand, Type;2017;7;Nareiziger;;760
3;Jaar, Maand, Type;2017;8;Nareiziger;;750
3;Jaar, Maand, Type;2017;9;Nareiziger;;740
3;Jaar, Maand, Type;2017;10;Nareiziger;;910
3;Jaar, Maand, Type;2017;11;Nareiziger;;940
3;Jaar, Maand, Type;2017;12;Nareiziger;;1.000
4;Jaar, Type;2017;;Nareiziger;;14.490
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Afghanistan;90
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Burundi;10
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Cameroon;0
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Canada;10
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;China (including Hong Kong);10
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Congo, the Democratic Republic of the;10
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Congo, the Republic of the;10
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Egypt;30
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Eritrea;2.880
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Ethiopia;50
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Gambia;0
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Guinea;10
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Guyana;0
7;Jaar, Type, Land bij nationaliteit;2017;;Nareiziger;Iran (Islamic Republic of);120
