VERSIE,DATUM_BESTAND,PEILDATUM,JAAR,BEHANDELEND_SPECIALISME_CD,TYPERENDE_DIAGNOSE_CD,ZORGPRODUCT_CD,AANTAL_PAT_PER_ZPD,AANTAL_SUBTRAJECT_PER_ZPD,AANTAL_PAT_PER_DIAG,AANTAL_SUBTRAJECT_PER_DIAG,AANTAL_PAT_PER_SPC,AANTAL_SUBTRAJECT_PER_SPC,GEMIDDELDE_VERKOOPPRIJS
1.0,2023-02-03,2023-02-01,2019,1900,12,991900006,17,17,17753,22861,79304,103932,
1.0,2023-02-03,2023-02-01,2019,1900,12,991900011,1253,1286,17753,22861,79304,103932,170
1.0,2023-02-03,2023-02-01,2019,1900,12,991900004,5,5,17753,22861,79304,103932,
1.0,2023-02-03,2023-02-01,2019,1900,12,991900016,10337,11747,17753,22861,79304,103932,1150
1.0,2023-02-03,2023-02-01,2019,1900,12,991900014,3094,3109,17753,22861,79304,103932,2085
1.0,2023-02-03,2023-02-01,2019,1900,12,991900018,3649,4042,17753,22861,79304,103932,440
1.0,2023-02-03,2023-02-01,2019,1900,12,991900008,2581,2655,17753,22861,79304,103932,460
1.0,2023-02-03,2023-02-01,2019,1900,13,991900022,2,4,721,730,79304,103932,825
1.0,2023-02-03,2023-02-01,2019,1900,13,991900003,699,702,721,730,79304,103932,475
1.0,2023-02-03,2023-02-01,2019,1900,13,991900026,2,3,721,730,79304,103932,115
1.0,2023-02-03,2023-02-01,2019,1900,13,991900025,20,21,721,730,79304,103932,290
1.0,2023-02-03,2023-02-01,2019,1900,11,991900023,60,61,61915,80341,79304,103932,
1.0,2023-02-03,2023-02-01,2019,1900,11,991900025,40878,47362,61915,80341,79304,103932,290
1.0,2023-02-03,2023-02-01,2019,1900,11,991900021,78,80,61915,80341,79304,103932,
1.0,2023-02-03,2023-02-01,2019,1900,11,991900022,12598,13887,61915,80341,79304,103932,825
1.0,2023-02-03,2023-02-01,2019,1900,11,991900020,1110,1173,61915,80341,79304,103932,2260
1.0,2023-02-03,2023-02-01,2019,1900,11,991900026,12795,13710,61915,80341,79304,103932,115
1.0,2023-02-03,2023-02-01,2019,1900,11,991900003,2,2,61915,80341,79304,103932,475
1.0,2023-02-03,2023-02-01,2019,1900,11,991900024,3801,4066,61915,80341,79304,103932,305
1.0,2023-02-03,2023-02-01,2015,0328,1360,199299012,1,1,4,4,54743,63176,445
1.0,2023-02-03,2023-02-01,2015,0328,1360,199299103,1,1,4,4,54743,63176,
1.0,2023-02-03,2023-02-01,2015,0328,1360,990003016,1,1,4,4,54743,63176,
1.0,2023-02-03,2023-02-01,2015,0328,1360,199299104,1,1,4,4,54743,63176,
1.0,2023-02-03,2023-02-01,2015,0328,2375,979001249,1,1,14,16,54743,63176,1285
1.0,2023-02-03,2023-02-01,2015,0328,2375,979001252,1,1,14,16,54743,63176,400
1.0,2023-02-03,2023-02-01,2015,0328,2375,979001197,11,12,14,16,54743,63176,
1.0,2023-02-03,2023-02-01,2015,0328,2375,979001253,2,2,14,16,54743,63176,145
1.0,2023-02-03,2023-02-01,2015,0328,3210,099699047,1,1,3,3,54743,63176,350
1.0,2023-02-03,2023-02-01,2015,0328,3210,099699094,2,2,3,3,54743,63176,3455
1.0,2023-02-03,2023-02-01,2015,0328,2670,979001253,2,2,80,82,54743,63176,145
1.0,2023-02-03,2023-02-01,2015,0328,2670,979001249,1,1,80,82,54743,63176,1285
1.0,2023-02-03,2023-02-01,2015,0328,2670,979001211,31,31,80,82,54743,63176,
1.0,2023-02-03,2023-02-01,2015,0328,2670,979001210,47,48,80,82,54743,63176,18510
1.0,2023-02-03,2023-02-01,2015,0328,2660,979001184,24,24,27,29,54743,63176,30950
1.0,2023-02-03,2023-02-01,2015,0328,2660,979001252,4,4,27,29,54743,63176,400
1.0,2023-02-03,2023-02-01,2015,0328,2660,979001253,1,1,27,29,54743,63176,145
1.0,2023-02-03,2023-02-01,2015,0328,1350,109599006,1,1,121,124,54743,63176,1995
1.0,2023-02-03,2023-02-01,2015,0328,1350,109599019,3,3,121,124,54743,63176,205
1.0,2023-02-03,2023-02-01,2015,0328,1350,109599016,80,80,121,124,54743,63176,3025
1.0,2023-02-03,2023-02-01,2015,0328,1350,109599014,1,1,121,124,54743,63176,6775
1.0,2023-02-03,2023-02-01,2015,0328,1350,109599010,1,1,121,124,54743,63176,435
1.0,2023-02-03,2023-02-01,2015,0328,1350,109599004,1,1,121,124,54743,63176,
