OBJECTID,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,LENGTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Length
1,G0518,'s-Gravenhage,bestaand,0,tram,115.685,283,,115.684806113538
2,G0518,'s-Gravenhage,bestaand,1,sneltram,5.73,283,,5.73045347245748
3,G0518,'s-Gravenhage,bestaand,0,tram,6.952,283,,6.95180242814768
4,G0518,'s-Gravenhage,bestaand,0,tram,67.578,283,,67.5775584125381
5,G0518,'s-Gravenhage,bestaand,1,sneltram,4.353,283,,4.35262001557683
6,G0518,'s-Gravenhage,bestaand,0,sneltram,10.988,283,,10.9875187371854
7,G0518,'s-Gravenhage,bestaand,0,sneltram,11.014,283,,11.0138974936214
8,G0518,'s-Gravenhage,bestaand,0,tram,10.137,283,,10.1365398435561
9,G0518,'s-Gravenhage,bestaand,1,sneltram,4.345,283,,4.34540090210328
10,G0518,'s-Gravenhage,bestaand,0,sneltram,6.436,283,,6.43605445906108
11,G0363,Amsterdam,bestaand,0,sneltram,31.597,283,,31.5966364156508
12,G0518,'s-Gravenhage,bestaand,0,tram,1.906,283,,1.90598452249749
13,G0518,'s-Gravenhage,bestaand,0,tram,2.648,283,,2.64795203884058
14,G0518,'s-Gravenhage,bestaand,0,tram,415.429,283,,415.42866935766
15,G0518,'s-Gravenhage,bestaand,0,tram,1.771,283,,1.77107650879345
16,G0518,'s-Gravenhage,bestaand,0,tram,15.806,283,,15.8058705549552
17,G0518,'s-Gravenhage,bestaand,0,tram,3.531,283,,3.53107589836299
18,G0518,'s-Gravenhage,bestaand,0,tram,1.685,283,,1.68533468486233
19,G0518,'s-Gravenhage,bestaand,0,tram,2.276,283,,2.27636135092827
20,G0518,'s-Gravenhage,bestaand,1,sneltram,40.978,283,,40.9775414106311
21,G0518,'s-Gravenhage,bestaand,0,sneltram,10.469,283,,10.4693891416835
22,G0518,'s-Gravenhage,bestaand,0,tram,1.875,283,,1.87454127721958
23,G0518,'s-Gravenhage,bestaand,0,sneltram,7.431,283,,7.43115832155392
24,G0363,Amsterdam,bestaand,0,sneltram,15.018,283,,15.0180250366019
25,G0518,'s-Gravenhage,bestaand,0,sneltram,0.882,283,,0.882145112779071
26,G0518,'s-Gravenhage,bestaand,0,tram,79.713,283,,79.7133880130401
27,G0363,Amsterdam,bestaand,0,sneltram,15.511,283,,15.5110580232298
28,G0363,Amsterdam,bestaand,0,sneltram,30.1,283,,30.0998690362599
29,G0363,Amsterdam,bestaand,0,sneltram,30.902,283,,30.9022461643163
30,G0363,Amsterdam,bestaand,0,sneltram,15.511,283,,15.5108349227242
31,G0518,'s-Gravenhage,bestaand,0,tram,1.685,283,,1.68537236241728
32,G0518,'s-Gravenhage,bestaand,0,tram,632.498,283,,632.497596669402
33,G0518,'s-Gravenhage,bestaand,0,tram,1.225,283,,1.22516447875377
34,G0518,'s-Gravenhage,bestaand,0,tram,1.742,283,,1.74240293847319
35,G0518,'s-Gravenhage,bestaand,0,sneltram,14.481,283,,14.4814331473097
36,G0518,'s-Gravenhage,bestaand,0,tram,43.754,283,,43.7537744934707
37,G0518,'s-Gravenhage,bestaand,0,tram,1.623,283,,1.62254275752598
38,G0518,'s-Gravenhage,bestaand,0,sneltram,100.008,283,,100.007568658577
39,G0518,'s-Gravenhage,bestaand,0,tram,458.533,283,,458.532550472038
40,G0518,'s-Gravenhage,bestaand,1,sneltram,14.027,283,,14.0274573961214
