FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
rivierhout_legger.1,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,D5C90CFF-AB02-403E-916B-2BAC005C6161,,,0,,POINT (161592.72659999877 423652.64119999856)
rivierhout_legger.2,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,D8EE4F2B-D384-4BDA-B6AF-303C6C1583AC,,,0,,POINT (161588.3927000016 423701.6427000016)
rivierhout_legger.3,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,B077B90A-3C4B-43EE-B366-3C6FB7D7AA09,,,0,,POINT (161588.51909999922 423586.3647999987)
rivierhout_legger.4,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,81DE761E-F1FB-4FE7-837A-ECC47A61C1B5,,,0,,POINT (160672.1570999995 423787.4871000014)
rivierhout_legger.5,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,FEFED1F1-90D3-4098-A649-D65D300FCE11,,,0,,POINT (160629.8236999996 423925.46759999916)
rivierhout_legger.6,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,C31F4A33-980A-44C1-8CE8-A266666CFB58,,,0,,POINT (160620.82779999822 424026.14180000126)
rivierhout_legger.7,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,A42CCDC9-4E6B-482E-A527-BBC583005D4D,,,0,,POINT (160595.43879999965 424249.51669999957)
rivierhout_legger.8,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,F2F03140-1D81-49A2-9C05-674553746468,,,0,,POINT (160588.03049999848 424326.24599999934)
rivierhout_legger.9,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,32A72608-FCD4-42EC-8D3C-7834639B6AA6,,,0,,POINT (160845.1101000011 424798.44220000133)
rivierhout_legger.10,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,2EE47B96-87D0-4B25-B8F3-624EF6C7BEC2,,,0,,POINT (161182.8513999991 425092.064199999)
rivierhout_legger.11,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,8058E04D-5B2C-422B-995B-3A4895E358A1,,,0,,POINT (161249.12959999964 425223.8269000016)
rivierhout_legger.12,2022-07-04T00:00:00,RHDHV,KRW maatregelen NL,Vastgesteld,0,Rivierhout,Rivierhout Hemelrijkse Waard,ZN,Maas,NM2.KN.-.199.500.--,98E3CB4C-C056-4F14-A60A-BFC91DDB3AA8,,,0,,POINT (161336.23840000108 425338.5901999995)
