OBJECTID,VERSIE,POSITIONELE_NAUWKEURIGHEID_MM,OBEGINTIJD,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,STATUS,OPPERVLAKTE,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,DOCUMENT,Shape__Area,Shape__Length
1,01,283,2014/06/18 00:00:00+00,0,2015/11/06 08:29:42+00,,3.45,Dordrecht,G0505,bestaand,,3.4504755,37.3760202350801
2,01,283,2014/06/02 00:00:00+00,0,2015/11/06 08:29:42+00,,1.291,Dordrecht,G0505,bestaand,,1.2911365,6.02553370921418
3,01,283,2014/02/17 00:00:00+00,0,2015/11/06 08:29:42+00,,40.795,Dordrecht,G0505,bestaand,,40.7945795,41.1830398925094
4,01,283,2020/06/05 00:00:00+00,0,2020/06/10 15:06:09+00,,5.318,Hardenberg,G0160,bestaand,,5.318188,22.6058977551851
5,01,283,2014/02/14 00:00:00+00,0,2016/11/08 09:52:29+00,,7.78,Dordrecht,G0505,bestaand,,7.75574184,21.2850620171709
6,01,283,2020/06/05 00:00:00+00,0,2020/06/10 15:06:09+00,,107.713,Hardenberg,G0160,bestaand,,107.7128565,172.994638055835
7,01,283,2020/06/05 00:00:00+00,0,2020/06/10 15:06:09+00,,15.358,Hardenberg,G0160,bestaand,,15.3579375,46.687644892851
8,01,283,2014/06/18 00:00:00+00,0,2015/11/06 08:29:42+00,,4.011,Dordrecht,G0505,bestaand,,4.010898,13.2313040586532
9,01,283,2014/06/18 00:00:00+00,0,2015/11/06 08:29:42+00,,17.418,Dordrecht,G0505,bestaand,,17.4176645,122.029773015987
10,01,283,2020/06/19 00:00:00+00,0,2020/06/19 12:36:26+00,,8.665,Groningen,G0014,bestaand,,8.6280475,36.6130886122751
11,01,283,2014/02/11 00:00:00+00,0,2015/11/06 08:29:42+00,,15.369,Dordrecht,G0505,bestaand,,15.3686015,30.3730324098094
12,01,283,2014/06/18 00:00:00+00,0,2015/11/06 08:29:42+00,,1.272,Dordrecht,G0505,bestaand,,1.271584,8.9633287594327
13,01,283,2014/06/02 00:00:00+00,0,2015/11/06 08:29:42+00,,3.864,Dordrecht,G0505,bestaand,,3.863617,10.62924104112
14,01,283,2014/06/02 00:00:00+00,0,2015/11/06 08:29:42+00,,3.941,Dordrecht,G0505,bestaand,,3.9411085,10.672553743419
15,01,283,2014/02/19 00:00:00+00,0,2015/11/06 08:29:42+00,,12.773,Dordrecht,G0505,bestaand,,12.7728835,31.0962326927416
16,01,283,2020/06/19 00:00:00+00,0,2020/06/19 12:36:26+00,,12.869,Groningen,G0014,bestaand,,12.86315137,52.7317627479962
17,01,283,2014/02/11 00:00:00+00,0,2015/11/06 08:29:42+00,,25.236,Dordrecht,G0505,bestaand,,25.2362185,19.932973083982
18,01,283,2020/06/19 00:00:00+00,0,2020/06/19 12:36:26+00,,23.175,Groningen,G0014,bestaand,,23.174768,63.4560731876384
19,01,283,2014/06/18 00:00:00+00,0,2015/11/06 08:29:42+00,,2.633,Dordrecht,G0505,bestaand,,2.633493,19.8932849080691
20,01,283,2014/06/03 00:00:00+00,0,2015/11/06 08:29:42+00,,35.68,Dordrecht,G0505,bestaand,,35.680087,39.9714185322219
21,01,283,2014/06/02 00:00:00+00,0,2015/11/06 08:29:42+00,,17.943,Dordrecht,G0505,bestaand,,17.9428475,39.9697148982246
22,01,283,2014/06/02 00:00:00+00,0,2015/11/06 08:29:42+00,,3.649,Dordrecht,G0505,bestaand,,3.64944,10.9013441420039
23,01,283,2014/05/22 00:00:00+00,0,2015/11/06 08:29:42+00,,150.978,Dordrecht,G0505,bestaand,,150.978057,105.370238357708
24,01,283,2020/06/19 00:00:00+00,0,2020/06/19 12:36:26+00,,1.323,Groningen,G0014,bestaand,,1.3231615,4.88817019281904
25,01,283,2014/04/10 00:00:00+00,0,2015/11/05 14:50:46+00,,9.963,Dordrecht,G0505,bestaand,,9.9630015,37.0628654842236
26,01,283,2013/07/22 00:00:00+00,0,2015/11/05 14:50:46+00,,28.599,Dordrecht,G0505,bestaand,,28.5991585,23.6905281384614
27,01,283,2014/04/09 00:00:00+00,0,2015/11/05 14:50:46+00,,25.04,Dordrecht,G0505,bestaand,,25.039958,19.0729053907703
28,01,283,2015/08/11 00:00:00+00,0,2015/08/20 17:13:15+00,,8.299,Dronten,G0303,bestaand,,8.29931,18.5869475074012
29,01,283,2015/08/11 00:00:00+00,0,2015/08/20 17:13:15+00,,30.835,Dronten,G0303,bestaand,,30.835184,51.772518959633
30,01,283,2015/08/11 00:00:00+00,0,2015/08/20 17:13:15+00,,14.183,Dronten,G0303,bestaand,,14.183066,30.3638943995945
31,01,283,2015/06/15 00:00:00+00,0,2020/08/06 10:15:14+00,,29.32,Dronten,G0303,bestaand,,29.320425,38.7959772128282
32,01,283,2015/08/12 00:00:00+00,0,2015/08/20 17:13:15+00,,8.794,Dronten,G0303,bestaand,,8.7937875,20.3961252711023
33,01,283,2015/08/11 00:00:00+00,0,2015/08/20 17:13:15+00,,74.332,Dronten,G0303,bestaand,,74.332035,82.1240236192151
34,01,283,2015/06/15 00:00:00+00,0,2015/06/16 08:10:30+00,,264.229,Dronten,G0303,bestaand,,264.2288995,425.898177155743
35,01,283,2015/08/11 00:00:00+00,0,2017/06/07 08:03:53+00,,9.035,Dronten,G0303,bestaand,,9.0347465,27.6732664969613
36,01,283,2015/08/11 00:00:00+00,0,2022/06/02 10:55:34+00,,302.73,Dronten,G0303,bestaand,,302.7300335,320.666160009765
37,01,283,2015/06/15 00:00:00+00,0,2015/06/16 08:10:30+00,,75.969,Dronten,G0303,bestaand,,75.969118,124.037274198175
38,01,283,2015/08/11 00:00:00+00,0,2015/08/20 17:13:15+00,,15.427,Dronten,G0303,bestaand,,15.4268205,27.2816102114639
39,01,283,2015/06/15 00:00:00+00,0,2015/06/16 08:10:30+00,,12.285,Dronten,G0303,bestaand,,12.285103,19.8062027445538
40,01,283,2015/08/11 00:00:00+00,0,2015/08/20 17:13:15+00,,9.414,Dronten,G0303,bestaand,,9.414204,17.7902872688968
41,01,283,2015/06/18 00:00:00+00,0,2021/12/21 17:22:33+00,,62.474,Dronten,G0303,bestaand,,62.4737445,114.101766746921
42,01,283,2015/06/05 00:00:00+00,0,2015/06/09 14:13:37+00,,18.467,Dronten,G0303,bestaand,,18.466773,58.6235611819007
43,01,283,2015/06/18 00:00:00+00,0,2015/06/18 16:21:15+00,,43.534,Dronten,G0303,bestaand,,43.534357,71.0102307052822
44,01,283,2015/06/15 00:00:00+00,0,2015/06/16 08:10:30+00,,2.783,Dronten,G0303,bestaand,,2.783118,12.1360206032825
45,01,283,2015/08/12 00:00:00+00,0,2015/08/20 17:13:15+00,,51.01,Dronten,G0303,bestaand,,51.009557,48.0426882319635
46,01,283,2015/11/12 00:00:00+00,0,2017/08/10 14:24:58+00,,7.735,Hardenberg,G0160,bestaand,,7.734584,38.3892676046257
47,01,283,2014/01/23 00:00:00+00,0,2015/10/20 09:02:30+00,,63.729,Dordrecht,G0505,bestaand,,63.728816,55.1690247492998
48,01,283,2020/04/20 00:00:00+00,0,2020/04/28 14:33:10+00,,172.821,Leeuwarden,G0080,bestaand,,172.80156834,94.790120961635
49,01,283,2014/01/10 00:00:00+00,0,2019/08/23 15:22:16+00,,52.737,Dordrecht,G0505,bestaand,,52.7366115,88.9157260594916
50,01,283,2014/01/06 00:00:00+00,0,2015/10/20 09:02:30+00,,25.583,Dordrecht,G0505,bestaand,,25.5825335,100.141709989559
51,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,7.597,Dordrecht,G0505,bestaand,,7.5972845,11.8467273434143
52,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,2.342,Dordrecht,G0505,bestaand,,2.342119,12.5471516890584
53,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,6.581,Dordrecht,G0505,bestaand,,6.580935,10.7606382954919
54,01,283,2020/04/20 00:00:00+00,0,2020/04/28 14:33:10+00,,13.664,Leeuwarden,G0080,bestaand,,13.68454899,23.7104599955528
55,01,283,2014/01/08 00:00:00+00,0,2015/10/20 09:02:30+00,,47.065,Dordrecht,G0505,bestaand,,47.0648365,73.1386244316764
56,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,9.905,Dordrecht,G0505,bestaand,,9.9048775,60.8649815586308
57,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,7.433,Dordrecht,G0505,bestaand,,7.4325575,11.6736350818373
58,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,6.578,Dordrecht,G0505,bestaand,,6.5782105,10.7492602761264
59,01,283,2013/12/16 00:00:00+00,0,2015/10/20 09:02:30+00,,6.525,Dordrecht,G0505,bestaand,,6.525212,10.6992682106861
60,01,283,2014/01/23 00:00:00+00,0,2015/10/20 09:02:30+00,,18.942,Dordrecht,G0505,bestaand,,18.941845,71.9622129337275
61,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,8.126,Bodegraven-Reeuwijk,G1901,bestaand,,8.091819,23.9833970779357
62,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,24.821,Bodegraven-Reeuwijk,G1901,bestaand,,24.816980345,74.1242855443208
63,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,5.72,Bodegraven-Reeuwijk,G1901,bestaand,,5.7199595,14.4723480068047
64,01,283,2015/12/22 00:00:00+00,0,2015/12/23 10:10:08+00,,18.069,Bodegraven-Reeuwijk,G1901,bestaand,,18.0693545,37.4062314106782
65,01,283,2015/10/30 00:00:00+00,0,2016/09/14 07:16:11+00,,8.012,Stede Broec,G0532,bestaand,,8.0116545,33.3272733338664
66,01,283,2018/07/26 00:00:00+00,0,2018/08/24 12:50:55+00,,2.985,Barneveld,G0203,bestaand,,2.9854055,7.62682964174892
67,01,283,2018/07/20 00:00:00+00,0,2018/08/24 12:50:55+00,,4.639,Barneveld,G0203,bestaand,,4.639374,13.1830041078092
68,01,283,2014/02/10 00:00:00+00,0,2021/08/19 09:07:29+00,,6.508,Leiden,G0546,bestaand,,6.5079175,14.5691501808052
69,01,283,2014/02/10 00:00:00+00,0,2021/08/19 09:07:29+00,,3.847,Leiden,G0546,bestaand,,3.8473915,10.0950331129808
70,01,283,2015/08/12 00:00:00+00,0,2020/06/04 06:36:02+00,,8.788,Leiden,G0546,bestaand,,8.7883755,59.2165641399952
71,01,283,2015/08/13 00:00:00+00,0,2015/11/16 17:11:17+00,,289.516,Capelle aan den IJssel,G0502,bestaand,,289.517115725,242.387571077082
72,01,283,2021/10/29 00:00:00+00,0,2021/10/29 13:53:19+00,,17.698,Westerkwartier,G1969,bestaand,,17.6980045,71.7952077529672
73,01,283,2015/08/13 00:00:00+00,0,2015/11/16 17:11:17+00,,117.03,Capelle aan den IJssel,G0502,bestaand,,116.951460415,84.9669417153021
74,01,283,2014/01/28 00:00:00+00,0,2015/10/16 07:18:07+00,,11.722,Dordrecht,G0505,bestaand,,11.7221105,78.6004096524208
