Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
AAB Beveiligingen B.V.;2;;;;;2
ABN AMRO Lease N.V.;;;;;3;3
Advast Real Estate Office Support;;;;;3;3
AIC;;1;;;;1
Airport Real Estate Management B.V.;;;;;4;4
Amarant Groep;3;;;;;3
API-Schmidt-Bretten;;1;;;;1
Applikon B.V.;;1;;;;1
Aquafix Milieu Verkoopmaatschappij B.V.;;1;;;;1
ArjoHuntleigh Nederland B.V.;1;;;;;1
Arma Verhuur Horeca B.V.;1;;;;;1
Asito B.V.;;1;;;1;1
Atal B.V.;;1;;;;1
Automotive Equipm. Security Tyre Suppl. Ned.;;1;;;;1
Azbil Telstar Benelux B.V.;;1;;;;1
B.V. Sport;;;;;2;2
Barth Slijkhuis B.V.;2;;;;;2
Bax-shop.nl B.V.;;1;;;;1
Berendsen Textiel Service B.V.;;4;;;;4
Berko Noord B.V.;;2;;;;2
Bert de Leeuw Fotografie;1;;;;;1
Besselink Electro Import B.V.;1;;;;;1
Bestdeal Factors BV;1;;;;;1
Beun- de Ronde B.V.;;1;;;;1
Biblionet B.V.;;1;;;;1
BKS Service B.V.;1;;;;;1
Bob's Bloemen en Zo;1;;;;;1
Boels Verhuur;1;;;;;1
Boels Verhuur B.V.;;1;;;;1
Boels-Port-o-Let;1;;;;;1
Boerhof Projectinrichters;;1;;;;1
Boon Trading Netherlands B.V.;;1;;;;1
Bo-Rent;1;;;;;1
Borgondo Vastgoedmanagement B.V.;;;;;4;4
Bos Elektro B.V.;;2;;;;2
Bos Vlaggen B.V.;1;;;;;1
Bosan B.V.;;3;;;;3
Bosch Rexroth B.V.;;2;;;;2
Bouwbedrijf Gebr. In den Eng b.v.;;3;;;;3
Bouwcenter Filippo B.V.;;1;;;;1
Bouwmaat Nederland B.V.;1;;;;;1
Bovenregionaal kantoor;;;2;;;2
Brabant Water N.V.;;;4;;1;4
Bredenoord B.V.;;4;;;;4
Brenntag Nederland B.V.;;1;;;;1
Brezan Automaterialen Goes;1;;;;;1
Bron Gascare B.V.;1;1;;;;1
Brood & Banket Service B.V.;1;;;;;1
Buko Verhuur B.V.;;;;;5;5
Bukom Service B.V.;2;1;;;;2
Bureau Veritas Industrial Services;;1;;;;1
Business Fashion;1;;;;;1
Cargotec Netherlands B.V.;;1;;;;1
Carl Schenck Machines en Installaties B.V.;;1;;;;1
Center Parcs Netherlands N.V.;;1;;;;1
Central Point Nederland B.V.;1;;;;;1
CertiQ B.V.;;;2;;;2
Comtest Engineering;;1;;;;1
Conrad Electronic Benelux B.V.;;1;;;;1
Constructor Dexion Holland B.V.;;3;;;;3
Cooper Safety B.V.;;1;;;;1
CWN Spuitcabines Service & Onderhoud B.V.;;1;;;;1
Daikin Airconditioning Netherlands B.V.;;1;;;;1
Dalmec B.V.;;1;;;;1
De Chocoladeshop;1;1;;;;1
De Groot Houtbewerkingsmachines B.V.;;1;;;;1
De Haan Beheer B.V.;;;;;2;2
De Haan-van Ooyen B.V.;;;;;2;2
De Ploeg Techniek B.V.;;2;;;;2
De Schaar;1;;;;;1
Degens Natuursteen;1;;;;;1
DEKO Alarm en Beveiligingstechniek B.V.;;3;;;;3
DELTA Comfort B.V.;;;1;;;1
DELTA Energy B.V.;;;9;;;9
Delta Infra B.V.;;;1;;;1
Delta International Promotioneel B.V.;1;;;;;1
Den Helder Airport C.V.;;;;;1;1
Denios B.V.;;1;;;;1
Derjans Bouwtechniek B.V.;1;;;;;1
Dierenkliniek Velp;1;;;;;1
Diesel Calibratie Koenes;;1;;;;1
Digit Elektrotechniek B.V.;;1;;;;1
DMG MORI Benelux B.V.;;2;;;;2
DOF Master Fund II C.V.;;;;;5;5
Dokkumer Vlaggen Centrale B.V.;4;;;;;4
Dormac Import B.V.;;1;;;;1
Dörr Kampen B.V.;1;;;;;1
Drogisterij Latour;1;;;;;1
Dunea N.V.;;;4;;;4
E.C.M. van Wezel Holding B.V.;;;;;2;2
E.T. Euro Trade Nederland B.V.;;3;;;;3
Eco Toilet B.V.;3;;;;;3
Eemshaven Properties;;;;;1;1
Eijsink Afrekensystemen B.V.;1;;;;;1
Eindhoven Airport N.V.;;1;;;4;4
Ekkels Bouwmaterialen B.V.;1;;;;;1
Endinet B.V.;;;4;;;4
Enduris B.V.;;;2;;;2
Eneco Services B.V.;;;5;;;5
Eneco Zakelijk;;;10;;;10
Enexis B.V.;;;7;;;7
Ennatuurlijk B.V.;;;4;;;4
ES Elektro B.V.;;2;;;;2
Esab Nederland B.V.;;1;;;;1
Euroforum;;;1;;;1
Evides Drinkwater;;;1;;;1
Evides N.V.;;;1;;;1
Evilim Industriewater B.V.;;;2;;;2
ExamVision Benelux;;1;;;;1
Expert Dieren B.V.;2;;;;;2
Exploitatiemij. Oostelijk Zwembad B.V.;;;;;3;3
Fabory Nederland;1;;;;;1
Fidato B.V.;1;;;;;1
Fietsned B.V.;4;;;;;4
Filter Service Heerenveen B.V.;;1;;;;1
Fitland Groep B.V.;;;;;2;2
Fitland O III B.V.;;;;;2;2
Fluke Nederland B.V.;;2;;;;2
FMH Medical;1;;;;;1
FNV Veiligheid;;1;;;;1
Frigotechnik Nederland B.V.;;1;;;;1
Groningen Airport Eelde N.V.;;1;;;3;3
Grundfos Nederland B.V.;;1;;;;1
H. den Haan Aannemersbedrijf B.V.;2;;;;;2
Haltronic Electro-Installaties B.V.;;5;;;;5
Hamer B.V.;;3;;;;3
Handelshuis St. Antonius Baarle-Nassau B.V.;1;;;;;1
Handelsonderneming J. Snoei B.V.;;2;;;;2
Havenbedrijf Amsterdam N.V.;;;2;;;2
Hessel's Toiletwagen-Verhuur;1;;;;;1
Hoefsmederij Wouter Duijns;1;;;;;1
Hogenboom Vakantieparken B.V.;;1;;;3;3
Hollandse Telecommunicatie Maatschappij;1;;;;;1
Hotel Contact B.V.;;1;;;;1
Hulshoff Opsl.- en Archiveringsmij. B.V.;;;;;4;4
Hytorc Nederland B.V.;;2;;;;2
IJzerhandel Staphorst B.V.;;1;;;;1
Ingenieursbureau Ebatech B.V.;;;3;;;3
Intratuin Duiven;1;;;;;1
Intrum Justitia Nederland B.V.;;;1;;;1
Iveco Nederland B.V.;;1;;;;1
J.C.H. Timmermans;1;;;;;1
J.H.H. Brill;;;;;2;2
Jaap van Roozendaal Decorbouw;1;;;;;1
Jabor Advies B.V.;;1;;;;1
Jan Snel B.V.;;;;;3;3
JP Offset;1;;;;;1
Jungheinrich Nederland B.V.;;1;;;;1
Kantoorinrichter B.V.;1;;;;;1
Karcher B.V.;;2;;;;2
Klaver Infratechniek;;2;;;;2
Klip B.V.;;2;;;;2
Konijnenburg B.V.;1;;;;;1
