TYPE,latitude,longitude
ondergronds,52.5146701,5.4792725
ondergronds,52.5157465,5.4794477
ondergronds,52.5165058,5.4793786
ondergronds,52.498552,5.416581
ondergronds,52.5022202,5.4165428
ondergronds,52.5030504,5.4740734
ondergronds,52.5030504,5.4740734
ondergronds,52.5027572,5.4753891
ondergronds,52.5027572,5.4753891
ondergronds,52.5036205,5.4715007
ondergronds,52.5040229,5.4717611
ondergronds,52.4923684,5.4900493
ondergronds,52.4923684,5.4900493
ondergronds,52.493031,5.4901058
ondergronds,52.493031,5.4901058
ondergronds,52.4943716,5.493346
ondergronds,52.4943716,5.493346
ondergronds,52.4996362,5.4886023
ondergronds,52.4996362,5.4886023
ondergronds,52.5167347,5.484699
ondergronds,52.5167347,5.484699
ondergronds,52.516732,5.4846729
ondergronds,52.516732,5.4846729
ondergronds,52.5157055,5.4927806
ondergronds,52.5157055,5.4927806
ondergronds,52.512581,5.5039236
ondergronds,52.512581,5.5039236
ondergronds,52.5234459,5.4877168
ondergronds,52.5220419,5.4912713
ondergronds,52.5220412,5.4912707
ondergronds,52.5219969,5.4864221
ondergronds,52.5219538,5.4864242
ondergronds,52.5219125,5.4846677
ondergronds,52.5219055,5.4846238
ondergronds,52.523075,5.484035
ondergronds,52.5109658,5.435547
ondergronds,52.5090395,5.4706542
ondergronds,52.5090395,5.4706542
ondergronds,52.5090573,5.4706576
ondergronds,52.5091965,5.4680287
ondergronds,52.5091965,5.4680287
ondergronds,52.5091965,5.467999
ondergronds,52.5091965,5.467999
ondergronds,52.4941774,5.4912952
ondergronds,52.4941774,5.4912952
