PLAATSDAT;SOORT_BORD;SOORT_CODE;REGEL;HONDGEBIED;TYPE_OMSC;X;Y;LONG;LAT
2017-02-24;informatiebord;IFB;Loslopen;Gazon en Struweel;Hondenbeleidsbord;74738.0345626408;450289.457453914;4.217478711010352;52.0351207953382
2017-02-24;informatiebord;IFB;Verboden/Periode;Gazon;Hondenbeleidsbord;74761.8228251334;450342.084001104;4.217812979670098;52.035597171100974
2017-02-24;informatiebord;IFB;Verboden;Gazon, Speeltuin en Beplanting;Hondenbeleidsbord;74720.4923802441;450317.764157327;4.217216459806644;52.03537263618417
2017-02-24;informatiebord;IFB;Verboden/Verzoek;Gazon, Speeltuin en Beplanting;Hondenbeleidsbord;74614.9734952213;450418.233020145;4.215655325823595;52.036260219195476
2017-02-27;informatiebord;IFB;Loslopen;Speelweide, Doorgroei en Struweel;Hondenbeleidsbord;75016.4472280932;450695.955401277;4.22144035911901;52.03881405747087
2017-02-27;informatiebord;IFB;Verboden/Periode;Speelweide, Doorgroei en Struweel;Hondenbeleidsbord;75012.8561745029;450694.359377459;4.221388403150639;52.038799196573514
2017-02-27;informatiebord;IFB;Verboden/Periode;Speelweide, Doorgroei en Struweel;Hondenbeleidsbord;74953.8032932406;450764.983431402;4.220511341452581;52.03942534248062
2017-02-27;informatiebord;IFB;Verboden/Periode;Speelweide, Doorgroei en Struweel;Hondenbeleidsbord;74733.5520063705;450589.819817387;4.217342889326374;52.037819376584594
2017-02-27;informatiebord;IFB;Verboden/Periode;Speelweide, Doorgroei en Struweel;Hondenbeleidsbord;75015.6492161843;450545.53015644;4.2214639199164745;52.037462132735364
2017-02-27;informatiebord;IFB;Verboden/Periode;Speelweide, Doorgroei en Struweel;Hondenbeleidsbord;74845.6726795779;450577.849638753;4.21897949678354;52.03772802662055
2017-02-27;informatiebord;IFB;Verboden;Madestein;Hondenbeleidsbord;76224.5126480066;451036.071377569;4.238966172262929;52.04204352493437
2017-02-27;informatiebord;IFB;Verboden;Madestein;Hondenbeleidsbord;76197.2223798058;451038.37170669;4.238567933560972;52.04206031841107
2017-02-28;informatiebord;IFB;Loslopen;Oostduin en Arendsdorp;Hondenbeleidsbord;81754.6844187344;456781.407841321;4.318327740169495;52.094433917800664
2017-02-28;informatiebord;IFB;Loslopen;Oostduin en Arendsdorp;Hondenbeleidsbord;81910.6360941428;456861.240246589;4.320586064239458;52.09517196668756
2017-02-28;informatiebord;IFB;Loslopen;Oostduin en Arendsdorp;Hondenbeleidsbord;81744.0091552392;457033.436888186;4.318117822994988;52.0966974261176
2017-02-28;informatiebord;IFB;Verboden;Speelweide;Hondenbeleidsbord;82697.9536162539;457055.271812637;4.332032622033017;52.09701908985143
2017-02-28;informatiebord;IFB;Verboden/Verzoek;Speelweide;Hondenbeleidsbord;82664.4526506083;457105.879654357;4.33153305150099;52.097469513797236
2017-02-28;informatiebord;IFB;Verboden;Japanse Tuin;Hondenbeleidsbord;82802.9861950619;457383.598959082;4.333495667472843;52.09998340385198
2017-02-28;informatiebord;IFB;Verboden;Japanse Tuin;Hondenbeleidsbord;82738.2120442064;457382.382543103;4.332550706742584;52.09996401831281
2017-02-28;informatiebord;IFB;Verboden/Verzoek;Marlot en Reigersbergen;Hondenbeleidsbord;84233.10138989;457662.391668758;4.354306877327885;52.102673582154004
2017-02-28;informatiebord;IFB;Verboden/Verzoek;Marlot en Reigersbergen;Hondenbeleidsbord;84175.7494482792;457614.227174104;4.3534799225259215;52.102233399419376
