OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,BRON,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET_T,X,Y,LATITUDE,LONGITUDE
1,e5294ee8-0c3e-4713-8602-986003062145,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,527,b,527,527_b,Haarlem,0.543469,"0,543469","7,877586",103437.943,489241.877,52.38860563,4.62977453
2,fabe28e6-6e39-4f65-b481-d1992ba3b3f5,,,Bestaand,Arcadis,Hlm-Utg,Haarlem - Uitgeest ,076,,76,076__,Santpoort Noord - Uitgeest,8.344893,"8,344893","4,330323",105137.916,496070.229,52.45012827,4.65372899
3,58489e8b-33d2-40f4-b4b8-0d644cf2b465,,60,Bestaand,Fugro,Ah-Vl,Arnhem - Venlo ,052,,52,052__,Beugen - Blerick,74.369916,"74,369916","-6,124952",207560.455,378082.997,51.38945838,6.14232997
4,2b7f452b-4e52-470d-8170-09b2abf7eaa9,,60,Bestaand,Arcadis,Hdr-Zd,Den Helder - Zaandam ,620,,620,620__,Alkmaar,42.148492,"42,148492","3,252241",111020.761,516872.003,52.63757343,4.73751312
5,88f9d238-11b8-49da-a82c-21ba78327839,,,Bestaand,Arcadis,Hdr-Zd,Den Helder - Zaandam ,620,,620,620__,Alkmaar,42.446386,"42,446386","-12,565181",110789.403,516679.32,52.63582316,4.73412125
6,8b872b12-a2ff-4d4c-bee8-9009f2e1a7e8,,60,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,552,b,552,552_b,Groningen Losplaats,83.744632,"83,744632","45,912217",236443.19,579502.31,53.19597455,6.60586851
7,e9e20f63-9fb3-43da-bb8a-420ccdb3b21b,,60,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,84.60427,"84,604270","52,418520",237217.331,579125.74,53.19247328,6.6173534
8,5cba12c1-7059-4504-8d93-af80b8ccc09d,,60,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,501,,501,501__,Groningen,80.875293,"80,875293","-8,223300",234081.677,581121.407,53.21087411,6.57093815
9,273a91c5-3912-4413-8936-d9dcd84dad5b,,60,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,003,,3,003__,Groningen Losplaats - Waterhuizen Aansl.,84.506858,"84,506858","162,499366",237081.531,579068.649,53.19198119,6.61530744
10,6f786ac9-8eb4-4103-a4ed-43793793dd43,,,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,005,,5,005__,Zuidbroek - Nieuweschans Grens,117.284914,"117,284914","5,621068",267765.464,574467.796,53.1450768,7.07262215
11,487277ee-bfb9-4d2a-967f-49d11dcef6a6,,,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,27.428999,"27,428999","4,571069",183243.3,579150.311,53.19825753,5.80983143
12,85a22200-11e6-41cf-ac3d-98b584b19860,,,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,550,,550,550__,Leeuwarden,26.375056,"26,375056","9,717387",182215.003,578917,53.19621439,5.79442495
13,f7c2ebe4-b848-421c-a245-5c104ea70965,,,Bestaand,Arcadis,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,28.778792,"28,778792","5,182662",184570.693,579414.263,53.20055759,5.82971782
14,6fe0d69a-682a-46ed-b4f1-4e9ef0f8e0cc,,,Bestaand,Arcadis,Zp-Esg,Zutphen - Enschede Grens ,028,,28,028__,Hengelo - Enschede Grens,52.821659,"52,821659","9,259315",257025.498,471417.505,52.22138493,6.88035016
