FID,arc_length,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_vliestr_2010.1,13791.70019531,vliestroom_01,357.6,-341.9,2010-06-16T00:00:00,,,"LINESTRING (153602.5 603435.375, 141233.375 597334.813000001)"
vlieglijnen_vliestr_2010.2,15360.20019531,vliestroom_02,361.1,-576.3,2010-06-16T00:00:00,,,"LINESTRING (154239.5940000005 603422.5, 140499.8280000016 596555.625)"
vlieglijnen_vliestr_2010.3,16791.90039063,vliestroom_03_1,353.2,-366.9,2010-06-16T00:00:00,,,"LINESTRING (153930.6559999995 602851.5, 138879.6559999995 595405.938000001)"
vlieglijnen_vliestr_2010.4,4644.87988281,vliestroom_03_2,342.3,-396.9,2010-06-16T00:00:00,,,"LINESTRING (149773.3440000005 600802.063000001, 153941.7340000011 602851.313000001)"
vlieglijnen_vliestr_2010.5,19122.30078125,vliestroom_04,352,-345.8,2010-06-16T00:00:00,,,"LINESTRING (155088.0469999984 603043.625, 137939.1409999989 594583.375)"
vlieglijnen_vliestr_2010.6,19622.69921875,vliestroom_05,535.5,-384.8,2010-06-16T00:00:00,,,"LINESTRING (155896.2340000011 603054, 138272.8590000011 594424.5)"
vlieglijnen_vliestr_2010.7,20613,vliestroom_06,437.1,-362.1,2010-06-16T00:00:00,,,"LINESTRING (157158.2190000005 603293.625, 138625.5469999984 594269.375)"
vlieglijnen_vliestr_2010.8,21559.40039063,vliestroom_07,407.1,-341.5,2010-06-16T00:00:00,,,"LINESTRING (158313.8909999989 603532.563000001, 138953.3440000005 594046.875)"
vlieglijnen_vliestr_2010.9,29841.69921875,vliestroom_08,367.3,-399,2010-06-16T00:00:00,,,"LINESTRING (160618.4840000011 604338.313000001, 133901.188000001 591044.938000001)"
vlieglijnen_vliestr_2010.10,37310.5,vliestroom_09,376.6,-337.9,2010-06-16T00:00:00,,,"LINESTRING (160970.063000001 604129.813000001, 127531.2190000005 587579.375)"
vlieglijnen_vliestr_2010.11,40393.3984375,vliestroom_10,357.2,-338.4,2010-06-16T00:00:00,,,"LINESTRING (161934.7969999984 604219.625, 125725.74199999869 586316.188000001)"
vlieglijnen_vliestr_2010.12,40743.1015625,vliestroom_11,376,-324.4,2010-06-22T00:00:00,,,"LINESTRING (163080.4840000011 604438.688000001, 126555.1409999989 586385.938000001)"
vlieglijnen_vliestr_2010.13,39802.30078125,vliestroom_12,326.2,-438.8,2010-06-22T00:00:00,,,"LINESTRING (126436.3909999989 586038.938000001, 162161.125 603587.875)"
vlieglijnen_vliestr_2010.14,40866.30078125,vliestroom_13,363,-348.2,2010-06-22T00:00:00,,,"LINESTRING (163340.7030000016 603830, 126720.85200000182 585690.563000001)"
vlieglijnen_vliestr_2010.15,41614.80078125,vliestroom_14,382.9,-376.4,2010-06-22T00:00:00,,,"LINESTRING (125459.5390000008 584664.875, 162738.4059999995 603160.25)"
vlieglijnen_vliestr_2010.16,41594.80078125,vliestroom_15,377.1,-348,2010-06-22T00:00:00,,,"LINESTRING (126809.3590000011 584966.875, 164077.188000001 603439.438000001)"
vlieglijnen_vliestr_2010.17,41166.1015625,vliestroom_16,367.1,-358.3,2010-06-22T00:00:00,,,"LINESTRING (126070.9299999997 584261.188000001, 162973.3440000005 602505.563000001)"
vlieglijnen_vliestr_2010.18,40740.30078125,vliestroom_17,337.2,-378.7,2010-06-22T00:00:00,,,"LINESTRING (163940.2809999995 602583.313000001, 127408.10200000182 584550.875)"
vlieglijnen_vliestr_2010.19,40709.6015625,vliestroom_18,338.5,-372.9,2010-06-22T00:00:00,,,"LINESTRING (127050.31300000101 584027.188000001, 163553.8280000016 602048.438000001)"
vlieglijnen_vliestr_2010.20,41213.5,vliestroom_19,364.4,-349.9,2010-06-22T00:00:00,,,"LINESTRING (164706.7969999984 602269.75, 127765.8590000011 583996.188000001)"
vlieglijnen_vliestr_2010.21,23726.40039063,vliestroom_20,402,-318.4,2010-06-22T00:00:00,,,"LINESTRING (148826.438000001 594068.625, 127562.1090000011 583543.813000001)"
vlieglijnen_vliestr_2010.22,26591.5,vliestroom_21,386.4,-349.3,2010-06-22T00:00:00,,,"LINESTRING (151754.375 595199.938000001, 127961.1409999989 583326.063000001)"
vlieglijnen_vliestr_2010.23,38710.5,vliestroom_22,487.5,-338.1,2010-06-22T00:00:00,,,"LINESTRING (162634.3590000011 600276.5, 128003.9690000005 582977.938000001)"
vlieglijnen_vliestr_2010.24,41331.1015625,vliestroom_23,350.6,-346.2,2010-06-22T00:00:00,,,"LINESTRING (165491.7969999984 601140, 128427.25800000131 582851.25)"
vlieglijnen_vliestr_2010.25,41222.30078125,vliestroom_24,355.9,-344.8,2010-06-22T00:00:00,,,"LINESTRING (165133.2030000016 600614.688000001, 128186.0390000008 582333.875)"
vlieglijnen_vliestr_2010.26,40871.3984375,vliestroom_25,346.2,-363.8,2010-06-22T00:00:00,,,"LINESTRING (129036.6799999997 582398.063000001, 165680.8280000016 600499.875)"
vlieglijnen_vliestr_2010.27,40726.1015625,vliestroom_26,343.3,-352.6,2010-06-22T00:00:00,,,"LINESTRING (165290.4840000011 599951.938000001, 128782.4609999992 581902.625)"
vlieglijnen_vliestr_2010.28,41094.3984375,vliestroom_27,364.4,-357.9,2010-06-22T00:00:00,,,"LINESTRING (166268.875 600045.375, 129426.5390000008 581841.125)"
vlieglijnen_vliestr_2010.29,40679,vliestroom_28,348.1,-336.3,2010-06-22T00:00:00,,,"LINESTRING (165938.2340000011 599509.25, 129466.42199999839 581492.938000001)"
vlieglijnen_vliestr_2010.30,41258.69921875,vliestroom_29,350.8,-353.1,2010-06-22T00:00:00,,,"LINESTRING (166800.0309999995 599567.125, 129800.24199999869 581310.813000001)"
vlieglijnen_vliestr_2010.31,41137.8984375,vliestroom_30,346.9,-351.8,2010-06-22T00:00:00,,,"LINESTRING (167016.813000001 599280.813000001, 130114.70300000161 581099.5)"
vlieglijnen_vliestr_2010.32,41023.5,vliestroom_31,343.6,-343,2010-08-07T00:00:00,,,"LINESTRING (129591.6559999995 580458.875, 166376.188000001 598620.063000001)"
vlieglijnen_vliestr_2010.33,40781.5,vliestroom_32,354.7,-350.4,2010-08-07T00:00:00,,,"LINESTRING (167314.9530000016 598726.063000001, 130755.10200000182 580656.5)"
vlieglijnen_vliestr_2010.34,40991.8984375,vliestroom_33,330.5,-358.7,2010-08-07T00:00:00,,,"LINESTRING (130183.5309999995 580010.938000001, 166934.0940000005 598169.5)"
vlieglijnen_vliestr_2010.35,40135.1015625,vliestroom_34,352.9,-360.4,2010-08-07T00:00:00,,,"LINESTRING (167178.9530000016 597902.5, 131193.4690000005 580129.688000001)"
vlieglijnen_vliestr_2010.36,40504.5,vliestroom_35,354.9,-333.7,2010-08-07T00:00:00,,,"LINESTRING (167245.688000001 597579.313000001, 130937.82800000161 579625.063000001)"
vlieglijnen_vliestr_2010.37,40916.19921875,vliestroom_36,360.8,-348.8,2010-08-07T00:00:00,,,"LINESTRING (168403.2340000011 597788.375, 131723.2809999995 579657.938000001)"
vlieglijnen_vliestr_2010.38,40169.30078125,vliestroom_37,355.6,-342.1,2010-08-07T00:00:00,,,"LINESTRING (167638.2969999984 597028.438000001, 131626.0780000016 579232.688000001)"
vlieglijnen_vliestr_2010.39,40929.69921875,vliestroom_38,342.3,-358.5,2010-08-07T00:00:00,,,"LINESTRING (168839.188000001 597235.875, 132139.625 579114.5)"
vlieglijnen_vliestr_2010.40,39935.3984375,vliestroom_39,354.1,-336.4,2010-08-07T00:00:00,,,"LINESTRING (132153.6559999995 578717.938000001, 167946.3280000016 596430.188000001)"
vlieglijnen_vliestr_2010.41,41753.19921875,vliestroom_40,340.6,-340.9,2010-09-06T00:00:00,,,"LINESTRING (131757.4530000016 578166.875, 169172.9059999995 596698.313000001)"
vlieglijnen_vliestr_2010.42,42526,vliestroom_41,348.7,-514.3,2010-09-06T00:00:00,,,"LINESTRING (169933.375 596659.313000001, 131781.3590000011 577874.125)"
vlieglijnen_vliestr_2010.43,41828,vliestroom_42,354.8,-325.3,2010-09-06T00:00:00,,,"LINESTRING (168861.8590000011 595798.875, 131363.7969999984 577265.813000001)"
vlieglijnen_vliestr_2010.44,42847.80078125,vliestroom_43,387.3,-1151,2010-09-06T00:00:00,,,"LINESTRING (170179.5780000016 596030.813000001, 131716.188000001 577149.625)"
vlieglijnen_vliestr_2010.45,41811,vliestroom_44,352.2,-344.4,2010-09-06T00:00:00,,,"LINESTRING (169404.9059999995 595313.188000001, 131921.313000001 576789.25)"
vlieglijnen_vliestr_2010.46,41434.6015625,vliestroom_45,332.9,-434.7,2010-09-06T00:00:00,,,"LINESTRING (169852 595165.688000001, 132705.1719999984 576809.875)"
vlieglijnen_vliestr_2010.47,40799.5,vliestroom_46,337.9,-362.4,2010-09-07T00:00:00,,,"LINESTRING (169935.8440000005 594833.188000001, 133361.2969999984 576752.688000001)"
vlieglijnen_vliestr_2010.48,41499.6015625,vliestroom_47,349.9,-353.1,2010-09-07T00:00:00,,,"LINESTRING (171159.9059999995 595058.375, 133942.9059999995 576697.813000001)"
