Leveranciersnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
.FABRIC;;2;;;;2
3 FP International B.V.;;1;;;;1
310K;;2;;;;2
3Blue B.V.;;1;;;;1
3D Capacity B.V.;;1;;;;1
4construct B.V.;;2;;;;2
63.IFH geschlossener Immobillienfonds für Holland GmbH & Co. KG;;;;;6;6
64.IFH geschlossener Immobilienfonds für Holland GmbH & Co. KG;;;5;;7;7
A.C. Autocare Nederland;;3;;;;3
A.I.V. Asbest B.V.;;6;;;;6
A.R.K. Audio-video B.V.;;4;;;;4
A+Ceramica & Ceiling Deco;;1;;;;1
A2B Security;;1;;;;1
Aa & C Nederland B.V.;;1;;;1;1
Aakwadraat Networks B.V.;;2;;;2;2
Aalbers Constr.werkpl. en Machinefabriek B.V.;;2;;;;2
Aalbers Engineering en Interieurbouw B.V.;;1;;;1;1
Aannemers- en Verhuurbedrijf Fuhler B.V.;;2;;;;2
Aannemersbedrijf Den Dubbelden B.V.;;5;;;;5
Aannemersbedrijf Gebroeders Horstink B.V.;;2;;;;2
Aannemersbedrijf Peters B.V.;;2;;;;2
Aannemersbedrijf Van Beurden B.V.;;;;;2;2
Aannemersbedrijf Vreeker & Frederiks;;1;;;;1
Aannemingsbedrijf Carlebur B.V.;;5;;;7;7
Aannemingsbedrijf Dozy B.V.;;4;;;6;6
Aannemingsbedrijf Draisma B.V.;;3;;;;3
Aannemingsbedrijf Qualm B.V.;;1;;;;1
Aannemingsbedrijf Vermeulen Benthuizen B.V.;;3;;;;3
Aannemingsbedrijf W.A.J. van Benten;;4;;;3;4
Aannemingsmaatschappij Friso B.V.;;3;;;;3
ABC Nova Amsterdam B.V.;;2;;;;2
ABC Nova Assen B.V.;;2;;;;2
ABC Nova Nieuwegein B.V.;;2;;;;2
ABC Nova Republiq B.V.;;3;;;;3
ABC Vastgoed B.V.;;1;;;;1
ABN AMRO Asset Based Finance N.V.;;;;;3;3
ABO Milieuconsult B.V.;;;;;1;1
ABS Advies B.V.;;1;;;;1
Absoluta Food and Facilities B.V.;;3;;;;3
ABT B.V.;;4;;;;4
Accres Real Estate B.V.;;;2;;3;3
Achmea Gepensioneerden Vereniging;;;;;6;6
ACHTUNDSECHZIGSTE SACHWERT RENDITE FONDS HOLLAND GMBH & CO. KP;;;1;;7;7
ACO B.V.;;1;;;;1
Ad Bouman B.V.;;2;;;;2
AddVoltage B.V.;;1;;;;1
Admiraal Schilders B.V.;;3;;;;3
Adriaanse Vastgoed B.V.;;1;;;;1
Adv.- en Inst.bur. 'Warmtebouw Utrecht' B.V.;;3;;;;3
Advast Real Estate Office Support;;3;;;;3
Adviesbureau BCDP B.V.;;3;;;;3
Adviesbureau Van den Bosch;;1;;;;1
Adviesbureau voor Oppervlaktetechnologie B.V.;;3;;;;3
Adviesburo de Vaal B.V.;;2;;;;2
Adviesburo Riede B.V.;;1;;;;1
AED Solutions B.V.;;1;;;;1
Aelmans Eco B.V.;;1;;;;1
Aerde Borgert Architecten;;1;;;;1
Aerophoto-Schiphol.nl;;1;;;;1
Aestate B.V.;;1;;;;1
AEVES B.V.;;2;;;;2
Afpro Filtertechniek B.V.;;6;;;;6
Afvalverwerking Vink B.V.;;;;;1;1
Afvalwater Services B.V.;;1;;;1;2
AGEL  ADVISEURS;;1;;;;1
Agel Adviseurs B.V.;;2;;;2;2
AHA-Adviseurs;;2;;;;2
Ahrend;;1;;;;1
Ahrends;;2;;;;2
Aiber Services B.V.;;1;;;;1
Air Cooling Services;;2;;;;2
Air Liquide B.V.;;1;;;;1
Airport Maintenance Services B.V.;;2;;;;2
AirQuality;;1;;;;1
AKD N.V.;;3;;;;3
Ako Sol B.V.;;3;;;;3
Alba Concepts;;2;;;;2
Albo Aruba NV;;2;;;;2
Albron Nederland B.V.;;1;;;;1
