;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
GS1 Nederland B.V.;;;;;;;1;1
GW Cross Media B.V.;;;;;;;3;3
Gwenn Beheer B.V.;;2;;;;;;2
Haai B.V.;;;;1;;;;1
Hecla Electronics B.V.;;1;;;;;;1
Hoeksma, Homans & Menting Organisat.adv. B.V.;;;;;;;4;4
Hogeschool van Arnhem en Nijmegen (alle vestigingen);;;1;;;;;1
HPRA vh IMB;;;;2;;;;2
IBM Nederland B.V.;;;2;;;;;2
Ideaconsult Ltd.;;;;;;;1;1
Inconnect Faculty B.V.;;;1;;;;;1
ING Bank;1;;;;;1;;1
Innovero Software Solutions B.V.;;1;1;1;;;;2
Insiders Online B.V.;;1;;;;;;1
Instituut voor Publieke Waarden;;;;;;1;;1
Intermax B.V.;;2;;;;;;2
Internedservices;7;;4;;;;;7
Itelligence B.V.;2;;;;;;;2
iVention B.V.;;;4;;;;;4
iWelcome B.V.;;1;;;;;;1
Jaarbeurs Ontwikkeling B.V.;;;;;;1;;1
Jevy Webshops;1;;;;;;;1
Jongens van Beheer B.V.;;;;3;;;;3
Jurrie Klok Koeriers;1;;;;;;;1
Kantoorinrichter B.V.;1;;;;;;;1
KIT Karlsruhe Institute of Technology;;1;;;;;;1
Kiwi Electronics B.V.;1;;;;;;;1
Knowledge Exchange B.V.;;;;2;;;;2
Koning & Hartman B.V.;1;1;;;;;;1
KPN B.V.;;;;;;2;;2
KPN BV adm-175;;;;;;1;1;2
KPN BV. ADM 160. Groningen;;;;;;2;;2
KPN BV. ADM 175. Groningen;;;;;;3;;3
KPN CM BV - Consulting;;5;;;;;;5
KPN Consulting B.V.;;;;;;;;
KPN Den Haag servicenrs;;;;;;2;;2
KPN Gemnet;1;;;;;;;1
KPN Mobile N.V.;;;;;;1;;1
KPN Telecom B.V.;;;;;;1;;1
KPN Telecom B.V. Business Service Desk;;1;;;;2;;2
KPN Telecom B.V. Landelijk Beheer Bijzondere Netten;;;;;;4;1;4
KPN Telecom B.V. Utrecht;;;;;;1;;1
KPN Vaste Telefonie;;;;;;1;;1
KPN XL;;;;;;1;;1
KPN-Mobiel;;;;;;2;;2
Life Technologies International B.V.;;;1;;;;;1
LimoenGroen B.V.;;1;;;;;;1
LinkTiger, Inc.;;;1;;;;;1
LogMeIn Ireland Limited;1;;2;;;1;;2
Mansveld Projecten & Services B.V.;;;;;;1;;1
Mavention B.V.;;;;1;;;;1
Mavention Beheer en Producten B.V.;;;;2;;;;2
Mediavision B.V.;;;1;;;;;1
Medische Biobank Noord-Nederland B.V.;;1;;;;;1;1
Meetingselect B.V.;;;;1;;;;1
Mentimeter AB;;1;1;;;;;1
Mett;;;2;;;;;2
Microsoft Ireland Operations Limited;;1;1;;;;;1
Mirion Technologies NV;;1;;;;;;1
Mostert Consult. Creativity/Innov. Management;;;;;;1;;1
MOTIV Academy B.V.;;3;;;;;;3
Mproof Beheer B.V.;;;2;;;;;2
MsMetrix;;1;;;;;;1
Negometrix B.V.;;;1;;;;;1
NetSolid;;;;1;;;;1
Network Innovations;;;;;;1;;1
Network Innovations Services;;;;;;1;;1
NIVEL Nat. Instituut voor Beleidsonderz.;;;;;;;2;2
NMC Bright B.V.;;;;;;;1;1
NRG Petten (alleen WVI vergoeding);;1;;;;;;1
Nsecure B.V.;3;;;;;;;3
OCLC B.V.;;;1;;;;;1
Office Athletes Software B.V.;;1;;;;;;1
Office Depot B.V.;1;;;;;;;1
OGD ict-diensten;2;;;;;;;2
Olympus Nederland B.V.;;;1;;;;;1
Onsite360;;1;;;;;;1
OPEN.satisfaction B.V.;;1;2;;;;;2
Ordina Technologie & Competenties B.V.;;5;7;;;;;7
Oribi Software B.V.;;1;;;;;;1
Overnite Software Europe B.V.;;;1;;;;;1
PADACO Automatisering B.V.;2;;;;;;;2
Paul Ehrlich Institut;1;;;;;;;1
PCextreme B.V.;;;1;;;;;1
Perfectview;;;1;;;;;1
PerkinElmer Nederland B.V.;;1;;;;;;1
Planon B.V.;;1;;;;;;1
Pluralsight;;;1;;;;;1
Pondres Direct Mail B.V.;;;;;;1;;1
Positief Leiden;;;1;;;;;1
PQR B.V.;;1;1;;;;;1
Pro Conference B.V.;;;;;;1;;1
Procyon Networks B.V.;;;;;;2;;2
Protinus IT B.V.;7;7;7;2;;2;;7
PubliContact B.V.;;;1;;;;;1
Q Delft B.V.;;;;;;;2;2
Qdossier B.V.;;2;;;;;;2
Qiagen Benelux B.V.;;;2;;;;;2
Quest Software Java Support Centre B.V.;;1;;;;;;1
Questback AS Arvato Finance AS;;;;;;2;;2
Quintensis B.V.;;;1;;;;;1
Quis Products B.V.;;;1;;;;;1
QuoVadis Trustlink B.V.;1;1;1;1;;;1;1
Qweb Internet Services;;;1;;;;;1
RedNose IT B.V.;;;2;;;;;2
Relatics B.V.;;;1;;;;;1
Remyx;;;1;;;;;1
Renate Verstappen;;2;;;;;;2
Research 2Evolve B.V.;;;;;;;1;1
RStudio, Inc.;;1;;;;;;1
RTDS e.U.;;;1;;;;1;1
Ruijs Visual Computing B.V.;;;1;;;;;1
SAP Nederland B.V.;;4;;;;;;4
Schuurman Food Consultancy;;;;;;;2;2
Science Plus Group;;;1;;;;;1
Sectra Communications B.V.;;;;;;2;;2
Siemens Industry Software B.V.;;2;2;;;;;3
SIMPoint B.V.;;;;;;;1;1
SIROSS;1;;;;;;;1
Siteimprove B.V.;;;1;;;;;1
Sj.-Solutions B.V.;;1;;;;;;1
Smiths Detection Watford Ltd. (Euro);1;;;;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;1;;;;;1
SNR Schouten Global B.V.;;1;;;;;;1
Software AG Nederland B.V.;;;1;;;;;1
SoftwareONE B.V.;;2;7;;;;;7
Sogeti Nederland B.V.;1;5;4;;;;;6
Spotler Nederland B.V.;;;1;;;;;1
Sprout Social, Inc.;;;1;;;;;1
St. Government Roaming NL;2;;;;;;;2
Stg. Beheer Derdengelden Cannock Outsourcing;1;;1;;;;;1
Stg. Fac. Herinneringscentrum Kamp Westerbork;;;;;;;5;5
Stg. Fds. voor het Dove en Slechthorende Kind;;;;;;;1;1
Sticht. ISSTDR Conference Support Foundation;;;2;;;;;2
Stichting Accessibility;;1;;;;;;1
Stichting Dutch Hospital Data;;;;;;;2;2
Stichting Ravu;;;;;;1;;1
Stichting Start Up Mix Nijmegen;;;1;;;;;1
Stichting voor Duurzame Ontwikkeling;;;2;;;;;2
Stichting VZVZ Derdengelden;;;4;;;;4;5
Strak;1;;;;;;;1
Stratec Services B.V.;1;;;;;;;1
Sumatra Software B.V.;;1;;;;;;1
SURFmarket;4;5;2;;;;;6
SURFnet B.V.;;;4;;2;;;5
SURFsara B.V.;;;2;;;;;2
Synetic B.V.;;;1;;;;;1
Systeemhuis Compri B.V.;;;1;;;;;1
T&T Compet&t.b.v.;;;3;;4;;3;5
Tangram B.V.;;;1;;;;;1
Teamwork.com;;;;1;;;;1
Tecan Benelux B.V.B.A.;;;1;;;;;1
Technolution B.V.;;4;;;;;;4
Tele2 Nederland B.V.;;;;;;4;;4
Telecom Service Leek B.V.;;;;;;1;;1
Telegrootgebruik B.V.;;1;;;;2;;2
Telindus-ISIT B.V.;;2;;;;;;2
TenderGuide Consultancy B.V.;;;2;;;;;2
The Courseware Company B.V.;;1;1;;;;1;1
The Information Lab Netherlands B.V.;;;2;;;;;2
Thermo Fisher Scientific B.V.;;2;;;;;;2
TimeWax B.V.;;1;;;;;;1
TNO B.V.;;;2;;;;;2
Today Designers B.V.;;;;;;;1;1
Topicus Zorg Holding;;;;;;;5;5
Total Identity B.V.;;;2;;;;;2
Transfer Managed Services B.V.;;2;;;;;;2
Trimbos Instituut;;;;;;;2;2
Triple P Nederland B.V.;1;3;2;;;1;;3
Triptic B.V.;;;1;;;;;1
Triv Internet Solutions;;;;;;1;;1
Tweede Golf B.V.;;;1;;;;;1
Two Kings B.V.;;;1;;;;;1
Unica Security B.V.;;;;;;;;
UP learning B.V.;;;1;;;;;1
Urban Network B.V.;;;;;;1;;1
Utica B.V.;;;;;;1;;1
Van Swinden Laboratorium;;1;;;;;;1
VCD Business Solutions B.V.;;3;;;;;;3
VCD Healthcare B.V.;4;;2;;;;;4
Vektis C.V.;;;;;;;2;2
Verdonck, Klooster & Associates B.V.;3;4;4;;;;;5
Via Futura;;;1;;;;;1
Virtual Vision;1;;;;;;;1
Vodafone;;;;;;1;;1
Vodafone Libertel B.V.;;;;;;5;;5
VSN International Ltd;;1;;;;;;1
Wageningen Plant Research;;;;;;;2;2
WebEx Communications B.V.;;;;;;1;;1
Webspeaking;;;1;;;;;1
WhiteVision Software Bedenkers B.V.;;1;1;;;;;1
WING Process Consultancy B.V.;;;7;;;;;7
WorkFlowWise IP B.V.;;1;;;;;;1
WorkSphere;;1;;;;;;1
WVZ.online BV;;1;;;;;;1
XDialogue B.V.;;;1;;;;;1
Xerox (Nederland) B.V.;;;1;;;;1;1
XMARK B.V.;;;;;;1;;1
Xolphin B.V.;;;;;;1;;1
XS4ALL Internet B.V.;;;1;;;1;;1
Yvonne Zonderop Journalistieke Producties;;;;;;1;;1
Z Index B.V.;;;1;;;;;1
Zentis Medical Solutions B.V.;;;1;;;;;1
Zet Solutions B.V.;;1;;;;;;1
Zetes B.V.;1;;;;;;;1
Ziggo B.V.;;;;;;;;
Zinnige Zaken B.V.;;;1;;;;;1
Zirbus Technology Benelux B.V.;2;;;;;;;2
Eindtotaal;8;9;9;5;4;7;7;10
