FID,utm_x,utm_y,naam,status,opmerking,gebiednr,turbine_nr,eigenaar,gdb_geomattr_data,shape
turbines_en_ohvs.1,578088.99557,5808005.2596,Luchterduinen,In gebruik,Turbine,9,30,Luchterduinen: Q10 Offshore Wind BV.,,POINT (578088.9956 5808005.2596)
turbines_en_ohvs.2,580867.975168,5807450.26316,Luchterduinen,In gebruik,Turbine,9,31,Luchterduinen: Q10 Offshore Wind BV.,,POINT (580867.9753 5807450.2631)
turbines_en_ohvs.3,580392.978686,5807703.26139,Luchterduinen,In gebruik,Turbine,9,32,Luchterduinen: Q10 Offshore Wind BV.,,POINT (580392.9786999999 5807703.261499999)
turbines_en_ohvs.4,579917.982178,5807955.25963,Luchterduinen,In gebruik,Turbine,9,33,Luchterduinen: Q10 Offshore Wind BV.,,POINT (579917.9822000004 5807955.2596)
turbines_en_ohvs.5,579442.985696,5808207.25788,Luchterduinen,In gebruik,Turbine,9,34,Luchterduinen: Q10 Offshore Wind BV.,,POINT (579442.9857000001 5808207.2579)
turbines_en_ohvs.6,578968.989197,5808460.25611,Luchterduinen,In gebruik,Turbine,9,35,Luchterduinen: Q10 Offshore Wind BV.,,POINT (578968.9892999995 5808460.255999999)
turbines_en_ohvs.7,578493.992715,5808712.25435,Luchterduinen,In gebruik,Turbine,9,36,Luchterduinen: Q10 Offshore Wind BV.,,POINT (578493.9928000001 5808712.2543)
turbines_en_ohvs.8,581237.972592,5808169.25784,Luchterduinen,In gebruik,Turbine,9,37,Luchterduinen: Q10 Offshore Wind BV.,,POINT (581237.9726999998 5808169.2579)
turbines_en_ohvs.9,580640.976998,5808486.25561,Luchterduinen,In gebruik,Turbine,9,38,Luchterduinen: Q10 Offshore Wind BV.,,POINT (580640.9770999998 5808486.2555)
turbines_en_ohvs.10,580144.980663,5808749.25378,Luchterduinen,In gebruik,Turbine,9,39,Luchterduinen: Q10 Offshore Wind BV.,,POINT (580144.9807000002 5808749.253799999)
turbines_en_ohvs.11,579648.984327,5809013.25195,Luchterduinen,In gebruik,Turbine,9,40,Luchterduinen: Q10 Offshore Wind BV.,,POINT (579648.9844000004 5809013.2519000005)
turbines_en_ohvs.12,581601.970038,5808840.25286,Luchterduinen,In gebruik,Turbine,9,41,Luchterduinen: Q10 Offshore Wind BV.,,POINT (581601.9699999997 5808840.252800001)
turbines_en_ohvs.13,580591.977489,5809287.24977,Luchterduinen,In gebruik,Turbine,9,42,Luchterduinen: Q10 Offshore Wind BV.,,POINT (580591.9775999999 5809287.2498)
turbines_en_ohvs.14,581920.967855,5809650.24686,Luchterduinen,In gebruik,Turbine,9,43,Luchterduinen: Q10 Offshore Wind BV.,,POINT (581920.9678999996 5809650.2469)
turbines_en_ohvs.15,596037.86956,5832228.07948,NSW Offshore windpark Egmond aan Zee,In gebruik,Turbine,1,36,Noordzeewind,,POINT (596037.8696999997 5832228.079399999)
turbines_en_ohvs.16,584023.95606,5829007.10523,Prinses Amalia Windparken,In gebruik,Turbine,2,1,PAWP: Eneco Windmolens Offshore BV.,,POINT (584023.9561999999 5829007.1053)
turbines_en_ohvs.17,583072.96298,5829056.10506,Prinses Amalia Windparken,In gebruik,Turbine,2,2,PAWP: Eneco Windmolens Offshore BV.,,POINT (583072.9631000003 5829056.1051)
turbines_en_ohvs.18,579858.033408,5806601.61122,Luchterduinen,In gebruik,OHVS,9,OHVS,Luchterduinen: Q10 Offshore Wind BV.,,POINT (579858.0334000001 5806601.611199999)
turbines_en_ohvs.19,583533.9596,5828757.10711,Prinses Amalia Windparken,In gebruik,Turbine,2,3,PAWP: Eneco Windmolens Offshore BV.,,POINT (583533.9598000003 5828757.1072)
turbines_en_ohvs.20,583995.95612,5828458.10927,Prinses Amalia Windparken,In gebruik,Turbine,2,4,PAWP: Eneco Windmolens Offshore BV.,,POINT (583995.9562999997 5828458.109200001)
turbines_en_ohvs.21,584456.95273,5828159.11132,Prinses Amalia Windparken,In gebruik,Turbine,2,5,PAWP: Eneco Windmolens Offshore BV.,,POINT (584456.9528999999 5828159.111300001)
turbines_en_ohvs.22,582104.97006,5829063.10512,Prinses Amalia Windparken,In gebruik,Turbine,2,6,PAWP: Eneco Windmolens Offshore BV.,,POINT (582104.9703000002 5829063.1052)
turbines_en_ohvs.23,582571.96652,5828772.10714,Prinses Amalia Windparken,In gebruik,Turbine,2,7,PAWP: Eneco Windmolens Offshore BV.,,POINT (582571.9666999998 5828772.1072)
turbines_en_ohvs.24,583038.96309,5828481.10927,Prinses Amalia Windparken,In gebruik,Turbine,2,8,PAWP: Eneco Windmolens Offshore BV.,,POINT (583038.9633 5828481.109200001)
turbines_en_ohvs.25,583504.95975,5828191.1112,Prinses Amalia Windparken,In gebruik,Turbine,2,9,PAWP: Eneco Windmolens Offshore BV.,,POINT (583504.9599000001 5828191.111199999)
turbines_en_ohvs.26,583971.95632,5827900.11333,Prinses Amalia Windparken,In gebruik,Turbine,2,10,PAWP: Eneco Windmolens Offshore BV.,,POINT (583971.9565000003 5827900.113399999)
turbines_en_ohvs.27,584888.94929,5826200.12548,Prinses Amalia Windparken,In gebruik,Turbine,2,31,PAWP: Eneco Windmolens Offshore BV.,,POINT (584888.9494000003 5826200.125499999)
turbines_en_ohvs.28,581042.97753,5827763.11479,Prinses Amalia Windparken,In gebruik,Turbine,2,32,PAWP: Eneco Windmolens Offshore BV.,,POINT (581042.9776999997 5827763.114800001)
turbines_en_ohvs.29,581524.97392,5827499.11675,Prinses Amalia Windparken,In gebruik,Turbine,2,33,PAWP: Eneco Windmolens Offshore BV.,,POINT (581524.9741000002 5827499.116800001)
turbines_en_ohvs.30,582006.97041,5827235.1185,Prinses Amalia Windparken,In gebruik,Turbine,2,34,PAWP: Eneco Windmolens Offshore BV.,,POINT (582006.9705999997 5827235.1185)
turbines_en_ohvs.31,584438.95278,5827608.11534,Prinses Amalia Windparken,In gebruik,Turbine,2,11,PAWP: Eneco Windmolens Offshore BV.,,POINT (584438.9529999997 5827608.1154)
turbines_en_ohvs.32,584905.94934,5827318.11738,Prinses Amalia Windparken,In gebruik,Turbine,2,12,PAWP: Eneco Windmolens Offshore BV.,,POINT (584905.9495000001 5827318.1174)
turbines_en_ohvs.33,585372.94591,5827027.1194,Prinses Amalia Windparken,In gebruik,Turbine,2,13,PAWP: Eneco Windmolens Offshore BV.,,POINT (585372.9461000003 5827027.1194)
turbines_en_ohvs.34,581586.97376,5828734.10763,Prinses Amalia Windparken,In gebruik,Turbine,2,14,PAWP: Eneco Windmolens Offshore BV.,,POINT (581586.9738999996 5828734.1077)
turbines_en_ohvs.35,582058.97027,5828452.10963,Prinses Amalia Windparken,In gebruik,Turbine,2,15,PAWP: Eneco Windmolens Offshore BV.,,POINT (582058.9704 5828452.1096)
turbines_en_ohvs.36,582530.96677,5828170.11164,Prinses Amalia Windparken,In gebruik,Turbine,2,16,PAWP: Eneco Windmolens Offshore BV.,,POINT (582530.9669000003 5828170.1117)
turbines_en_ohvs.37,583003.96329,5827888.11353,Prinses Amalia Windparken,In gebruik,Turbine,2,17,PAWP: Eneco Windmolens Offshore BV.,,POINT (583003.9633999998 5827888.113600001)
turbines_en_ohvs.38,583475.9598,5827606.11553,Prinses Amalia Windparken,In gebruik,Turbine,2,18,PAWP: Eneco Windmolens Offshore BV.,,POINT (583475.9599000001 5827606.115499999)
turbines_en_ohvs.39,583947.9563,5827323.11753,Prinses Amalia Windparken,In gebruik,Turbine,2,19,PAWP: Eneco Windmolens Offshore BV.,,POINT (583947.9563999996 5827323.1175)
turbines_en_ohvs.40,584419.95281,5827041.11942,Prinses Amalia Windparken,In gebruik,Turbine,2,20,PAWP: Eneco Windmolens Offshore BV.,,POINT (584419.9528999999 5827041.1195)
