Kenteken,Soort erkenning keuringsinstantie,Meld datum door keuringsinstantie,Meld tijd door keuringsinstantie,Gebrek identificatie,Soort erkenning omschrijving,Aantal gebreken geconstateerd,Meld datum door keuringsinstantie DT
0001VM,AL,20201028,1604,145,APK Lichte voertuigen,1,10/28/2020 04:04:00 PM
0001VM,AL,20201028,1604,RA2,APK Lichte voertuigen,1,10/28/2020 04:04:00 PM
0002ZA,AL,20200325,1552,210,APK Lichte voertuigen,4,03/25/2020 03:52:00 PM
0003ZZ,AZ,20210205,901,AC4,APK Zware voertuigen,1,02/05/2021 09:01:00 AM
0003ZZ,AZ,20220808,1114,545,APK Zware voertuigen,1,08/08/2022 11:14:00 AM
0003ZZ,AZ,20220808,1114,AC4,APK Zware voertuigen,1,08/08/2022 11:14:00 AM
0004PF,AL,20201120,1127,RA2,APK Lichte voertuigen,1,11/20/2020 11:27:00 AM
0004PS,AL,20220202,914,RA2,APK Lichte voertuigen,1,02/02/2022 09:14:00 AM
0004ZZ,AZ,20200818,927,AC4,APK Zware voertuigen,1,08/18/2020 09:27:00 AM
0004ZZ,AZ,20210714,1349,AC4,APK Zware voertuigen,1,07/14/2021 01:49:00 PM
0004ZZ,AZ,20220809,830,AC4,APK Zware voertuigen,1,08/09/2022 08:30:00 AM
0005EB,AL,20211222,1326,999,APK Lichte voertuigen,1,12/22/2021 01:26:00 PM
0005EB,AL,20211222,1326,AC1,APK Lichte voertuigen,1,12/22/2021 01:26:00 PM
0005EB,AL,20211222,1326,AC4,APK Lichte voertuigen,1,12/22/2021 01:26:00 PM
0005PS,AL,20200729,1017,035,APK Lichte voertuigen,1,07/29/2020 10:17:00 AM
0005PS,AL,20200729,1017,077,APK Lichte voertuigen,1,07/29/2020 10:17:00 AM
0005PS,AL,20200729,1017,083,APK Lichte voertuigen,1,07/29/2020 10:17:00 AM
0005PS,AL,20200729,1017,315,APK Lichte voertuigen,1,07/29/2020 10:17:00 AM
0005RZ,AL,20210507,1400,RA2,APK Lichte voertuigen,1,05/07/2021 02:00:00 PM
0009PH,AL,20200508,1424,AC4,APK Lichte voertuigen,1,05/08/2020 02:24:00 PM
0009PH,AL,20200508,1424,RA2,APK Lichte voertuigen,1,05/08/2020 02:24:00 PM
0011ZX,AL,20200513,1223,RA2,APK Lichte voertuigen,1,05/13/2020 12:23:00 PM
0012UJ,AL,20200325,1638,361,APK Lichte voertuigen,1,03/25/2020 04:38:00 PM
0012UJ,AL,20200325,1638,585,APK Lichte voertuigen,1,03/25/2020 04:38:00 PM
0012ZZ,AZ,20210414,1401,497,APK Zware voertuigen,1,04/14/2021 02:01:00 PM
0012ZZ,AZ,20210414,1401,AC4,APK Zware voertuigen,1,04/14/2021 02:01:00 PM
0013JF,AL,20200707,1032,210,APK Lichte voertuigen,1,07/07/2020 10:32:00 AM
0013JK,AL,20200624,1335,RA2,APK Lichte voertuigen,1,06/24/2020 01:35:00 PM
