FID,omschr,portaalnr,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
portalen_kenmerk.1,staal (losstaande stalen constructie),0,R,10.76000023,009,KPK0001085621,I,,POINT (125152.57459999993 479101.09329999983)
portalen_kenmerk.2,viaduct (aan de zijkant van een viaduct),0,R,155.72999573,015,KPK0001086047,I,,POINT (182004.51909999922 435064.45760000125)
portalen_kenmerk.3,viaduct (aan de zijkant van een viaduct),0,R,83.52600098,027,KPK0001086590,I,,POINT (138491.28229999915 459121.87049999833)
portalen_kenmerk.4,staal (losstaande stalen constructie),0,R,83.83799744,027,KPK0001086593,I,,POINT (138523.11520000175 459419.15309999883)
portalen_kenmerk.5,staal (losstaande stalen constructie),0,R,118.07499695,027,KPK0000916436,I,,POINT (149355.15529999882 488110.317400001)
portalen_kenmerk.6,staal (losstaande stalen constructie),0,R,34.50799942,002,KPK0001022127,I,,POINT (124125.16310000047 479359.93499999866)
portalen_kenmerk.7,staal (losstaande stalen constructie),0,R,10.35400009,009,KPK0001056721,I,,POINT (125391.82169999927 479423.0329999998)
portalen_kenmerk.8,staal (losstaande stalen constructie),0,R,11.40499973,009,KPK0001056733,I,,POINT (124455.77549999952 479172.19249999896)
portalen_kenmerk.9,staal (losstaande stalen constructie),0,R,118.63800049,027,KPK0000916398,I,,POINT (148942.25989999995 488187.20059999824)
portalen_kenmerk.10,staal (losstaande stalen constructie),0,R,118.95200348,027,KPK0000916401,I,,POINT (148733.02639999986 487965.95149999857)
portalen_kenmerk.11,staal (losstaande stalen constructie),0,R,46.41600037,001,KPK0001111280,I,,POINT (159335.70910000056 464364.9565999992)
portalen_kenmerk.12,viaduct (aan de zijkant van een viaduct),0,R,46.95999908,001,KPK0001111283,I,,POINT (159872.0106999986 464301.88109999895)
portalen_kenmerk.13,staal (losstaande stalen constructie),0,R,47.36999893,001,KPK0001111286,I,,POINT (160280.23730000108 464254.24540000036)
portalen_kenmerk.14,staal (losstaande stalen constructie),0,R,47.59899902,001,KPK0001111287,I,,POINT (160508.66840000078 464227.4340999983)
portalen_kenmerk.15,staal (losstaande stalen constructie),0,R,47.84999847,001,KPK0001111292,I,,POINT (160756.96709999815 464198.3627000004)
portalen_kenmerk.16,staal (losstaande stalen constructie),0,R,48.29999924,001,KPK0001111296,I,,POINT (161204.7591000013 464144.2019000016)
portalen_kenmerk.17,staal (losstaande stalen constructie),0,R,50.74599838,015,KPK0001096668,I,,POINT (86265.74909999967 432324.124400001)
portalen_kenmerk.18,staal (losstaande stalen constructie),0,R,51.27000046,015,KPK0001096671,I,,POINT (86773.73950000107 432171.4145999998)
portalen_kenmerk.19,staal (losstaande stalen constructie),0,R,59.47200012,015,KPK0001096692,I,,POINT (94969.04210000113 431605.05139999837)
portalen_kenmerk.20,staal (losstaande stalen constructie),0,R,66.12400055,002,KPK0001111499,I,,POINT (132866.58509999886 450759.0075000003)
portalen_kenmerk.21,viaduct (aan de zijkant van een viaduct),0,R,64.09999847,002,KPK0001111796,I,,POINT (133190.55970000103 452760.47879999876)
portalen_kenmerk.22,staal (losstaande stalen constructie),0,R,57.25799942,002,KPK0001111801,I,,POINT (131242.37480000034 458553.5705999993)
portalen_kenmerk.23,staal (losstaande stalen constructie),0,R,57.78499985,002,KPK0001111806,I,,POINT (131682.11360000074 458261.31439999864)
portalen_kenmerk.24,staal (losstaande stalen constructie),0,R,63.54999924,015,KPK0001096713,I,,POINT (98530.87370000035 431854.5854000002)
portalen_kenmerk.25,staal (losstaande stalen constructie),0,R,63.94200134,015,KPK0001096716,I,,POINT (98902.74850000069 431750.063099999)
portalen_kenmerk.26,staal (losstaande stalen constructie),0,R,66.66799927,002,KPK0001111505,I,,POINT (132850.51680000126 450207.24230000004)
portalen_kenmerk.27,staal (losstaande stalen constructie),0,R,67.19999695,002,KPK0001111506,I,,POINT (132833.74439999834 449698.53079999983)
