OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,REF_TERREINVERLICHTING_PUIC,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1,51aa8976-dc17-49c2-9944-9fac6beb547b,,60,Bestaand,,2020/11/04 00:00:00+00,72609a1d-152a-43f9-ac8b-62661482e1c3,2022/12/21 18:01:08+00,,Bd-Rtd,Breda - Rotterdam Centraal ,542,a,542,542_a,Dordrecht,30.39078,"30,390780",-34.608905,"-34,608905",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,104468.202,424783.966,51.80939351,4.65446415
2,4f81ccd8-dd75-447d-9f12-b293e18ab942,,60,Bestaand,,2020/11/04 00:00:00+00,72609a1d-152a-43f9-ac8b-62661482e1c3,2022/12/21 18:01:08+00,,Ddr-Ddrz,Dordrecht - Dordrecht Zeehaventerrein ,805,a,805,805_a,Dordrecht Zeehaventerrein,100.113354,"100,113354",30.90213,"30,902130",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,104463.672,424777.768,51.80933739,4.65439938
3,21e16aa7-1ac2-4950-b228-dd620e77027d,,60,Bestaand,,2020/11/04 00:00:00+00,72609a1d-152a-43f9-ac8b-62661482e1c3,2022/12/21 18:01:08+00,,Bd-Rtd,Breda - Rotterdam Centraal ,542,a,542,542_a,Dordrecht,30.40932,"30,409320",-34.751885,"-34,751885",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,104451.796,424795.176,51.80949277,4.65422464
4,cb65e083-a37a-4be5-9128-72eb2bab2f6d,,60,Bestaand,,2020/11/04 00:00:00+00,72609a1d-152a-43f9-ac8b-62661482e1c3,2022/12/21 18:01:08+00,,Ddr-Ddrz,Dordrecht - Dordrecht Zeehaventerrein ,805,a,805,805_a,Dordrecht Zeehaventerrein,100.132523,"100,132523",35.2333,"35,233300",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,104447.463,424788.86,51.80943561,4.65416274
5,24555b9d-0e8d-48a3-b0e3-f085739f77c3,,60,Bestaand,,2022/04/18 00:00:00+00,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.478524,"88,478524",18.209725,"18,209725",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,195168.217,469142.606,52.20891823,5.97487769
6,5a11af40-55a5-4ba5-a53b-f7fdaa22f682,,60,Bestaand,,2022/04/18 00:00:00+00,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.178478,"88,178478",36.275432,"36,275432",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,194867.704,469143.633,52.20894926,5.97048142
7,9423dbd3-a76e-45d9-83ca-04e2b0c3eed1,,60,Bestaand,,2022/04/18 00:00:00+00,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.10754,"88,107540",36.487435,"36,487435",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,194796.684,469147.181,52.20898627,5.96944284
8,176f5ed6-bac6-4b57-b634-a1a7fffd3345,,60,Bestaand,,2022/04/18 00:00:00+00,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.018359,"88,018359",34.620588,"34,620588",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,194707.765,469153.355,52.20904817,5.96814271
9,68591b05-f5b9-424d-a204-7147a43c960f,,60,Bestaand,,,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,87.672627,"87,672627",-13.685944,"-13,685944",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,194361.316,469183.344,52.20934252,5.96307776
10,16896131-be81-4f39-91d9-002ce4ec1ffc,,60,Bestaand,,,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,87.805182,"87,805182",-12.426629,"-12,426629",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,194492.898,469203.108,52.20951075,5.96500508
11,e7637d91-3844-4ebc-b663-956751d64e89,,60,Bestaand,,,623e8d6f-e522-4a6c-98b6-256317632830,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,87.889982,"87,889982",0.934465,"0,934465",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,194580.62,469191.556,52.20940064,5.96628709
12,99c952ec-1e37-45b3-a0b6-bd7cf05fa289,,60,Bestaand,,2022/04/18 00:00:00+00,194412eb-5d49-448b-b31a-5a4d888693f2,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.65409,"88,654090",-17.611581,"-17,611581",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,195345.191,469169.798,52.2091497,5.97746998
13,dfc74d67-634e-42ab-a689-db1005d93a1f,,60,Bestaand,,2022/04/18 00:00:00+00,194412eb-5d49-448b-b31a-5a4d888693f2,2022/12/21 18:01:08+00,,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.644222,"88,644222",10.00982,"10,009820",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,IJsselstreek,31,Strukton Rail,195334.477,469142.485,52.20890501,5.97730999
14,1d484743-6640-4ed1-b7e4-6f7ff1416663,,60,Bestaand,,2020/11/05 00:00:00+00,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,101.028331,"101,028331",16.138145,"16,138145",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209869.493,523258.973,52.69397808,6.19882034
15,815277b6-3ef2-484f-a2df-13e70cb36294,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.50242,"100,502420",27.952739,"27,952739",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209783.245,522740.699,52.68932947,6.19745877
16,0ffb34d5-1d86-48f1-bd92-171dadf281da,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.590129,"100,590129",38.91034,"38,910340",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209809.296,522824.918,52.69008365,6.197858
17,f0618d03-ce81-4122-891d-c242490bea92,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.675507,"100,675507",35.778834,"35,778834",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209821.823,522908.514,52.6908336,6.19805713
18,b331703b-5c72-40ec-a886-e872a24e14ff,,60,Bestaand,,,db96db29-340c-4b14-90d9-7c4f616dfb4e,2022/12/21 18:01:08+00,,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.756336,"100,756336",36.207654,"36,207654",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Drenthe,35,ASSET Rail,209836.609,522988.39,52.69154989,6.19828907
